ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
172481258;612_9R_60.6;T;0,765;2,845;80;2019-12-11
172481259;612_9R_60.6;T;2,845;2,887;60;2019-12-11
172481260;021_11AL_86.5;T;0;0,123;130;2019-12-11
172481261;021_11AR_86.5;T;0;0,105;80;2019-12-11
172481262;021_11AV_86.5;T;0;18,111;130;2019-12-11
172481263;021_11BL_86.6;T;0;0,078;130;2019-12-11
172481594;506_255BV_45.5;T;0;0,259;120;2019-12-11
172481595;506_257AL_45.4;T;0;0,043;140;2019-12-11
172481596;506_257AR_45.4;T;0;0,127;60;2019-12-11
172482220;586_261AR_81.1;T;0;0,102;40;2019-12-11
172481608;089_261BV_45.7;T;0;0,067;120;2019-12-11
172481609;089_261BV_45.7;T;0,067;0,15;140;2019-12-11
172481610;089_261BV_45.7;T;0,15;0,653;140;2019-12-11
172481611;089_271L_46.0;T;0;0,412;130;2019-12-11
172481612;089_271R_46.0;T;0;0,527;140;2019-12-11
172481613;089_273AL_46.2;T;0;1,314;140;2019-12-11
172481614;089_273AR_46.2;T;0;0,292;130;2019-12-11
172481615;089_291AL_46.3;T;0;0,099;140;2019-12-11
172481616;089_291AR_46.3;T;0;0,062;40;2019-12-11
172481617;089_291BV_46.4;T;0;0,021;140;2019-12-11
172481618;089_293AL_46.4;T;0;0,158;80;2019-12-11
172481619;089_293AR_46.4;T;0;0,206;140;2019-12-11
172481620;089_293BV_46.6;T;0;0,71;140;2019-12-11
172482038;133_1169R_19.8;T;0;0,65;40;2019-12-11
172481955;133_1073BV_14.6;T;0;0,12;80;2019-12-11
172481921;133_1021V_8.8;T;0;1,081;130;2019-12-11
172481922;133_1045AL_13.5;T;0;0,419;130;2019-12-11
172481923;133_1045AL_13.5;T;0,419;0,444;130;2019-12-11
172481924;133_1045AL_13.5;T;0,444;0,476;80;2019-12-11
172481925;133_1045AR_13.5;T;0;0,103;80;2019-12-11
172481327;608_35L_87.9;T;0;0,097;60;2019-12-11
172481607;089_261AR_45.6;T;0;0,083;60;2019-12-11
172481328;608_35L_87.9;T;0,097;0,488;70;2019-12-11
172481359;506_49L_43.4;T;0;0,068;40;2019-12-11
172481360;506_49R_43.4;T;0;0,027;40;2019-12-11
172481361;506_51L_43.4;T;0;0,049;40;2019-12-11
172481362;506_51R_43.4;T;0;0,51;40;2019-12-11
172481363;608_51V_88.6;T;0;0,06;70;2019-12-11
172481364;608_53AL_88.5;T;0;0,156;70;2019-12-11
172481365;608_53AR_88.5;T;0;0,103;70;2019-12-11
172481366;608_53BV_88.6;T;0;0,036;70;2019-12-11
172481367;021_55V_68.3;T;0;0,015;130;2019-12-11
172491504;545_105R_22.5;T;0;0,083;40;2019-12-11
172491505;545_107AL_22.6;T;0;0,052;40;2019-12-11
172491506;545_107AR_22.6;T;0;0,098;80;2019-12-11
172491507;545_107AR_22.6;T;0,098;0,285;80;2019-12-11
172491508;545_107AR_22.6;T;0,285;0,289;40;2019-12-11
172491509;545_107BqV_22.7;T;0;0,034;40;2019-12-11
172491510;545_109AL_22.7;T;0;0,053;40;2019-12-11
172491511;545_109AR_22.7;T;0;0,237;40;2019-12-11
172491512;545_109BV_22.7;T;0;0,223;40;2019-12-11
172491513;545_131AL_22.9;T;0;0,051;40;2019-12-11
172491514;545_131AR_22.9;T;0;0,063;40;2019-12-11
172491515;545_131BR_23.0;T;0;0,051;40;2019-12-11
172491516;545_131BpV_23.0;T;0;0,034;40;2019-12-11
172491517;545_133AR_22.9;T;0;0,063;40;2019-12-11
172491518;545_133BV_23.0;T;0;0,375;40;2019-12-11
172491519;545_135AL_23.0;T;0;0,053;40;2019-12-11
172491520;545_135AR_23.0;T;0;0,052;40;2019-12-11
172481154;534_1011AL_44.6;T;0;0,088;40;2019-12-11
172481155;534_1011BV_44.7;T;0;0,037;40;2019-12-11
172481156;534_1013AR_44.7;T;0;0,038;40;2019-12-11
172481157;534_1013BV_44.8;T;0;0,154;80;2019-12-11
172481158;534_1015L_44.9;T;0;0,603;80;2019-12-11
172481159;534_1015R_44.9;T;0;0,146;80;2019-12-11
172481160;534_1017AL_44.9;T;0;0,133;80;2019-12-11
172481161;534_1017AR_44.9;T;0;0,136;80;2019-12-11
172481162;534_1017BV_45.1;T;0;0,457;80;2019-12-11
172481163;534_1023AL_44.9;T;0;0,133;160;2019-12-11
172481164;534_1023AR_44.9;T;0;0,131;80;2019-12-11
172481165;534_1023BL_45.1;T;0;0,131;80;2019-12-11
172481166;534_1023BV_45.1;T;0;0,464;80;2019-12-11
172481167;534_1025R_44.9;T;0;0,362;80;2019-12-11
172481439;506_109V_44.0;T;0;0,031;40;2019-12-11
172481440;506_111V_44.1;T;0;0,018;40;2019-12-11
172481441;506_113V_44.0;T;0;0,053;40;2019-12-11
172481442;506_115V_44.1;T;0;0,006;40;2019-12-11
172481443;506_117AL_44.1;T;0;0,063;40;2019-12-11
172481444;506_117AR_44.1;T;0;0,063;40;2019-12-11
172481445;506_117BR_44.2;T;0;0,063;40;2019-12-11
172481446;506_117BV_44.2;T;0;0,014;40;2019-12-11
172481447;506_119AR_44.1;T;0;0,063;40;2019-12-11
172481448;506_119BV_44.2;T;0;0,03;40;2019-12-11
172481449;506_121AL_44.1;T;0;0,071;40;2019-12-11
172491996;475_3L_100.9;T;0,399;1,325;onbekend;2019-12-11
172491997;087_119AR_16.6;T;0;0,103;onbekend;2019-12-11
172491998;087_117BV_16.6;T;0;0,017;onbekend;2019-12-11
172491023;525_1305AR_180.4;T;0;0,102;80;2019-12-11
172491024;525_1305BL_180.5;T;0;0,102;80;2019-12-11
172491025;525_1305BV_180.5;T;0;0,024;80;2019-12-11
172492004;128_65AL_13.3;T;0;3,094;onbekend;2019-12-11
172492005;087_117AL_16.5;T;0;0,103;onbekend;2019-12-11
172492009;054_1369AR_54.0;T;0;0,611;onbekend;2019-12-11
172492010;585_1163AR_8.3;T;0;0,222;onbekend;2019-12-11
172492011;585_1163AL_8.3;T;0;0,102;onbekend;2019-12-11
172492012;585_1163BV_8.4;T;0;0,019;onbekend;2019-12-11
172491042;523_5051AL_177.6;T;0;1,6;120;2019-12-11
172491641;545_924V_22.3;T;0;0,001;40;2019-12-11
172491642;545_925L_22.3;T;0;0,077;40;2019-12-11
172491248;603_153AL_3.4;T;0;0,06;40;2019-12-11
