ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
989;525_429AV_77.8;523_a;0,424;3,674;2019-12-12
13603;666_439R_29.0;666_e;0,033;0,91;2019-12-12
11935;801_909V_800.6;801_l;0;0,296;2019-12-12
11933;801_909V_800.6;801_l;0,299;0,3;2019-12-12
3799;114_393BV_102.0;166__;0,811;33,364;2019-12-12
2450;084_3V_9.3;523_b;5,212;7,761;2019-12-12
5892;513_161AR_44.1;043__;0,158;7,074;2019-12-12
16816;027_931L_147.6;587_d;0,074;1,295;2019-12-12
12140;133_1133AL_19.7;133_a;0;0,228;2019-12-12
12982;663_317AL_40.1;663_c;0,992;1,01;2019-12-12
12984;663_317AL_40.1;663_c;0,484;0,99;2019-12-12
2519;133_1199V_20.8;133_a;0;0,174;2019-12-12
7074;540_171L_82.1;540_b;0,051;0,657;2019-12-12
7286;589_3203R_4.9;589_b;0;0,316;2019-12-12
16803;950_273AR_13.8;950_a;0;0,492;2019-12-12
3689;145_957BV_56.6;558_a;0,506;1,941;2019-12-12
10568;121_503L_9.4;121_b;2,107;2,144;2019-12-12
2170;523_911L_53.9;523_c;0,211;1,96;2019-12-12
2437;667_1005L_402.4;667_b;0;2,378;2019-12-12
1826;950_293L_15.3;950_a;0;0,927;2019-12-12
16734;128_65AL_13.3;541_b;0,285;3,066;2019-12-12
3128;116_1373BV_33.0;116_a;0;0,692;2019-12-12
4151;560_71BV_24.7;564_b;0,224;1,089;2019-12-12
5932;513_161BV_44.0;043__;0,075;6,987;2019-12-12
14417;133_1165BR_19.8;133_a;0;0,129;2019-12-12
2710;667_1005R_402.4;667_b;0;2,441;2019-12-12
11218;545_75BL_22.3;122__;0,746;20,195;2019-12-12
3866;546_1013R_4.5;546_b;0;0,607;2019-12-12
1816;523_5051AL_177.6;523_b;0;1,6;2019-12-12
8333;625_233L_17.4;625_b;0,004;1,217;2019-12-12
1182;589_3207R_4.9;535_a;0,291;1,09;2019-12-12
16906;107_133BR_12.0;107__;0;10,272;2019-12-12
1103;027_955BV_149.2;589_a;0,527;1,39;2019-12-12
11526;121_501R_9.7;121_c;0,035;2,544;2019-12-12
11668;663_325R_41.1;663_d;0,446;1,845;2019-12-12
9930;152_4067V_15.3;152_b;5,451;13,956;2019-12-12
2442;546_1033L_12.7;546_c;0;1,209;2019-12-12
1162;144_1505R_151.8;589_c;0,834;1,433;2019-12-12
1941;144_1503V_151.7;589_e;0,715;1,993;2019-12-12
11285;470_251V_100.5;950_a;0,393;0,642;2019-12-12
11510;625_315BV_14.3;121_a;0,894;4,616;2019-12-12
3431;133_1131AL_19.6;133_a;0;0,401;2019-12-12
7282;589_3203R_4.9;535_a;0,316;0,636;2019-12-12
2611;121_2359R_233.6;667_a;7,871;10,179;2019-12-12
