ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
258861;--VERVALLEN--;477_21V_100.2;477;a;Rotterdam Europoort 3;100,213;21;V;950;a;Barendrecht Vork - Rotterdam Maasvlakte;26,976;901;R;;0,544;2015-01-09;ProRail;0,543695
258862;--VERVALLEN--;950_119R_7.0;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,011;119;RE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,096;121;RE;;0,055;2015-01-09;ProRail;0,054799
258863;--VERVALLEN--;950_223L_7.6;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,632;223;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,569;665;V;;0,056;2015-01-09;ProRail;0,055618
258864;--VERVALLEN--;924_351AR_36.2;924;a;Kijfhoek;36,185;351A;RE;924;a;Kijfhoek;36,263;353B;RE;;0,045;2015-01-09;ProRail;0,045472
258865;--VERVALLEN--;924_349ApV_36.2;924;a;Kijfhoek;36,186;349A;L+R;924;a;Kijfhoek;36,218;349B;L+R;p;0,031;2015-01-09;ProRail;0,031264
258866;--VERVALLEN--;924_349AL_36.2;924;a;Kijfhoek;36,186;349A;LE;924;a;Kijfhoek;36,262;355B;LE;;0,046;2015-01-09;ProRail;0,045989
258867;--VERVALLEN--;924_3549BqV_35.6;924;a;Kijfhoek;35,579;3549B;L+R;924;a;Kijfhoek;35,547;3557;L+R;q;0,031;2015-01-09;ProRail;0,031437
258868;--VERVALLEN--;924_3549AL_35.5;924;a;Kijfhoek;35,482;3549A;LE;924;a;Kijfhoek;35,579;3549B;LE;;0,066;2015-01-09;ProRail;0,066212
258869;--VERVALLEN--;950_203V_7.7;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,735;203;V;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,781;205;R;;0,045;2015-01-09;ProRail;0,045277
258870;--VERVALLEN--;924_347AR_36.0;924;a;Kijfhoek;36,015;347A;RE;924;a;Kijfhoek;36,217;351B;LE;;0,17;2015-01-09;ProRail;0,169765
258871;--VERVALLEN--;107_133AL_12.0;107;;Moordrecht Aansl. - Den Haag Binckhorst;11,983;133A;L;107;;Moordrecht Aansl. - Den Haag Binckhorst;12,043;133B;L;;0,06;2015-01-09;ProRail;0,059677
258872;--VERVALLEN--;102_1231L_1.4;102;;Woerden - Alphen a/d Rijn;1,357;1231;L;102;;Woerden - Alphen a/d Rijn;1,166;1233;L;;0,191;2015-01-09;ProRail;0,191388
258873;--VERVALLEN--;143_903R_17.5;143;;Leidschenveen - Leidschendam Lijnwerkplaats;17,533;903;R;143;;Leidschenveen - Leidschendam Lijnwerkplaats;17,595;904;R;;0,062;2015-01-09;ProRail;0,062018
258874;--VERVALLEN--;619_1261AR_34.7;619;;Heerhugowaard;34,723;1261A;R;619;;Heerhugowaard;34,842;1261B;R;;0,119;2015-01-09;ProRail;0,118619
258875;--VERVALLEN--;619_1259BV_34.7;619;;Heerhugowaard;34,722;1259B;V;619;;Heerhugowaard;34,723;1261A;V;;0,001;2015-01-09;ProRail;0,001
261688;--VERVALLEN--;536_243AL_60.6;536;;Den Haag HS;60,644;243A;LE;536;;Den Haag HS;60,712;243B;LE;;0,037;2015-01-09;ProRail;0,036937
261689;--VERVALLEN--;478_1165L_0.8;478;a;Rotterdam Europoort 4;0,766;1165;LE;478;a;Rotterdam Europoort 4;0,686;SJ_1165L;V;;0,064;2015-01-09;ProRail;0,063528
261690;--VERVALLEN--;478_1157V_0.8;478;a;Rotterdam Europoort 4;0,819;1157;V;478;a;Rotterdam Europoort 4;0,778;1159;R;;0,041;2015-01-09;ProRail;0,040734
261691;--VERVALLEN--;503_171AR_42.3;503;c;Deventer;42,321;171A;RE;503;c;Deventer;42,195;929B;RE;;0,088;2015-01-09;ProRail;0,087844
261692;--VERVALLEN--;503_177qV_42.2;503;c;Deventer;42,192;177;L+R;503;c;Deventer;42,225;181A;L+R;q;0,033;2015-01-09;ProRail;0,03276
261693;--VERVALLEN--;139_5009AL_177.4;139;;Zaandam - Amsterdam Sloterdijk;177,366;5009A;L;523;b;Amsterdam Sloterdijk;177,51;5009B;L;;0,145;2015-01-09;ProRail;0,145444
261694;--VERVALLEN--;486_915ApV_76.0;486;b;Amsterdam Westhaven (gebied);76,008;915A;L+R;486;b;Amsterdam Westhaven (gebied);75,974;915B;L+R;p;0,034;2015-01-09;ProRail;0,033618
261695;--VERVALLEN--;486_915AqV_76.0;486;b;Amsterdam Westhaven (gebied);76,008;915A;L+R;486;b;Amsterdam Westhaven (gebied);75,974;915B;L+R;q;0,034;2015-01-09;ProRail;0,033618
261696;--VERVALLEN--;486_914BR_75.9;486;b;Amsterdam Westhaven (gebied);75,929;914B;RE;486;b;Amsterdam Westhaven (gebied);76,008;915A;RE;;0,046;2015-01-09;ProRail;0,045549
261697;--VERVALLEN--;486_914AqV_76.0;486;b;Amsterdam Westhaven (gebied);75,963;914A;L+R;486;b;Amsterdam Westhaven (gebied);75,929;914B;L+R;q;0,034;2015-01-09;ProRail;0,033619
261698;--VERVALLEN--;486_914ApV_76.0;486;b;Amsterdam Westhaven (gebied);75,963;914A;L+R;486;b;Amsterdam Westhaven (gebied);75,929;914B;L+R;p;0,034;2015-01-09;ProRail;0,033619
261699;--VERVALLEN--;486_911R_75.9;486;b;Amsterdam Westhaven (gebied);75,892;911;R;486;b;Amsterdam Westhaven (gebied);75,963;914A;RE;;0,053;2015-01-09;ProRail;0,053287
261700;--VERVALLEN--;155_4471L_88.2;155;b;Meteren Aansl. - Ressen = Bemmel;88,155;4471;L;512;b;Ressen = Bemmel;88,555;4473;R;;0,4;2015-01-09;ProRail;0,399674
261701;--VERVALLEN--;155_4471V_88.2;155;b;Meteren Aansl. - Ressen = Bemmel;88,155;4471;V;938;;CUP Valburg;3,652;4635;V;;0,127;2015-01-09;ProRail;0,126774
261702;--VERVALLEN--;155_4451V_88.0;155;b;Meteren Aansl. - Ressen = Bemmel;88,04;4451;V;155;b;Meteren Aansl. - Ressen = Bemmel;88,115;4453;L;;0,075;2015-01-09;ProRail;0,075026
261703;--VERVALLEN--;155_4453R_88.1;155;b;Meteren Aansl. - Ressen = Bemmel;88,115;4453;R;938;;CUP Valburg;3,583;4631;RE;;0,14;2015-01-09;ProRail;0,140302
258876;--VERVALLEN--;109_233BV_32.2;109;;Rhenen - De Haar Aansl.;32,24;233B;V;109;;Rhenen - De Haar Aansl.;31,046;241B;R;;1,191;2015-01-09;ProRail;1,190791
258877;--VERVALLEN--;469_204R_201.1;469;b;Pernis;201,12;204;R;469;b;Pernis;201,657;233;V;;0,519;2015-01-09;ProRail;0,519187
258878;--VERVALLEN--;663_323L_40.4;663;a;Rotterdam Barendrecht;40,381;323;L;663;a;Rotterdam Barendrecht;41,147;325;L;;0,77;2015-01-09;ProRail;0,770455
258879;--VERVALLEN--;663_317BV_40.2;663;a;Rotterdam Barendrecht;40,224;317B;V;663;a;Rotterdam Barendrecht;40,381;323;V;;0,156;2015-01-09;ProRail;0,156036
258880;--VERVALLEN--;663_311AL_40.0;663;a;Rotterdam Barendrecht;39,969;311A;L;663;a;Rotterdam Barendrecht;40,075;311B;L;;0,106;2015-01-09;ProRail;0,106062
258881;--VERVALLEN--;513_61AL_25.3;513;a;Geldermalsen;25,31;61A;L;513;a;Geldermalsen;25,342;63;V;;0,032;2015-01-09;ProRail;0,032201
258882;--VERVALLEN--;513_53AR_25.0;513;a;Geldermalsen;25,042;53A;R;513;a;Geldermalsen;25,102;53B;R;;0,06;2015-01-09;ProRail;0,060495
258883;--VERVALLEN--;132_459R_48.7;132;;Moordrecht Aansl. - Rotterdam Kleiweg;48,724;459;R;132;;Moordrecht Aansl. - Rotterdam Kleiweg;47,934;473;LE;;0,773;2015-01-09;ProRail;0,772736
258884;--VERVALLEN--;132_457R_48.8;132;;Moordrecht Aansl. - Rotterdam Kleiweg;48,764;457;RE;132;;Moordrecht Aansl. - Rotterdam Kleiweg;48,724;459;V;;0,025;2015-01-09;ProRail;0,024725
