ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;124_195L_4.5;Onbekend;0,039;13,792;12-12-2019
2;124_197V_4.6;Onbekend;0;13,657;12-12-2019
3;544_1135BV_1.4;Onbekend;0,001;0,837;12-12-2019
4;544_1135AR_1.3;Onbekend;0,061;0,906;12-12-2019
5;123_1AV_10.6;Onbekend;7,968;9,145;12-12-2019
6;055_413AL_29.6;Schrey & Veit, VICON-AMSA 5RQ;0,03;7,775;12-12-2019
7;122_65V_2.8;Schrey & Veit, VICON-AMSA 5RQ;0;0,692;12-12-2019
8;545_75BL_22.3;Onbekend;0,746;2,446;12-12-2019
9;123_1BR_10.6;Onbekend;0,034;8,035;12-12-2019
10;123_1AV_10.6;Onbekend;0,002;7,968;12-12-2019
11;057_43R_11.2;Onbekend;9,226;9,431;12-12-2019
12;057_41V_11.2;Onbekend;9,162;9,335;12-12-2019
13;519_97BV_47.4;Onbekend;0,37;5,753;12-12-2019
14;519_95BV_47.3;Onbekend;0,438;5,845;12-12-2019
15;087_119AL_16.6;Onbekend;3,15;7,508;12-12-2019
16;089_261BV_45.7;Onbekend;0,002;0,623;12-12-2019
17;089_261AL_45.6;Onbekend;0,048;0,673;12-12-2019
18;506_259AR_45.5;Onbekend;0,043;0,565;12-12-2019
19;089_259BV_45.6;Onbekend;0,003;0,599;12-12-2019
20;089_271R_46.0;Onbekend;0,1;0,48;12-12-2019
21;089_273AL_46.2;Onbekend;0,1;0,446;12-12-2019
22;089_293BV_46.6;Onbekend;0;0,039;12-12-2019
23;612_7BL_60.6;Onbekend;13,977;14,089;12-12-2019
24;101_1067BV_12.3;Onbekend;0;2,517;12-12-2019
25;532_1067AR_11.9;Onbekend;0,158;2,858;12-12-2019
26;532_1061BV_12.0;Onbekend;0,088;2,788;12-12-2019
27;128_33V_12.8;Onbekend;0;0,452;12-12-2019
28;128_35BV_12.8;Onbekend;0,003;0,346;12-12-2019
29;128_35AL_12.7;Onbekend;0,06;0,579;12-12-2019
30;128_25AR_12.6;Onbekend;0,06;0,656;12-12-2019
31;128_25BV_12.8;Onbekend;0,003;0,397;12-12-2019
32;128_27L_12.7;Onbekend;0,047;0,565;12-12-2019
33;528_5L_28.0;Onbekend;0,048;0,654;12-12-2019
34;528_7R_28.1;Onbekend;0,042;0,525;12-12-2019
35;528_7L_28.1;Onbekend;0,038;0,452;12-12-2019
36;620_97AR_42.6;Onbekend;0,115;14,561;12-12-2019
37;546_1063BR_3.6;Onbekend;0,047;2,739;12-12-2019
38;093_1005L_6.2;Onbekend;1,572;2,535;12-12-2019
39;094_1091AV_2.5;Onbekend;0;1,644;12-12-2019
40;094_1065R_3.5;Clipped Tuned, type Corus 54E1;0,1;0,874;12-12-2019
41;093_1007R_5.8;Onbekend;1,184;2,181;12-12-2019
42;094_1091BL_2.7;Onbekend;0,047;1,808;12-12-2019
43;094_1069AV_3.3;Clipped Tuned, type Corus 54E1;0;0,408;12-12-2019
44;094_1067BR_3.5;Clipped Tuned, type Corus 54E1;0,048;0,176;12-12-2019
45;094_1065L_3.5;Clipped Tuned, type Corus 54E1;0,1;0,621;12-12-2019
46;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0;0,284;12-12-2019
47;021_37AL_67.0;Onbekend;0,048;1,368;12-12-2019
48;021_39L_67.2;Onbekend;0,048;1,142;12-12-2019
49;017_11AL_49.5;Onbekend;0,029;12;12-12-2019
50;017_11BV_49.5;Onbekend;0;11,882;12-12-2019
51;017_29AL_61.5;Onbekend;0,028;0,648;12-12-2019
52;017_29BV_61.5;Onbekend;0;0,557;12-12-2019
53;610_151AR_14.0;Onbekend;0,061;13,705;12-12-2019
54;610_151BV_13.9;Onbekend;0,002;13,649;12-12-2019
55;609_7L_29.7;Onbekend;0,231;10,931;12-12-2019
56;609_5L_29.7;Onbekend;0,231;10,931;12-12-2019
57;119_121AV_21.3;Onbekend;0;6,754;12-12-2019
58;119_121BR_21.3;Onbekend;0,03;6,814;12-12-2019
59;132_295AL_40.4;Onbekend;0,265;7,491;12-12-2019
60;132_295BV_40.4;Onbekend;0,205;6,696;12-12-2019
61;542_1267AR_29.9;Onbekend;0,017;0,673;12-12-2019
62;542_1271AL_29.9;Onbekend;0,017;0,673;12-12-2019
63;542_1271BV_30.0;Onbekend;0;0,621;12-12-2019
64;542_1277AR_30.0;Onbekend;0,026;0,5;12-12-2019
65;561_97BV_59.6;Onbekend;0,003;1,92;12-12-2019
66;563_187AL_57.4;Onbekend;0,436;2,388;12-12-2019
67;561_89BV_59.6;Onbekend;0,003;1,864;12-12-2019
68;563_189R_57.4;Onbekend;0,444;2,444;12-12-2019
69;664_873BV_41.9;Onbekend;0;0,764;12-12-2019
70;123_61AL_19.8;Glued Tuned, type Corus 54E1;1,652;1,813;12-12-2019
71;123_63AL_19.9;Onbekend;0,036;1,577;12-12-2019
72;551_143AL_22.7;Onbekend;0,032;1,316;12-12-2019
73;551_145BV_22.9;Glued Tuned, type Corus 54E1;0,002;0,718;12-12-2019
74;551_145AL_22.8;Glued Tuned, type Corus 54E1;0,03;0,828;12-12-2019
75;515_307BV_51.2;Onbekend;4,032;8,222;12-12-2019
76;515_307AR_51.1;Onbekend;0,32;4,13;12-12-2019
77;057_41V_11.2;Onbekend;0;9,162;12-12-2019
78;518_197V_64.8;Onbekend;0,3;15,976;12-12-2019
79;518_195V_64.9;Onbekend;0,246;15,886;12-12-2019
80;046_255AR_41.4;Onbekend;0,211;5,256;12-12-2019
81;054_1273AR_43.1;Onbekend;0,099;9,99;12-12-2019
82;054_1275AR_43.6;Onbekend;0,053;9,355;12-12-2019
83;054_1275BV_43.7;Onbekend;0;3,262;12-12-2019
84;617_1255V_42.6;Onbekend;0,038;4,321;12-12-2019
85;054_1001AV_57.2;Onbekend;0,001;2,893;12-12-2019
86;054_1001BR_57.4;Onbekend;0,054;2,825;12-12-2019
87;054_1005AV_57.3;Onbekend;0,001;2,655;12-12-2019
88;054_1003AV_57.3;Onbekend;0,001;2,553;12-12-2019
89;544_1075R_0.2;Onbekend;0,058;0,636;12-12-2019
90;509_1107R_35.1;Onbekend;0,036;1,337;12-12-2019
91;509_1103R_35.1;Onbekend;0,029;1,433;12-12-2019
92;608_67L_88.9;Onbekend;0,228;13,118;12-12-2019
93;608_65AL_88.8;Onbekend;0,313;13,213;12-12-2019
94;127_323V_13.1;Schrey & Veit, VICON-AMSA 5RQ;0;0,112;12-12-2019
95;127_325AL_13.2;Schrey & Veit, VICON-AMSA 5RQ;0,029;0,125;12-12-2019
96;127_351AL_27.9;Schrey & Veit, VICON-AMSA 5RQ;0,029;9,561;12-12-2019
97;127_329AR_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,033;14,515;12-12-2019
98;127_327V_13.3;Schrey & Veit, VICON-AMSA 5RQ;0;0,009;12-12-2019
99;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;0;9,532;12-12-2019
100;127_329BV_13.3;Schrey & Veit, VICON-AMSA 5RQ;0;14,487;12-12-2019
101;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;0,825;8,383;12-12-2019
102;127_295AR_8.2;Onbekend;0,048;4;12-12-2019
103;127_303V_11.2;Onbekend;0;1,046;12-12-2019
104;127_309BV_12.3;Schrey & Veit, VICON-AMSA 5RQ;0;0,013;12-12-2019
105;127_311R_12.3;Schrey & Veit, VICON-AMSA 5RQ;0,031;0,773;12-12-2019
106;127_349AR_27.8;Onbekend;0,028;0,114;12-12-2019
107;127_359AL_37.4;Onbekend;0,027;1,054;12-12-2019
108;127_361L_37.5;Schrey & Veit, VICON-AMSA 5RQ;0,03;0,871;12-12-2019
109;127_435AR_54.0;Schrey & Veit, VICON-AMSA 5RQ;0,027;7,643;12-12-2019
110;127_435BV_54.0;Schrey & Veit, VICON-AMSA 5RQ;0;7,628;12-12-2019
111;127_375AR_38.5;Clipped Tuned, type Corus 54E1;0,027;10,048;12-12-2019
112;123_61AL_19.8;Onbekend;0,029;1,651;12-12-2019
113;544_1075L_0.2;Onbekend;0,058;0,636;12-12-2019
114;544_1071BV_0.2;Onbekend;0;0,776;12-12-2019
115;544_1079BV_0.3;Onbekend;0,002;0,691;12-12-2019
116;544_1077BV_0.3;Glued Tuned, type Corus 54E1;0,002;0,603;12-12-2019
117;117_1843L_6.3;Onbekend;0,048;3,493;12-12-2019
118;046_227AL_36.0;Onbekend;0,029;5,278;12-12-2019
119;046_227BV_36.1;Onbekend;0;5,283;12-12-2019
120;047_3AV_40.9;Onbekend;0;16,764;12-12-2019
121;047_3BL_41.0;Onbekend;0,03;16,769;12-12-2019
122;545_75BL_22.3;Onbekend;2,446;20,078;12-12-2019
123;122_65L_2.8;Onbekend;1,009;18,5;12-12-2019
124;094_1079BL_2.8;Onbekend;0,047;1,923;12-12-2019
125;094_1069BL_3.4;Clipped Tuned, type Corus 54E1;0,047;0,518;12-12-2019
126;094_1067AV_3.4;Clipped Tuned, type Corus 54E1;0;0,019;12-12-2019
127;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,284;0,462;12-12-2019
128;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,001;0,284;12-12-2019
129;531_2327R_33.9;Onbekend;0,991;4,322;12-12-2019
130;531_2321V_33.6;Onbekend;0,714;4,514;12-12-2019
131;532_1061BV_12.0;Onbekend;2,789;3,209;12-12-2019
132;101_1063V_12.3;Onbekend;2,516;2,81;12-12-2019
133;101_1067BV_12.3;Onbekend;2,517;2,866;12-12-2019
134;532_1067AR_11.9;Onbekend;2,859;3,407;12-12-2019
135;533_1131AL_15.9;Onbekend;0,034;0,219;12-12-2019
136;533_1159BV_16.1;Onbekend;0;1,474;12-12-2019
137;533_1139AR_15.9;Onbekend;0,032;0,117;12-12-2019
138;533_1151BV_16.1;Onbekend;0;1,495;12-12-2019
139;533_1117AR_15.3;Onbekend;0,048;2,082;12-12-2019
140;533_1117BV_15.5;Onbekend;0;0,477;12-12-2019
141;533_1159AR_16.0;Onbekend;0,034;1,415;12-12-2019
142;533_1113AL_15.3;Onbekend;0,048;2,082;12-12-2019
143;533_1113BV_15.5;Onbekend;0;0,495;12-12-2019
144;533_1151AL_16.0;Onbekend;0,033;1,402;12-12-2019
145;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0,339;10,669;12-12-2019
146;105_91BR_23.1;Onbekend;0,028;4,681;12-12-2019
147;105_91AV_23.1;Onbekend;0;4,673;12-12-2019
148;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,438;10,739;12-12-2019
149;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;0,027;11,481;12-12-2019
150;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;0;11,423;12-12-2019
151;017_353AL_32.0;Onbekend;0,049;7,503;12-12-2019
152;017_353BV_32.1;Onbekend;0;7,345;12-12-2019
153;017_61BV_71.0;Onbekend;0;11,833;12-12-2019
154;017_65AR_70.8;Onbekend;0,027;12,041;12-12-2019
155;609_135AL_26.6;Onbekend;1,153;11,609;12-12-2019
156;609_135BV_26.5;Onbekend;1,051;11,509;12-12-2019
157;047_71R_52.2;Onbekend;0,074;4,357;12-12-2019
158;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0;0,337;12-12-2019
159;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,048;0,437;12-12-2019
160;503_189L_40.9;Onbekend;0,369;23,315;12-12-2019
161;503_191L_40.9;Onbekend;0,36;23,338;12-12-2019
162;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,027;0,516;12-12-2019
163;605_1BL_33.4;Onbekend;0,215;6,745;12-12-2019
164;605_3BL_33.5;Onbekend;0,308;6,868;12-12-2019
165;605_3BV_33.5;Onbekend;0;0,459;12-12-2019
166;605_25BV_34.1;Onbekend;0;0,083;12-12-2019
167;620_3AV_41.6;Onbekend;0,295;5,01;12-12-2019
168;620_1AV_41.6;Onbekend;0,295;5,012;12-12-2019
169;620_97BV_42.7;Onbekend;0,034;14,421;12-12-2019
170;084_7BV_9.5;Onbekend;0;0,562;12-12-2019
171;084_7AR_9.4;Onbekend;0,027;0,556;12-12-2019
172;532_1061BR_12.0;Onbekend;1,204;3,972;12-12-2019
173;101_1063L_12.3;Onbekend;1,485;4,317;12-12-2019
174;101_1067BR_12.3;Onbekend;1,485;4,552;12-12-2019
175;532_1037R_11.2;Onbekend;0,448;3,46;12-12-2019
176;117_1AV_15.4;Onbekend;0;5,522;12-12-2019
177;117_1BL_15.5;Onbekend;0,048;5,625;12-12-2019
178;035_145BV_53.0;Onbekend;0;7,558;12-12-2019
179;035_145AR_52.9;Onbekend;0,027;7,672;12-12-2019
180;604_13BV_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,04;0,623;12-12-2019
181;604_13AR_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,102;0,93;12-12-2019
182;605_25BV_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,084;3,084;12-12-2019
183;020_5V_60.3;Onbekend;0;11,331;12-12-2019
184;612_7BL_60.6;Onbekend;0,3;11,641;12-12-2019
185;507_231AV_93.6;Onbekend;0,05;1,098;12-12-2019
186;507_231BL_93.6;Onbekend;0,117;1,137;12-12-2019
187;047_41L_42.5;Onbekend;0,128;1,92;12-12-2019
188;618_273BV_49.5;Onbekend;0,062;10,768;12-12-2019
189;605_25AL_34.1;Onbekend;0,029;0,143;12-12-2019
190;605_25AL_34.1;Onbekend;0,143;3,143;12-12-2019
191;078_207R_64.9;Onbekend;0,026;1,003;12-12-2019
192;078_209L_64.9;Onbekend;0,046;0,731;12-12-2019
193;078_227V_65.7;Schrey & Veit, VICON-AMSA 5RQ;0;0,324;12-12-2019
194;078_231AL_66.0;Onbekend;0,031;3,613;12-12-2019
