ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
5753908;047_3AV_40.9;OL;S;0,164;16,691;2014-05-28;;
5753909;155_4361L_74.2;KG1;S;0,351;0,872;2014-05-28;;
5753910;624_153L_31.7;2a;S;0,199;0,337;2014-05-28;;
5753911;527_177R_17.8;Onbekend;S;0,077;0,080;2014-05-28;;
5753912;105_139BR_31.5;GP;S;0,140;1,322;2014-05-28;;
5753913;470_1107L_301.7;4403;S;0,029;0,326;2014-05-28;;
5753914;804_43BV_0.3;2a;S;0,019;0,163;2014-05-28;;
5754067;555_305BV_83.9;2b;S;0,010;0,199;2014-05-28;;
5754068;128_71AR_13.5;GP;S;0,166;1,858;2014-05-28;;
5754070;555_501V_82.9;24m;S;0,000;0,183;2014-05-28;;
5754071;950_227AR_17.6;RL;S;0,151;0,821;2014-05-28;;
5754073;101_1067BR_12.3;DC;S;0,380;0,979;2014-05-28;;
5754074;545_910L_22.1;96;S;0,029;0,121;2014-05-28;;
5754812;517_77BL_69.5;50;S;0,055;0,190;2014-05-28;;
5754813;128_9AV_12.1;FA;S;0,041;1,631;2014-05-28;;
5754814;523_911L_53.9;572;S;0,918;1,881;2014-05-28;;
5754815;509_14AR_35.1;809;S;0,643;1,295;2014-05-28;;
5754816;543_191BV_45.4;339;S;0,247;0,593;2014-05-28;;
5754817;124_905L_3.4;37;S;0,027;0,514;2014-05-28;;
5754818;028_1011L_52.8;415;S;0,054;0,390;2014-05-28;;
5754819;534_1001BL_44.6;241;S;19,189;19,655;2014-05-28;;
5755012;504_45L_18.1;215;S;0,060;0,060;2014-05-28;;
5755013;516_945R_75.0;33;S;0,029;0,259;2014-05-28;;
5755014;913_66V_69.0;313;S;0,000;0,299;2014-05-28;;
5755015;123_29BV_11.6;AH;S;0,148;7,888;2014-05-28;;
5755016;664_131AL_42.9;68c;S;0,059;0,243;2014-05-28;;
5755017;553_273BV_21.9;104b;S;0,027;0,296;2014-05-28;;
5755018;135_2001L_39.4;2001;S;0,192;0,862;2014-05-28;;
5755042;556_20AL_6.1;119;S;2,014;5,108;2014-05-28;;
5755043;124_901R_100.0;35;S;0,026;0,176;2014-05-28;;
5755044;520_813R_1.0;9l;S;0,026;0,166;2014-05-28;;
5755045;950_654R_7.2;318;S;0,027;0,504;2014-05-28;;
5755046;555_295BR_83.6;19;S;0,052;0,117;2014-05-28;;
5754558;099_1021BR_6.2;711;S;4,212;5,738;2014-05-28;;
5754559;470_1112V_302.7;4407;S;0,000;0,165;2014-05-28;;
5754560;437_967R_0.8;32;S;0,029;0,393;2014-05-28;;
5754561;520_165R_0.9;86;S;1,942;4,000;2014-05-28;;
5754562;517_127R_69.4;24;S;0,028;0,604;2014-05-28;;
5754564;557_90R_27.5;2a;S;0,029;0,542;2014-05-28;;
5754565;664_123AR_42.5;67b;S;0,077;0,407;2014-05-28;;
5753831;047_41L_42.6;230;S;0,056;0,420;2014-05-28;;
5753832;139_323L_175.2;TE;S;0,184;1,786;2014-05-28;;
5753833;009_87L_137.9;432;S;0,070;0,551;2014-05-28;;
5753834;485_98AR_101.2;8112;S;0,016;0,097;2014-05-28;;
5753835;620_35BL_41.9;7a;S;0,040;0,252;2014-05-28;;
5753836;950_351L_17.5;514;S;0,043;0,762;2014-05-28;;
5753837;504_13BR_17.1;KA;S;0,250;15,979;2014-05-28;;
5753838;469_331L_601.5;921;S;0,026;0,398;2014-05-28;;
5753840;163_1049L_44.7;98;S;0,028;0,230;2014-05-28;;
5753841;609_207L_28.7;517;S;0,053;0,360;2014-05-28;;
5753842;534_1031BV_45.2;505a;S;0,009;0,279;2014-05-28;;
5753843;550_972L_25.6;69;S;0,029;0,070;2014-05-28;;
5753854;057_1BL_5.6;EB;S;0,122;3,202;2014-05-28;;
5753855;589_3207R_4.9;593;S;0,172;0,601;2014-05-28;;
5753856;506_59L_43.3;42;S;0,071;0,678;2014-05-28;;
5754075;611_49L_106.5;915;S;0,071;0,094;2014-05-28;;
5754076;143_77R_17.2;706;S;0,060;0,220;2014-05-28;;
5754077;508_907R_90.9;63;S;0,029;0,348;2014-05-28;;
5754078;940_401L_43.4;220;S;0,053;0,224;2014-05-28;;
5754079;083_255L_7.5;3;S;0,061;0,241;2014-05-28;;
5754080;509_9AV_35.1;RC;S;0,433;5,804;2014-05-28;;
5755019;814_952L_100.7;996b;S;0,027;1,116;2014-05-28;;
5755020;534_1089R_46.1;515;S;0,057;0,170;2014-05-28;;
5755021;950_669BR_7.4;350f;S;0,016;0,141;2014-05-28;;
5755022;504_920V_17.4;51a;S;0,000;0,083;2014-05-28;;
5755023;831_914V_201.1;12a;S;0,000;0,132;2014-05-28;;
5755025;664_1007L_43.0;79;S;0,029;0,332;2014-05-28;;
5755026;073_1101BV_0.7;605;S;0,000;0,303;2014-05-28;;
5755027;531_213AR_35.6;GO;S;0,065;0,584;2014-05-28;;
5755028;519_23AL_46.0;304a;S;0,064;0,299;2014-05-28;;
5755029;083_257BV_7.8;1a;S;0,023;0,325;2014-05-28;;
5755030;654_405AR_49.6;333b;S;0,000;;2014-05-28;;
5755241;115_7AV_4.9;BF;S;0,089;3,992;2014-05-28;;
5755242;107_171AR_18.6;180;S;0,105;1,311;2014-05-28;;
5754567;080_3421R_11.2;AP8;S;10,391;10,574;2014-05-28;;
5754568;618_69L_51.4;13;S;0,069;0,424;2014-05-28;;
5754569;124_207V_3.8;202a;S;0,000;0,540;2014-05-28;;
5754570;564_1355L_23.8;22;S;0,054;0,372;2014-05-28;;
5754571;608_27AL_87.7;101;S;0,167;0,748;2014-05-28;;
5754572;212_125R_20.3;841;S;0,032;0,489;2014-05-28;;
5754573;603_141AV_3.3;16;S;0,190;0,376;2014-05-28;;
5754574;531_1633BV_35.7;18c;S;0,016;0,475;2014-05-28;;
5754575;625_293L_16.0;931;S;0,168;0,909;2014-05-28;;
5754594;514_952V_17.4;11b;S;0,000;0,300;2014-05-28;;
5754595;541_101V_15.8;890;S;0,014;0,356;2014-05-28;;
5754596;609_41AR_28.9;503c;S;0,188;0,681;2014-05-28;;
5754597;475_985L_0.9;762;S;0,028;0,400;2014-05-28;;
5754598;468_210R_101.9;3576;S;0,029;0,317;2014-05-28;;
5754599;950_922V_17.4;524;S;0,071;0,280;2014-05-28;;
5754600;085_327BV_32.9;LG;S;0,149;11,595;2014-05-28;;
5754601;009_17L_114.6;411;S;0,060;0,619;2014-05-28;;
5754602;470_201V_305.3;4422;S;0,000;0,009;2014-05-28;;
5754603;097_3605V_22.0;702;S;0,291;0,764;2014-05-28;;
5754604;516_917R_2.1;54;S;0,028;0,172;2014-05-28;;
5754606;120_42R_15.4;202;S;0,149;0,764;2014-05-28;;
5754607;585_1209L_9.6;666;S;0,226;0,324;2014-05-28;;
5753857;777_39R_14.4;BO;S;0,097;13,549;2014-05-28;;
5753858;486_903L_75.4;1002;S;0,028;0,652;2014-05-28;;
5753859;437_983R_0.6;33;S;0,028;0,314;2014-05-28;;
5753860;603_183BV_4.1;WO;S;0,148;18,628;2014-05-28;;
5753861;115_33BV_6.2;BG;S;0,385;4,831;2014-05-28;;
5753862;815_913V_6.7;902b;S;0,000;0,077;2014-05-28;;
5753863;476_91L_201.8;5573;S;0,029;0,459;2014-05-28;;
5753864;805_513R_100.0;44;S;0,029;0,147;2014-05-28;;
5753865;467_05R_102.3;3508;S;0,028;0,393;2014-05-28;;
5754226;666_4243V_48.9;KE2;S;5,819;9,787;2014-05-28;;
5754227;528_5L_28.0;903;S;0,192;0,630;2014-05-28;;
5754228;540_165AR_81.7;AB;S;0,406;1,230;2014-05-28;;
5754229;620_75BV_42.3;33;S;0,022;0,214;2014-05-28;;
5754230;503_87BV_43.9;304a;S;0,013;0,183;2014-05-28;;
5754231;618_63L_51.6;17;S;0,069;0,652;2014-05-28;;
5754232;666_4243V_48.9;KE3;S;0,079;12,589;2014-05-28;;
5754233;940_381L_43.1;214;S;0,053;0,347;2014-05-28;;
5754234;553_245AL_21.4;103a;S;0,064;0,415;2014-05-28;;
5754235;540_165AR_81.7;AC;S;0,038;0,404;2014-05-28;;
5754236;617_1107L_38.8;502;S;0,230;0,627;2014-05-28;;
5755244;802_800V_100.6;5003;S;0,170;0,494;2014-05-28;;
5755245;950_1V_205.9;301a;S;0,014;0,219;2014-05-28;;
5755246;612_7AL_60.5;602;S;0,248;0,608;2014-05-28;;
5755247;203_473AL_75.4;575;S;0,053;0,300;2014-05-28;;
5755248;817_54L_401.5;42;S;0,029;0,687;2014-05-28;;
5755249;506_604L_43.5;32;S;0,029;0,322;2014-05-28;;
5755250;802_800V_100.6;5004;S;0,027;0,104;2014-05-28;;
5755329;777_40V_14.5;OS;S;0,581;13,723;2014-05-28;;
5755330;032_32V_16.5;6;S;0,032;0,162;2014-05-28;;
5755331;163_953AL_43.9;203b;S;0,055;0,270;2014-05-28;;
5755332;620_31L_41.8;6;S;0,061;0,177;2014-05-28;;
5754608;605_25AL_34.1;AW;S;0,239;3,257;2014-05-28;;
5754609;817_903V_600.0;524;S;0,000;0,103;2014-05-28;;
5754611;516_287AR_2.4;HG;S;0,480;7,652;2014-05-28;;
5754612;486_957L_75.0;2168;S;0,026;0,452;2014-05-28;;
5754626;058_1V_55.4;Onbekend;S;0,000;5,357;2014-05-28;;
5754627;545_912L_21.9;104;S;0,028;0,143;2014-05-28;;
5754628;011_299BV_70.0;PG;S;0,078;2,560;2014-05-28;;
5754629;017_11AL_49.5;122;S;11,674;11,963;2014-05-28;;
5754630;545_99R_22.5;31;S;0,061;0,877;2014-05-28;;
5754631;047_9L_41.1;203b;S;0,055;0,654;2014-05-28;;
5754633;132_441BV_51.7;XF;S;1,541;2,346;2014-05-28;;
5754634;950_931L_11.5;471;S;0,029;0,121;2014-05-28;;
