SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
926_11L_1.1;;;;;;;;;;;;;;
614_2161V_48.0;;;;;;;;;;;;;;
133_1155BqV_19.3;;;;;;;;;;;;;;
603_3175V_3.5;;;;;;;;;;;;;;
112_6263R_72.6;;;;;;;;;;;;;;
479_1709L_304.4;;;;;;;;;;;;;;
478_1589L_1.9;;;;;;;;;;;;;;
507_241R_93.9;;;;;;;;;;;;;;
478_1533L_0.9;;;;;;;;;;;;;;
618_113L_51.1;;;;;;;;;;;;;;
614_2235L_48.6;;;;;;;;;;;;;;
478_1545V_1.9;;;;;;;;;;;;;;
486_956R_75.0;;;;;;;;;;;;;;
543_161BL_45.2;;;;;;;;;;;;;;
479_3L_501.4;;;;;;;;;;;;;;
478_1541R_1.7;;;;;;;;;;;;;;
543_187L_45.5;;;;;;;;;;;;;;
950_91L_41.5;;;;;;;;;;;;;;
479_9V_502.4;;;;;;;;;;;;;;
519_85BR_47.1;;;;;;;;;;;;;;
609_1GV_28.6;;;;;;;;;;;;;;
614_2233R_48.5;;;;;;;;;;;;;;
614_2205V_48.4;;;;;;;;;;;;;;
478_1521L_0.9;;;;;;;;;;;;;;
614_2149V_47.9;;;;;;;;;;;;;;
478_1581L_2.0;;;;;;;;;;;;;;
614_2217V_48.3;;;;;;;;;;;;;;
478_1515L_0.8;;;;;;;;;;;;;;
478_1641L_2.3;;;;;;;;;;;;;;
478_1653pV_2.2;;;;;;;;;;;;;;
545_982R_23.0;;;;;;;;;;;;;;
478_1643R_2.2;;;;;;;;;;;;;;
614_2117V_47.4;;;;;;;;;;;;;;
478_1187L_0.8;;;;;;;;;;;;;;
626_39R_32.7;;;;;;;;;;;;;;
117_1835V_5.4;;;;;;;;;;;;;;
