ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
194116;spoortak;076_71AL_12.4;076;;Santpoort Noord - Uitgeest;12,371;71A;L;522;b;Uitgeest;58,108;207B;V;;5,407;2011-11-30;ProRail;5,406576
196487;spoortak;588_389V_2.6;588;;Amsterdam Dijksgracht;2,595;389;V;588;;Amsterdam Dijksgracht;2,907;413B;RE;;0,293;2014-02-04;ProRail;0,292819
196488;spoortak;624_219AR_32.7;624;;Gouda;32,725;219A;R;624;;Gouda;32,802;219B;R;;0,077;2011-11-30;ProRail;0,077351
196489;spoortak;624_213BV_32.7;624;;Gouda;32,715;213B;V;624;;Gouda;32,725;219A;V;;0,009;2011-11-30;ProRail;0,009349
196490;spoortak;555_255BR_83.5;555;b;Rotterdam Centraal;83,465;255B;RE;555;b;Rotterdam Centraal;83,388;263A;LE;;0,045;2011-11-30;ProRail;0,045270
196491;spoortak;525_1303BV_180.5;525;c;Amsterdam Singelgracht Aansl.;180,518;1303B;V;525;c;Amsterdam Singelgracht Aansl.;180,542;1311A;V;;0,023;2011-11-30;ProRail;0,023494
196492;spoortak;950_3L_206.1;950;d;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;206,103;3;L;950;a;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;6,135;5;V;;0,047;2011-11-30;Keyrail;0,047364
196493;spoortak;950_3R_206.1;950;d;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;206,103;3;R;950;a;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;6,128;31;V;;0,041;2011-11-30;Keyrail;0,040510
196494;spoortak;504_904L_17.5;504;b;Heerlen;17,454;904;L;504;b;Heerlen;17,494;905;V;;0,040;2011-11-30;ProRail;0,039653
196495;spoortak;504_901R_17.3;504;b;Heerlen;17,346;901;R;504;b;Heerlen;17,539;907;V;;0,192;2011-11-30;ProRail;0,191606
195856;spoortak;839_912L_100.5;839;a;Tilburg de Loven;100,517;912;L;839;a;Tilburg de Loven;100,545;913;V;;0,028;2011-11-30;ProRail;0,028441
195857;spoortak;523_5051AV_177.6;523;b;Amsterdam Sloterdijk;177,615;5051A;V;523;b;Amsterdam Sloterdijk;177,557;5053A;R;;0,056;2011-11-30;ProRail;0,056358
195858;spoortak;534_1085AL_45.8;534;b;Leiden Centraal;45,842;1085A;L;534;b;Leiden Centraal;45,911;1085B;LE;;0,052;2011-11-30;ProRail;0,052346
195859;spoortak;586_2535AL_80.3;586;;Amsterdam Centraal;80,279;2535A;LE;586;;Amsterdam Centraal;80,346;2535B;L;;0,050;2011-11-30;ProRail;0,049882
195860;spoortak;586_2529AR_80.2;586;;Amsterdam Centraal;80,242;2529A;RE;586;;Amsterdam Centraal;80,311;2529B;R;;0,053;2011-11-30;ProRail;0,052519
195861;spoortak;586_2519AL_80.2;586;;Amsterdam Centraal;80,202;2519A;LE;586;;Amsterdam Centraal;80,311;2529B;L;;0,093;2011-11-30;ProRail;0,092769
195862;spoortak;586_2511AL_80.2;586;;Amsterdam Centraal;80,206;2511A;L;586;;Amsterdam Centraal;80,275;2513B;RE;;0,052;2011-11-30;ProRail;0,052255
195863;spoortak;586_2511AR_80.2;586;;Amsterdam Centraal;80,206;2511A;R;586;;Amsterdam Centraal;80,275;2511B;RE;;0,052;2011-11-30;ProRail;0,052461
195864;spoortak;586_2521R_80.2;586;;Amsterdam Centraal;80,213;2521;R;586;;Amsterdam Centraal;80,313;2523B;RE;;0,083;2011-11-30;ProRail;0,083302
195865;spoortak;099_1021BV_6.2;099;;Breukelen - Harmelen Aansl.;6,155;1021B;V;099;;Breukelen - Harmelen Aansl.;6,173;1025A;V;;0,017;2011-11-30;ProRail;0,017233
195866;spoortak;586_2541AR_80.3;586;;Amsterdam Centraal;80,282;2541A;RE;586;;Amsterdam Centraal;80,356;2541B;RE;;0,041;2011-11-30;ProRail;0,040749
195867;spoortak;586_2523BqV_80.3;586;;Amsterdam Centraal;80,313;2523B;L+R;586;;Amsterdam Centraal;80,279;2535A;L+R;q;0,034;2011-11-30;ProRail;0,033619
195868;spoortak;586_2523BpV_80.3;586;;Amsterdam Centraal;80,313;2523B;L+R;586;;Amsterdam Centraal;80,279;2535A;L+R;p;0,034;2011-11-30;ProRail;0,033621
195869;spoortak;586_2537AL_80.3;586;;Amsterdam Centraal;80,287;2537A;L;586;;Amsterdam Centraal;80,356;2539B;RE;;0,052;2011-11-30;ProRail;0,052255
195870;spoortak;586_2537AR_80.3;586;;Amsterdam Centraal;80,287;2537A;R;586;;Amsterdam Centraal;80,356;2537B;RE;;0,052;2011-11-30;ProRail;0,052462
195871;spoortak;586_2527BpV_80.3;586;;Amsterdam Centraal;80,316;2527B;L+R;586;;Amsterdam Centraal;80,282;2539A;L+R;p;0,034;2011-11-30;ProRail;0,033622
195872;spoortak;586_2537BL_80.4;586;;Amsterdam Centraal;80,356;2537B;LE;586;;Amsterdam Centraal;80,282;2539A;RE;;0,041;2011-11-30;ProRail;0,040501
195873;spoortak;586_2525BqV_80.3;586;;Amsterdam Centraal;80,316;2525B;L+R;586;;Amsterdam Centraal;80,282;2541A;L+R;q;0,034;2011-11-30;ProRail;0,033618
196059;spoortak;611_1BL_105.1;611;b;Zevenaar;105,146;1B;L;038;;Velperbroek Aansl. - Zevenaar;96,018;285B;V;;9,137;2011-11-30;ProRail;9,137375
196060;spoortak;666_4211V_47.3;666;b;Meteren Aansl.;47,305;4211;V;666;b;Meteren Aansl.;47,335;4213;V;;0,030;2011-11-30;Keyrail;0,030009
196061;spoortak;478_1227AqV_1.7;478;a;Rotterdam Europoort 4;1,725;1227A;L+R;478;a;Rotterdam Europoort 4;1,759;1231;L+R;q;0,034;2011-11-30;Keyrail;0,033685
196062;spoortak;478_1239pV_1.7;478;a;Rotterdam Europoort 4;1,725;1239;L+R;478;a;Rotterdam Europoort 4;1,759;1241;L+R;p;0,034;2011-11-30;Keyrail;0,033753
196063;spoortak;478_1161V_0.8;478;a;Rotterdam Europoort 4;0,778;1161;V;478;a;Rotterdam Europoort 4;0,732;1163;LE;;0,029;2011-11-30;Keyrail;0,028683
196064;spoortak;555_293AR_83.3;555;b;Rotterdam Centraal;83,328;293A;R;555;b;Rotterdam Centraal;83,421;293B;RE;;0,074;2011-11-30;ProRail;0,073913
196065;spoortak;555_263ApV_83.4;555;b;Rotterdam Centraal;83,388;263A;L+R;555;b;Rotterdam Centraal;83,421;293B;L+R;p;0,032;2011-11-30;ProRail;0,031568
196066;spoortak;555_207L_83.2;555;b;Rotterdam Centraal;83,244;207;L;555;a;Rotterdam Centraal;54,784;511;R;;0,464;2011-11-30;ProRail;0,464091
196067;spoortak;512_445L_11.4;512;e;Ressen = Bemmel;11,444;445;L;044;;Ressen=Bemmel - Nijmegen;12,334;461A;V;;0,890;2011-11-30;ProRail;0,890391
196267;spoortak;613_904V_75.7;613;b;Ede=Wageningen;75,736;904;V;613;b;Ede=Wageningen;75,403;SJ_904V;V;;0,335;2011-11-30;ProRail;0,334765
196268;spoortak;504_83V_18.7;504;b;Heerlen;18,663;83;V;504;b;Heerlen;18,670;87A;V;;0,007;2011-11-30;ProRail;0,006926
196269;spoortak;586_83AL_80.4;586;;Amsterdam Centraal;80,425;83A;L;586;;Amsterdam Centraal;80,491;83B;LE;;0,051;2011-11-30;ProRail;0,051030
196270;spoortak;937_67AL_69.0;937;;Onnen Rangeerterrein;68,966;67A;LE;937;;Onnen Rangeerterrein;69,041;68B;LE;;0,040;2011-11-30;ProRail;0,039955
196271;spoortak;543_131L_44.6;543;c;Hengelo;44,600;131;L;031;a;Zutphen - Hengelo;44,347;960;L;;0,255;2011-11-30;NS-spooraansluitingen,ProRail;0,254676
196272;spoortak;603_127qV_3.2;603;a;Zwolle;3,165;127;L+R;603;a;Zwolle;3,130;129A;L+R;q;0,034;2011-11-30;ProRail;0,033671
196273;spoortak;115_103AR_22.1;115;a;Schiedam Centrum - Hoek van Holland Strand;22,062;103A;R;115;a;Schiedam Centrum - Hoek van Holland Strand;22,191;107;V;;0,130;2011-11-30;ProRail;0,129533
196274;spoortak;506_551L_43.4;506;b;Amersfoort;43,365;551;L;506;b;Amersfoort;43,659;569B;RE;;0,244;2011-11-30;ProRail;0,243583
196275;spoortak;624_225BV_33.0;624;;Gouda;32,980;225B;V;107;d;Moordrecht Aansl. - Den Haag Binckhorst;1,773;271B;R;;3,827;2011-11-30;ProRail;3,826649
196276;spoortak;503_167BV_42.3;503;c;Deventer;42,348;167B;V;503;c;Deventer;42,285;169;LE;;0,044;2011-11-30;ProRail;0,043632
196496;spoortak;203_345BV_34.6;203;;Mariënberg - Emmen;34,641;345B;V;203;;Mariënberg - Emmen;47,215;363A;V;;12,575;2011-11-30;ProRail;12,575489
196497;spoortak;209_101L_17.9;209;;Dieren - Apeldoorn;17,938;101;L;209;;Dieren - Apeldoorn;18,529;103;R;;0,592;2011-11-30;ProRail;0,591843
196498;spoortak;209_101R_17.9;209;;Dieren - Apeldoorn;17,938;101;R;209;;Dieren - Apeldoorn;18,228;XXX;R;;0,291;2011-11-30;NS-spooraansluitingen,ProRail;0,290944
196499;spoortak;163_981V_44.7;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,731;981;V;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,752;989;V;;0,019;2011-11-30;ProRail;0,019060
196500;spoortak;163_979L_44.6;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,626;979;L;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,731;981;L;;0,102;2011-11-30;ProRail;0,102316
196501;spoortak;603_185R_3.4;603;a;Zwolle;3,409;185;RE;603;a;Zwolle;3,751;904B;RE;;0,310;2011-11-30;ProRail;0,310353
196502;spoortak;603_1011R_3.6;603;a;Zwolle;3,550;1011;R;603;a;Zwolle;3,512;1012;V;;0,039;2011-11-30;ProRail;0,039013
195874;spoortak;586_2525BpV_80.3;586;;Amsterdam Centraal;80,316;2525B;L+R;586;;Amsterdam Centraal;80,282;2541A;L+R;p;0,034;2011-11-30;ProRail;0,033619
195875;spoortak;586_2537BqV_80.4;586;;Amsterdam Centraal;80,356;2537B;L+R;586;;Amsterdam Centraal;80,323;2553A;L+R;q;0,034;2011-11-30;ProRail;0,033620
