ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
6248454;129_37R_30.6;129__;0;,163;2014-06-22
6248455;536_247BV_60.8;536__;0;,066;2014-06-22
6248456;519_27AR_46.1;519_a;0;,058;2014-06-22
6248457;063_103BV_19.4;553_c;1,346512;1,52;2014-06-22
6248458;063_103BV_19.4;063__;0;1,346512;2014-06-22
6248459;063_103AR_19.3;063__;0;,057;2014-06-22
6248460;063_103AL_19.3;553_c;1,402501;1,518;2014-06-22
6248461;063_103AL_19.3;063__;0;1,402501;2014-06-22
6248462;504_57BV_18.3;504_b;0;,099;2014-06-22
6248463;542_1243BqV_29.8;542_a;0;,031;2014-06-22
6247963;924_05-07L_35.3;924_a;0;,967;2014-06-22
6247964;924_01-26V_35.5;924_a;0;,065;2014-06-22
6247965;107_271AL_1.7;107_d;0;,103;2014-06-22
6247966;107_271BV_1.8;107_d;0;,018;2014-06-22
6247967;107_273AR_1.8;107_d;0;,103;2014-06-22
6247968;107_271AR_1.7;107_d;0;,223;2014-06-22
6247969;557_2L_27.4;130_a;,970318;2,611;2014-06-22
6247970;557_2L_27.4;557_b;,871575;,970318;2014-06-22
6247971;557_2L_27.4;557_a;0;,871575;2014-06-22
6247972;509_9BV_35.1;509__;0;,006;2014-06-22
6247973;093_55BV_8.5;093__;0;,659;2014-06-22
6247974;093_73AL_9.1;093__;0;,086;2014-06-22
6247975;509_41AR_36.5;509__;0;,119;2014-06-22
6247976;135_231R_14.8;135__;0;,577;2014-06-22
6248223;015_1083L_100.4;015__;0;,387;2014-06-22
6248224;015_1099V_100.8;015__;0;,139;2014-06-22
6248225;474_958L_101.0;474_a;0;,109;2014-06-22
6248226;486_93L_203.8;486_f;,011817;,104;2014-06-22
6248227;486_93L_203.8;486_c;0;,011817;2014-06-22
6248228;486_86V_205.3;486_c;0;,142;2014-06-22
6248229;094_1065R_3.5;094__;0;,921;2014-06-22
6248230;486_102BR_204.7;486_c;,000961;,022;2014-06-22
6248231;486_102BR_204.7;486_r;,000825;,000961;2014-06-22
6248232;486_102BR_204.7;486_c;0;,000825;2014-06-22
6248233;470_258L_101.0;470_a;0;,12;2014-06-22
6248234;922_914L_18.0;143__;,096053;,174;2014-06-22
6248235;922_914L_18.0;922__;0;,096053;2014-06-22
6248236;032_7R_16.0;032__;0;,364;2014-06-22
6248237;801_904R_8.3;801_a;0;,478;2014-06-22
6248238;801_904V_8.3;801_a;0;,04;2014-06-22
6248239;801_919L_8.3;801_a;0;,05;2014-06-22
6248240;801_905V_8.3;801_a;0;,009;2014-06-22
6248241;560_71BL_24.7;560__;0;,052;2014-06-22
6248242;588_805AR_1.6;588__;0;,037;2014-06-22
6248243;588_806R_1.6;588__;0;,027;2014-06-22
6248244;588_865V_2.3;588__;0;,026;2014-06-22
6248245;144_1347R_155.0;144_a;0;,657;2014-06-22
6248246;476_59R_200.9;476_b;0;,166;2014-06-22
6248247;476_85R_200.5;476_b;0;,345;2014-06-22
6248533;545_157BV_23.1;545_b;0;,203;2014-06-22
6248534;545_157AR_23.0;545_b;0;,052;2014-06-22
6248535;545_213AR_23.6;545_b;0;,084;2014-06-22
6248536;542_1247AL_29.8;542_a;0;,116;2014-06-22
6248537;542_1243BpV_29.8;542_a;0;,031;2014-06-22
6248538;520_59R_0.1;520_a;0;,037;2014-06-22
6248539;519_85AR_47.0;519_a;0;,186;2014-06-22
6248540;519_93AR_47.1;519_a;0;,107;2014-06-22
6248541;519_85AL_47.0;519_a;0;,066;2014-06-22
6248542;519_91AR_47.0;519_a;0;,09;2014-06-22
6248543;519_85BR_47.1;519_a;0;,03;2014-06-22
6248544;519_87AL_46.9;519_a;0;,133;2014-06-22
6248545;519_87BV_47.0;519_a;0;,049;2014-06-22
6248546;534_1095AR_45.9;534_b;0;,133;2014-06-22
6248547;534_1095BV_46.0;534_b;0;,067;2014-06-22
6248531;115_105AL_22.2;115_a;0;,069;2014-06-22
6248532;115_103BV_22.2;115_a;0;,024;2014-06-22
6248548;534_1099AR_46.0;534_b;0;,11;2014-06-22
6248549;828_XXXR_201.0;828_b;0;,161;2014-06-22
6248550;828_969L_101.0;828_b;,011114;1,027;2014-06-22
6248552;828_969L_101.0;828_d;0;,011114;2014-06-22
6248553;090_13BR_19.2;530_b;5,915781;6,82;2014-06-22
6248608;545_101AL_22.4;545_b;0;,068;2014-06-22
6248609;545_105L_22.5;545_b;0;,132;2014-06-22
6248610;545_103L_22.5;545_b;0;,438;2014-06-22
6248611;545_103R_22.5;545_b;0;,386;2014-06-22
6248612;127_475AR_73.6;127_a;0;,607;2014-06-22
6248613;519_73V_46.8;519_a;0;,109;2014-06-22
6248614;127_435AL_54.0;127_a;0;,056;2014-06-22
6248615;127_542L_49.8;127_a;0;,221;2014-06-22
6247977;135_231L_14.8;135__;0;,578;2014-06-22
6247978;603_1001V_3.7;603_a;0;,047;2014-06-22
6247979;603_1002R_3.7;603_a;0;,025;2014-06-22
6247980;603_1007R_3.5;603_a;0;,224;2014-06-22
6247981;603_1003L_3.6;603_a;0;,262;2014-06-22
6247982;552_229AR_82.5;552_b;0;,104;2014-06-22
6247983;602_217AL_77.1;602_b;0;,291;2014-06-22
6244527;913_822V_68.7;913__;0;,041;2014-06-22
6244528;913_807L_68.3;913__;0;,438;2014-06-22
6244529;557_1AV_27.4;557_a;0;,024;2014-06-22
