ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
2114756;054_1367AL_53.6;054_a;0;,388;2013-11-24
2114757;054_1369BR_54.1;054_a;0;,067;2013-11-24
2114758;054_1369BV_54.1;054_a;0;,166;2013-11-24
2114759;009_101V_138.5;009__;0;,006;2013-11-24
2114760;513_135AL_26.2;513_a;0;,053;2013-11-24
2114761;513_133BpV_26.2;513_a;0;,034;2013-11-24
2114762;513_131BV_26.1;513_a;0;,024;2013-11-24
2114763;513_131AR_26.0;513_a;0;,07;2013-11-24
2114764;513_131AL_26.0;513_a;0;,182;2013-11-24
2114765;513_129L_26.0;513_a;0;,195;2013-11-24
2114766;805_7123V_104.4;805_a;0;,06;2013-11-24
2114767;805_7121V_103.8;805_a;0;,599;2013-11-24
2114768;531_193AL_35.4;531_c;0;,116;2013-11-24
2114769;531_193AR_35.4;531_c;0;,034;2013-11-24
2114770;531_191qV_35.4;531_c;0;,034;2013-11-24
2114771;531_187V_35.4;531_c;0;,053;2013-11-24
2114772;531_183AL_35.3;531_c;0;,073;2013-11-24
2114773;531_185AL_35.4;531_c;0;,046;2013-11-24
2114774;531_175BV_35.4;531_c;0;,02;2013-11-24
2114775;531_175AL_35.3;531_c;0;,068;2013-11-24
2114776;531_173BpV_35.4;531_c;0;,034;2013-11-24
2114777;531_175AR_35.3;531_c;0;,048;2013-11-24
2114778;618_183BR_50.8;618_b;0;,693;2013-11-24
2114779;531_1277AL_34.6;531_c;0;,102;2013-11-24
2114780;531_1209BpV_34.7;531_c;0;,034;2013-11-24
2114781;531_1277AR_34.6;531_c;0;,045;2013-11-24
2114782;653_21V_102.5;653__;0;,124;2013-11-24
2114783;653_21L_102.5;653__;0;,034;2013-11-24
2114784;542_1261BpV_29.9;542_a;0;,034;2013-11-24
2114785;542_1277AR_30.0;542_a;0;,571;2013-11-24
2114786;542_1267BqV_30.0;542_a;0;,034;2013-11-24
2114787;545_197R_23.4;545_b;0;,745;2013-11-24
2114788;614_95BV_47.5;614_c;0;,106;2013-11-24
2114789;545_91AR_22.3;545_b;0;,328;2013-11-24
2114790;545_975L_23.5;545_b;0;,491;2013-11-24
2114791;924_19-22R_35.3;924_a;0;,027;2013-11-24
2114792;924_19-20V_35.3;924_a;0;,031;2013-11-24
2114793;924_12-18R_35.4;924_a;0;,028;2013-11-24
2114794;924_12-14V_35.3;924_a;0;,033;2013-11-24
2114795;924_3533qV_35.3;924_a;0;,034;2013-11-24
2114796;531_1335BqV_34.7;531_c;0;,034;2013-11-24
2114797;531_1311BL_34.7;531_c;0;,045;2013-11-24
2114798;531_1339AL_34.6;531_c;0;,045;2013-11-24
2114799;531_1337qV_34.7;531_c;0;,034;2013-11-24
2114800;531_1337pV_34.7;531_c;0;,034;2013-11-24
2114801;531_1343BpV_34.7;531_c;0;,034;2013-11-24
2114802;531_1363AL_34.6;531_c;0;,057;2013-11-24
2114803;531_1357BpV_34.6;531_c;0;,034;2013-11-24
2114804;531_1357BqV_34.6;531_c;0;,034;2013-11-24
2114805;545_912L_21.9;545_b;0;,143;2013-11-24
2114806;618_257AL_49.9;618_a;,039868;,067;2013-11-24
2114807;618_257AL_49.9;618_b;0;,039868;2013-11-24
2114808;618_257BV_1.7;618_a;0;,006;2013-11-24
2114809;618_259R_1.7;618_a;0;,032;2013-11-24
2114810;618_257AR_49.9;618_a;,039637;,166;2013-11-24
2114811;618_257AR_49.9;618_b;0;,039637;2013-11-24
2114812;123_3BV_10.7;123__;0;,837;2013-11-24
2114813;017_431V_40.7;017__;0;,089;2013-11-24
2114814;017_11BV_49.5;017__;0;11,89;2013-11-24
2114815;017_27L_61.4;017__;0;,119;2013-11-24
2114816;618_107BpV_51.1;618_b;0;,034;2013-11-24
2114817;618_113pV_51.1;618_b;0;,033;2013-11-24
2114818;618_101BV_51.1;618_b;0;,018;2013-11-24
2114819;551_109AL_21.8;551_b;0;,052;2013-11-24
2114820;551_111R_21.8;551_b;0;,119;2013-11-24
2114821;551_115AL_21.8;551_b;0;,102;2013-11-24
