ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
133209;spoortak;937_11L_67.9;937;;Onnen Rangeerterrein;67,870;11;L;937;;Onnen Rangeerterrein;67,904;12;V;;0,034;2011-11-30;ProRail;0,033599
133210;spoortak;937_11R_67.9;937;;Onnen Rangeerterrein;67,870;11;R;937;;Onnen Rangeerterrein;67,906;13;V;;0,036;2011-11-30;ProRail;0,035621
133211;spoortak;937_8R_67.8;937;;Onnen Rangeerterrein;67,847;8;R;937;;Onnen Rangeerterrein;67,888;10;V;;0,041;2011-11-30;ProRail;0,041496
133212;spoortak;937_10R_67.9;937;;Onnen Rangeerterrein;67,888;10;R;937;;Onnen Rangeerterrein;68,654;35;L;;0,770;2011-11-30;ProRail;0,769554
133213;spoortak;620_903L_41.9;620;;Alkmaar;41,881;903;L;620;;Alkmaar;41,610;SJ_903L;V;;0,270;2011-11-30;ProRail;0,270127
133421;spoortak;506_656AL_44.3;506;b;Amersfoort;44,347;656A;LE;506;b;Amersfoort;44,378;657;V;;0,018;2011-11-30;ProRail;0,017636
133422;spoortak;506_657L_44.4;506;b;Amersfoort;44,378;657;L;506;b;Amersfoort;44,406;658;V;;0,029;2011-11-30;ProRail;0,028704
133423;spoortak;506_656ApV_44.3;506;b;Amersfoort;44,347;656A;L+R;506;b;Amersfoort;44,372;656B;L+R;p;0,024;2011-11-30;ProRail;0,024497
133424;spoortak;506_157BV_44.3;506;b;Amersfoort;44,310;157B;V;506;b;Amersfoort;44,372;656B;LE;;0,050;2011-11-30;ProRail;0,050064
133425;spoortak;506_611V_43.8;506;b;Amersfoort;43,837;611;V;506;b;Amersfoort;43,860;612;L;;0,037;2011-11-30;ProRail;0,036657
133426;spoortak;506_610V_43.8;506;b;Amersfoort;43,817;610;V;506;b;Amersfoort;43,837;611;L;;0,038;2011-11-30;ProRail;0,038265
133427;spoortak;506_615V_43.9;506;b;Amersfoort;43,894;615;V;506;b;Amersfoort;43,933;616;R;;0,045;2011-11-30;ProRail;0,044814
133428;spoortak;506_77BV_43.9;506;b;Amersfoort;43,873;77B;V;506;b;Amersfoort;43,894;615;R;;0,041;2011-11-30;ProRail;0,041419
133429;spoortak;506_609L_43.5;506;b;Amersfoort;43,533;609;L;506;b;Amersfoort;43,894;615;L;;0,408;2011-11-30;ProRail;0,407514
133430;spoortak;163_1031AR_44.0;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,962;1031A;RE;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,029;1033;R;;0,053;2011-11-30;Keyrail;0,052888
133431;spoortak;163_1031AqV_44.0;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,962;1031A;L+R;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,993;1031B;L+R;q;0,031;2011-11-30;Keyrail;0,031462
133432;spoortak;163_1029AR_43.9;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,918;1029A;RE;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,993;1031B;RE;;0,045;2011-11-30;Keyrail;0,044771
133433;spoortak;163_1019L_43.5;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,543;1019;L;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,029;1033;L;;0,488;2011-11-30;Keyrail;0,487549
133434;spoortak;163_957AL_44.2;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,189;957A;L;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,313;957B;L;;0,122;2011-11-30;ProRail;0,122119
133435;spoortak;163_955BL_44.3;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,313;955B;L;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,189;957A;R;;0,122;2011-11-30;ProRail;0,121917
133436;spoortak;163_953AL_43.9;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,912;953A;L;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,189;957A;V;;0,277;2011-11-30;ProRail;0,277041
133437;spoortak;163_955BV_44.3;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,313;955B;V;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,364;967;R;;0,052;2011-11-30;ProRail;0,052250
