ID;SPOORTAK_IDENTIFICATIE;CG_TYPE;CG_NAAM;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
2249878;924_3785AL_37.0;BAAN;Dordrecht;0,000;0,066;2013-11-28
2249879;924_3785AL_37.0;BASIS;Europoort;0,000;0,066;2013-11-28
2249880;924_3785AL_37.0;BVL;Europoort;0,000;0,066;2013-11-28
2249886;115_77AL_12.3;BAAN;Rotterdam;0,000;0,074;2013-11-28
2249887;115_77AL_12.3;BVL;Rotterdam;0,000;0,074;2013-11-28
2249891;115_77AR_12.3;BASIS;Rotterdam;0,000;0,167;2013-11-28
2249893;115_77AR_12.3;BAAN;Rotterdam;0,000;0,167;2013-11-28
2249894;115_77AR_12.3;BVL;Rotterdam;0,000;0,167;2013-11-28
2249898;116_1351BV_32.1;BASIS;Dordrecht;0,000;0,583;2013-11-28
2249900;116_1351BV_32.1;BAAN;Dordrecht;0,000;0,583;2013-11-28
2249901;116_1351BV_32.1;BVL;Dordrecht;0,000;0,583;2013-11-28
2249905;663_325R_41.1;BASIS;Europoort;0,315;1,866;2013-11-28
2249906;653_5R_101.9;BVL;Drenthe;0,000;0,072;2013-11-28
2249908;653_5R_101.9;BASIS;Drenthe;0,000;0,072;2013-11-28
2249911;950_473R_8.0;BASIS;Europoort;0,000;4,864;2013-11-28
2249912;950_473R_8.0;BAAN;Europoort;0,000;4,864;2013-11-28
2249914;950_473R_8.0;BVL;Europoort;0,000;4,864;2013-11-28
2249918;530_96V_11.6;BASIS;Amersfoort;0,000;0,665;2013-11-28
2249919;530_96V_11.6;BAAN;Amersfoort;0,000;0,665;2013-11-28
2249920;530_96V_11.6;BVL;Amersfoort;0,000;0,665;2013-11-28
2249925;132_501R_48.5;BASIS;Rotterdam;0,000;0,243;2013-11-28
2249927;132_501R_48.5;BAAN;Rotterdam;0,000;0,243;2013-11-28
2249928;132_501R_48.5;BVL;Rotterdam;0,000;0,243;2013-11-28
2249930;839_912L_100.5;BASIS;Den Bosch;0,000;0,028;2013-11-28
2249931;839_912L_100.5;BAAN;Den Bosch;0,000;0,028;2013-11-28
2249932;839_912L_100.5;BVL;Den Bosch;0,000;0,028;2013-11-28
2249937;950_223AV_17.2;BASIS;Europoort;0,000;4,126;2013-11-28
2249938;924_3785BV_37.1;BAAN;Dordrecht;0,000;0,091;2013-11-28
2249939;924_3785BV_37.1;BASIS;Europoort;0,000;0,091;2013-11-28
2249940;924_3785BV_37.1;BVL;Europoort;0,000;0,091;2013-11-28
2249944;924_3573V_35.8;BASIS;Dordrecht;0,000;0,009;2013-11-28
2249946;924_3573V_35.8;BAAN;Dordrecht;0,000;0,009;2013-11-28
2249947;924_3573V_35.8;BVL;Dordrecht;0,000;0,009;2013-11-28
2249951;924_3569R_35.4;BASIS;Dordrecht;0,000;0,338;2013-11-28
2249953;924_3569R_35.4;BAAN;Dordrecht;0,000;0,338;2013-11-28
2249954;924_3569R_35.4;BVL;Dordrecht;0,000;0,338;2013-11-28
2249958;927_3071AL_905.4;BASIS;Weesp;0,000;0,064;2013-11-28
2249960;927_3071AL_905.4;BVL;Weesp;0,000;0,064;2013-11-28
2249962;927_3071AL_905.4;BAAN;Weesp;0,000;0,064;2013-11-28
2249965;927_3071BL_905.5;BASIS;Weesp;0,000;0,052;2013-11-28
2249967;927_3071BL_905.5;BVL;Weesp;0,000;0,052;2013-11-28
2249968;663_325R_41.1;BAAN;Europoort;0,315;1,866;2013-11-28
2249970;663_325R_41.1;BVL;Europoort;0,315;1,866;2013-11-28
2249975;132_500L_48.4;BASIS;Rotterdam;0,000;0,063;2013-11-28
2249977;132_500L_48.4;BAAN;Rotterdam;0,000;0,063;2013-11-28
2249978;132_500L_48.4;BVL;Rotterdam;0,000;0,063;2013-11-28
2249982;132_457R_48.8;BASIS;Rotterdam;0,000;0,025;2013-11-28
2251097;510_415L_10.3;BVL;Maas en Waal;0,593;0,593;2013-11-28
2251098;510_415L_10.3;BAAN;Maas en Waal;0,593;0,593;2013-11-28
2251106;510_415L_10.3;BASIS;Maas en Waal;0,593;0,593;2013-11-28
2251108;510_415L_10.3;BVL;Maas en Waal;0,593;0,593;2013-11-28
2251109;510_415L_10.3;BAAN;Maas en Waal;0,593;0,593;2013-11-28
2251115;510_415L_10.3;BASIS;Maas en Waal;0,593;0,593;2013-11-28
2251117;510_415L_10.3;BVL;Maas en Waal;0,593;0,593;2013-11-28
2251118;510_415L_10.3;BAAN;Maas en Waal;0,593;0,593;2013-11-28
2251122;478_1227BqV_1.8;BASIS;Europoort;0,000;0,034;2013-11-28
2251123;478_1227BqV_1.8;BAAN;Europoort;0,000;0,034;2013-11-28
2251125;478_1227BqV_1.8;BVL;Europoort;0,000;0,034;2013-11-28
2251129;486_941AqV_76.1;BASIS;Amsterdam;0,000;0,032;2013-11-28
2251130;486_941AqV_76.1;BAAN;Amsterdam;0,000;0,032;2013-11-28
2251131;486_941AqV_76.1;BVL;Amsterdam;0,000;0,032;2013-11-28
2251136;486_941AL_76.1;BASIS;Amsterdam;0,000;0,043;2013-11-28
2251137;486_941AL_76.1;BAAN;Amsterdam;0,000;0,043;2013-11-28
2251138;486_941AL_76.1;BVL;Amsterdam;0,000;0,043;2013-11-28
2251143;468_61V_101.6;BASIS;Europoort;0,000;0,098;2013-11-28
2251144;468_61V_101.6;BAAN;Europoort;0,000;0,098;2013-11-28
2251146;468_61V_101.6;BVL;Europoort;0,000;0,098;2013-11-28
2251150;476_52R_201.7;BASIS;Europoort;0,000;0,133;2013-11-28
2251151;467_127R_103.6;BAAN;Europoort;0,000;0,102;2013-11-28
2251153;467_127R_103.6;BVL;Europoort;0,000;0,102;2013-11-28
2251158;603_111AL_2.9;BASIS;Overijssel;0,000;0,059;2013-11-28
2274115;163_917BV_43.5;BVL;Dordrecht;0,000;0,100;2013-11-28
2274119;163_927AL_43.6;BASIS;Dordrecht;0,000;0,066;2013-11-28
2274121;163_927AL_43.6;BAAN;Dordrecht;0,000;0,066;2013-11-28
2274122;163_927AL_43.6;BVL;Dordrecht;0,000;0,066;2013-11-28
2274126;163_1015R_43.5;BASIS;Europoort;0,000;0,044;2013-11-28
2274127;163_1015R_43.5;BAAN;Europoort;0,000;0,044;2013-11-28
2274129;163_1015R_43.5;BVL;Europoort;0,000;0,044;2013-11-28
2274132;586_159AL_80.8;BVL;Amsterdam;0,000;0,048;2013-11-28
2274137;586_161AR_80.8;BASIS;Amsterdam;0,000;0,145;2013-11-28
2274138;586_161AR_80.8;BAAN;Amsterdam;0,000;0,145;2013-11-28
2274139;586_161AR_80.8;BVL;Amsterdam;0,000;0,145;2013-11-28
2274144;586_161AL_80.8;BASIS;Amsterdam;0,000;0,048;2013-11-28
2271435;543_187BpV_45.5;BVL;Twente;0,000;0,028;2013-11-28
2271439;543_177BqV_45.5;BASIS;Twente;0,000;0,031;2013-11-28
2271440;543_177BqV_45.5;BAAN;Twente;0,000;0,031;2013-11-28
2271442;543_177BqV_45.5;BVL;Twente;0,000;0,031;2013-11-28
2271445;586_141BV_80.8;BAAN;Amsterdam;0,000;0,143;2013-11-28
2271446;586_141BV_80.8;BVL;Amsterdam;0,000;0,143;2013-11-28
2271451;586_141AR_80.8;BASIS;Amsterdam;0,000;0,048;2013-11-28
2271452;586_141AR_80.8;BAAN;Amsterdam;0,000;0,048;2013-11-28
2271453;586_141AR_80.8;BVL;Amsterdam;0,000;0,048;2013-11-28
2271458;586_141BL_80.8;BASIS;Amsterdam;0,000;0,059;2013-11-28
2271459;586_141BL_80.8;BAAN;Amsterdam;0,000;0,059;2013-11-28
2271460;586_141BL_80.8;BVL;Amsterdam;0,000;0,059;2013-11-28
2271465;555_359pV_84.3;BASIS;Rotterdam;0,000;0,042;2013-11-28
2271467;555_359pV_84.3;BAAN;Rotterdam;0,000;0,042;2013-11-28
2271468;555_359pV_84.3;BVL;Rotterdam;0,000;0,042;2013-11-28
2271472;555_327R_84.2;BASIS;Rotterdam;0,000;0,075;2013-11-28
2271474;555_327R_84.2;BAAN;Rotterdam;0,000;0,075;2013-11-28
2271475;555_327R_84.2;BVL;Rotterdam;0,000;0,075;2013-11-28
2271479;555_365L_84.2;BASIS;Rotterdam;0,000;0,077;2013-11-28
2271481;950_77AR_41.0;BVL;Europoort;0,000;0,064;2013-11-28
2271485;470_1105L_300.6;BASIS;Europoort;0,000;0,747;2013-11-28
2271486;470_1105L_300.6;BAAN;Europoort;0,000;0,747;2013-11-28
2271488;470_1105L_300.6;BVL;Europoort;0,000;0,747;2013-11-28
2271492;588_411BqV_2.9;BASIS;Amsterdam;0,000;0,031;2013-11-28
2271493;588_411BqV_2.9;BAAN;Duivendrecht;0,000;0,031;2013-11-28
2271495;543_155BqV_45.0;BAAN;Twente;0,000;0,031;2013-11-28
2271497;543_155BqV_45.0;BVL;Twente;0,000;0,031;2013-11-28
2271501;543_157AL_45.0;BASIS;Twente;0,000;0,260;2013-11-28
2271502;543_157AL_45.0;BAAN;Twente;0,000;0,260;2013-11-28
2271504;543_157AL_45.0;BVL;Twente;0,000;0,260;2013-11-28
2271508;543_155BpV_45.0;BASIS;Twente;0,000;0,031;2013-11-28
2271509;543_155BpV_45.0;BAAN;Twente;0,000;0,031;2013-11-28
2271511;543_155BpV_45.0;BVL;Twente;0,000;0,031;2013-11-28
2271515;543_149AR_44.9;BASIS;Twente;0,000;0,053;2013-11-28
2271516;543_149AR_44.9;BAAN;Twente;0,000;0,053;2013-11-28
2271518;543_149AR_44.9;BVL;Twente;0,000;0,053;2013-11-28
2271522;543_149BqV_45.0;BASIS;Twente;0,000;0,032;2013-11-28
2271523;543_149BqV_45.0;BAAN;Twente;0,000;0,032;2013-11-28
2271525;543_149BqV_45.0;BVL;Twente;0,000;0,032;2013-11-28
2271529;543_155AR_44.9;BASIS;Twente;0,000;0,041;2013-11-28
2271530;543_155AR_44.9;BAAN;Twente;0,000;0,041;2013-11-28
2271532;543_187AL_45.5;BASIS;Twente;0,000;0,033;2013-11-28
2271533;543_187AL_45.5;BAAN;Twente;0,000;0,033;2013-11-28
2271535;543_187AL_45.5;BVL;Twente;0,000;0,033;2013-11-28
2271541;626_33R_32.6;BVL;Heerhugowaard;0,000;0,061;2013-11-28
2271542;626_33R_32.6;BASIS;Heerhugowaard;0,000;0,061;2013-11-28
2271543;626_33R_32.6;BAAN;Heerhugowaard;0,000;0,061;2013-11-28
2271548;626_37V_32.6;BVL;Heerhugowaard;0,000;0,037;2013-11-28
2271549;626_37V_32.6;BASIS;Heerhugowaard;0,000;0,037;2013-11-28
2271550;626_37V_32.6;BAAN;Heerhugowaard;0,000;0,037;2013-11-28
2271554;555_365L_84.2;BAAN;Rotterdam;0,000;0,077;2013-11-28
2271555;555_365L_84.2;BVL;Rotterdam;0,000;0,077;2013-11-28
2272670;203_391L_55.1;BASIS;Overijssel;0,000;0,036;2013-11-28
2272672;203_391L_55.1;BAAN;Overijssel;0,000;0,036;2013-11-28
2272673;203_391L_55.1;BVL;Overijssel;0,000;0,036;2013-11-28
2272677;203_367V_48.0;BASIS;Overijssel;0,000;6,785;2013-11-28
2272679;203_367V_48.0;BAAN;Overijssel;0,000;6,785;2013-11-28
2272680;203_367V_48.0;BVL;Overijssel;0,000;6,785;2013-11-28
2272684;054_1367BL_53.7;BAAN;Boxtel;0,000;0,064;2013-11-28
2272686;054_1367BL_53.7;BASIS;Boxtel;0,000;0,064;2013-11-28
2266778;090_13BR_19.2;BAAN;Amersfoort;0,000;6,820;2013-11-28
2266779;090_13BR_19.2;BVL;Amersfoort;0,000;6,820;2013-11-28
2266782;504_71AV_18.3;BASIS;Maastricht;0,000;0,202;2013-11-28
2266783;504_71AV_18.3;BAAN;Maastricht;0,000;0,202;2013-11-28
2266785;504_71AV_18.3;BVL;Maastricht;0,000;0,202;2013-11-28
2266790;517_113R_69.4;BAAN;Venlo;0,000;0,033;2013-11-28
2266791;517_113R_69.4;BVL;Venlo;0,000;0,033;2013-11-28
2266792;517_113R_69.4;BASIS;Venlo;0,000;0,033;2013-11-28
2266797;516_923V_2.1;BAAN;Venlo;0,000;0,058;2013-11-28
2266798;516_923V_2.1;BVL;Venlo;0,000;0,058;2013-11-28
2266799;516_923V_2.1;BASIS;Venlo;0,000;0,058;2013-11-28
