ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
2130356;556_8L_5.5;T;0,000000;0,549000;60;2013-11-25
2130357;556_8R_5.5;T;0,000000;0,549000;100;2013-11-25
2130358;556_19V_6.1;T;0,000000;0,006000;100;2013-11-25
2130359;556_20AL_6.1;T;0,000000;0,241311;100;2013-11-25
2130329;001_1107V_1.4;T;0,000000;0,005677;100;2013-11-25
2130330;001_1107V_1.4;T;0,005677;8,015384;100;2013-11-25
2130331;001_1107V_1.4;T;8,015384;8,023000;40;2013-11-25
2130332;001_1125L_9.4;T;0,000000;0,071697;40;2013-11-25
2130333;001_1125L_9.4;T;0,071697;0,535000;100;2013-11-25
2130334;001_1125R_9.4;T;0,000000;0,377575;60;2013-11-25
2130335;001_1125R_9.4;T;0,377575;0,533000;60;2013-11-25
2130336;001_1129V_9.9;T;0,000000;0,062000;100;2013-11-25
2130337;001_1131L_10.0;T;0,000000;0,088000;onbekend;2013-11-25
2130338;001_1131R_10.0;T;0,000000;5,378617;100;2013-11-25
2130339;001_1131R_10.0;T;5,378617;5,386000;100;2013-11-25
2130340;001_1145L_15.3;T;0,000000;0,537000;100;2013-11-25
2130341;001_1145R_15.3;T;0,000000;0,390343;80;2013-11-25
2130342;001_1145R_15.3;T;0,390343;0,537000;80;2013-11-25
2130343;556_7AL_5.4;T;0,000000;0,060000;40;2013-11-25
2130301;550_963R_25.3;T;0,000000;0,045000;40;2013-11-25
2130302;550_967L_25.3;T;0,000000;0,277000;40;2013-11-25
2130303;550_967R_25.3;T;0,000000;0,034000;40;2013-11-25
2130304;550_968L_25.4;T;0,000000;0,237000;40;2013-11-25
2130305;550_968R_25.4;T;0,000000;0,032000;40;2013-11-25
2130306;552_968V_82.4;T;0,000000;0,071000;40;2013-11-25
2130307;550_969L_25.4;T;0,000000;0,110000;40;2013-11-25
2130308;550_969R_25.4;T;0,000000;0,032000;40;2013-11-25
2130309;550_970L_25.4;T;0,000000;0,140000;>=40;2013-11-25
2130310;550_970R_25.4;T;0,000000;0,085000;40;2013-11-25
2130311;550_971L_25.5;T;0,000000;0,090000;40;2013-11-25
2130312;550_971R_25.5;T;0,000000;0,037000;40;2013-11-25
2130313;550_972L_25.6;T;0,000000;0,070000;40;2013-11-25
2130314;550_972R_25.6;T;0,000000;0,039000;40;2013-11-25
2130315;550_974L_25.6;T;0,000000;0,138000;40;2013-11-25
2130316;550_974R_25.6;T;0,000000;0,051000;40;2013-11-25
2130317;550_975AqV_25.7;T;0,000000;0,034000;40;2013-11-25
2130318;550_979L_25.7;T;0,000000;0,064000;40;2013-11-25
2130319;550_979R_25.7;T;0,000000;0,246000;40;2013-11-25
2130320;550_980V_25.8;T;0,000000;0,308000;40;2013-11-25
2130321;550_981L_25.5;T;0,000000;0,095000;>=40;2013-11-25
2130322;550_981R_25.5;T;0,000000;0,062000;40;2013-11-25
2130323;550_982V_25.6;T;0,000000;0,056000;>=40;2013-11-25
2130324;550_985V_25.6;T;0,000000;0,022000;>=40;2013-11-25
2130325;001_1103L_1.0;T;0,000000;0,101400;40;2013-11-25
2130326;001_1103L_1.0;T;0,101400;0,406000;100;2013-11-25
2130327;001_1103R_1.0;T;0,000000;0,407000;40;2013-11-25
2130328;001_1103V_1.0;T;0,000000;1,076000;40;2013-11-25
2130276;501_941R_80.5;T;0,000000;0,166000;40;2013-11-25
