ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
2171034;531_1307BV_34.7;Onbenoemd;S;0,000;0,018;2013-11-26;;
2171035;531_1191AL_33.8;Onbenoemd;S;0,029;0,040;2013-11-26;;
2171036;533_1117BR_15.5;Onbenoemd;S;0,048;0,221;2013-11-26;;
2169351;155_4315R_64.5;Onbenoemd;S;7,971;8,453;2013-11-26;;
2169352;155_4315R_64.5;Onbenoemd;S;0,053;0,587;2013-11-26;;
2169353;035_133BL_52.2;Onbenoemd;S;0,030;0,036;2013-11-26;;
2169354;514_55AR_65.3;Onbenoemd;S;0,029;0,031;2013-11-26;;
2169355;485_43R_101.2;Onbenoemd;S;0,098;0,176;2013-11-26;;
2169356;613_177AL_75.3;Onbenoemd;S;0,028;0,035;2013-11-26;;
2169357;625_271BV_16.2;Onbenoemd;S;0,000;0,022;2013-11-26;;
2169359;545_187AR_23.3;Onbenoemd;S;0,029;0,031;2013-11-26;;
2168334;586_371V_81.3;Onbenoemd;S;0,000;0,122;2013-11-26;;
2168335;805_7131L_105.5;Onbekend;S;0,127;0,174;2013-11-26;;
2168336;551_111R_21.8;Onbenoemd;S;0,048;0,071;2013-11-26;;
2168337;537_253AR_34.7;Onbenoemd;S;0,099;0,120;2013-11-26;;
2168338;504_13AR_17.0;Onbenoemd;S;0,038;0,065;2013-11-26;;
2168339;115_33AR_6.1;Onbenoemd;S;0,017;0,019;2013-11-26;;
2168340;926_2069BL_0.8;Onbekend;S;0,013;0,016;2013-11-26;;
2168341;551_161AR_23.6;Onbenoemd;S;5,891;6,228;2013-11-26;;
2168342;551_161AR_23.6;Onbenoemd;S;0,048;0,691;2013-11-26;;
2168343;017_401AL_39.5;Onbenoemd;S;0,048;0,055;2013-11-26;;
2168344;501_151R_80.7;Onbenoemd;S;0,017;0,047;2013-11-26;;
2168345;054_9007V_53.6;Onbenoemd;S;0,000;0,033;2013-11-26;;
2168346;517_33L_69.0;Onbenoemd;S;0,028;0,033;2013-11-26;;
2168347;519_43V_46.2;Onbenoemd;S;0,000;0,054;2013-11-26;;
2168348;563_167BR_56.9;Onbenoemd;S;10,288;10,507;2013-11-26;;
2168349;563_167BR_56.9;Onbenoemd;S;0,047;0,938;2013-11-26;;
2167631;514_954L_17.3;Onbenoemd;S;0,303;0,305;2013-11-26;;
2167633;017_435AR_40.8;Onbenoemd;S;0,048;0,052;2013-11-26;;
2167634;950_1003R_7.2;Onbenoemd;S;0,029;0,041;2013-11-26;;
2167635;525_431BV_50.1;Onbenoemd;S;0,000;0,009;2013-11-26;;
2167636;094_1107AL_1.8;Onbenoemd;S;0,048;0,055;2013-11-26;;
