ID;INVOERDATUM;VERSIE_NUMMER;ACTION;MODFWE;ELONG;TOSTARTAT;TOENDAT;SRCACTION;DASSIGNNAME;DASSIGNFROM;DASSIGNTO;DNAME;DLENGTH;FWENAME;FWELENGTH
25;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1149L_36.6;1133
27;2018-06-14;11;NEWTOP;;;;;;;;;;;019_950R_36.4;300
29;2018-06-14;11;NEWTOP;;;;;;;;;;;019_950L_36.4;115
31;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1103L_35.1;62
33;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1109R_35.2;46
35;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1107L_35.1;60
37;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1109V_35.2;588
39;2018-06-14;11;NEWTOP;;;;;;;;;;;019_950V_36.4;83
41;2018-06-14;11;NEWTOP;;;;;;;;;;;091_1165R_6.0;400
43;2018-06-14;11;NEWTOP;;;;;;;;;;;091_1165L_6.0;396
45;2018-06-14;11;NEWTOP;;;;;;;;;;;019_951V_36.3;185
47;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1145V_36.5;1
49;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1147R_36.5;118
51;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1149V_36.6;3370
53;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1107R_35.1;1345
55;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1105V_35.1;6
57;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1103R_35.1;1463
59;2018-06-14;11;NEWTOP;;;;;;;;;;;509_1143R_36.5;58
60;2018-06-14;11;NEWTOP;;;;;;;;;;;057_41AV_11.2;9336
66;2018-06-14;11;NEWTOP;;;;;;;;;;;531_2409R_1.9;992
72;2018-06-14;11;NEWTOP;;;;;;;;;;;815_255V_5.3;511
74;2018-06-14;11;NEWTOP;;;;;;;;;;;506_503L_42.8;54
78;2018-06-14;11;NEWTOP;;;;;;;;;;;057_41BR_11.2;9462
83;2018-06-14;11;NEWTOP;;;;;;;;;;;528_55BV_29.0;6055
85;2018-06-14;11;NEWTOP;;;;;;;;;;;555_237V_83.4;185
90;2018-06-14;11;NEWTOP;;;;;;;;;;;555_291AL_83.6;626
94;2018-06-14;11;NEWTOP;;;;;;;;;;;506_33L_43.2;235
97;2018-06-14;11;NEWTOP;;;;;;;;;;;815_243R_4.5;560
100;2018-06-14;11;NEWTOP;;;;;;;;;;;530_114L_12.4;5316
102;2018-06-14;11;NEWTOP;;;;;;;;;;;506_503V_42.8;330
104;2018-06-14;11;NEWTOP;;;;;;;;;;;506_504L_42.9;458
106;2018-06-14;11;NEWTOP;;;;;;;;;;;815_243L_4.5;561
109;2018-06-14;11;NEWTOP;;;;;;;;;;;506_505L_42.9;94
111;2018-06-14;11;NEWTOP;;;;;;;;;;;815_251pV_5.0;34
113;2018-06-14;11;NEWTOP;;;;;;;;;;;506_504R_42.9;36
115;2018-06-14;11;NEWTOP;;;;;;;;;;;815_251qV_5.0;34
117;2018-06-14;11;NEWTOP;;;;;;;;;;;815_251R_5.0;269
119;2018-06-14;11;NEWTOP;;;;;;;;;;;528_55AL_29.0;6178
122;2018-06-14;11;NEWTOP;;;;;;;;;;;815_255L_5.3;84
123;2018-06-14;11;NEWTOP;;;;;;;;;;;817_56R_401.5;112
124;2018-06-14;11;NEWTOP;;;;;;;;;;;470_186L_305.9;274
125;2018-06-14;11;NEWTOP;;;;;;;;;;;470_185V_305.8;210
126;2018-06-14;11;NEWTOP;;;;;;;;;;;550_957BR_25.2;19
127;2018-06-14;11;NEWTOP;;;;;;;;;;;817_55L_402.2;677
128;2018-06-14;11;NEWTOP;;;;;;;;;;;815_251L_5.0;3031
129;2018-06-14;11;NEWTOP;;;;;;;;;;;817_62R_502.5;61
