ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
139986282;613_193BV_76.1;195B;W;0,025;0,054;2018-06-14;1:9;1,33;195B;195B;WISSEL;WISSEL
139986284;950_1007pV_39.8;1007/1009;W;0,000;0,034;2018-06-14;1:9;7,17;1007/1009;1007/1009;WISSEL;WISSEL
139986286;553_271BL_21.9;271B;W;0,000;0,027;2018-06-14;1:9;1,33;271B;271B;WISSEL;WISSEL
139986287;927_3035V_905.2;3037;W;0,011;0,040;2018-06-14;1:9;1,33;3037;3037;WISSEL;WISSEL
139986288;509_1147R_36.5;1149;W;0,090;0,118;2018-06-14;1:9;1,33;1149;1149;WISSEL;WISSEL
139988002;564_953L_23.6;974/975;W;0,035;0,052;2018-06-14;1:9;7,17;974/975;974/975;WISSEL;WISSEL
139987485;133_1301AL_9.9;1303B;W;0,169;0,217;2018-06-14;1:15;1,33;1303B;1303B;WISSEL;WISSEL
139987486;011_67AL_69.0;68A/68B;W;0,023;0,040;2018-06-14;1:9;7,17;68A/68B;68A/68B;WISSEL;WISSEL
139987487;614_2141L_47.6;2141;W;0,000;0,029;2018-06-14;1:9;1,33;2141;2141;WISSEL;WISSEL
139987488;588_415AR_2.9;415A/411B;W;0,000;0,017;2018-06-14;1:9;7,17;415A/411B;415A/411B;WISSEL;WISSEL
139987489;478_921R_101.6;921;W;0,000;0,029;2018-06-14;1:9;1,33;921;921;WISSEL;WISSEL
139987490;127_391AR_48.5;391A;W;0,000;0,027;2018-06-14;1:9;1,33;391A;391A;WISSEL;WISSEL
139987491;926_2057V_0.8;2059;W;0,045;0,072;2018-06-14;1:9;1,33;2059;2059;WISSEL;WISSEL
139987493;161_2535R_21.1;2535;W;0,000;0,048;2018-06-14;1:15;1,33;2535;2535;WISSEL;WISSEL
139987494;618_33AL_58.6;33A;W;0,000;0,029;2018-06-14;1:9;1,33;33A;33A;WISSEL;WISSEL
139987495;305_15V_15.3;61A;W;0,096;0,135;2018-06-14;1:12;1,33;61A;61A;WISSEL;WISSEL
139987496;950_405pV_26.9;407A/405;W;0,000;0,031;2018-06-14;1:9;7,17;407A/405;407A/405;WISSEL;WISSEL
139986289;927_944AR_905.7;944A/944B;W;0,000;0,017;2018-06-14;1:9;7,17;944A/944B;944A/944B;WISSEL;WISSEL
139986290;163_253AL_43.4;253A;W;0,000;0,028;2018-06-14;1:9;1,33;253A;253A;WISSEL;WISSEL
139986291;486_922V_76.3;923;W;0,024;0,052;2018-06-14;1:9;1,33;923;923;WISSEL;WISSEL
139986292;545_983L_22.9;983;W;0,000;0,028;2018-06-14;1:9;1,33;983;983;WISSEL;WISSEL
139986293;950_1007L_39.8;1019/1021;W;0,022;0,038;2018-06-14;1:9;7,17;1019/1021;1019/1021;WISSEL;WISSEL
139986294;801_954L_7.9;955;W;0,045;0,074;2018-06-14;1:9;1,33;955;955;WISSEL;WISSEL
139986295;586_273pV_81.2;275A/273;W;0,000;0,031;2018-06-14;1:9;7,17;275A/273;275A/273;WISSEL;WISSEL
139986296;664_873BR_41.9;1377A;W;8,875;8,923;2018-06-14;1:15;1,33;1377A;1377A;WISSEL;WISSEL
139981995;132_457L_48.8;455/457;W;0,000;0,016;2018-06-14;1:9;7,17;455/457;455/457;WISSEL;WISSEL
139981999;950_435L_6.8;435;W;0,000;0,032;2018-06-14;1:9;1,33;435;435;WISSEL;WISSEL
139982000;550_981R_25.5;981;W;0,000;0,029;2018-06-14;1:9;1,33;981;981;WISSEL;WISSEL
139982001;563_167BR_56.9;167B;W;0,000;0,047;2018-06-14;1:15;1,33;167B;167B;WISSEL;WISSEL
139982002;564_968pV_23.7;968/969;W;0,000;0,034;2018-06-14;1:9;7,17;968/969;968/969;WISSEL;WISSEL
139982003;553_259BR_21.8;259B;W;0,000;0,029;2018-06-14;1:9;1,33;259B;259B;WISSEL;WISSEL
139982004;478_1181L_0.8;1181;W;0,000;0,029;2018-06-14;1:9;1,33;1181;1181;WISSEL;WISSEL
139982005;477_20BR_100.3;21;W;0,015;0,040;2018-06-14;1:7;1,33;21;21;WISSEL;WISSEL
139982006;924_3603R_35.8;3603/3593B;W;0,000;0,017;2018-06-14;1:9;7,17;3603/3593B;3603/3593B;WISSEL;WISSEL
