ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;052_26L_55.5;0,057;0,084;01-04-2013;01-04-2013;450;450;BOOG;052_w26l-w27v_55.508
2;052_26L_55.5;0,139;0,185;01-04-2013;01-04-2013;-530;-530;BOOG;052_w26l-w27v_55.527
3;052_26R_55.5;0,263;0,433;01-04-2013;01-04-2013;-945;-945;BOOG;052_351_55.651
4;052_26R_55.5;0,467;0,631;01-04-2013;01-04-2013;-1094;-1094;BOOG;052_351_55.645
5;052_26R_55.5;0,654;0,86;01-04-2013;01-04-2013;-978;-978;BOOG;052_351_55.687
6;052_26R_55.5;1,102;1,121;01-04-2013;01-04-2013;30000;30000;BOOG;052_s351-w41l_55.5
7;052_27L_55.7;0,131;0,218;01-10-2006;01-10-2006;-5950;-5950;BOOG;052_353_55.753
8;052_27L_55.7;0,268;0,449;01-10-2006;01-10-2006;-774;-774;BOOG;052_353_55.847
9;052_27L_55.7;0,449;0,53;01-10-2006;01-10-2006;-1175;-1175;BOOG;052_353_55.747
10;052_27L_55.7;0,53;0,671;01-10-2006;01-10-2006;-940;-940;BOOG;052_353_55.807
11;052_27L_55.7;0,671;0,742;01-10-2006;01-10-2006;-1165;-1165;BOOG;052_353_55.737
12;052_27L_55.7;0,782;0,847;01-10-2006;01-10-2006;515;515;BOOG;052_s353-w40r_55.731
13;052_27L_55.7;0,85;0,877;01-04-2013;01-04-2013;-260;-260;BOOG;052_40_55.693
14;052_27R_55.7;0,07;0,189;01-04-2013;01-04-2013;-1048;-1048;BOOG;052_352_55.785
15;052_27R_55.7;0,189;0,266;01-04-2013;01-04-2013;-1004;-1004;BOOG;052_352_55.743
16;052_27R_55.7;0,266;0,435;01-04-2013;01-04-2013;-965;-965;BOOG;052_352_55.835
17;052_27R_55.7;0,435;0,702;01-04-2013;01-04-2013;-1032;-1032;BOOG;052_352_55.933
18;052_27R_55.7;0,826;0,841;01-04-2013;01-04-2013;-15000;-15000;BOOG;052_s352-w40l_55.681
19;052_40V_56.6;0,003;0,054;01-04-2013;01-04-2013;600;600;BOOG;052_w40v-w41r_56.601
20;052_41V_56.7;0,012;0,022;01-04-2013;01-04-2013;-20000;-20000;BOOG;052_w41v-sNA_56.66
21;052_41V_56.7;1,027;1,035;01-04-2013;01-04-2013;30000;30000;BOOG;052_NA_56.658
22;052_41V_56.7;1,802;1,811;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_NA_56.659
23;052_41V_56.7;2,133;2,138;01-04-2013;01-04-2013;30000;30000;BOOG;052_NA_56.655
24;052_41V_56.7;2,394;2,396;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_NA_56.652
25;052_41V_56.7;2,949;2,958;01-04-2013;01-04-2013;30000;30000;BOOG;052_NA_56.659
26;052_41V_56.7;3,417;3,429;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_NA_56.662
27;052_41V_56.7;4,368;4,372;01-04-2013;01-04-2013;30000;30000;BOOG;052_NA_56.654
28;052_41V_56.7;5,337;5,377;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_NA_56.69
29;052_41V_56.7;5,597;5,668;01-04-2013;01-04-2013;1120;1120;BOOG;052_sNA-w51v_56.721
30;052_51L_62.4;0,003;0,005;01-04-2013;01-04-2013;-250;-250;BOOG;052_51_62.387
31;052_51L_62.4;0,005;0,023;01-04-2013;01-04-2013;-195;-195;BOOG;052_51_62.403
32;052_51L_62.4;0,032;0,047;01-10-2006;01-10-2006;325;325;BOOG;052_w51l-s361_62.4
33;052_51L_62.4;0,077;0,126;01-10-2006;01-10-2006;1380;1380;BOOG;052_361_62.434
34;052_51L_62.4;0,176;0,367;01-10-2006;01-10-2006;1035;1035;BOOG;052_361_62.576
35;052_51L_62.4;0,783;0,814;01-06-2017;01-06-2017;280;280;BOOG;052_s361-w64r_62.416
36;052_51R_62.4;0,166;0,355;01-04-2013;01-04-2013;1020;1020;BOOG;052_362_62.574
37;052_64V_63.2;0,272;0,311;01-06-2017;01-06-2017;-2300;-2300;BOOG;052_KA_63.273
38;052_64V_63.2;0,401;0,436;01-06-2017;01-06-2017;2300;2300;BOOG;052_KA_63.269
39;052_64V_63.2;1,489;1,498;01-06-2017;01-06-2017;-30000;-30000;BOOG;052_KA_63.243
40;052_64V_63.2;1,866;1,876;01-06-2017;01-06-2017;30000;30000;BOOG;052_KA_63.244
41;052_64V_63.2;2,333;2,349;01-06-2017;01-06-2017;-30000;-30000;BOOG;052_KA_63.25
42;052_64V_63.2;3,127;3,137;01-06-2017;01-06-2017;30000;30000;BOOG;052_KA_63.244
43;052_64V_63.2;3,457;3,466;01-06-2017;01-06-2017;-30000;-30000;BOOG;052_KA_63.243
44;052_64V_63.2;4,217;4,224;01-06-2017;01-06-2017;30000;30000;BOOG;052_KA_63.241
45;052_64V_63.2;4,982;5,011;01-06-2017;01-06-2017;2900;2900;BOOG;052_sKA-w73v_63.263
46;052_64V_63.2;5,111;5,168;01-06-2017;01-06-2017;-4000;-4000;BOOG;052_sKA-w73v_63.291
47;052_68L_41.1;0,216;0,311;01-08-2016;01-08-2016;-1765;-1765;BOOG;052_331_41.188
48;052_68L_41.1;0,606;0,662;01-08-2016;01-08-2016;-4200;-4200;BOOG;052_331_41.149
49;052_68L_41.1;0,841;0,867;01-04-2013;01-04-2013;30000;30000;BOOG;052_331_41.119
50;052_68L_41.1;1,05;1,065;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_s331-w85r_41.108
51;052_68R_41.1;0,002;0,003;01-04-2013;01-04-2013;600;600;BOOG;052_68_41.094
52;052_68R_41.1;0,003;0,036;01-04-2013;01-04-2013;465;465;BOOG;052_68_41.126
53;052_68R_41.1;0,049;0,087;01-08-2016;01-08-2016;-465;-465;BOOG;052_w68r-w70v_41.131
54;052_70L_41.3;0,041;0,177;01-08-2016;01-08-2016;-1500;-1500;BOOG;052_332_41.386
55;052_70L_41.3;0,177;0,227;01-08-2016;01-08-2016;-4500;-4500;BOOG;052_332_41.3
56;052_70L_41.3;0,442;0,499;01-08-2016;01-08-2016;-5000;-5000;BOOG;052_332_41.307
57;052_70L_41.3;0,678;0,73;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_332_41.302
58;052_70R_41.3;0,003;0,005;01-08-2016;01-08-2016;250;250;BOOG;052_70_41.252
59;052_70R_41.3;0,005;0,023;01-08-2016;01-08-2016;195;195;BOOG;052_70_41.268
60;052_70R_41.3;0,052;0,112;01-08-2016;01-08-2016;-585;-585;BOOG;052_333_41.31
61;052_70R_41.3;0,112;0,158;01-08-2016;01-08-2016;-5000;-5000;BOOG;052_333_41.296
62;052_70R_41.3;0,158;0,2;01-08-2016;01-08-2016;-380;-380;BOOG;052_333_41.292
63;052_70R_41.3;0,828;0,846;01-04-2013;01-04-2013;195;195;BOOG;052_84_41.268
64;052_70R_41.3;0,846;0,848;01-04-2013;01-04-2013;250;250;BOOG;052_84_41.252
65;052_73L_68.5;0,037;0,069;01-04-2013;01-04-2013;280;280;BOOG;052_w73l-s371_68.511
66;052_73L_68.5;0,263;0,422;01-04-2013;01-04-2013;1410;1410;BOOG;052_371_68.638
67;052_73L_68.5;0,422;0,629;01-04-2013;01-04-2013;1645;1645;BOOG;052_371_68.686
68;052_73L_68.5;0,629;0,71;01-04-2013;01-04-2013;1390;1390;BOOG;052_371_68.56
69;052_73L_68.5;0,805;0,833;01-04-2013;01-04-2013;260;260;BOOG;052_s371-w87r_68.507
70;052_73R_68.5;0,288;0,465;01-04-2013;01-04-2013;1450;1450;BOOG;052_372_68.656
71;052_73R_68.5;0,465;0,563;01-04-2013;01-04-2013;1660;1660;BOOG;052_372_68.577
72;052_73R_68.5;0,563;0,671;01-04-2013;01-04-2013;1450;1450;BOOG;052_372_68.587
73;052_84V_42.1;0,054;0,063;01-04-2013;01-04-2013;-350;-350;BOOG;052_w84v-w85l_42.105
74;052_87V_69.3;0,027;0,101;01-04-2013;01-04-2013;-3500;-3500;BOOG;052_w87v-w273l_69.421
75;052_87V_69.3;0,151;0,229;01-04-2013;01-04-2013;3500;3500;BOOG;052_w87v-w273l_69.425
76;052_87V_69.3;0,401;0,402;01-04-2013;01-04-2013;30000;30000;BOOG;052_w87v-w273l_69.348
77;052_87V_69.3;0,736;0,747;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_w87v-w273l_69.358
78;052_87V_69.3;1,086;1,092;01-04-2013;01-04-2013;30000;30000;BOOG;052_w87v-w273l_69.353
79;052_87V_69.3;1,442;1,462;01-04-2013;01-04-2013;30000;30000;BOOG;052_w87v-w273l_69.367
80;052_87V_69.3;1,542;1,56;01-04-2013;01-04-2013;-30000;-30000;BOOG;052_w87v-w273l_69.365
81;052_87V_69.3;2,186;2,194;01-04-2013;01-04-2013;30000;30000;BOOG;052_w87v-w273l_69.355
82;052_87V_69.3;2,727;2,731;01-08-2015;01-08-2015;30000;30000;BOOG;052_w87v-w273l_69.351
83;052_87V_69.3;3,01;3,015;01-08-2015;01-08-2015;-30000;-30000;BOOG;052_w87v-w273l_69.352
84;052_87V_69.3;3,962;3,966;01-08-2015;01-08-2015;-30000;-30000;BOOG;052_w87v-w273l_69.351
85;052_87V_69.3;4,742;4,964;01-08-2015;01-08-2015;25000;25000;BOOG;052_w87v-w273l_69.569
86;052_87V_69.3;5,312;5,402;01-01-2015;01-01-2015;-10000;-10000;BOOG;516_w87v-w273l_74.49
87;076_1677V_12.4;0,949;0,951;01-04-2017;01-04-2017;-250;-250;BOOG;076_1683_12.418
88;076_79R_11.4;0,051;0,093;01-08-2010;01-08-2010;200;200;BOOG;076_10g_11.465
89;076_79R_11.4;0,093;0,108;01-08-2010;01-08-2010;1308;1308;BOOG;076_10g_11.438
90;076_79R_11.4;0,108;0,173;01-08-2010;01-08-2010;-1400;-1400;BOOG;076_10g_11.488
91;076_79R_11.4;0,173;0,285;01-08-2010;01-08-2010;1322;1322;BOOG;076_10g_11.535
92;076_79R_11.4;0,285;0,303;01-08-2010;01-08-2010;1240;1240;BOOG;076_10g_11.441
93;076_79R_11.4;0,333;0,372;01-08-2010;01-08-2010;500;500;BOOG;076_10g_11.462
94;076_79V_11.4;0,008;0,009;01-08-2010;01-08-2010;300;300;BOOG;076_81_11.424
95;076_81R_11.5;0,075;0,092;01-08-2010;01-08-2010;10000;10000;BOOG;076_7g_11.476
96;076_81V_11.5;0,062;0,079;01-08-2010;01-08-2010;-450;-450;BOOG;076_s9-w1627/1625v_11.476
97;078_205AR_64.8;0,035;0,119;01-02-2016;01-02-2016;1863;1863;BOOG;078_w205Ar-w209v_64.882
98;078_205AV_64.8;0,411;0,58;01-03-2016;01-03-2016;-30000;-30000;BOOG;078_w205Av-sWA_64.967
