ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;085_215BV_19.9;Onbekend;0;11,87;14-06-2018
2;618_273AR_49.5;Onbekend;6,497;6,523;14-06-2018
3;027_945V_148.6;Onbekend;0;0,579;14-06-2018
4;027_957AR_149.2;Clipped Tuned, type Corus 54E1;0,047;0,292;14-06-2018
5;027_931R_147.6;Onbekend;0,048;0,074;14-06-2018
6;027_931R_147.6;Onbekend;0,074;1,18;14-06-2018
7;589_969L_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,45;1,646;14-06-2018
8;027_955BV_149.2;Onbekend;0;0,318;14-06-2018
9;027_955AR_149.1;Clipped Tuned, type Corus 54E1;0,047;0,276;14-06-2018
10;027_943BV_148.6;Glued Tuned, type Corus 54E1;0;0,452;14-06-2018
11;027_943AL_148.5;Clipped Tuned, type Corus 54E1;0,029;0,085;14-06-2018
12;027_933R_147.6;Clipped Tuned, type Corus 54E1;0,046;0,997;14-06-2018
13;027_941R_148.6;Onbekend;0,047;1,074;14-06-2018
14;027_931L_147.6;Onbekend;0,201;1,268;14-06-2018
15;589_971AL_149.5;Onbekend;0,047;0,862;14-06-2018
16;618_273BV_49.5;Onbekend;6,435;6,46;14-06-2018
17;026_243BV_26.1;Onbekend;0;0,786;14-06-2018
18;026_243AR_26.0;Onbekend;0,037;0,91;14-06-2018
19;047_71L_52.2;Onbekend;0,057;4,352;14-06-2018
20;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,027;0,098;14-06-2018
21;011_299BV_70.0;Clipped Tuned, type Corus 54E1;0;2,765;14-06-2018
22;011_301AR_70.0;Clipped Tuned, type Corus 54E1;0,029;2,565;14-06-2018
23;011_73V_68.9;Clipped Tuned, type Corus 54E1;1,257;1,429;14-06-2018
24;654_427L_50.4;Clipped Tuned, type Corus 54E1;0,166;16,734;14-06-2018
25;654_429V_50.5;Clipped Tuned, type Corus 54E1;0,056;16,652;14-06-2018
26;103_303V_28.8;Clipped Tuned, type Corus 54E1;0,493;0,893;14-06-2018
27;609_127V_27.2;Onbekend;0;0,447;14-06-2018
28;123_3AR_10.6;Onbekend;0,034;0,857;14-06-2018
29;609_123BV_27.2;Onbekend;0;0,502;14-06-2018
30;510_401V_9.7;Clipped Tuned, type Corus 54E1;0;1,45;14-06-2018
31;510_403L_9.7;Clipped Tuned, type Corus 54E1;0,027;1,51;14-06-2018
32;055_423BV_37.4;Schrey & Veit, VICON-AMSA 54VS;0,186;0,336;14-06-2018
33;055_423BV_37.4;Schrey & Veit, VICON-AMSA 54VS;0,386;0,596;14-06-2018
34;055_427AR_37.6;Schrey & Veit, VICON-AMSA 54VS;0,052;0,222;14-06-2018
35;055_427AR_37.6;Schrey & Veit, VICON-AMSA 54VS;0,252;0,462;14-06-2018
36;546_1015R_4.5;Onbekend;0,246;0,525;14-06-2018
37;024_203L_25.8;Onbekend;0,027;0,77;14-06-2018
38;024_201AL_25.7;Onbekend;0,028;0,898;14-06-2018
39;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0;0,062;14-06-2018
40;618_273AR_49.5;Onbekend;0,029;0,124;14-06-2018
41;050_463AR_4.2;Onbekend;0,028;2,174;14-06-2018
42;605_1BL_33.4;Onbekend;0,029;0,215;14-06-2018
43;605_3BL_33.5;Onbekend;0,109;0,308;14-06-2018
44;562_159R_60.9;Onbekend;6,305;13,993;14-06-2018
45;562_161L_61.2;Onbekend;6,006;13,682;14-06-2018
46;551_163R_24.0;Onbekend;4,272;5,848;14-06-2018
47;551_161AR_23.6;Onbekend;4,675;6,219;14-06-2018
48;135_253V_21.5;Onbekend;0;5,989;14-06-2018
49;135_255V_21.5;Onbekend;0;5,99;14-06-2018
50;055_399AR_19.6;Onbekend;0,044;8,433;14-06-2018
51;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;0,04;0,319;14-06-2018
52;055_399BV_19.7;Onbekend;0;8,328;14-06-2018
53;055_413AL_29.6;Schrey & Veit, VICON-AMSA 54VS;0,083;0,379;14-06-2018
54;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;0,023;0,319;14-06-2018
55;055_399AR_19.6;Schrey & Veit, VICON-AMSA 54VS;8,433;9,408;14-06-2018
56;055_399BV_19.7;Schrey & Veit, VICON-AMSA 54VS;8,328;9,287;14-06-2018
57;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;5,094;5,177;14-06-2018
58;055_413AL_29.6;Schrey & Veit, VICON-AMSA 54VS;5,154;5,237;14-06-2018
59;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;7,507;7,715;14-06-2018
60;055_413AL_29.6;Schrey & Veit, VICON-AMSA 54VS;7,555;7,775;14-06-2018
61;618_273BV_49.5;Schrey & Veit, VICON-AMSA 54VS;8,113;8,37;14-06-2018
62;618_273AR_49.5;Schrey & Veit, VICON-AMSA 54VS;8,175;8,446;14-06-2018
63;618_273BV_49.5;Schrey & Veit, VICON-AMSA 54VS;7,672;7,762;14-06-2018
64;618_273AR_49.5;Schrey & Veit, VICON-AMSA 54VS;7,734;7,825;14-06-2018
65;027_955BV_149.2;Onbekend;0,319;0,527;14-06-2018
66;550_41AV_25.3;Onbekend;1,461;8,46;14-06-2018
67;133_1019R_8.7;Onbekend;1,135;6,864;14-06-2018
