ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
1181222;118_25V_83.5;0,000;3,082;118__;83,514;80,435
1181223;076_1657qV_12.3;0,000;0,034;076__;12,315;12,281
1181224;076_1621R_11.6;0,000;0,040;076__;11,647;11,606
1181225;076_1619L_11.6;0,000;0,048;076__;11,600;11,647
1181226;437_974L_0.5;0,000;0,202;437_a;0,493;0,294
1181227;437_974R_0.5;0,000;0,183;437_a;0,493;0,315
1181228;135_909ApV_45.1;0,000;0,034;135__;45,107;45,140
1181229;135_909AqV_45.1;0,000;0,034;135__;45,107;45,140
1181230;135_2001L_39.4;0,000;1,060;135__;39,438;40,499
1181231;624_219BV_32.8;0,000;0,009;624__;32,802;32,811
1181232;527_187AR_18.1;0,000;0,134;527_c;18,066;18,200
1181233;527_187AR_18.1;0,134;1,743;085__;18,200;19,810
1181234;305_1V_14.8;0,000;2,513;305__;14,803;12,289
1181235;525_441AL_78.1;0,000;0,921;525_b;78,101;78,992
1181236;525_479V_79.0;0,000;0,080;525_b;78,992;79,070
1181237;525_437AR_77.9;0,000;0,242;525_b;77,931;78,158
1181238;531_2577L_34.5;0,000;0,239;531_c;34,528;34,327
1181287;161_2223V_9.4;0,000;10,708;161__;9,424;20,131
1181288;437_978R_0.4;0,000;0,236;437_a;0,402;0,166
1181289;437_978L_0.4;0,000;0,236;437_a;0,402;0,166
1181290;437_960R_0.7;0,000;0,205;437_a;0,691;0,493
1181291;094_1091BL_2.7;1,808;2,006;531_a;0,900;0,700
1181292;094_1091BL_2.7;2,006;2,164;531_c;34,318;34,450
1181293;094_1091BL_2.7;0,000;1,808;094__;2,716;0,900
1181294;801_910L_102.4;0,000;0,003;801_b;102,372;102,376
1181295;531_2577R_34.5;0,239;0,418;531_a;0,700;0,892
1181296;517_125L_69.4;0,000;0,547;517_b;69,409;69,950
1181251;531_2323V_33.8;0,000;1,649;531_c;33,787;35,426
1181252;210_51V_34.2;0,000;8,691;210__;34,218;42,900
1181253;210_51V_34.2;8,691;9,341;607_b;42,900;43,549
1181254;135_2229R_15.4;0,000;0,159;135__;15,380;15,539
1181255;011_443R_67.2;0,000;0,746;011__;67,234;67,977
1181256;586_97AR_80.5;0,000;0,268;586__;80,510;80,778
1181257;112_351BV_62.6;0,000;4,301;112__;62,606;66,893
1181258;103_303L_28.8;0,000;4,330;103__;28,827;24,500
1181239;531_2577L_34.5;0,239;0,420;531_a;0,700;0,892
1181240;211_21R_21.6;0,000;0,387;211__;21,625;22,012
1181241;144_1413V_155.7;0,000;3,786;144_a;155,653;151,858
1181242;531_2703V_35.5;0,000;0,023;531_c;35,474;35,496
1181243;305_52R_18.0;0,000;0,804;305__;18,038;17,248
1181244;525_441AR_78.1;0,000;0,060;525_b;78,101;78,158
1181245;618_43BV_58.8;0,073;0,398;618_b;51,595;51,269
1181246;618_43BV_58.8;0,000;0,073;618_c;58,828;58,900
1181247;525_491R_79.2;0,000;0,312;525_b;79,152;78,841
1181248;127_1V_49.7;0,000;0,200;127_a;49,689;49,489
1181249;055_423BV_37.4;0,000;1,246;055__;37,424;38,669
1181250;531_2321R_33.6;0,000;1,042;531_c;33,615;34,652
1181179;118_13R_84.5;0,000;0,983;118__;84,497;83,514
1181180;118_13L_84.5;0,000;0,983;118__;84,497;83,514
1181181;037_2159V_92.3;0,000;0,006;037__;92,345;92,351
1181182;037_2161V_92.4;0,000;0,060;037__;92,351;92,411
1181183;801_923L_11.9;0,003;0,221;801_c;200,003;200,217
1181184;801_923L_11.9;0,000;0,003;801_a;11,947;11,944
1181185;526_453AR_3.9;0,000;0,092;526_a;3,920;4,012
1181186;540_165AR_81.7;0,764;1,701;555__;82,500;83,436
1181187;540_165AR_81.7;0,000;0,764;540_d;81,693;82,500
1181259;588_815AL_1.9;0,000;0,312;588__;1,887;2,213
1181260;588_815AqV_1.9;0,000;0,033;588__;1,870;1,904
1181261;071_5BR_20.0;1,782;3,022;784__;18,195;16,954
1181262;133_1021V_8.8;0,000;1,081;133_a;8,835;9,917
1181263;603_3079L_2.5;0,000;0,424;603_a;2,525;2,949
1181264;145_957AR_56.5;0,000;0,608;145__;56,492;57,100
1181265;145_957AR_56.5;0,608;2,003;558_a;57,100;58,500
1181266;612_9R_60.6;0,585;2,887;211__;12,300;14,599
1181267;564_1311pV_23.5;0,000;0,034;564_b;23,520;23,553
1181268;564_1305L_23.5;0,000;0,041;564_b;23,497;23,537
1181188;612_9R_60.6;0,185;0,585;612_a;11,900;12,300
1181189;043_343L_32.7;0,000;0,454;043__;32,747;33,201
