ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
161386;--VERVALLEN--;433_61V_4.7;433;;Sittard - Born;4,686;61;V;553;c;Sittard;22,302;313;LE;;4,692;2015-01-09;ProRail;4,692202
161387;--VERVALLEN--;011_297AR_70.1;011;;Assen - Haren;70,144;297A;R;011;;Assen - Haren;69,968;299B;L;;0,176;2015-01-09;ProRail;0,175942
161388;--VERVALLEN--;011_299AR_70.0;011;;Assen - Haren;70,033;299A;R;011;;Assen - Haren;69,968;299B;R;;0,065;2015-01-09;ProRail;0,064934
161389;--VERVALLEN--;011_297BV_70.0;011;;Assen - Haren;70,042;297B;V;011;;Assen - Haren;70,033;299A;V;;0,009;2015-01-09;ProRail;0,008769
161390;--VERVALLEN--;501_135V_80.7;501;;Groningen;80,657;135;V;501;;Groningen;80,681;137;L;;0,026;2015-01-09;ProRail;0,025558
161391;--VERVALLEN--;501_137V_80.7;501;;Groningen;80,681;137;V;501;;Groningen;80,706;139;L;;0,026;2015-01-09;ProRail;0,026389
161392;--VERVALLEN--;501_137R_80.7;501;;Groningen;80,681;137;R;501;;Groningen;80,606;929;V;;0,079;2015-01-09;ProRail;0,078949
161393;--VERVALLEN--;501_923V_80.5;501;;Groningen;80,464;923;V;501;;Groningen;80,560;926;R;;0,095;2015-01-09;ProRail;0,095264
161394;--VERVALLEN--;550_65R_25.5;550;;Leeuwarden;25,459;65;R;550;;Leeuwarden;25,752;71B;L;;0,292;2015-01-09;ProRail;0,291817
161395;--VERVALLEN--;550_906R_25.6;550;;Leeuwarden;25,624;906;R;550;;Leeuwarden;25,846;910B;RE;;0,210;2015-01-09;ProRail;0,209917
161621;--VERVALLEN--;924_359AqV_36.4;924;a;Kijfhoek;36,437;359A;L+R;924;a;Kijfhoek;36,404;359B;L+R;q;0,034;2015-01-09;ProRail;0,033670
161622;--VERVALLEN--;950_913V_17.1;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,139;913;V;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,179;914;L;;0,041;2015-01-09;ProRail;0,040749
161623;--VERVALLEN--;468_506L_101.2;468;a;Rotterdam Eemhaven;101,188;506;L;468;g;Rotterdam Eemhaven;400,449;507;R;;0,474;2015-01-09;ProRail;0,474471
161624;--VERVALLEN--;470_961L_400.2;470;l;Botlek;400,224;961;L;470;l;Botlek;400,257;963;V;;0,033;2015-12-21;ProRail;0,032771
161625;--VERVALLEN--;468_210R_101.9;468;a;Rotterdam Eemhaven;101,881;210;R;468;a;Rotterdam Eemhaven;102,228;218;L;;0,346;2015-01-09;ProRail;0,345993
161626;--VERVALLEN--;469_233R_201.7;469;b;Pernis;201,657;233;R;469;b;Pernis;201,906;XXX;V;;0,244;2015-01-09;ProRail;0,244432
161627;--VERVALLEN--;469_339R_602.1;469;g;Pernis;602,091;339;R;469;g;Pernis;602,306;340;V;;0,216;2015-01-09;ProRail;0,216064
161628;--VERVALLEN--;553_275AR_21.8;553;c;Sittard;21,796;275A;R;553;c;Sittard;21,860;275B;R;;0,064;2015-01-09;ProRail;0,063559
161629;--VERVALLEN--;553_275AL_21.8;553;c;Sittard;21,796;275A;L;553;c;Sittard;21,860;277B;R;;0,063;2015-01-09;ProRail;0,063342
