ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;011_293AR_70.2;0,058;0,059;01-09-2019;01-09-2019;250;250;BOOG;011_293B_70.235
2;011_293BL_70.2;0,03;0,038;01-09-2019;01-09-2019;-3000;-3000;BOOG;011_w293Bl-sBC_70.182
3;011_293BL_70.2;0,038;0,06;01-09-2019;01-09-2019;-3000;-3000;BOOG;011_w293Bl-sBC_70.196
4;011_293BL_70.2;0,291;0,371;01-09-2019;01-09-2019;5500;5500;BOOG;011_BC_70.254
5;011_293BL_70.2;0,434;0,507;01-09-2019;01-09-2019;-5500;-5500;BOOG;011_BC_70.247
6;011_293BL_70.2;1,207;1,24;01-09-2019;01-09-2019;-30000;-30000;BOOG;010_BC_71.433
7;011_293BL_70.2;1,24;1,274;01-09-2019;01-09-2019;30000;30000;BOOG;010_BC_71.434
8;011_293BL_70.2;1,694;1,698;01-09-2019;01-09-2019;-30000;-30000;BOOG;010_BC_71.404
9;011_293BL_70.2;2,539;2,543;01-08-2020;01-08-2020;-30000;-30000;BOOG;010_BC_71.404
10;011_293BL_70.2;2,603;2,608;01-08-2020;01-08-2020;30000;30000;BOOG;010_BC_71.405
11;011_293BL_70.2;3,01;3,029;01-07-2019;01-07-2019;-10000;-10000;BOOG;010_BC_71.419
12;011_293BL_70.2;3,156;3,379;01-07-2019;01-07-2019;-1225;-1225;BOOG;010_BC_71.623
13;011_293BL_70.2;3,379;3,485;01-07-2019;01-07-2019;-1350;-1350;BOOG;010_BC_71.506
14;011_293BL_70.2;3,485;3,551;01-09-2019;01-09-2019;-2070;-2070;BOOG;010_BC_71.466
15;011_293BL_70.2;3,606;3,694;01-09-2019;01-09-2019;-724;-724;BOOG;552_BC_73.888
16;011_293BV_70.2;0,073;0,085;01-09-2019;01-09-2019;-7100;-7100;BOOG;011_297B_70.186
17;011_293BV_70.2;0,085;0,112;01-09-2019;01-09-2019;-7100;-7100;BOOG;011_297B_70.201
18;011_293BV_70.2;0,112;0,132;01-09-2019;01-09-2019;-7100;-7100;BOOG;011_297B_70.194
19;011_295R_70.1;0,002;0,004;01-09-2019;01-09-2019;250;250;BOOG;011_295_70.101
20;011_295R_70.1;0,004;0,022;01-09-2019;01-09-2019;195;195;BOOG;011_295_70.117
21;011_295R_70.1;0,037;0,038;01-09-2019;01-09-2019;-300;-300;BOOG;011_w295r-s303a_70.1
22;011_295R_70.1;0,038;0,071;01-09-2019;01-09-2019;-300;-300;BOOG;011_w295r-s303a_70.132
23;011_295R_70.1;0,146;0,177;01-09-2019;01-09-2019;-3000;-3000;BOOG;011_303a_70.13
24;011_295V_70.1;0,102;0,129;01-09-2019;01-09-2019;-3900;-3900;BOOG;011_s303b-w301Br_70.126
25;011_295V_70.1;0,161;0,163;01-09-2019;01-09-2019;195;195;BOOG;011_301B_70.101
26;011_295V_70.1;0,163;0,165;01-09-2019;01-09-2019;250;250;BOOG;011_301B_70.101
27;011_297AL_70.1;0,045;0,048;01-08-2019;01-08-2019;725;725;BOOG;011_297A_70.147
28;011_297AL_70.1;0,052;0,055;01-08-2019;01-08-2019;-4000;-4000;BOOG;011_w297Al-w297Bl_70.147
29;011_297AL_70.1;0,057;0,098;01-09-2019;01-09-2019;-7100;-7100;BOOG;011_297B_70.185
30;011_297AL_70.1;0,098;0,101;01-09-2019;01-09-2019;-658;-658;BOOG;011_297B_70.147
31;011_297AR_70.1;0,001;0,048;01-08-2019;01-08-2019;999999;999999;BOOG;011_297A_70.191
32;011_297AR_70.1;0,135;0,145;01-08-2019;01-08-2019;-4000;-4000;BOOG;011_w297Ar-w299Bl_70.154
33;011_297AV_70.1;0,002;0,003;01-09-2019;01-09-2019;-4100;-4100;BOOG;011_w297Av-sCC_70.145
34;011_297AV_70.1;0,003;0,064;01-09-2019;01-09-2019;-4100;-4100;BOOG;011_w297Av-sCC_70.205
