ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;161_2541V_21.3;Onbekend;0,002;10,094;14-12-2017
2;161_2677V_31.9;Onbekend;0;3,426;14-12-2017
3;161_2675L_31.7;Onbekend;0,048;3,59;14-12-2017
4;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,344;0,401;14-12-2017
5;038_285AL_95.9;Onbekend;0,047;9,084;14-12-2017
6;038_285BV_96.0;Onbekend;0;8,982;14-12-2017
7;085_215BV_19.9;Onbekend;0;11,87;14-12-2017
8;618_273AR_49.5;Onbekend;6,497;6,523;14-12-2017
9;057_1AV_5.5;Onbekend;2,313;3,131;14-12-2017
10;057_1AV_5.5;Onbekend;2,012;2,261;14-12-2017
11;027_945V_148.6;Onbekend;0;0,579;14-12-2017
12;027_957AR_149.2;Clipped Tuned, type Corus 54E1;0,047;0,292;14-12-2017
13;027_931R_147.6;Onbekend;0,048;0,074;14-12-2017
14;027_931R_147.6;Onbekend;0,074;1,18;14-12-2017
15;589_969L_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,45;1,646;14-12-2017
16;027_955BV_149.2;Onbekend;0;0,318;14-12-2017
17;027_955AR_149.1;Clipped Tuned, type Corus 54E1;0,047;0,276;14-12-2017
18;027_943BV_148.6;Glued Tuned, type Corus 54E1;0;0,452;14-12-2017
19;027_943AL_148.5;Clipped Tuned, type Corus 54E1;0,029;0,085;14-12-2017
20;027_933R_147.6;Clipped Tuned, type Corus 54E1;0,046;0,997;14-12-2017
21;027_941R_148.6;Onbekend;0,047;1,074;14-12-2017
22;027_931L_147.6;Onbekend;0,201;1,268;14-12-2017
23;589_971AL_149.5;Onbekend;0,047;0,862;14-12-2017
24;618_273BV_49.5;Onbekend;6,435;6,46;14-12-2017
25;026_243BV_26.1;Onbekend;0;0,786;14-12-2017
26;026_243AR_26.0;Onbekend;0,037;0,91;14-12-2017
27;047_71L_52.2;Onbekend;0,057;4,352;14-12-2017
28;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,027;0,098;14-12-2017
29;011_299BV_70.0;Clipped Tuned, type Corus 54E1;0;2,765;14-12-2017
30;011_301AR_70.0;Clipped Tuned, type Corus 54E1;0,029;2,565;14-12-2017
31;011_73V_68.9;Clipped Tuned, type Corus 54E1;1,257;1,429;14-12-2017
32;654_427L_50.4;Clipped Tuned, type Corus 54E1;0,166;16,734;14-12-2017
33;654_429V_50.5;Clipped Tuned, type Corus 54E1;0,056;16,652;14-12-2017
34;103_303V_28.8;Clipped Tuned, type Corus 54E1;0,493;0,893;14-12-2017
35;609_127V_27.2;Onbekend;0;0,447;14-12-2017
36;123_3AR_10.6;Onbekend;0,028;0,865;14-12-2017
37;123_1AV_10.6;Onbekend;0;0,869;14-12-2017
38;609_123BV_27.2;Onbekend;0;0,502;14-12-2017
39;510_401V_9.7;Clipped Tuned, type Corus 54E1;0;1,45;14-12-2017
40;510_403L_9.7;Clipped Tuned, type Corus 54E1;0,027;1,51;14-12-2017
41;055_423BV_37.4;Schrey & Veit, VICON-AMSA 54VS;0,186;0,336;14-12-2017
42;055_423BV_37.4;Schrey & Veit, VICON-AMSA 54VS;0,386;0,596;14-12-2017
43;055_427AR_37.6;Schrey & Veit, VICON-AMSA 54VS;0,052;0,222;14-12-2017
44;055_427AR_37.6;Schrey & Veit, VICON-AMSA 54VS;0,252;0,462;14-12-2017
45;546_1015R_4.5;Onbekend;0,246;0,525;14-12-2017
46;509_9BR_35.1;Onbekend;0,13;5,948;14-12-2017
47;509_9AV_35.1;Onbekend;0,069;5,887;14-12-2017
48;024_203L_25.8;Onbekend;0,027;0,77;14-12-2017
49;024_201AL_25.7;Onbekend;0,028;0,898;14-12-2017
50;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0;0,062;14-12-2017
51;618_273AR_49.5;Onbekend;0,029;0,124;14-12-2017
52;050_463AR_4.2;Onbekend;0,028;2,174;14-12-2017
53;605_1BL_33.4;Onbekend;0,029;0,215;14-12-2017
54;605_3BL_33.5;Onbekend;0,109;0,308;14-12-2017
55;562_159R_60.9;Onbekend;6,305;13,993;14-12-2017
56;551_163R_24.0;Onbekend;4,273;5,85;14-12-2017
