ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
128096961;510_403L_9.7;T;0,323;8,366;140;2017-12-11
128096962;510_403L_9.7;T;8,366;8,402;140;2017-12-11
128096963;510_403L_9.7;T;8,402;9,497;110;2017-12-11
128096964;510_403V_9.7;T;0,000;0,074;130;2017-12-11
128096965;510_405L_9.8;T;0,000;0,480;130;2017-12-11
128096966;510_405R_9.8;T;0,000;0,084;40;2017-12-11
128096967;510_415L_10.3;T;0,000;2,166;130;2017-12-11
128096968;510_415R_10.3;T;0,000;0,111;80;2017-12-11
128096969;510_417L_10.3;T;0,000;0,111;130;2017-12-11
128096970;510_419V_10.4;T;0,000;0,025;130;2017-12-11
128097567;606_75L_0.4;T;0,000;0,037;40;2017-12-11
128097568;606_75V_0.4;T;0,000;0,194;70;2017-12-11
128097569;606_81AL_0.6;T;0,000;0,064;70;2017-12-11
128097570;606_81AR_0.6;T;0,000;0,064;40;2017-12-11
128097571;606_81BL_0.7;T;0,000;0,064;70;2017-12-11
128097572;606_81BV_0.7;T;0,000;0,248;70;2017-12-11
128097573;606_83AL_0.6;T;0,000;0,064;40;2017-12-11
128097574;606_83BV_0.7;T;0,000;0,208;70;2017-12-11
128097575;606_85AL_0.6;T;0,000;0,069;70;2017-12-11
128097576;606_85AR_0.6;T;0,000;0,070;40;2017-12-11
128097577;606_85BL_0.7;T;0,000;0,069;70;2017-12-11
128097578;606_85BV_0.7;T;0,000;0,347;70;2017-12-11
128097579;606_87AL_0.6;T;0,000;0,070;40;2017-12-11
128097580;606_87BV_0.7;T;0,000;0,235;70;2017-12-11
128097581;606_91BL_0.8;T;0,000;0,040;40;2017-12-11
128097582;606_91BR_0.8;T;0,000;0,036;40;2017-12-11
128097583;606_91BV_0.8;T;0,000;0,036;40;2017-12-11
128097584;606_95V_0.8;T;0,000;0,035;40;2017-12-11
128097585;606_97V_0.8;T;0,000;0,027;40;2017-12-11
128097586;606_99qV_0.9;T;0,000;0,032;40;2017-12-11
128097587;606_101AL_0.8;T;0,000;0,206;40;2017-12-11
128097588;606_101AR_0.8;T;0,000;0,036;40;2017-12-11
128097589;606_101BpV_0.9;T;0,000;0,031;70;2017-12-11
128097590;606_103AL_0.9;T;0,000;0,158;70;2017-12-11
128097591;606_103AR_0.9;T;0,000;0,040;40;2017-12-11
128097592;606_103BqV_0.9;T;0,000;0,032;70;2017-12-11
128097593;606_105AL_0.9;T;0,000;0,052;70;2017-12-11
128097594;606_105AR_0.9;T;0,000;0,052;40;2017-12-11
128097595;606_105BL_1.0;T;0,000;0,063;70;2017-12-11
128097596;606_105BV_1.0;T;0,000;0,049;70;2017-12-11
128106240;519_93BV_47.2;T;0,000;0,010;80;2017-12-11
128106241;517_93BV_69.5;T;0,000;0,387;40;2017-12-11
128106242;519_95AL_47.2;T;0,000;0,110;80;2017-12-11
128106243;519_95AR_47.2;T;0,000;0,179;130;2017-12-11
128106244;517_95AL_69.5;T;0,000;0,357;40;2017-12-11
128106245;517_95AR_69.5;T;0,000;0,053;40;2017-12-11
128106246;519_95BV_47.3;T;0,000;0,084;130;2017-12-11
128106247;519_95BV_47.3;T;0,084;5,436;130;2017-12-11
128106248;519_95BV_47.3;T;5,436;5,873;130;2017-12-11
128106249;517_95BV_69.6;T;0,000;0,304;40;2017-12-11
128106250;519_97AL_47.2;T;0,000;0,133;80;2017-12-11
128106251;519_97AR_47.2;T;0,000;0,151;80;2017-12-11
128106252;519_97AR_47.2;T;0,151;0,194;100;2017-12-11
128106253;519_97AR_47.2;T;0,194;3,395;100;2017-12-11
128106254;519_97BV_47.4;T;0,000;0,014;130;2017-12-11
128096796;049_9BR_25.9;T;5,263;5,289;125;2017-12-11
128096797;049_9BR_25.9;T;5,289;7,641;110;2017-12-11
128096798;049_9BR_25.9;T;7,641;7,691;110;2017-12-11
128096799;049_9BR_25.9;T;7,691;7,798;60;2017-12-11
128096800;049_9BV_25.9;T;0,000;0,832;125;2017-12-11
128096801;049_9BV_25.9;T;0,832;0,989;90;2017-12-11
128096802;052_15V_49.2;T;0,000;6,266;125;2017-12-11
128096803;514_15AL_18.1;T;0,000;0,110;60;2017-12-11
128096804;514_15AR_18.1;T;0,000;0,170;60;2017-12-11
128096805;514_15BV_18.0;T;0,000;0,206;60;2017-12-11
128096806;514_15BV_18.0;T;0,206;0,242;60;2017-12-11
128096807;514_15BV_18.0;T;0,242;0,312;40;2017-12-11
128096808;514_17L_17.9;T;0,000;0,093;40;2017-12-11
128096809;514_17L_17.9;T;0,093;0,139;100;2017-12-11
128104777;550_41AV_25.3;T;0,059;0,391;100;2017-12-11
128104778;550_41AV_25.3;T;0,391;1,945;100;2017-12-11
128097249;610_151BV_13.9;T;0,065;9,906;130;2017-12-11
128097250;610_151BV_13.9;T;9,906;12,949;100;2017-12-11
128097251;610_151BV_13.9;T;12,949;13,841;100;2017-12-11
128097252;610_151BV_13.9;T;13,841;13,856;100;2017-12-11
128097253;610_151BV_13.9;T;13,856;13,872;60;2017-12-11
128097254;503_167AL_42.4;T;0,000;0,058;40;2017-12-11
128097255;503_167AR_42.4;T;0,000;0,188;>=40;2017-12-11
128097256;503_167AqV_42.4;T;0,000;0,034;40;2017-12-11
128097257;503_167BV_42.3;T;0,000;0,044;40;2017-12-11
128097258;503_169pV_42.3;T;0,000;0,034;40;2017-12-11
128097259;503_171AL_42.3;T;0,000;0,075;40;2017-12-11
128097260;503_171AR_42.3;T;0,000;0,088;40;2017-12-11
128097597;606_107AL_0.9;T;0,000;0,064;40;2017-12-11
128097598;606_107BV_1.0;T;0,000;0,066;70;2017-12-11
128097599;606_109V_1.0;T;0,000;0,275;70;2017-12-11
128097600;606_109V_1.0;T;0,275;0,296;80;2017-12-11
128097601;606_109V_1.0;T;0,296;1,324;80;2017-12-11
128097287;503_193AL_40.8;T;0,000;0,104;60;2017-12-11
128097288;609_201L_28.5;T;0,000;0,057;40;2017-12-11
128097289;609_201L_28.5;T;0,057;0,062;40;2017-12-11
128097290;609_201L_28.5;T;0,062;0,351;20;2017-12-11
128097291;609_201L_28.5;T;0,351;0,381;40;2017-12-11
128097292;609_201L_28.5;T;0,381;0,415;40;2017-12-11
128097293;609_201R_28.5;T;0,000;0,417;40;2017-12-11
128097294;609_201V_28.5;T;0,000;0,072;40;2017-12-11
128097295;609_203L_28.5;T;0,000;0,521;40;2017-12-11
128097296;609_203V_28.5;T;0,000;0,053;40;2017-12-11
128097297;609_205L_28.6;T;0,000;0,340;40;2017-12-11
128097298;609_205V_28.6;T;0,000;0,086;40;2017-12-11
128097299;609_207L_28.7;T;0,000;0,424;40;2017-12-11
128097300;609_207V_28.7;T;0,000;0,043;40;2017-12-11
128097301;609_209L_28.7;T;0,000;0,510;40;2017-12-11
128097302;609_209V_28.7;T;0,000;0,043;40;2017-12-11
128097303;609_211L_28.7;T;0,000;0,598;40;2017-12-11
128097304;609_211R_28.7;T;0,000;0,546;40;2017-12-11
