ID;OBJECTTYPE;CG_TYPE;NUMMER;CG_NAAM;PCA;PGO_GEBIED;OBEGINTIJD
1910;contractgebied;BVL;23;Boxtel;BAM Rail;;2012-08-09
1911;contractgebied;BVL;15;Driebergen;VolkerRail;;2017-09-15
2010;contractgebied;BASIS;29;Gelderse Vallei;Strukton Rail;Veluwe;2017-12-01
2011;contractgebied;BAAN;33;Gelderland;Strukton Rail;Veluwe;2017-12-01
2012;contractgebied;BAAN;31;IJsselstreek;Strukton Rail;Veluwe;2017-12-01
2013;contractgebied;BAAN;29;Gelderse Vallei;Strukton Rail;Veluwe;2017-12-01
2014;contractgebied;BVL;33;Gelderland;Strukton Rail;Veluwe;2017-12-01
2015;contractgebied;BVL;31;IJsselstreek;Strukton Rail;Veluwe;2017-12-01
2016;contractgebied;BVL;29;Gelderse Vallei;Strukton Rail;Veluwe;2017-12-01
2017;contractgebied;BASIS;30;Achterhoek;ASSET Rail;Gelre;2017-10-23
2018;contractgebied;BASIS;28;Maas en Waal;ASSET Rail;Gelre;2017-10-23
2019;contractgebied;BVL;28;Maas en Waal;ASSET Rail;Gelre;2017-10-23
1912;contractgebied;BVL;19;Roosendaal;Strukton Rail;Zeeland;2017-05-31
1913;contractgebied;BVL;18;Goes;Strukton Rail;Zeeland;2017-05-31
1914;contractgebied;BAAN;30;Achterhoek;ASSET Rail;Gelre;2017-05-31
1915;contractgebied;BAAN;28;Maas en Waal;ASSET Rail;Gelre;2017-05-31
1916;contractgebied;BVL;30;Achterhoek;ASSET Rail;Gelre;2017-05-31
1917;contractgebied;BAAN;11;Weesp;Strukton Rail;;2013-08-16
1918;contractgebied;BVL;10;Duivendrecht;Strukton Rail;;2016-04-22
1919;contractgebied;BASIS;35;Drenthe;ASSET Rail;Drenthe;2017-06-06
1924;contractgebied;BVL;34;Overijssel;ASSET Rail;Drenthe;2017-06-06
1925;contractgebied;BASIS;11;Weesp;Strukton Rail;;2015-05-01
1926;contractgebied;BASIS;36;Friesland;Strukton Rail;Wadden;2016-01-29
1927;contractgebied;BAAN;36;Friesland;Strukton Rail;Wadden;2016-01-29
1928;contractgebied;BVL;36;Friesland;Strukton Rail;Wadden;2016-01-29
1929;contractgebied;BASIS;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
1930;contractgebied;BAAN;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
1920;contractgebied;BASIS;34;Overijssel;ASSET Rail;Drenthe;2017-06-06
1921;contractgebied;BAAN;35;Drenthe;ASSET Rail;Drenthe;2017-06-06
1922;contractgebied;BAAN;34;Overijssel;ASSET Rail;Drenthe;2017-06-06
1923;contractgebied;BVL;35;Drenthe;ASSET Rail;Drenthe;2017-06-06
1931;contractgebied;BASIS;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1932;contractgebied;BAAN;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1933;contractgebied;BVL;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1934;contractgebied;BVL;16;Maarn;ASSET Rail;Eemland;2013-08-30
1938;contractgebied;BAAN;37;Groningen;Strukton Rail;Wadden;2016-04-07
1939;contractgebied;BASIS;19;Roosendaal;Strukton Rail;Zeeland;2017-05-31
1940;contractgebied;BASIS;21;Den Bosch;BAM Rail;Betuwe;2016-04-29
1941;contractgebied;BASIS;20;Breda;BAM Rail;;2016-04-29
