ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;924_913L_33.7;0,035;0,071;01-04-2017;01-04-2017;400;400;BOOG;924_15_33.715
2;924_913L_33.7;0,158;0,192;01-04-2017;01-04-2017;-309;-309;BOOG;924_15_33.713
3;924_913R_33.7;0,04;0,06;01-04-2017;01-04-2017;-1000;-1000;BOOG;924_14_33.699
4;924_913R_33.7;0,148;0,199;01-04-2017;01-04-2017;-450;-450;BOOG;924_14_33.73
5;924_915V_33.9;0,041;0,058;01-04-2017;01-04-2017;-5000;-5000;BOOG;924_16d_33.959
6;924_915V_33.9;0,087;0,109;01-04-2017;01-04-2017;5000;5000;BOOG;924_s16d-w3223Bl_33.964
7;924_935L_35.9;0,095;0,17;01-09-2017;01-09-2017;300;300;BOOG;924_286_36.005
8;924_935R_35.9;0,031;0,034;01-09-2017;01-09-2017;-350;-350;BOOG;924_w935r-w937v_35.933
9;924_935R_35.9;0,034;0,037;01-09-2017;01-09-2017;350;350;BOOG;924_w935r-w937v_35.933
10;924_937L_35.9;0,068;0,123;01-09-2017;01-09-2017;-290;-290;BOOG;924_287_35.95
11;924_937R_35.9;0,071;0,098;01-09-2017;01-09-2017;-10000;-10000;BOOG;924_288_35.922
12;924_937R_35.9;0,098;0,123;01-09-2017;01-09-2017;10000;10000;BOOG;924_288_35.92
13;926_11L_1.1;0,018;0,028;01-04-2017;01-04-2017;4000;4000;BOOG;926_w11/9Bv-s39_1.082
14;926_11L_1.1;0,053;0,068;01-04-2017;01-04-2017;-10000;-10000;BOOG;926_39_1.087
15;926_11L_1.1;0,668;0,682;01-04-2017;01-04-2017;-1200;-1200;BOOG;926_s39-w35r_1.086
16;926_11R_1.1;0,021;0,025;01-04-2017;01-04-2017;1500;1500;BOOG;926_w11/9Bv-w15Av_1.076
17;926_15BV_1.2;0,004;0,015;01-04-2017;01-04-2017;-10000;-10000;BOOG;926_w15Bv-s37_1.168
18;926_15BV_1.2;0,463;0,511;01-04-2017;01-04-2017;-4000;-4000;BOOG;926_37_1.205
19;926_17AV_1.1;0,013;0,021;01-04-2017;01-04-2017;500;500;BOOG;926_50_1.103
20;926_17AV_1.1;0,021;0,045;01-04-2017;01-04-2017;-750;-750;BOOG;926_50_1.119
21;926_17BV_1.2;0,136;0,152;01-04-2017;01-04-2017;10000;10000;BOOG;926_38_1.173
22;926_17BV_1.2;0,297;0,311;01-04-2017;01-04-2017;-30000;-30000;BOOG;926_38_1.171
23;926_17BV_1.2;0,543;0,555;01-04-2017;01-04-2017;-1000;-1000;BOOG;926_s38-w33r_1.169
24;926_2008L_1.6;0,086;0,396;01-04-2017;01-04-2017;30000;30000;BOOG;926_35_1.868
25;926_2008L_1.6;0,424;0,452;01-04-2017;01-04-2017;30000;30000;BOOG;926_35_1.586
26;926_2008L_1.6;0,474;0,48;01-04-2017;01-04-2017;-10000;-10000;BOOG;926_2040_1.564
27;926_2008L_1.6;0,48;0,497;01-04-2017;01-04-2017;999999;999999;BOOG;926_2040_1.575
28;926_2008R_1.6;0,068;0,443;01-04-2017;01-04-2017;300;300;BOOG;926_36a_1.933
29;926_2008V_1.6;0,04;0,05;01-04-2017;01-04-2017;-5000;-5000;BOOG;926_w2008v-w2009r_1.568
30;926_2010R_1.6;0,052;0,41;01-04-2017;01-04-2017;-5000;-5000;BOOG;926_34_1.957
31;926_2010R_1.6;0,429;0,478;01-04-2017;01-04-2017;-5000;-5000;BOOG;926_34_1.648
32;926_2011R_1.6;0,012;0,026;01-04-2017;01-04-2017;999999;999999;BOOG;926_2011_1.576
33;926_2011R_1.6;0,044;0,058;01-04-2017;01-04-2017;-2000;-2000;BOOG;926_33_1.576
34;926_2011R_1.6;0,058;0,229;01-04-2017;01-04-2017;3500;3500;BOOG;926_33_1.733
35;926_2011R_1.6;0,249;0,389;01-04-2017;01-04-2017;30000;30000;BOOG;926_33_1.702
36;926_2011R_1.6;0,408;0,415;01-04-2017;01-04-2017;-30000;-30000;BOOG;926_33_1.569
37;926_2012R_1.5;0,035;0,045;01-04-2017;01-04-2017;-1000;-1000;BOOG;926_32_1.536
38;926_2012R_1.5;0,045;0,353;01-04-2017;01-04-2017;1500;1500;BOOG;926_32_1.834
39;926_2012R_1.5;0,372;0,378;01-04-2017;01-04-2017;-30000;-30000;BOOG;926_32_1.532
40;926_2013L_1.5;0,053;0,056;01-04-2017;01-04-2017;190;190;BOOG;926_w2013l-w2016v_1.492
41;926_2013R_1.5;0,012;0,026;01-04-2017;01-04-2017;999999;999999;BOOG;926_2013_1.503
42;926_2015L_1.5;0,069;0,546;01-04-2017;01-04-2017;-300;-300;BOOG;926_B1_1.932
43;926_2015L_1.5;0,618;0,64;01-04-2017;01-04-2017;380;380;BOOG;926_B1_1.477
44;926_2015L_1.5;0,64;0,654;01-04-2017;01-04-2017;-180;-180;BOOG;926_B1_1.469
45;926_2015R_1.5;0,078;0,271;01-04-2017;01-04-2017;20000;20000;BOOG;926_31_1.648
46;926_2015R_1.5;0,315;0,498;01-04-2017;01-04-2017;30000;30000;BOOG;926_31_1.638
47;926_2016L_1.4;0,093;0,108;01-04-2017;01-04-2017;-180;-180;BOOG;926_B6_1.448
48;926_2016L_1.4;0,301;0,472;01-04-2017;01-04-2017;30000;30000;BOOG;926_B6_1.604
49;926_2017L_1.4;0,011;0,027;01-04-2017;01-04-2017;999999;999999;BOOG;926_2017_1.422
50;926_2017L_1.4;0,034;0,063;01-04-2017;01-04-2017;-220;-220;BOOG;926_B4_1.435
51;926_2017L_1.4;0,063;0,501;01-04-2017;01-04-2017;-320;-320;BOOG;926_B4_1.844
52;926_2017L_1.4;0,519;0,52;01-04-2017;01-04-2017;-10000;-10000;BOOG;926_2052_1.407
53;926_2017R_1.4;0,037;0,077;01-04-2017;01-04-2017;-300;-300;BOOG;926_B3_1.446
54;926_2017R_1.4;0,077;0,511;01-04-2017;01-04-2017;2000;2000;BOOG;926_B3_1.84
55;926_2017R_1.4;0,526;0,54;01-04-2017;01-04-2017;10000;10000;BOOG;926_B3_1.42
56;926_2017R_1.4;0,554;0,556;01-04-2017;01-04-2017;-5000;-5000;BOOG;926_B3_1.408
57;926_2033L_1.1;0,044;0,078;01-04-2017;01-04-2017;10000;10000;BOOG;926_32a_1.182
58;926_2033L_1.1;0,095;0,191;01-04-2017;01-04-2017;-20000;-20000;BOOG;926_32a_1.244
59;926_2037R_1.1;0,037;0,038;01-04-2017;01-04-2017;1400;1400;BOOG;926_2039_1.148
60;926_2038V_1.1;0,024;0,091;01-04-2017;01-04-2017;30000;30000;BOOG;926_Y_1.154
61;926_2038V_1.1;0,111;0,118;01-04-2017;01-04-2017;30000;30000;BOOG;926_Y_1.094
62;926_2039V_1.1;0,005;0,022;01-04-2017;01-04-2017;400;400;BOOG;926_2040_1.101
63;926_2047R_1.0;0,055;0,172;01-04-2017;01-04-2017;-30000;-30000;BOOG;926_X_1.146
64;926_2047R_1.0;0,208;0,216;01-04-2017;01-04-2017;30000;30000;BOOG;926_X_1.037
65;926_2050L_1.0;0,032;0,05;01-04-2017;01-04-2017;-2000;-2000;BOOG;926_B7_0.977
66;926_2050L_1.0;0,197;0,223;01-04-2017;01-04-2017;1000;1000;BOOG;926_B7_0.985
67;926_2050L_1.0;0,223;0,275;01-04-2017;01-04-2017;500;500;BOOG;926_B7_1.011
68;926_2050R_1.0;0,035;0,036;01-04-2017;01-04-2017;5000;5000;BOOG;926_w2050r-w2051v_0.96
69;926_2051L_0.9;0,031;0,049;01-04-2017;01-04-2017;-1500;-1500;BOOG;926_B8_0.94
70;926_2051L_0.9;0,107;0,122;01-04-2017;01-04-2017;2000;2000;BOOG;926_B8_0.937
71;926_2051L_0.9;0,153;0,203;01-04-2017;01-04-2017;1200;1200;BOOG;926_B8_0.972
72;926_2051L_0.9;0,203;0,233;01-04-2017;01-04-2017;350;350;BOOG;926_B8_0.952
73;926_2055V_0.8;0;0,003;01-04-2017;01-04-2017;-500;-500;BOOG;926_w2055v-w2069A/2069Bv_0.8
74;926_2057L_0.8;0,036;0,114;01-04-2017;01-04-2017;262;262;BOOG;926_M3_0.9
75;926_2057L_0.8;0,174;0,205;01-04-2017;01-04-2017;-1200;-1200;BOOG;926_M3_0.853
76;926_2057L_0.8;0,261;0,322;01-04-2017;01-04-2017;350;350;BOOG;926_M3_0.883
77;926_2057R_0.8;0,049;0,075;01-04-2017;01-04-2017;1000;1000;BOOG;926_M2_0.848
78;926_2057R_0.8;0,075;0,091;01-04-2017;01-04-2017;300;300;BOOG;926_M2_0.838
79;926_2057R_0.8;0,091;0,12;01-04-2017;01-04-2017;200;200;BOOG;926_M2_0.851
80;926_2057R_0.8;0,12;0,148;01-04-2017;01-04-2017;1000;1000;BOOG;926_M2_0.85
81;926_2057R_0.8;0,202;0,244;01-04-2017;01-04-2017;308;308;BOOG;926_M2_0.864
82;926_2057V_0.8;0,027;0,035;01-04-2017;01-04-2017;10000;10000;BOOG;926_w2057v-w2059r_0.83
83;926_2058L_0.9;0,034;0,064;01-04-2017;01-04-2017;240;240;BOOG;926_w2058l-w2069A/2069Bv_0.888
84;926_2058R_0.9;0,036;0,06;01-04-2017;01-04-2017;500;500;BOOG;926_w2058r-w2080l_0.882
85;926_2058R_0.9;0,06;0,096;01-04-2017;01-04-2017;300;300;BOOG;926_w2058r-w2080l_0.894
86;926_2058R_0.9;0,096;0,136;01-04-2017;01-04-2017;500;500;BOOG;926_w2058r-w2080l_0.898
87;926_2058R_0.9;0,136;0,178;01-04-2017;01-04-2017;315;315;BOOG;926_w2058r-w2080l_0.9
88;817_60L_204.8;0,128;0,163;01-09-2016;01-09-2016;-227;-227;BOOG;817_w60l-w70v_204.79
89;817_60L_204.8;0,163;0,228;01-09-2016;01-09-2016;-191;-191;BOOG;817_w60l-w70v_204.82
90;817_60L_204.8;0,228;0,24;01-09-2016;01-09-2016;-230;-230;BOOG;817_w60l-w70v_204.767
91;817_60L_204.8;0,24;0,318;01-09-2016;01-09-2016;-193;-193;BOOG;817_w60l-w70v_204.833
92;817_60R_204.8;0,035;0,084;01-07-2016;01-07-2016;-470;-470;BOOG;817_w60r-s53_500.049
