ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
128254468;011_13R_67.9;39B/39A;W;0,869;0,886;2017-12-14;1:9;7,17;39B/39A;39B/39A;WISSEL;WISSEL
128254469;603_41R_48.2;69B;W;0,684;0,710;2017-12-14;1:9;1,33;69B;69B;WISSEL;WISSEL
128254470;047_5BV_41.1;35B;W;0,849;0,876;2017-12-14;1:9;1,33;35B;35B;WISSEL;WISSEL
128254471;555_339AL_84.1;339A;W;0,000;0,039;2017-12-14;1:12;1,33;339A;339A;WISSEL;WISSEL
128254472;120_23AR_8.6;23A;W;0,000;0,029;2017-12-14;1:9;1,33;23A;23A;WISSEL;WISSEL
128254473;927_9AL_904.3;9B;W;0,036;0,064;2017-12-14;1:9;1,33;9B;9B;WISSEL;WISSEL
128254474;545_915L_22.0;915;W;0,000;0,028;2017-12-14;1:9;1,33;915;915;WISSEL;WISSEL
128254475;542_505L_29.6;505;W;0,000;0,029;2017-12-14;1:9;1,33;505;505;WISSEL;WISSEL
128254476;009_87L_137.9;87;W;0,000;0,026;2017-12-14;1:9;1,33;87;87;WISSEL;WISSEL
128254477;105_465AR_29.3;465B;W;0,036;0,064;2017-12-14;1:9;1,33;465B;465B;WISSEL;WISSEL
128254478;516_918L_1.7;918;W;0,000;0,029;2017-12-14;1:9;1,33;918;918;WISSEL;WISSEL
128254479;664_141AL_43.1;141A;W;0,000;0,029;2017-12-14;1:9;1,33;141A;141A;WISSEL;WISSEL
128254480;586_157BL_80.8;157B;W;0,000;0,028;2017-12-14;1:9;1,33;157B;157B;WISSEL;WISSEL
128254482;516_912R_2.1;912;W;0,000;0,029;2017-12-14;1:9 SYM;1,33;912;912;WISSEL;WISSEL
128254483;002_357AR_51.5;357B;W;0,054;0,101;2017-12-14;1:15;1,33;357B;357B;WISSEL;WISSEL
128254484;817_74BR_206.2;74B;W;0,000;0,022;2017-12-14;1:7;1,33;74B;74B;WISSEL;WISSEL
128254485;664_893AL_42.6;893A;W;0,000;0,048;2017-12-14;1:15;1,33;893A;893A;WISSEL;WISSEL
128254486;163_1029AR_43.9;1029A/1029B;W;0,000;0,016;2017-12-14;1:9;7,17;1029A/1029B;1029A/1029B;WISSEL;WISSEL
128254488;520_143AL_0.7;147A/143B;W;0,024;0,040;2017-12-14;1:9;7,17;147A/143B;147A/143B;WISSEL;WISSEL
128254489;503_189L_40.9;189;W;0,000;0,042;2017-12-14;1:15;1,33;189;189;WISSEL;WISSEL
128254490;128_1247R_10.1;1249;W;0,137;0,237;2017-12-14;1:29;1,30;1249;1249;WISSEL;WISSEL
128254491;203_343R_34.5;353;W;7,388;7,436;2017-12-14;1:15;1,33;353;353;WISSEL;WISSEL
128254492;009_17R_114.6;33;W;0,652;0,681;2017-12-14;1:9;1,33;33;33;WISSEL;WISSEL
128254493;508_2081R_91.3;2081;W;0,000;0,029;2017-12-14;1:9;1,33;2081;2081;WISSEL;WISSEL
128253894;586_261BpV_81.1;263A/261B;W;0,000;0,032;2017-12-14;1:9;7,17;263A/261B;263A/261B;WISSEL;WISSEL
128253896;012_361AL_33.3;375B;W;0,830;0,857;2017-12-14;1:9;1,33;375B;375B;WISSEL;WISSEL
128250066;586_49pV_80.4;57A/49;W;0,000;0,028;2017-12-14;1:8;1,33;57A/49;57A/49;WISSEL;WISSEL
128250067;152_4061R_15.1;4063;W;0,066;0,119;2017-12-14;1:18.5;0,81;4063;4063;WISSEL;WISSEL
128250068;618_183AL_50.9;183A;W;0,000;0,033;2017-12-14;1:9;1,33;183A;183A;WISSEL;WISSEL
128250070;021_11BL_86.6;11B;W;0,000;0,048;2017-12-14;1:15;1,33;11B;11B;WISSEL;WISSEL
128250071;508_821V_90.9;823;W;0,012;0,044;2017-12-14;1:9;1,33;823;823;WISSEL;WISSEL
128250698;011_61AR_68.9;61A/61B;W;0,000;0,017;2017-12-14;1:9;7,17;61A/61B;61A/61B;WISSEL;WISSEL
128250699;009_143AL_154.0;145B;W;0,127;0,156;2017-12-14;1:9;1,33;145B;145B;WISSEL;WISSEL
128250700;057_83AR_19.9;83A;W;0,000;0,048;2017-12-14;1:15;1,33;83A;83A;WISSEL;WISSEL
128250701;035_155AL_60.6;157B;W;0,187;0,235;2017-12-14;1:15;1,33;157B;157B;WISSEL;WISSEL
128250702;624_165AL_32.2;165B;W;0,036;0,064;2017-12-14;1:9;1,33;165B;165B;WISSEL;WISSEL
128250703;478_1229qV_1.8;1243/1229;W;0,000;0,034;2017-12-14;1:9;7,17;1243/1229;1243/1229;WISSEL;WISSEL
128250704;815_912BR_5.0;918;W;0,534;0,561;2017-12-14;1:9;1,33;918;918;WISSEL;WISSEL
128250705;519_77AR_46.8;77A/75;W;0,000;0,017;2017-12-14;1:9;7,17;77A/75;77A/75;WISSEL;WISSEL
128250706;927_937V_906.0;938;W;0,025;0,054;2017-12-14;1:9;1,33;938;938;WISSEL;WISSEL
128250707;950_101R_6.8;105A/101;W;0,000;0,016;2017-12-14;1:9;7,17;105A/101;105A/101;WISSEL;WISSEL
128250708;529_3647L_23.0;3661;W;0,178;0,226;2017-12-14;1:15;1,33;3661;3661;WISSEL;WISSEL
128250709;506_169R_44.3;169/165B;W;0,000;0,017;2017-12-14;1:9;7,17;169/165B;169/165B;WISSEL;WISSEL
128250710;052_68L_41.1;85;W;1,094;1,133;2017-12-14;1:12;1,33;85;85;WISSEL;WISSEL
128250712;801_903L_8.4;904;W;0,071;0,100;2017-12-14;1:9;1,33;904;904;WISSEL;WISSEL
128250075;479_2003L_300.7;2003;W;0,000;0,029;2017-12-14;1:9;1,33;2003;2003;WISSEL;WISSEL
128250076;924_3273AL_34.2;3273A;W;0,000;0,028;2017-12-14;1:9;1,33;3273A;3273A;WISSEL;WISSEL
128250077;927_31R_904.4;31;W;0,000;0,029;2017-12-14;1:9;1,33;31;31;WISSEL;WISSEL
128250078;563_167AR_56.8;175B;W;0,548;0,576;2017-12-14;1:9;1,33;175B;175B;WISSEL;WISSEL
128250079;525_965R_78.6;965;W;0,000;0,029;2017-12-14;1:9;1,33;965;965;WISSEL;WISSEL
128250080;516_919R_1.8;919;W;0,000;0,029;2017-12-14;1:9;1,33;919;919;WISSEL;WISSEL
128250081;927_3031pV_905.1;3033/3031;W;0,000;0,032;2017-12-14;1:9;7,17;3033/3031;3033/3031;WISSEL;WISSEL
128257400;001_1125R_9.4;1125;W;0,000;0,029;2017-12-14;1:9;1,33;1125;1125;WISSEL;WISSEL
128257401;940_75AL_43.7;75A;W;0,000;0,029;2017-12-14;1:9;1,33;75A;75A;WISSEL;WISSEL
128257402;054_1345AL_53.0;1345A;W;0,000;0,048;2017-12-14;1:15;1,33;1345A;1345A;WISSEL;WISSEL
128257403;950_1103L_26.6;1121;W;1,389;1,417;2017-12-14;1:9;1,33;1121;1121;WISSEL;WISSEL
128257404;817_71R_205.1;71;W;0,000;0,029;2017-12-14;1:9;1,33;71;71;WISSEL;WISSEL
128257405;817_1263AR_200.2;1263B;W;0,065;0,094;2017-12-14;1:9;1,33;1263B;1263B;WISSEL;WISSEL
128257406;478_1111qV_0.7;1113A/1111;W;0,000;0,034;2017-12-14;1:9;7,17;1113A/1111;1113A/1111;WISSEL;WISSEL
128257407;124_906L_3.1;906;W;0,000;0,029;2017-12-14;1:9;1,33;906;906;WISSEL;WISSEL
128257408;528_39BqV_28.8;45A/39B;W;0,000;0,034;2017-12-14;1:9;7,17;45A/39B;45A/39B;WISSEL;WISSEL
