ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
1181072;626_3BR_31.8;0,304;16,626;079__;31,500;15,178
1181073;924_3289L_34.3;0,000;0,855;924_a;34,316;35,160
1181074;950_638R_7.1;0,000;0,403;950_a;7,095;6,684
1181075;950_928L_6.6;0,000;0,041;950_a;6,645;6,684
1181076;478_921V_101.6;0,000;1,615;478_c;101,615;100,000
1181077;478_921V_101.6;2,398;2,399;478_d;200,001;200,000
1181078;478_921V_101.6;2,399;2,411;478_a;4,362;4,350
1181079;553_219AR_21.3;0,000;0,029;553_c;21,271;21,301
1181080;553_217BqV_21.3;0,000;0,034;553_c;21,288;21,255
1181081;553_219AL_21.3;0,000;0,041;553_c;21,271;21,312
1181082;527_95qV_17.3;0,000;0,035;527_c;17,284;17,249
1180226;084_13AL_10.4;5,835;6,044;527_c;16,200;16,410
1180227;555_277BV_83.6;0,000;0,490;555__;83,621;84,126
1180228;555_273BV_83.6;0,000;0,490;555__;83,622;84,126
1180229;517_231R_0.4;0,000;0,195;517_a;0,424;0,617
1180230;120_9AV_7.7;0,000;6,094;120_a;7,674;1,500
1180231;531_2589qV_34.7;0,000;0,034;531_c;34,697;34,664
1180232;531_2595R_34.7;0,000;0,057;531_c;34,681;34,739
1180233;588_823L_1.8;0,000;0,382;588__;1,759;2,165
1180234;564_971R_23.7;0,000;0,282;564_b;23,719;23,999
1180235;564_968pV_23.7;0,000;0,034;564_b;23,702;23,735
1180236;564_968L_23.7;0,000;0,283;564_b;23,718;23,999
1180237;564_968qV_23.7;0,000;0,034;564_b;23,702;23,735
1180238;305_39V_17.0;0,000;1,190;305__;17,002;18,190
1180222;501_171AL_80.9;0,000;0,063;501__;80,909;80,972
1180223;501_123BV_80.9;0,000;0,014;501__;80,895;80,909
1180224;501_119V_80.7;0,000;0,246;501__;80,736;80,492
1180225;501_119L_80.7;0,000;0,154;501__;80,736;80,892
1180483;542_1247BpV_29.9;0,000;0,034;542_a;29,890;29,856
1180484;542_1261AL_29.9;0,000;0,054;542_a;29,873;29,927
1180485;542_1263BqV_29.9;0,000;0,034;542_a;29,944;29,910
1180486;542_1263BpV_29.9;0,000;0,034;542_a;29,944;29,910
1180487;924_2331AR_35.0;0,000;0,462;924_a;35,022;35,483
1180488;924_361BL_36.4;0,000;0,183;924_a;36,464;36,646
1180489;924_365V_36.6;0,000;0,045;924_a;36,646;36,691
1180490;924_363V_36.5;0,000;0,215;924_a;36,476;36,691
1180491;950_341qV_17.4;0,000;0,031;950_a;17,399;17,431
1180492;950_413R_26.9;0,000;0,043;950_a;26,932;26,976
1180493;950_107L_6.9;0,000;0,810;950_a;6,882;7,693
1180494;950_199V_7.6;0,000;0,048;950_a;7,645;7,693
1180495;561_89AL_59.7;0,000;0,064;561__;59,680;59,616
1180496;561_89AR_59.7;0,000;0,064;561__;59,680;59,616
1180497;564_85V_59.8;0,000;0,111;561__;59,790;59,680
1180498;501_928V_80.6;0,000;0,026;501__;80,581;80,606
1180499;109_231AL_32.5;0,000;0,271;109__;32,512;32,240
1180500;531_2589L_34.7;0,000;0,057;531_c;34,681;34,624
1180501;531_2591L_34.6;0,000;0,069;531_c;34,624;34,692
1180502;021_13R_86.6;0,000;0,105;021__;86,606;86,712
1180503;531_2753R_35.6;0,000;1,405;531_c;35,562;36,963
1180504;531_2593V_34.7;0,000;0,322;531_c;34,692;35,013
1180505;528_43AR_28.7;0,000;0,116;528_b;28,746;28,855
1180506;528_41AR_28.7;0,000;0,199;528_b;28,664;28,855
1180507;564_1303V_23.5;0,000;0,113;564_b;23,516;23,630
1180508;564_1331V_23.6;0,000;0,031;564_b;23,630;23,661
1180509;564_1323R_23.6;0,000;0,077;564_b;23,571;23,649
1180761;486_36BR_0.8;0,000;0,724;486_a;0,813;1,537
1180762;486_907R_75.3;0,000;0,065;486_b;75,319;75,254
1180763;055_317V_11.8;0,000;0,001;055__;11,772;11,773
1180764;210_45R_33.8;0,000;0,391;210__;33,828;34,218
