ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
26278052;618_871BV_50.3;156b;S;0,000;0,132;2015-06-02;;
26278053;021_13L_86.6;BC;S;0,231;0,993;2015-06-02;;
26278054;470_250R_100.7;4206;S;0,029;0,327;2015-06-02;;
26278056;529_3657V_22.9;UD3;S;2,341;3,090;2015-06-02;;
26278057;133_952R_20.8;222;S;0,052;0,452;2015-06-02;;
26278241;161_2223V_9.4;GP8;S;9,561;10,459;2015-06-02;;
26278242;552_253L_83.1;302;S;0,056;0,699;2015-06-02;;
26278243;654_981V_49.6;11;S;0,000;0,448;2015-06-02;;
26278244;803_56L_101.5;3903;S;0,033;0,536;2015-06-02;;
26278245;135_906L_45.1;1;S;0,028;0,314;2015-06-02;;
26278105;924_2309R_524.9;UA;S;0,107;0,616;2015-06-02;;
26278106;105_447R_28.6;708;S;0,457;0,669;2015-06-02;;
26278107;490_109R_6.6;5454;S;0,028;0,862;2015-06-02;;
26278108;555_173AV_83.2;ZB;S;0,643;1,012;2015-06-02;;
26278109;545_974R_22.8;46;S;0,029;0,298;2015-06-02;;
26278111;155_4363V_74.4;ZG1;S;0,210;0,730;2015-06-02;;
26278112;506_607R_43.5;36;S;0,029;0,412;2015-06-02;;
26278113;519_45R_46.3;14;S;0,029;0,336;2015-06-02;;
26278114;617_1221R_40.7;531;S;0,722;1,175;2015-06-02;;
26278115;924_2331AR_35.0;CB;S;0,147;0,344;2015-06-02;;
26278116;926_2008L_1.6;35;S;0,028;0,482;2015-06-02;;
26278117;049_9BV_25.9;302;S;0,099;0,593;2015-06-02;;
26277402;437_968R_0.8;26;S;0,029;0,638;2015-06-02;;
26277403;545_901BR_22.2;92;S;0,017;0,089;2015-06-02;;
26277404;009_7BV_114.2;412b;S;0,349;0,372;2015-06-02;;
26277405;614_22L_47.3;739;S;0,029;0,060;2015-06-02;;
26277406;017_51AR_70.0;111b;S;0,029;0,687;2015-06-02;;
26277474;937_73V_68.9;343;S;0,000;0,596;2015-06-02;;
26277720;924_2327R_34.7;OB;S;0,219;0,656;2015-06-02;;
26277721;009_67AL_127.7;TD;S;0,299;9,780;2015-06-02;;
26277722;950_263R_19.0;PO;S;0,175;7,490;2015-06-02;;
26277723;163_253BL_43.4;85a;S;0,058;0,187;2015-06-02;;
26277724;515_303AV_50.9;CH;S;0,419;2,131;2015-06-02;;
26277725;161_2221V_9.4;GD7;S;8,219;9,117;2015-06-02;;
26277726;927_946R_905.7;340;S;0,026;0,682;2015-06-02;;
26277727;950_667R_7.6;372;S;0,027;0,269;2015-06-02;;
26277728;950_665L_7.6;350d;S;0,028;0,173;2015-06-02;;
26277730;817_1209V_115.7;526;S;0,043;0,288;2015-06-02;;
26277731;470_252L_100.5;4202;S;0,027;0,250;2015-06-02;;
26277732;515_305R_51.0;768;S;0,352;0,718;2015-06-02;;
26277990;534_1009AV_44.7;512;S;0,024;0,301;2015-06-02;;
26277991;531_171L_35.3;sp-sp;S;0,068;0,190;2015-06-02;;
26277992;028_1025L_52.8;408;S;0,053;0,415;2015-06-02;;
26277993;555_379V_84.4;LD;S;2,768;2,818;2015-06-02;;
26277994;206_101R_12.2;612;S;0,081;0,350;2015-06-02;;
26277996;516_275L_1.5;105;S;0,066;0,675;2015-06-02;;
26278195;467_25V_101.0;390;S;0,000;0,842;2015-06-02;;
26278196;801_903V_8.4;1031;S;0,089;0,488;2015-06-02;;
26278197;564_979L_23.9;64;S;0,029;0,267;2015-06-02;;
26278198;120_9BL_7.7;ZA;S;0,059;6,885;2015-06-02;;
26278199;135_2071R_43.1;GA1;S;0,048;0,456;2015-06-02;;
26278246;121_2363R_234.1;SR;S;6,084;8,351;2015-06-02;;
26278247;924_353AR_36.2;276;S;0,016;0,158;2015-06-02;;
26278248;009_21AR_114.7;4;S;0,029;0,198;2015-06-02;;
26278249;135_2071R_43.1;GA5;S;4,720;5,100;2015-06-02;;
26278250;161_2223V_9.4;GP9;S;10,479;10,708;2015-06-02;;
26278251;586_133BV_80.8;12b;S;0,004;0,142;2015-06-02;;
26278682;017_33V_62.2;VB;S;0,304;7,181;2015-06-02;;
26278683;102_383R_9.6;302;S;0,190;0,437;2015-06-02;;
26278684;531_1197AV_34.1;52;S;0,014;0,101;2015-06-02;;
26278685;501_23R_80.1;2c;S;0,050;0,106;2015-06-02;;
26278686;534_1089L_46.1;601;S;0,602;1,225;2015-06-02;;
26278299;127_395BV_48.7;503;S;0,122;0,713;2015-06-02;;
26278300;226_405L_12.0;501;S;0,029;0,350;2015-06-02;;
26278301;587_481R_7.0;380;S;0,084;0,779;2015-06-02;;
26278302;553_211R_21.3;120;S;0,268;0,487;2015-06-02;;
26278303;506_195BV_44.6;5b;S;0,009;0,239;2015-06-02;;
26278304;009_131BV_149.4;UB;S;0,241;4,316;2015-06-02;;
26278305;080_3425L_11.2;UP6;S;7,529;8,790;2015-06-02;;
26278252;084_13AL_10.4;102;S;5,203;5,994;2015-06-02;;
26278253;121_2363R_234.1;SS;S;8,413;9,680;2015-06-02;;
26278254;603_1014L_3.5;25a;S;0,029;0,110;2015-06-02;;
26278255;940_375R_43.2;208;S;0,052;0,410;2015-06-02;;
26277590;950_113AL_41.8;792;S;0,071;1,466;2015-06-02;;
26277407;093_55AV_8.4;BM;S;0,317;1,762;2015-06-02;;
26277408;542_1271AL_29.9;KT;S;0,426;1,031;2015-06-02;;
26277409;950_197R_7.6;PC;S;0,122;0,406;2015-06-02;;
26277410;586_337BV_81.5;70;S;0,097;0,256;2015-06-02;;
26278457;823_11L_3.9;1;S;0,029;1,730;2015-06-02;;
26278676;131_1R_24.5;ZD;S;0,029;2,798;2015-06-02;;
26278677;924_913R_33.7;14;S;0,029;0,239;2015-06-02;;
26278678;132_946L_49.2;13W;S;0,027;0,152;2015-06-02;;
26278679;206_121L_17.7;622;S;0,131;0,318;2015-06-02;;
26278680;924_44-45L_35.3;144;S;0,029;0,873;2015-06-02;;
26278681;801_928L_300.9;1041;S;0,028;0,099;2015-06-02;;
26278573;098_3911L_29.9;5001;S;0,029;0,358;2015-06-02;;
26278574;814_966L_101.9;991;S;0,026;0,359;2015-06-02;;
26278575;950_945L_12.7;477;S;0,029;0,086;2015-06-02;;
26278576;560_21BR_25.0;8;S;0,039;0,327;2015-06-02;;
26278577;132_459L_48.7;104;S;0,057;0,637;2015-06-02;;
26283710;586_263AR_81.1;w263A-w263B;S;0,032;0,039;2015-06-02;;
26283711;555_337AL_84.1;w337A/335-w339B;S;0,021;0,042;2015-06-02;;
26283713;618_65L_51.5;w65-wl67V;S;0,029;0,050;2015-06-02;;
26278757;618_273AR_49.5;GB;S;0,134;10,360;2015-06-02;;
26278758;042_901L_20.6;8;S;0,029;0,420;2015-06-02;;
26278759;131_4V_19.1;ZA;S;1,116;1,730;2015-06-02;;
26278760;531_181L_35.5;15;S;0,088;0,577;2015-06-02;;
26278813;017_9AV_49.3;VD;S;0,066;8,137;2015-06-02;;
26278814;028_1005R_52.6;412;S;0,052;0,203;2015-06-02;;
26278815;206_101L_12.2;611;S;0,081;0,349;2015-06-02;;
26277411;085_215AL_19.8;MH;S;0,303;11,935;2015-06-02;;
26277412;135_231R_14.8;902;S;0,092;0,458;2015-06-02;;
26277413;531_1463L_33.7;97;S;0,057;0,328;2015-06-02;;
26277414;542_1271AL_29.9;KU;S;0,129;0,426;2015-06-02;;
26277415;924_2373R_37.4;KZ;S;0,214;0,297;2015-06-02;;
26277655;107_195V_20.1;DG;S;0,053;3,387;2015-06-02;;
26278903;035_117BV_46.8;AT;S;0,612;5,158;2015-06-02;;
26278904;468_58R_100.9;903;S;0,029;0,087;2015-06-02;;
26278905;105_143AV_31.4;GR;S;0,020;1,202;2015-06-02;;
26278906;810_7003L_1.6;7053;S;0,029;0,212;2015-06-02;;
26278907;533_1159BV_16.1;TA;S;0,308;0,916;2015-06-02;;
26278578;166_2155V_135.8;MW;S;5,308;7,433;2015-06-02;;
26278751;950_405L_205.8;RB;S;0,102;0,899;2015-06-02;;
26278753;121_523BV_8.3;MM;S;6,991;7,297;2015-06-02;;
26278754;950_273BR_13.9;485;S;0,153;0,536;2015-06-02;;
26278755;109_233AR_32.3;2;S;0,923;1,120;2015-06-02;;
26278756;152_4121L_30.5;KD6;S;14,902;16,648;2015-06-02;;
26279040;618_191AR_50.8;22;S;0,033;0,116;2015-06-02;;
26279041;924_980V_34.3;85;S;0,040;0,110;2015-06-02;;
26279042;588_359R_1.2;76;S;0,093;0,347;2015-06-02;;
26279043;950_273AR_13.8;486;S;0,195;0,592;2015-06-02;;
26277648;506_25AV_43.0;27a;S;0,000;0,264;2015-06-02;;
26277649;608_67L_88.9;AD;S;0,319;13,094;2015-06-02;;
26277650;469_330L_601.4;920;S;0,067;0,416;2015-06-02;;
26277651;831_913R_200.8;11b;S;0,027;0,278;2015-06-02;;
26277652;478_1613L_3.0;930;S;0,120;0,684;2015-06-02;;
26283257;606_75L_0.4;w75-wl931V;S;0,028;0,037;2015-06-02;;
26283258;520_161L_0.9;w161-sp45;S;0,029;0,060;2015-06-02;;
26283259;089_293BV_46.6;sp123-wl313AV;S;0,521;0,710;2015-06-02;;
26283260;089_293BV_46.6;wl293BV-sp123;S;0,000;0,081;2015-06-02;;
26283261;163_981V_44.7;wl981V-wl989V;S;0,000;0,019;2015-06-02;;
26283262;543_149AR_44.9;w149A-w155A/149B;S;0,027;0,037;2015-06-02;;
26283263;545_99L_22.5;w99-wl103V;S;0,027;0,037;2015-06-02;;
26283264;525_443R_49.9;spSN-w481;S;0,618;0,835;2015-06-02;;
26283265;525_443R_49.9;w443-spSN;S;0,029;0,070;2015-06-02;;
26283266;212_901V_33.5;wl901V-ti901;S;0,000;0,123;2015-06-02;;
26283267;857_16V_1.6;wl16V-w17;S;0,000;0,031;2015-06-02;;
26283268;505_317AL_24.0;sp301-w333B;S;0,538;0,624;2015-06-02;;
26283269;505_317AL_24.0;w317A-sp301;S;0,047;0,132;2015-06-02;;
26283271;543_143L_44.9;sp302a-wl163AV;S;0,230;0,244;2015-06-02;;
26283272;543_143L_44.9;w143/139B-sp302a;S;0,016;0,049;2015-06-02;;
26283273;063_101BV_19.2;wl101BV-wl103AV;S;0,000;0,053;2015-06-02;;
26283274;133_1105AL_18.1;w1105A-w1105B;S;0,047;0,055;2015-06-02;;
26283275;468_74L_101.8;w74-wl210V;S;0,028;0,039;2015-06-02;;
26283700;127_421R_49.7;w421-sp508;S;0,029;0,056;2015-06-02;;
26283701;052_40V_56.6;wl40V-w41;S;0,000;0,062;2015-06-02;;
26283702;504_29BV_17.5;sp221-w45;S;0,536;0,569;2015-06-02;;
26283703;504_29BV_17.5;wl29BV-sp221;S;0,000;0,027;2015-06-02;;
26283704;611_901R_106.6;w901-ti901R;S;0,029;0,071;2015-06-02;;
26283705;625_263AL_15.7;w263A-w263B;S;0,029;0,049;2015-06-02;;
26283706;624_225AL_32.8;w225A-w225B;S;0,047;0,084;2015-06-02;;
26283707;534_1045AR_45.5;kK_1045AR-1047AL-w10;S;0,042;0,049;2015-06-02;;
26283708;542_1183AR_29.2;sp5-w1243A/1229B;S;0,535;0,567;2015-06-02;;
26283709;542_1183AR_29.2;w1183A/1177B-sp5;S;0,017;0,097;2015-06-02;;
26277653;540_169AR_82.0;CA;S;1,161;1,314;2015-06-02;;
26277654;603_171V_3.9;59;S;0,037;0,046;2015-06-02;;
26277929;924_3747V_36.8;331;S;0,021;0,079;2015-06-02;;
26277930;927_956L_905.8;335;S;0,028;0,663;2015-06-02;;
26278145;046_255BV_41.6;CG;S;0,077;5,655;2015-06-02;;
26278146;857_21L_100.0;616;S;0,027;0,463;2015-06-02;;
26278147;017_11AL_49.5;HC;S;0,516;11,674;2015-06-02;;
26278908;520_123AR_0.5;51;S;0,041;0,060;2015-06-02;;
26278909;032_32L_16.5;3;S;0,168;0,513;2015-06-02;;
26278910;563_167BV_56.9;404;S;0,067;0,352;2015-06-02;;
26278911;924_347AR_36.0;283;S;0,017;0,154;2015-06-02;;
26278449;531_501R_35.6;118;S;0,029;0,198;2015-06-02;;
26278450;519_47R_46.4;12;S;0,026;0,364;2015-06-02;;
26278451;036_221BV_84.6;AK;S;0,393;5,272;2015-06-02;;
26278452;624_229BV_33.0;RC;S;2,354;2,776;2015-06-02;;
26278453;005_77R_114.3;522;S;0,066;0,605;2015-06-02;;
26278454;520_133R_0.6;2;S;0,039;0,279;2015-06-02;;
26278455;550_974L_25.6;66;S;0,027;0,138;2015-06-02;;
26278148;080_3253V_6.4;AB3;S;1,884;3,227;2015-06-02;;
26278149;553_247BV_21.6;102a;S;0,014;0,188;2015-06-02;;
26276660;080_3427V_11.3;UC3;S;2,856;4,364;2015-06-02;;
26276661;527_185AR_18.0;LJ;S;0,061;1,692;2015-06-02;;
26276662;131_9R_16.9;2;S;0,029;0,377;2015-06-02;;
26277303;851_11R_100.2;28;S;0,063;0,428;2015-06-02;;
26277304;479_2007R_300.8;953;S;0,080;0,882;2015-06-02;;
26277305;545_221BV_23.8;VA;S;0,117;0,656;2015-06-02;;
26277306;042_913L_20.5;2;S;0,029;0,436;2015-06-02;;
26277307;135_227L_14.8;903;S;0,093;0,458;2015-06-02;;
26277308;201_922R_37.5;7a;S;0,027;0,204;2015-06-02;;
26277309;950_81BL_41.1;701;S;0,065;0,838;2015-06-02;;
26277310;614_17L_47.3;718;S;0,027;0,160;2015-06-02;;
26277311;437_955R_0.9;11;S;0,029;0,299;2015-06-02;;
26277817;200_215R_23.6;161;S;0,060;0,327;2015-06-02;;
26279044;042_323V_21.2;EC;S;0,398;9,911;2015-06-02;;
26279045;564_1321L_23.6;sp-ti1321L;S;0,078;0,331;2015-06-02;;
26279046;031_79V_37.5;GD;S;0,000;1,224;2015-06-02;;
26279047;950_201L_11.7;493;S;0,054;0,098;2015-06-02;;
26278620;490_111V_175.8;98;S;0,000;0,030;2015-06-02;;
26278621;517_157BV_70.0;62;S;0,022;0,093;2015-06-02;;
26278622;073_1153L_11.9;401;S;0,091;0,379;2015-06-02;;
26278623;437_976L_0.6;19;S;0,029;0,371;2015-06-02;;
26278624;531_839L_33.5;259;S;0,052;0,322;2015-06-02;;
26278625;603_918L_3.2;88;S;0,029;0,101;2015-06-02;;
26278626;200_195L_15.8;152;S;0,061;0,375;2015-06-02;;
26278627;131_11L_17.3;21;S;0,029;0,167;2015-06-02;;
26277818;950_363R_17.4;511;S;0,101;0,775;2015-06-02;;
26277820;054_1347BL_53.3;411;S;0,206;0,309;2015-06-02;;
26277821;927_45R_904.7;C22;S;0,465;0,493;2015-06-02;;
26277822;478_1143L_0.7;804;S;0,066;0,828;2015-06-02;;
26277824;950_117R_7.1;345;S;0,065;0,486;2015-06-02;;
26277825;131_1V_24.5;ZB;S;0,000;5,342;2015-06-02;;
26277826;002_357BV_51.6;LE;S;0,114;11,907;2015-06-02;;
26278039;517_973L_69.6;60;S;0,029;0,148;2015-06-02;;
26278040;008_929R_22.2;5;S;0,028;0,177;2015-06-02;;
26278041;614_2147L_47.8;702b;S;0,086;0,287;2015-06-02;;
26278042;100_2025AL_2.9;653;S;0,145;1,171;2015-06-02;;
26278043;529_3657V_22.9;UD1;S;0,135;0,302;2015-06-02;;
26278045;801_920V_100.9;1006;S;0,000;0,080;2015-06-02;;
26277860;924_44-45R_35.3;145;S;0,029;0,875;2015-06-02;;
26277861;479_1843V_312.2;920;S;0,106;0,152;2015-06-02;;
26277862;505_317AL_24.0;301;S;0,132;0,538;2015-06-02;;
26277863;516_908L_1.9;48;S;0,029;0,288;2015-06-02;;
26277865;124_215L_4.4;202b;S;0,041;0,099;2015-06-02;;
26277866;514_159AL_16.5;116;S;0,046;0,271;2015-06-02;;
26277867;527_901R_17.1;14;S;0,029;0,627;2015-06-02;;
26277868;614_2167L_47.9;707b;S;0,080;0,332;2015-06-02;;
26277869;520_1004R_1.0;22;S;0,029;0,403;2015-06-02;;
26277870;611_7R_105.5;902;S;0,099;0,446;2015-06-02;;
26277871;613_179L_75.2;821b;S;0,228;0,754;2015-06-02;;
26277872;588_351AL_1.2;MZ;S;0,193;1,976;2015-06-02;;
26277874;005_55R_109.5;512;S;0,136;0,486;2015-06-02;;
26278150;666_411R_27.5;91;S;0,334;1,173;2015-06-02;;
26278151;618_185BV_50.8;21;S;0,029;0,345;2015-06-02;;
26277456;588_829R_1.8;84;S;0,029;0,253;2015-06-02;;
26277457;012_313AR_19.4;311;S;0,052;0,734;2015-06-02;;
26277458;514_103BV_17.0;105a;S;0,021;0,410;2015-06-02;;
26277460;937_73V_68.9;341;S;0,620;1,407;2015-06-02;;
26277461;007_151R_4.3;121;S;0,029;0,570;2015-06-02;;
26277463;470_1102L_302.8;4411;S;0,029;0,437;2015-06-02;;
26277464;087_23AR_21.9;952b;S;0,045;0,322;2015-06-02;;
26277465;520_165R_0.9;L1;S;4,009;4,335;2015-06-02;;
26277466;900_581L_200.9;65;S;0,031;0,409;2015-06-02;;
26277467;606_908L_0.3;W;S;0,029;0,192;2015-06-02;;
26277468;212_195L_39.2;812;S;0,084;0,406;2015-06-02;;
26277469;135_231L_14.8;901;S;0,093;0,459;2015-06-02;;
26277470;924_3289L_34.3;156;S;0,060;0,794;2015-06-02;;
26277471;118_1115BV_92.8;31a;S;0,528;0,708;2015-06-02;;
26277472;035_933L_52.7;8;S;0,027;0,461;2015-06-02;;
26277751;203_393L_55.1;552;S;0,090;0,396;2015-06-02;;
26277752;586_93L_80.5;8aw;S;0,051;0,083;2015-06-02;;
26277753;950_644L_7.2;325;S;0,027;0,548;2015-06-02;;
26277754;603_1014R_3.5;25b;S;0,029;0,110;2015-06-02;;
26277755;543_191AR_45.4;304c;S;0,064;0,067;2015-06-02;;
26277756;924_343V_36.0;289;S;0,000;0,054;2015-06-02;;
26277757;506_61R_43.4;40;S;0,104;0,459;2015-06-02;;
26277759;917_971L_78.6;28;S;0,029;0,441;2015-06-02;;
26277968;543_213BV_46.2;EH;S;0,224;6,196;2015-06-02;;
26277969;555_379V_84.4;LA;S;0,051;0,348;2015-06-02;;
26277970;927_3323R_904.5;3304;S;0,071;0,259;2015-06-02;;
26277971;609_87BV_27.8;501b;S;0,008;0,194;2015-06-02;;
26277972;516_277L_1.6;108;S;0,029;0,469;2015-06-02;;
26277973;486_68L_202.2;4126;S;0,028;0,145;2015-06-02;;
26278046;625_315BV_14.3;MI;S;0,191;4,228;2015-06-02;;
26278047;533_1159AR_16.0;TB;S;0,416;1,140;2015-06-02;;
26278049;073_905L_1.0;607;S;0,058;0,181;2015-06-02;;
26278050;529_3657V_22.9;UD2;S;1,006;1,660;2015-06-02;;
26278051;517_181L_0.1;9;S;0,086;0,298;2015-06-02;;
26288423;950_109AL_41.8;w109A/105-sp794;S;0,016;0,152;2015-06-02;;
26288424;555_241R_83.6;w241-sp9m;S;0,027;0,063;2015-06-02;;
26288425;525_441AL_49.9;spSP-w479;S;0,723;0,874;2015-06-02;;
