ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
298372;spoortak;161_2515L_20.3;161;;Lelystad Industrieterrein - Hattemerbroek;20,261;2515;L;161;;Lelystad Industrieterrein - Hattemerbroek;20,392;2519;V;;0,130;2015-01-09;ProRail;0,130281
298373;spoortak;161_2515R_20.3;161;;Lelystad Industrieterrein - Hattemerbroek;20,261;2515;R;161;;Lelystad Industrieterrein - Hattemerbroek;20,368;2517;R;;0,106;2015-01-09;ProRail;0,106442
298374;spoortak;161_2519R_20.4;161;;Lelystad Industrieterrein - Hattemerbroek;20,392;2519;R;161;;Lelystad Industrieterrein - Hattemerbroek;20,944;2531;L;;0,552;2015-01-09;ProRail;0,552457
298375;spoortak;531_1307AL_34.7;531;c;Utrecht Centraal;34,664;1307A;LE;531;c;Utrecht Centraal;35,013;SJ_1307AL;V;;0,334;2015-01-09;ProRail;0,334007
298376;spoortak;506_127AL_44.0;506;b;Amersfoort;43,997;127A;L;506;b;Amersfoort;44,067;133B;LE;;0,051;2015-01-09;ProRail;0,051217
298377;spoortak;612_7AL_60.5;612;b;Barneveld Noord;60,482;7A;L;612;b;Barneveld Noord;61,243;25;L;;0,762;2015-01-09;ProRail;0,762222
298378;spoortak;020_5R_60.3;020;;Amersfoort Aansl. - Barneveld Noord;60,286;5;R;612;b;Barneveld Noord;60,482;7A;V;;0,196;2015-01-09;ProRail;0,196142
298379;spoortak;612_7BV_60.6;612;b;Barneveld Noord;60,600;7B;V;612;b;Barneveld Noord;60,609;9;V;;0,009;2015-01-09;ProRail;0,008963
298380;spoortak;490_110V_7.5;490;b;Amsterdam Houtrakpolder (gebied);7,495;110;V;490;b;Amsterdam Houtrakpolder (gebied);7,805;131;V;;0,311;2015-01-09;ProRail;0,310725
298381;spoortak;161_2677V_31.9;161;;Lelystad Industrieterrein - Hattemerbroek;31,851;2677;V;161;;Lelystad Industrieterrein - Hattemerbroek;35,277;2701;V;;3,425;2015-01-09;ProRail;3,425352
298382;spoortak;588_822L_1.7;588;;Amsterdam Dijksgracht;1,720;822;L;588;;Amsterdam Dijksgracht;2,165;862;R;;0,423;2015-01-09;ProRail;0,423178
298383;spoortak;477_41L_200.3;477;b;Rotterdam Europoort 3;200,306;41;L;477;e;Rotterdam Europoort 3;500,221;XXX;V;;0,229;2015-01-09;Derden - Overig,ProRail;0,228956
298384;spoortak;203_393L_55.1;203;;Mariënberg - Emmen;55,107;393;L;203;;Mariënberg - Emmen;55,573;403;R;;0,462;2015-01-09;ProRail;0,461520
