ID;INVOERDATUM;VERSIE_NUMMER;ACTION;MODFWE;ELONG;TOSTARTAT;TOENDAT;SRCACTION;DASSIGNNAME;DASSIGNFROM;DASSIGNTO;DNAME;DLENGTH;FWENAME;FWELENGTH
541;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1423V_6.1;6
543;2015-06-04;5;NEWTOP;;;;;;;;;;;607_73R_43.8;236
545;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1633BV_11.9;372
547;2015-06-04;5;NEWTOP;;;;;;;;;;;614_2163L_47.9;76
549;2015-06-04;5;NEWTOP;;;;;;;;;;;588_845BL_2.1;52
551;2015-06-04;5;NEWTOP;;;;;;;;;;;588_845BR_2.1;16
553;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1613qV_11.5;34
555;2015-06-04;5;NEWTOP;;;;;;;;;;;114_393AL_101.9;33222
557;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1659L_12.3;607
559;2015-06-04;5;NEWTOP;;;;;;;;;;;009_27L_165.8;160
561;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1657pV_12.3;34
563;2015-06-04;5;NEWTOP;;;;;;;;;;;009_27R_165.8;227
565;2015-06-04;5;NEWTOP;;;;;;;;;;;009_25AR_165.8;389
567;2015-06-04;5;NEWTOP;;;;;;;;;;;130_8R_300.0;382
569;2015-06-04;5;NEWTOP;;;;;;;;;;;039_5133R_108.5;489
571;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1651R_12.2;165
573;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1667R_12.4;86
575;2015-06-04;5;NEWTOP;;;;;;;;;;;531_855R_33.6;223
577;2015-06-04;5;NEWTOP;;;;;;;;;;;607_73L_43.8;123
579;2015-06-04;5;NEWTOP;;;;;;;;;;;540_391V_101.8;125
581;2015-06-04;5;NEWTOP;;;;;;;;;;;114_393BV_102.0;33364
583;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1617pV_11.6;34
585;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1617R_11.6;40
587;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1617qV_11.6;34
589;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1657qV_12.3;34
591;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1621R_11.6;40
593;2015-06-04;5;NEWTOP;;;;;;;;;;;607_69L_43.5;378
595;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1631BR_11.8;240
597;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1615L_11.5;110
599;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1625pV_11.6;34
601;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1613pV_11.5;34
603;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1625qV_11.6;34
605;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1619R_11.6;703
607;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1427V_6.1;5269
609;2015-06-04;5;NEWTOP;;;;;;;;;;;009_25AL_165.8;48
611;2015-06-04;5;NEWTOP;;;;;;;;;;;009_25BqV_165.9;34
613;2015-06-04;5;NEWTOP;;;;;;;;;;;009_25BpV_165.9;34
615;2015-06-04;5;NEWTOP;;;;;;;;;;;531_857R_33.6;416
617;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1641R_12.0;432
619;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1609R_11.4;631
621;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1609L_11.4;42
623;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1611L_11.4;52
625;2015-06-04;5;NEWTOP;;;;;;;;;;;531_863L_33.5;17
627;2015-06-04;5;NEWTOP;;;;;;;;;;;531_831L_33.6;37
629;2015-06-04;5;NEWTOP;;;;;;;;;;;531_857L_33.6;36
631;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1409L_5.5;549
633;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1409R_5.5;549
635;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1407V_5.5;16
637;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1405R_5.4;693
639;2015-06-04;5;NEWTOP;;;;;;;;;;;506_553AL_43.5;15
641;2015-06-04;5;NEWTOP;;;;;;;;;;;607_71L_43.7;337
643;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1611R_11.4;594
645;2015-06-04;5;NEWTOP;;;;;;;;;;;009_25BR_165.9;11785
647;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1643V_12.2;18
649;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1641L_12.0;143
651;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1639V_12.0;12
653;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1405L_5.4;60
655;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1655L_12.2;82
657;2015-06-04;5;NEWTOP;;;;;;;;;;;607_71V_43.7;58
659;2015-06-04;5;NEWTOP;;;;;;;;;;;607_69R_43.5;198
661;2015-06-04;5;NEWTOP;;;;;;;;;;;607_75V_43.9;114
663;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1615R_11.5;700
665;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1631BV_11.8;76
667;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1621V_11.6;177
669;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1633BR_11.9;240
671;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1653V_12.3;22
673;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1655R_12.2;52
675;2015-06-04;5;NEWTOP;;;;;;;;;;;009_25AV_165.8;11791
677;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1619L_11.6;48
679;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1659R_12.3;53
681;2015-06-04;5;NEWTOP;;;;;;;;;;;609_1V_28.6;24
683;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1425L_6.1;5433
685;2015-06-04;5;NEWTOP;;;;;;;;;;;541_71BV_0.1;2114
687;2015-06-04;5;NEWTOP;;;;;;;;;;;527_117L_0.5;1052
689;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1661V_12.4;20
691;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1627L_11.5;48
693;2015-06-04;5;NEWTOP;;;;;;;;;;;076_1651L_12.2;90
697;2015-06-04;5;NEWTOP;;;;;;;;;;;556_1425R_6.1;63
699;2015-06-04;5;NEWTOP;;;;;;;;;;;817_52AL_300.8;738
701;2015-06-04;5;NEWTOP;;;;;;;;;;;555_511L_82.8;27
703;2015-06-04;5;NEWTOP;;;;;;;;;;;114_393AR_101.9;102
704;2015-06-04;5;NEWTOP;;;;;;;;;;;531_1221BV_34.5;40
706;2015-06-04;5;NEWTOP;;;;;;;;;;;506_553AR_43.5;20
708;2015-06-04;5;NEWTOP;;;;;;;;;;;531_1405AL_34.8;25
710;2015-06-04;5;NEWTOP;;;;;;;;;;;063_33AV_13.7;11127
713;2015-06-04;5;NEWTOP;;;;;;;;;;;851_JJJV_101.3;435
715;2015-06-04;5;NEWTOP;;;;;;;;;;;531_1343AV_34.6;54
717;2015-06-04;5;NEWTOP;;;;;;;;;;;531_1365BL_34.7;31
719;2015-06-04;5;NEWTOP;;;;;;;;;;;531_1249BV_34.6;555
721;2015-06-04;5;NEWTOP;;;;;;;;;;;531_1199BL_34.3;32
723;2015-06-04;5;NEWTOP;;;;;;;;;;;528_3AR_27.9;114
726;2015-06-04;5;NEWTOP;;;;;;;;;;;527_117R_0.5;80
