ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
1020940;815_914L_6.7;0,000000;0,353000;815_a;6,733000;7,078000
1020941;506_85pV_43.9;0,029000;0,031000;506_a;20,300000;20,298000
1020942;851_916R_130.8;0,000000;0,099000;851_d;130,769000;130,870000
1020943;817_935L_114.3;0,118000;0,223000;817_e;200,100000;200,206000
1020944;514_915R_18.0;0,000000;0,052000;514_a;17,934000;17,888000
1020945;531_2825qV_36.3;0,000000;0,043000;531_c;36,295000;36,254000
1020946;586_97BpV_80.6;0,000000;0,034000;586__;80,569000;80,536000
1020947;109_231AL_32.5;0,000000;0,271000;109__;32,512000;32,240000
1020948;803_57L_101.5;0,000000;0,541000;803_h;101,539000;102,082000
1020949;626_901L_32.4;0,000000;0,087000;626_c;32,400000;32,316000
1020950;094_1079AV_2.7;0,000000;0,019000;094__;2,735000;2,716000
1020951;926_17AV_1.1;0,000000;0,067000;926__;1,095000;1,029000
1020952;751_331R_33.8;0,000000;0,096000;751__;33,794000;33,891000
1020953;468_74L_101.8;0,000000;0,039000;468_a;101,841000;101,881000
1020954;519_25R_46.1;0,000000;0,030000;519_a;46,103000;46,133000
1020955;585_1185R_8.3;0,000000;1,517000;585__;8,273000;9,800000
1020956;534_1051AL_45.5;0,000000;0,077000;534_b;45,513000;45,591000
1020957;540_147AR_81.2;0,000000;0,083000;540_d;81,188000;81,271000
1020958;135_2027L_40.4;0,000000;0,060000;135__;40,392000;40,452000
1020959;513_143BV_26.3;0,300000;1,230000;666_a;26,600000;27,529000
1020960;850_1V_100.2;0,173000;0,184000;545_b;23,017000;23,028000
1020961;506_101L_44.0;0,000000;0,085000;506_b;44,018000;43,935000
1020962;158_4745R_101.8;5,334000;5,879000;039__;107,200000;107,745000
1020963;620_79BL_42.3;0,000000;0,048000;620__;42,299000;42,253000
1020964;124_207V_3.7;0,000000;0,720000;124_a;3,702000;4,422000
1020965;617_1109L_38.8;0,000000;0,066000;617_a;38,825000;38,891000
1020966;508_2041R_90.9;0,000000;0,233000;508__;90,943000;91,176000
1020967;801_909V_800.6;0,296000;0,299000;801_m;825,003000;825,000000
1020968;545_905L_22.0;0,000000;0,051000;545_b;22,010000;21,958000
1020969;026_259pV_26.9;0,000000;0,032000;026__;26,942000;26,911000
1020970;437_9002V_0.2;0,000000;0,051000;437__;0,205000;0,154000
1020971;163_959AL_44.2;0,000000;0,110000;163__;44,224000;44,334000
1020972;555_283AV_83.7;0,000000;0,011000;555__;83,684000;83,673000
1020973;611_45AR_106.2;0,955000;1,048000;039__;107,200000;107,294000
1020974;510_405R_9.8;0,000000;0,084000;510_b;9,784000;9,867000
1020975;617_1251AR_42.1;0,000000;0,341000;617_a;42,111000;42,452000
1020976;486_87R_204.8;0,000000;0,485000;486_c;204,753000;205,239000
1020977;031_79V_37.5;0,000000;1,911000;031_a;37,522000;39,432000
1020978;626_45AL_32.9;0,000000;0,059000;626_c;32,943000;33,002000
1020979;133_961L_20.8;0,000000;0,050000;133__;20,755000;20,706000
1020980;544_1067BV_23.5;0,000000;0,024000;544_a;0,116000;0,139000
1020981;823_15R_300.8;0,000000;0,069000;823_d;300,765000;300,695000
1020982;801_926R_300.6;0,000000;0,210000;801_d;300,622000;300,831000
1020983;950_651qV_7.2;0,000000;0,034000;950_a;7,153000;7,121000
1020984;618_195AR_50.9;0,000000;0,045000;618_b;50,863000;50,818000
1020985;506_23V_42.9;0,000000;0,268000;506_b;42,868000;42,600000
1020986;917_961AqV_78.6;0,000000;0,034000;917__;78,581000;78,616000
1020987;555_503L_82.9;0,000000;0,111000;555__;82,945000;83,053000
1020988;201_922L_37.5;0,000000;0,248000;201__;37,473000;37,720000
1020989;586_2535BV_80.3;0,000000;0,360000;586__;80,346000;80,705000
1020990;617_1107R_38.8;0,000000;0,267000;617_a;38,758000;39,023000
1020991;527_39AV_16.5;0,000000;0,144000;527_c;16,459000;16,322000
1020992;605_21AL_34.0;0,000000;0,060000;605__;33,968000;34,028000
1020993;503_181BpV_42.1;0,000000;0,034000;503_c;42,146000;42,180000
1020994;486_922V_76.3;0,000000;0,052000;486_b;76,261000;76,315000
1020995;506_133AR_44.0;0,000000;0,039000;506_b;44,010000;44,050000
1020996;063_261AL_2.6;0,000000;0,103000;063__;2,570000;2,673000
