ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
26414737;144_1331R_154.8;T;0,727000;0,740000;130;2015-06-03
26414738;144_1333R_155.0;T;0,000000;0,183000;80;2015-06-03
26414739;144_1333V_155.0;T;0,000000;0,657000;80;2015-06-03
26414740;144_1335L_154.8;T;0,000000;0,192000;80;2015-06-03
26414741;144_1347L_155.0;T;0,000000;0,847000;80;2015-06-03
26414742;144_1347R_155.0;T;0,000000;0,657000;80;2015-06-03
26414743;144_1355L_155.5;T;0,000000;0,108000;40;2015-06-03
26414744;144_1355R_155.5;T;0,000000;0,413000;130;2015-06-03
26415051;524_915L_70.5;T;0,000000;0,180000;40;2015-06-03
26415052;524_915R_70.5;T;0,000000;0,180000;40;2015-06-03
26415053;073_1101AL_0.7;T;0,000000;0,068000;40;2015-06-03
26415054;073_1101AR_0.7;T;0,000000;0,383000;40;2015-06-03
26415055;073_1101AV_0.7;T;0,000000;0,042000;40;2015-06-03
26415056;073_1101BR_0.7;T;0,000000;0,106000;40;2015-06-03
26415057;073_1101BV_0.7;T;0,000000;0,379000;40;2015-06-03
26415058;073_1103AL_0.7;T;0,000000;0,388000;60;2015-06-03
26415059;073_1103AR_0.7;T;0,000000;0,063000;40;2015-06-03
26415060;073_1103AV_0.7;T;0,000000;0,043000;60;2015-06-03
26415061;073_1103BL_0.7;T;0,000000;0,114000;40;2015-06-03
26415062;073_1103BV_0.7;T;0,000000;0,326000;40;2015-06-03
26414826;620_81AL_42.2;T;0,000000;0,037000;40;2015-06-03
26414827;620_81BpV_42.3;T;0,000000;0,034000;40;2015-06-03
26414828;620_83AL_42.3;T;0,000000;0,041000;40;2015-06-03
26415123;619_1261BV_34.8;T;0,000000;0,023000;80;2015-06-03
26415124;619_1261BV_34.8;T;0,023000;0,758000;130;2015-06-03
26420691;603_159AV_3.6;T;0,000000;0,283000;40;2015-06-03
26420692;603_159BL_3.6;T;0,000000;0,376000;40;2015-06-03
26420693;603_159BV_3.6;T;0,000000;0,091000;40;2015-06-03
