ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
26441275;506_259AL_45.5;506_b;0,000000;0,032000;2015-06-04
26436251;506_203AR_44.5;506_b;0,000000;0,052000;2015-06-04
26446134;506_193AR_44.5;506_b;0,000000;0,064000;2015-06-04
26443235;514_89V_17.2;514_a;0,000000;0,287000;2015-06-04
26443226;533_1177V_17.5;105__;0,072000;0,796000;2015-06-04
26443215;080_3295R_7.9;080_a;0,000000;0,223000;2015-06-04
26436310;127_483R_73.9;127_a;0,000000;0,103000;2015-06-04
26438865;043_353AR_33.2;043__;0,000000;0,064000;2015-06-04
26436109;057_1BL_5.6;057__;0,000000;3,582000;2015-06-04
26441241;823_23L_200.0;823_e;0,006000;0,685000;2015-06-04
26431652;756_61V_36.3;756__;0,000000;0,060000;2015-06-04
26441941;486_912AR_75.8;486_b;0,000000;0,181000;2015-06-04
26445410;527_59BV_16.9;527_c;0,000000;0,012000;2015-06-04
26442985;507_239BV_93.8;507_b;0,000000;1,298000;2015-06-04
26444388;017_421BV_40.0;017__;0,000000;0,738000;2015-06-04
26431847;062_431L_38.1;062__;0,000000;0,107000;2015-06-04
26436446;104_163AR_56.4;104__;0,000000;0,132000;2015-06-04
26437334;526_429AR_3.4;526_a;0,000000;0,070000;2015-06-04
26438927;539_49AL_79.3;540_d;1,512000;2,108000;2015-06-04
26437362;009_33V_115.3;009__;0,000000;0,012000;2015-06-04
26439147;043_353AL_33.2;043__;0,000000;0,151000;2015-06-04
26445910;135_275AR_22.1;135__;0,000000;0,110000;2015-06-04
26443299;666_4245R_48.8;666_b;0,000000;0,140000;2015-06-04
26444170;036_211R_83.7;036__;0,000000;0,111000;2015-06-04
26442813;555_295AL_83.5;555__;0,000000;0,063000;2015-06-04
26442512;550_970R_25.4;550__;0,000000;0,085000;2015-06-04
26433662;550_969R_25.4;550__;0,000000;0,032000;2015-06-04
26431938;517_11AV_68.7;780__;2,037000;2,787000;2015-06-04
26437121;924_3721V_36.7;924_a;0,000000;0,041000;2015-06-04
26445115;504_35AL_17.6;504_b;0,000000;0,587000;2015-06-04
26439575;081_961L_74.4;081__;0,000000;0,130000;2015-06-04
26445580;115_9BpV_5.5;115_a;0,000000;0,032000;2015-06-04
26443658;608_33R_87.9;608_b;0,000000;0,078000;2015-06-04
26437682;801_922L_9.1;801_a;0,000000;2,876000;2015-06-04
26444887;534_1081AL_45.9;534_b;0,000000;0,064000;2015-06-04
26441274;506_259AL_45.5;089__;0,032000;0,087000;2015-06-04
26434249;475_1V_100.8;478_b;0,513000;1,278000;2015-06-04
26440553;054_1347BL_53.3;054_a;0,000000;0,309000;2015-06-04
26442392;522_233AL_58.4;078__;0,030000;0,068000;2015-06-04
26446132;485_41V_101.1;485_d;0,000000;0,186000;2015-06-04
26435403;478_1023AL_0.1;478_a;0,000000;0,202000;2015-06-04
26434847;520_985V_1.3;063__;0,266000;0,293000;2015-06-04
26432839;027_931R_147.6;587_c;0,074000;1,174000;2015-06-04
26445213;555_369L_84.3;555__;0,000000;0,077000;2015-06-04
26431884;506_618R_43.6;506_b;0,000000;0,243000;2015-06-04
26433713;534_1043BV_45.6;534_b;0,000000;0,264000;2015-06-04
26442664;002_345AL_50.5;002__;0,000000;0,239000;2015-06-04
26434150;467_25V_101.0;950_a;1,027000;1,066000;2015-06-04
