ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
161206776;009_25AV_165.8;T;0,000;16,469;onbekend;2019-06-05
161206777;144_783AV_153.7;T;0,000;1,981;onbekend;2019-06-05
161206778;155_4311L_64.4;T;0,000;0,279;onbekend;2019-06-05
161206779;155_4311R_64.4;T;0,000;0,119;onbekend;2019-06-05
161206780;155_4313V_64.5;T;0,000;0,041;onbekend;2019-06-05
161206579;588_411AR_2.8;T;0,538;6,528;onbekend;2019-06-05
161206670;155_4431R_84.0;T;0,000;2,404;onbekend;2019-06-05
161206671;155_4431L_84.0;T;0,000;0,169;onbekend;2019-06-05
161206672;155_4423V_84.1;T;0,000;0,024;onbekend;2019-06-05
161206673;155_4433V_84.2;T;0,000;0,078;onbekend;2019-06-05
161206674;155_4435R_84.1;T;0,000;0,119;onbekend;2019-06-05
161206675;938_4591V_2.4;T;0,000;0,035;onbekend;2019-06-05
161206676;938_4581L_2.3;T;0,000;0,140;onbekend;2019-06-05
161206781;144_785AV_153.7;T;0,000;1,944;onbekend;2019-06-05
161206271;512_4485V_89.5;T;0,000;0,030;onbekend;2019-06-05
161206533;950_201qV_11.7;T;0,000;0,032;40;2019-06-05
161206534;536_233BqV_60.7;T;0,000;0,031;40;2019-06-05
161206540;536_309BpV_61.5;T;0,000;0,031;40;2019-06-05
161206546;476_91L_201.8;T;0,000;0,488;onbekend;2019-06-05
161206677;938_4593V_2.4;T;0,000;0,110;onbekend;2019-06-05
161206678;938_4585L_2.3;T;0,000;0,052;onbekend;2019-06-05
161206682;926_9BqV_1.1;T;0,000;0,034;40;2019-06-05
161206683;938_4581R_2.3;T;0,000;0,053;onbekend;2019-06-05
161206684;217_119pV_49.5;T;0,000;0,034;40;2019-06-05
161206685;626_13BpV_32.4;T;0,000;0,033;40;2019-06-05
161206686;805_7131L_105.5;T;0,000;0,174;onbekend;2019-06-05
161206581;047_31pV_41.9;T;0,000;0,034;40;2019-06-05
161206586;950_914R_7.2;T;0,000;0,122;onbekend;2019-06-05
