ID;SPOORTAK_IDENTIFICATIE;CG_TYPE;CG_NAAM;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
161308736;502_283R_101.3;BAAN;Drenthe;0,000;7,875;2019-06-08
161308737;502_283R_101.3;BVL;Drenthe;0,000;7,875;2019-06-08
161308740;046_227BV_36.1;BAAN;Geldermalsen;0,000;5,328;2019-06-08
161308741;046_227BV_36.1;BASIS;Geldermalsen;0,000;5,328;2019-06-08
161308744;046_227BV_36.1;BVL;Geldermalsen;0,000;5,328;2019-06-08
161308747;046_227AR_36.0;BAAN;Geldermalsen;0,000;0,062;2019-06-08
161308748;046_227AR_36.0;BASIS;Geldermalsen;0,000;0,062;2019-06-08
161308751;046_227AR_36.0;BVL;Geldermalsen;0,000;0,062;2019-06-08
161308753;502_283R_101.3;BASIS;Drenthe;0,000;7,875;2019-06-08
161308757;927_938V_906.1;BVL;Weesp;0,000;0,140;2019-06-08
161308759;927_938V_906.1;BASIS;Weesp;0,000;0,140;2019-06-08
161308762;927_938V_906.1;BAAN;Weesp;0,000;0,140;2019-06-08
161308764;927_936V_906.0;BVL;Weesp;0,000;0,224;2019-06-08
161308766;927_936V_906.0;BASIS;Weesp;0,000;0,224;2019-06-08
161308769;927_936V_906.0;BAAN;Weesp;0,000;0,224;2019-06-08
161308771;927_954BL_905.7;BVL;Weesp;0,000;0,703;2019-06-08
161308772;201_71V_15.3;BAAN;Groningen;0,000;6,349;2019-06-08
161308773;201_71V_15.3;BASIS;Groningen;0,000;6,349;2019-06-08
161308777;201_71V_15.3;BVL;Groningen;0,000;6,349;2019-06-08
161308778;103_303L_28.8;BASIS;Leiden;4,026;4,330;2019-06-08
161308782;103_303L_28.8;BAAN;Leiden;4,026;4,330;2019-06-08
161308783;103_303L_28.8;BVL;Leiden;4,026;4,330;2019-06-08
161308785;103_303L_28.8;BASIS;Leiden;4,013;4,026;2019-06-08
161308796;103_303L_28.8;BAAN;Leiden;4,013;4,026;2019-06-08
161308797;103_303L_28.8;BVL;Leiden;4,013;4,026;2019-06-08
