ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
161674524;516_941BR_75.1;w941A/941Bv-w943v;S;0,016;0,017;2019-06-13;;;941A/941B;943;WISSEL;WISSEL
161674601;506_59R_43.3;w59r-w61v;S;0,027;0,040;2019-06-13;;;59;61;WISSEL;WISSEL
161674602;062_433BV_38.2;s413-w451Av;S;0,829;0,845;2019-06-13;;;452;451A;BED_SEIN;WISSEL
161674603;062_433BV_38.2;w433Bv-s413;S;0,000;0,029;2019-06-13;;;433B;436;WISSEL;BED_SEIN
161672085;924_08-09R_35.3;109;S;0,027;0,805;2019-06-13;;;08-09;3319;WISSEL;STOP_BD
161671444;078_207L_64.9;451a;S;0,093;0,605;2019-06-13;;;216;220;BED_SEIN;BED_SEIN
161671445;118_13L_84.5;842;S;0,142;0,875;2019-06-13;;;16;22;BED_SEIN;BED_SEIN
161671446;529_3643R_22.9;AR5;S;3,903;4,371;2019-06-13;;;4476;3804;BED_SEIN;BED_SEIN
161671447;055_399BV_19.7;GD;S;0,639;9,632;2019-06-13;;;402;408;BED_SEIN;BED_SEIN
161671448;116_1349AR_31.9;56;S;0,250;0,801;2019-06-13;;;1348;1360;BED_SEIN;BED_SEIN
161671449;478_1149L_0.7;806;S;0,066;0,828;2019-06-13;;;1150;1250;BED_SEIN;BED_SEIN
161671450;001_1103R_1.0;612;S;0,074;0,281;2019-06-13;;;1102;1108;BED_SEIN;BED_SEIN
161671451;163_919BV_43.6;LF;S;0,105;0,555;2019-06-13;;;936;974;BED_SEIN;BED_SEIN
161671452;517_85AL_69.4;53;S;0,057;0,189;2019-06-13;;;96;SJ_85AL;BED_SEIN;STOOTJUK
161671453;479_1855R_312.5;924;S;0,066;0,205;2019-06-13;;;1860;TI_1855R;BED_SEIN;TERRA_INCOGNITA
161671454;132_952R_49.2;4w;S;0,029;0,315;2019-06-13;;;952;SJ_952R;WISSEL;STOOTJUK
161671455;078_207L_64.9;451b;S;0,677;1,010;2019-06-13;;;218;229;BED_SEIN;WISSEL
161671456;305_61AR_15.4;5;S;0,237;0,516;2019-06-13;;;42;SJ_61AR;BED_SEIN;STOOTJUK
161675626;133_1199V_20.8;w1199v-w1201v;S;0,000;0,174;2019-06-13;;;1199;1201;WISSEL;WISSEL
161675627;027_943AV_148.5;w943Av-s112;S;0,000;0,014;2019-06-13;;;943A;944;WISSEL;BED_SEIN
161675629;653_5R_101.9;w5r-w7v;S;0,027;0,072;2019-06-13;;;5;7;WISSEL;WISSEL
161675630;506_163L_44.2;w163/161Bv-w167Av;S;0,017;0,026;2019-06-13;;;163/161B;167A;WISSEL;WISSEL
161675631;950_961V_12.6;w961v-w962/963v;S;0,000;0,010;2019-06-13;;;961;962/963;WISSEL;WISSEL
161675632;625_265AR_15.6;s903-w291Br;S;0,758;1,070;2019-06-13;;;308;291B;BED_SEIN;WISSEL
161675633;625_265AR_15.6;w265Ar-s903;S;0,029;0,243;2019-06-13;;;265A;280;WISSEL;BED_SEIN
161675634;478_1577L_2.0;w1577l-s876;S;0,029;0,053;2019-06-13;;;1577;1578;WISSEL;BED_SEIN
161675635;093_72R_9.1;w72r-w73Br;S;0,029;0,078;2019-06-13;;;72;73B;WISSEL;WISSEL
161675636;501_13V_79.9;w13v-w17l;S;0,000;0,134;2019-06-13;;;13;17;WISSEL;WISSEL
161675637;517_11BR_68.7;sGJ-w23l;S;2,559;2,910;2019-06-13;;;14F;23;BED_SEIN;WISSEL
161675638;517_11BR_68.7;w11Br-sGJ;S;0,029;0,114;2019-06-13;;;11B;10;WISSEL;BED_SEIN
161675639;624_227AR_32.8;w227Ar-w227Br;S;0,029;0,049;2019-06-13;;;227A;227B;WISSEL;WISSEL
161675640;924_3333R_34.3;w3333r-w3335v;S;0,029;0,038;2019-06-13;;;3333;3335;WISSEL;WISSEL
161675641;560_1215BV_24.7;w1215Bv-w1271Bl;S;0,000;0,060;2019-06-13;;;1215B;1271B;WISSEL;WISSEL
161675642;624_261AL_32.5;w261Al-w261Bl;S;0,039;0,051;2019-06-13;;;261A;261B;WISSEL;WISSEL
161675643;054_1351BV_53.4;w1351Bv-w1367Av;S;0,000;0,210;2019-06-13;;;1351B;1367A;WISSEL;WISSEL
161675644;046_201AR_34.6;s701-w227Bl;S;1,228;1,459;2019-06-13;;;228;227B;BED_SEIN;WISSEL
161675645;046_201AR_34.6;w201Ar-s701;S;0,029;0,308;2019-06-13;;;201A;206;WISSEL;BED_SEIN
161675025;063_259AR_2.4;sCC-w305Br;S;8,275;8,595;2019-06-13;;;302;305B;BED_SEIN;WISSEL
161675026;063_259AR_2.4;w259Ar-sCC;S;0,048;0,351;2019-06-13;;;259A;260;WISSEL;BED_SEIN
161675655;618_109AR_51.3;s18b-w187B/195Av;S;0,394;0,432;2019-06-13;;;184;187B/195A;BED_SEIN;WISSEL
161675656;618_109AR_51.3;w109Ar-s18b;S;0,032;0,084;2019-06-13;;;109A;100;WISSEL;BED_SEIN
161675657;054_1007AR_57.5;w1007Ar-w1011Av;S;0,048;0,128;2019-06-13;;;1007A;1011A;WISSEL;WISSEL
161675659;007_151R_4.3;s121-w157l;S;0,570;0,609;2019-06-13;;;158;157;BED_SEIN;WISSEL
161675660;527_71AL_17.0;w71Al-w105Av;S;0,029;0,213;2019-06-13;;;71A;105A;WISSEL;WISSEL
161675661;588_343R_1.1;sMV-w413Av;S;1,619;1,695;2019-06-13;;;404;413A;BED_SEIN;WISSEL
161675662;588_343R_1.1;w343/341Bv-sMV;S;0,016;0,110;2019-06-13;;;343/341B;334;WISSEL;BED_SEIN
161675663;433_64L_4.7;w64l-s41;S;0,029;0,058;2019-06-13;;;64;84;WISSEL;STOP_BD
161674455;133_1065R_13.9;w1065r-w1067Br;S;0,039;0,059;2019-06-13;;;1065;1067B;WISSEL;WISSEL
161674456;950_69R_40.9;w69r-w71v;S;0,027;0,041;2019-06-13;;;69;71;WISSEL;WISSEL
161674457;817_74AL_206.2;w74Al-w75r;S;0,022;0,361;2019-06-13;;;74A;75;WISSEL;WISSEL
161674458;073_1115V_1.1;w1115v-w1119Bl;S;0,000;0,214;2019-06-13;;;1115;1119B;WISSEL;WISSEL
161674459;508_2115R_91.6;w2115r-w2117r;S;0,048;0,166;2019-06-13;;;2115;2117;WISSEL;WISSEL
161674460;520_137R_0.7;w137/135Bv-w145Av;S;0,017;0,027;2019-06-13;;;137/135B;145A;WISSEL;WISSEL
161674461;076_1631BV_11.8;w1631Bv-w1633Bl;S;0,000;0,049;2019-06-13;;;1631B;1633B;WISSEL;WISSEL
161674462;073_1105AV_1.0;w1105Av-s603;S;0,000;0,046;2019-06-13;;;1105A;1112;WISSEL;BED_SEIN
161674463;128_63V_13.3;w63v-w65Bl;S;0,000;0,021;2019-06-13;;;63;65B;WISSEL;WISSEL
161674464;501_37AL_80.2;w37Al-w37Bl;S;0,027;0,027;2019-06-13;;;37A;37B;WISSEL;WISSEL
