ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT;RICHTING_VOLGENS_GEOCODEKM
1417530;950_813L_41.7;0,000;0,529;950_a;41,721;42,249;MEE
1417531;017_423R_39.9;0,000;0,802;017__;39,930;40,730;MEE
1417532;017_401AR_39.5;0,000;0,444;017__;39,486;39,930;MEE
1417533;556_1425R_6.1;0,000;0,063;556__;6,059;6,122;MEE
1417534;035_157BV_60.8;0,004;0,112;562_b;60,800;60,908;MEE
1417535;120_41AR_15.3;0,000;1,018;120_a;15,305;16,322;MEE
1417536;120_41AL_15.3;0,000;0,059;120_a;15,305;15,363;MEE
1417537;043_343R_32.7;0,000;0,448;043__;32,747;33,195;MEE
1417538;127_297R_8.3;0,000;2,832;127_a;8,331;11,161;MEE
1417539;504_69BV_18.4;0,000;0,362;504_b;18,361;18,723;MEE
1417540;534_1081AL_45.9;0,000;0,064;534_b;45,884;45,947;MEE
1417541;550_957AL_25.2;0,000;0,048;550__;25,194;25,242;MEE
1417542;550_962R_25.2;0,000;0,060;550__;25,242;25,300;MEE
1417543;504_67R_18.3;0,000;0,453;504_b;18,269;18,723;MEE
1417544;504_55AR_18.2;0,000;0,053;504_b;18,217;18,269;MEE
1417545;063_31BV_13.8;0,000;5,608;063__;13,751;19,355;MEE
1417546;506_181AR_44.3;0,000;0,343;506_b;44,277;44,621;MEE
1417813;586_283BqV_81.2;0,000;0,031;586__;81,246;81,215;TEGEN
1417814;586_321AR_81.3;0,000;0,044;586__;81,315;81,358;MEE
1417815;127_359AL_37.4;0,000;1,083;127_a;37,447;38,528;MEE
1417816;127_359AR_37.4;0,000;0,060;127_a;37,447;37,507;MEE
1417817;504_904L_17.5;0,000;0,040;504_b;17,454;17,494;MEE
1417818;504_907L_17.5;0,000;0,601;504_b;17,539;18,143;MEE
1417819;504_901R_17.3;0,000;0,192;504_b;17,346;17,539;MEE
1417820;504_35BV_17.6;0,000;0,492;504_b;17,646;18,138;MEE
1417821;082_137AR_1.5;0,000;0,059;082__;1,486;1,545;MEE
1417822;588_867BpV_2.3;0,000;0,031;588__;2,343;2,310;TEGEN
1417823;588_865V_2.3;0,000;0,026;588__;2,283;2,310;MEE
1417824;534_1089R_46.1;0,000;0,170;534_b;46,059;46,230;MEE
1417825;009_87R_137.9;0,000;0,619;009__;137,923;138,539;MEE
1417826;544_1115BL_1.2;0,000;0,059;544_a;1,245;1,186;TEGEN
1417827;586_1R_79.9;0,000;0,340;586__;79,900;80,241;MEE
1417828;586_1L_79.9;0,000;0,266;586__;79,900;80,167;MEE
1417829;534_1103AR_46.1;0,000;0,110;534_b;46,108;46,219;MEE
1417830;534_1103AL_46.1;0,000;0,266;534_b;46,108;46,375;MEE
1417831;534_1107R_46.4;0,000;0,132;534_b;46,376;46,243;TEGEN
1417832;501_133qV_80.7;0,000;0,032;501__;80,663;80,633;TEGEN
1417833;550_972R_25.6;0,000;0,039;550__;25,566;25,605;MEE
1417834;542_1271BV_30.0;0,000;0,622;542_a;29,979;30,600;MEE
1417835;613_175BL_75.4;0,000;0,052;613__;75,407;75,355;TEGEN
1418103;555_251AR_83.5;0,000;0,060;555__;83,493;83,557;MEE
1418104;555_263AqV_83.4;0,000;0,032;555__;83,387;83,420;MEE
1418105;555_211BV_83.4;0,000;0,027;555__;83,377;83,405;MEE
1418106;555_255AR_83.4;0,000;0,057;555__;83,392;83,450;MEE
1418107;555_255AL_83.4;0,000;0,058;555__;83,392;83,450;MEE
1418108;555_215BV_83.4;0,000;0,016;555__;83,376;83,392;MEE
1418109;564_1301R_23.4;0,000;0,080;564_b;23,436;23,516;MEE
1418110;071_29V_27.9;0,017;0,025;520_b;27,900;27,908;MEE
1418111;586_2541BpV_80.4;0,000;0,034;586__;80,356;80,323;TEGEN
1418112;927_9AR_904.3;0,000;0,078;927__;904,286;904,363;MEE
1418113;927_13V_904.4;0,000;0,654;927__;904,363;905,061;MEE
1418114;927_944AR_905.7;0,000;0,341;927__;905,685;906,026;MEE
1418115;927_947L_905.8;0,000;0,749;927__;905,769;906,512;MEE
1418116;200_201V_16.2;0,000;7,394;200__;16,208;23,591;MEE
1418117;614_16R_47.3;0,000;0,147;614_c;47,303;47,155;TEGEN
1418118;617_1151AR_39.3;0,000;0,079;617_a;39,316;39,397;MEE
1418119;083_257BV_7.8;0,000;0,320;083__;7,836;8,155;MEE
1418120;105_97L_23.5;0,000;0,973;105__;23,548;24,520;MEE
1418121;128_23BV_12.5;0,000;0,041;128__;12,531;12,572;MEE
1418122;017_317BV_24.1;0,000;0,380;017__;24,080;24,460;MEE
1418123;818_2R_100.0;0,000;0,433;818_a;100,031;100,465;MEE
1418124;011_804R_68.2;0,000;0,040;011__;68,187;68,222;MEE
1418125;011_804L_68.2;0,000;0,027;011__;68,187;68,209;MEE
1418126;011_840BL_68.8;0,000;0,052;011__;68,831;68,780;TEGEN
1418415;212_105V_12.2;0,000;8,084;212__;12,202;20,290;MEE
1418416;555_291AR_83.6;0,000;0,053;555__;83,568;83,620;MEE
1418417;478_1337BL_2.1;0,000;0,052;478_a;2,066;2,015;TEGEN
1418418;478_1263R_1.7;0,000;0,040;478_a;1,750;1,791;MEE
1418419;857_15L_1.3;0,000;0,389;857_a;1,281;1,668;MEE
1418420;857_14V_1.3;0,000;0,031;857_a;1,312;1,281;TEGEN
1418421;478_1157R_0.8;0,000;0,895;478_a;0,819;1,712;MEE
1418422;485_57AqV_100.9;0,000;0,032;485_d;100,912;100,881;TEGEN
1418423;486_902R_75.4;0,000;0,583;486_b;75,407;75,991;MEE
1418424;606_109V_1.0;0,000;0,066;606_a;1,034;1,100;MEE
1418425;606_109V_1.0;13,900;13,930;543_a;14,900;14,930;MEE
1418426;606_109V_1.0;0,066;13,900;025__;1,100;14,900;MEE
1418427;606_107BV_1.0;0,000;0,066;606_a;0,968;1,034;MEE
1418428;163_1031ApV_44.0;0,000;0,031;163__;43,962;43,993;MEE
1418429;163_1031AL_44.0;0,000;0,352;163__;43,977;44,330;MEE
1418430;163_1031AqV_44.0;0,000;0,031;163__;43,962;43,993;MEE
1418431;163_1031AR_44.0;0,000;0,053;163__;43,977;44,029;MEE
1418432;506_35R_43.2;0,000;0,307;506_b;43,192;43,485;MEE
1418433;506_141AR_44.0;0,000;0,217;506_b;43,996;44,215;MEE
1418434;506_93pV_44.0;0,000;0,035;506_b;43,967;43,934;TEGEN
1417547;506_205AR_44.6;0,000;0,052;506_b;44,568;44,621;MEE
1417548;540_151AL_81.4;0,000;0,360;540_d;81,414;81,775;MEE
1417549;540_167AL_81.8;0,000;0,107;540_d;81,793;81,946;MEE
1417550;543_175AR_45.3;0,000;0,049;543_c;45,327;45,377;MEE
1417551;543_173BqV_45.3;0,000;0,031;543_c;45,343;45,312;TEGEN
1417552;555_275BV_83.6;0,000;0,533;555__;83,604;84,148;MEE
1417553;626_910ApV_32.6;0,000;0,028;626_c;32,583;32,611;MEE
1417554;626_906V_32.6;0,000;0,025;626_c;32,572;32,597;MEE
1417555;626_910AL_32.6;0,000;0,078;626_c;32,597;32,674;MEE
1417556;626_910AqV_32.6;0,000;0,029;626_c;32,583;32,612;MEE
1417557;626_910AR_32.6;0,000;0,068;626_c;32,597;32,664;MEE
1417558;527_67AR_16.9;0,000;0,146;527_c;16,918;17,065;MEE
1417559;527_67AL_16.9;0,000;0,056;527_c;16,918;16,973;MEE
1417560;526_433BV_3.5;0,000;0,612;526_a;3,544;4,163;MEE
1417561;526_453AL_3.9;0,000;0,243;526_a;3,920;4,163;MEE
1417562;526_457V_4.2;0,037;0,124;050__;4,200;4,288;MEE
1417563;526_457V_4.2;0,000;0,037;526_a;4,163;4,200;MEE
1417564;927_9BV_904.4;0,000;0,022;927__;904,351;904,372;MEE
1417565;950_1213AL_33.7;0,000;0,106;950_a;33,691;33,797;MEE
1417566;079_183BV_2.9;1,626;1,826;524_a;1,300;1,100;TEGEN
1417567;506_568V_43.7;0,000;0,029;506_b;43,654;43,681;MEE
1417836;613_175AR_75.3;0,000;0,061;613__;75,347;75,407;MEE
1417837;530_114L_12.4;0,918;5,316;091__;1,600;5,999;MEE
1417838;530_114L_12.4;0,817;0,918;530_a;1,500;1,600;MEE
1417839;530_115AR_12.4;0,000;0,083;530_b;12,397;12,480;MEE
1417840;503_89AR_44.0;0,000;0,117;503_c;44,012;43,897;TEGEN
1417841;503_91AR_43.9;0,000;0,054;503_c;43,897;43,843;TEGEN
1417842;503_89BpV_43.9;0,000;0,031;503_c;43,881;43,912;MEE
1417843;540_167AR_81.8;0,664;1,600;555__;82,500;83,436;MEE
1417844;540_167AR_81.8;0,000;0,664;540_d;81,793;82,500;MEE
1417845;555_237V_83.4;0,000;0,185;555__;83,436;83,620;MEE
1417846;503_83AR_14.0;0,011;0,310;503_b;14,000;14,300;MEE
1417847;503_83AR_14.0;0,310;0,358;503_c;44,016;43,970;TEGEN
1417848;602_219R_77.2;0,447;8,709;204__;4,300;12,556;MEE
1418127;950_55BpV_40.8;0,000;0,031;950_a;40,793;40,762;TEGEN
1418128;950_55AR_40.7;0,000;0,054;950_a;40,712;40,766;MEE
1418129;950_55AL_40.7;0,000;0,066;950_a;40,712;40,777;MEE
1418130;950_55AV_40.7;0,000;0,603;950_a;40,712;40,112;TEGEN
