ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT;RICHTING_VOLGENS_GEOCODEKM
1418131;950_91V_41.5;0,000;0,041;950_a;41,483;41,524;MEE
1418132;506_251BV_45.4;0,000;0,047;506_b;45,358;45,406;MEE
1418133;506_253AR_45.3;0,000;0,086;506_b;45,320;45,406;MEE
1418134;506_257AL_45.4;0,000;0,043;506_b;45,424;45,468;MEE
1418135;586_285AL_81.2;0,000;0,035;586__;81,230;81,266;MEE
1418136;586_283BpV_81.2;0,000;0,032;586__;81,247;81,214;TEGEN
1418137;031_225L_16.4;0,000;0,819;031_a;16,378;17,197;MEE
1418138;478_1145L_0.7;0,000;0,061;478_a;0,721;0,659;TEGEN
1418139;478_1145pV_0.7;0,000;0,034;478_a;0,737;0,703;TEGEN
1418140;135_907R_45.1;0,000;0,560;135__;45,105;45,661;MEE
1418141;105_139BV_31.5;0,000;0,054;105__;31,546;31,600;MEE
1418142;506_609L_43.5;0,000;0,408;506_b;43,533;43,894;MEE
1418143;094_1091AR_2.5;0,000;0,171;094__;2,545;2,716;MEE
1418144;094_1079AR_2.7;0,000;0,102;094__;2,735;2,836;MEE
1418145;506_121AR_44.1;0,000;0,053;506_b;44,114;44,166;MEE
1418146;506_153BV_44.2;0,000;0,010;506_b;44,166;44,176;MEE
1418147;506_227BV_45.2;0,000;0,018;506_b;45,248;45,266;MEE
1418148;506_251AR_45.3;0,000;0,084;506_b;45,266;45,350;MEE
1418149;506_251AL_45.3;0,000;0,093;506_b;45,266;45,358;MEE
1418150;133_1129AL_19.1;0,000;0,112;133_a;19,106;19,218;MEE
1418151;560_51BqV_24.8;0,000;0,032;560_a;24,844;24,876;MEE
1418152;534_1049AR_45.5;0,000;0,077;534_b;45,500;45,578;MEE
1418153;026_231BqV_26.0;0,000;0,032;026__;26,000;25,969;TEGEN
1418435;506_79L_43.9;0,000;0,109;506_b;43,870;43,950;MEE
1418436;506_95AL_43.9;0,000;0,039;506_b;43,950;43,988;MEE
1418437;506_93qV_44.0;0,000;0,035;506_b;43,967;43,934;TEGEN
1418438;950_79pV_41.0;0,000;0,032;950_a;41,044;41,012;TEGEN
1418439;011_7L_67.8;0,000;0,027;011__;67,821;67,849;MEE
1418440;031_225R_16.4;0,000;0,821;031_a;16,378;17,197;MEE
1418441;031_245L_24.1;0,000;0,310;031_a;24,119;24,428;MEE
1418442;031_245R_24.1;0,000;0,310;031_a;24,119;24,428;MEE
1418443;586_255BV_81.1;0,000;0,011;586__;81,125;81,135;MEE
1418444;586_279AR_81.1;0,000;0,082;586__;81,135;81,214;MEE
1418445;506_620V_43.9;0,000;0,035;506_b;43,886;43,909;MEE
1418446;506_97pV_44.0;0,000;0,035;506_b;44,012;43,979;TEGEN
1418447;620_1BV_41.7;0,000;0,005;620__;41,654;41,660;MEE
1418448;618_51AL_58.7;0,000;0,098;618_c;58,711;58,809;MEE
1418449;527_41AR_16.6;0,000;0,064;527_c;16,551;16,616;MEE
1418450;823_18AR_5.0;0,000;0,026;823_a;5,065;5,090;MEE
1418451;823_21AL_5.7;0,000;0,030;823_a;5,702;5,732;MEE
1418452;823_25R_5.7;0,000;0,293;823_a;5,732;6,022;MEE
1418453;586_365AL_81.1;0,000;0,097;586__;81,115;81,211;MEE
1418454;586_361BpV_81.1;0,000;0,031;586__;81,130;81,096;TEGEN
1418455;586_361BL_81.1;0,000;0,052;586__;81,115;81,060;TEGEN
1418456;586_361BqV_81.1;0,000;0,031;586__;81,130;81,096;TEGEN
1418457;586_361AR_81.1;0,000;0,052;586__;81,060;81,115;MEE
1418458;586_367AqV_81.1;0,000;0,031;586__;81,097;81,130;MEE
1418459;586_365BL_81.2;0,000;0,094;586__;81,207;81,115;TEGEN
1418460;586_383AL_81.1;0,000;0,051;586__;81,062;81,115;MEE
1418461;586_367ApV_81.1;0,000;0,031;586__;81,097;81,130;MEE
1418462;094_1067BR_3.5;0,000;0,224;094__;3,478;3,253;TEGEN
1417568;133_1083AL_15.1;0,000;3,118;133_a;15,127;18,251;MEE
1417569;133_1083AR_15.1;0,000;0,103;133_a;15,127;15,230;MEE
1417570;050_465R_4.3;0,000;2,097;050__;4,304;6,400;MEE
1417571;585_1165AL_8.4;0,000;1,418;585__;8,382;9,800;MEE
1417572;127_373V_38.4;0,000;0,050;127_a;38,423;38,473;MEE
1417573;544_1131AV_1.4;0,000;0,022;544_a;1,353;1,331;TEGEN
1417574;544_1129AL_1.2;0,000;0,094;544_a;1,237;1,331;MEE
1417575;063_101BV_19.2;0,000;0,053;063__;19,245;19,298;MEE
1417576;063_101BR_19.2;0,000;1,383;063__;19,245;17,865;TEGEN
1417577;120_52AL_16.3;5,237;5,927;545_b;21,500;22,192;MEE
1417578;506_603R_43.6;0,000;0,208;506_b;43,605;43,817;MEE
1417579;506_657L_44.4;0,000;0,030;506_b;44,378;44,408;MEE
1417580;520_59R_0.1;0,000;0,037;520_a;0,132;0,167;MEE
1417581;093_73AV_9.1;0,000;2,847;093__;9,146;6,299;TEGEN
1417849;602_219R_77.2;0,000;0,248;602_b;77,187;77,431;MEE
1417850;614_404R_48.4;0,000;0,041;614_c;48,374;48,335;TEGEN
1417851;618_23BL_58.6;0,762;0,831;054_a;57,800;57,731;TEGEN
1417852;618_23BL_58.6;0,000;0,762;618_c;58,562;57,800;TEGEN
1417853;135_911V_45.7;0,000;0,041;135__;45,661;45,704;MEE
1417854;527_99AR_17.2;0,000;0,081;527_c;17,267;17,346;MEE
1417855;527_113BpV_17.4;0,000;0,014;527_b;0,514;0,500;TEGEN
1417856;527_113BpV_17.4;0,014;0,035;527_c;17,388;17,367;TEGEN
1417857;527_115L_17.4;0,004;0,022;527_b;0,500;0,518;MEE
1417858;527_115L_17.4;0,000;0,004;527_c;17,384;17,388;MEE
1417859;100_2105BL_7.8;0,000;5,786;100__;7,787;2,000;TEGEN
1417860;527_912R_500.8;0,000;0,181;527_f;500,774;500,960;MEE
1417861;007_151V_4.3;3,990;4,016;600_b;11,223;11,198;TEGEN
1417862;664_897BL_42.9;1,641;3,145;663_a;41,300;39,800;TEGEN
1417863;114_411BV_53.7;1,053;1,754;538__;52,600;51,900;TEGEN
1417864;924_2329AR_34.8;0,000;0,431;924_a;34,844;35,271;MEE
1417865;144_1503V_151.7;0,000;0,715;144_b;300,103;300,830;MEE
1417866;144_1503V_151.7;2,793;2,888;080__;6,000;6,094;MEE
1417867;144_1503V_151.7;2,247;2,793;535_a;5,454;6,000;MEE
1418154;026_231BpV_26.0;0,000;0,032;026__;26,000;25,969;TEGEN
1418155;026_233AL_26.0;0,000;0,021;026__;25,985;26,005;MEE
1418156;026_243AR_26.0;0,000;0,940;026__;26,005;26,940;MEE
1418157;026_243AL_26.0;0,000;0,086;026__;26,005;26,090;MEE
1418158;017_1021BR_26.9;0,000;0,068;017__;26,859;26,792;TEGEN
1418159;163_1049R_44.7;0,000;0,232;163__;44,652;44,884;MEE
1418160;817_44V_119.9;0,000;0,068;817_a;119,925;119,857;TEGEN
1418161;801_915V_103.1;0,000;0,067;801_b;103,061;103,129;MEE
1418162;801_932V_302.1;0,000;0,044;801_d;302,149;302,105;TEGEN
1418163;486_60V_201.9;0,000;1,903;486_c;201,940;200,021;TEGEN
1418164;475_984L_0.8;0,000;0,431;475_a;0,812;1,245;MEE
1418165;475_983R_0.7;0,000;0,074;475_a;0,738;0,812;MEE
1418166;094_1079AL_2.7;0,000;0,062;094__;2,735;2,796;MEE
1418167;094_1079AV_2.7;0,000;0,019;094__;2,735;2,716;TEGEN
1418168;094_1069AV_3.3;0,000;0,456;094__;3,253;2,796;TEGEN
1418169;094_1065L_3.5;0,000;0,669;094__;3,466;2,796;TEGEN
1418170;506_165BR_44.4;0,000;0,051;506_b;44,339;44,288;TEGEN
1418171;506_656AL_44.3;0,000;0,018;506_b;44,360;44,378;MEE
1418172;506_657R_44.4;0,000;0,136;506_b;44,378;44,513;MEE
1418463;094_1063AL_3.5;0,000;0,067;094__;3,533;3,600;MEE
1418464;609_85BV_27.8;0,000;0,219;609__;27,794;27,581;TEGEN
1418465;504_51BpV_18.2;0,000;0,032;504_b;18,245;18,214;TEGEN
1418466;504_59AL_18.2;0,000;0,041;504_b;18,229;18,269;MEE
1418467;506_47AL_43.3;0,000;0,038;506_b;43,295;43,333;MEE
1418468;506_47AR_43.3;0,000;0,076;506_b;43,295;43,371;MEE
1418469;506_43R_43.2;0,000;0,072;506_b;43,224;43,295;MEE
1418470;506_523BV_43.4;0,000;0,096;506_b;43,445;43,563;MEE
1418471;506_524V_43.5;0,000;0,039;506_b;43,524;43,563;MEE
1418472;817_1221L_115.1;0,000;0,027;817_a;115,125;115,098;TEGEN
1418473;128_1235L_10.3;0,000;0,215;128__;10,317;10,102;TEGEN
1418474;519_21R_46.0;0,000;0,058;519_a;45,987;46,045;MEE
1418475;519_23BqV_46.1;0,000;0,031;519_a;46,119;46,088;TEGEN
1418476;519_5L_45.9;0,000;0,170;519_a;45,934;46,103;MEE
1418477;519_43L_46.2;0,000;0,159;519_a;46,216;46,057;TEGEN
1418478;519_43R_46.2;0,000;0,048;519_a;46,216;46,167;TEGEN
1418479;900_677V_201.3;0,000;0,034;900__;201,288;201,319;MEE
1418480;506_161AR_44.2;0,000;0,980;506_b;44,176;45,160;MEE
1418481;506_247BV_45.2;0,000;0,057;506_b;45,220;45,276;MEE
1418482;506_247AR_45.1;0,000;0,083;506_b;45,137;45,220;MEE
1418483;506_243AL_45.1;0,000;0,060;506_b;45,066;45,127;MEE
1418484;163_953AL_43.9;0,000;0,277;163__;43,912;44,189;MEE
1417582;502_281AL_101.2;0,000;0,242;502_b;101,222;101,464;MEE
1417583;502_285AL_101.4;0,000;0,097;502_b;101,368;101,464;MEE
1417584;504_55AL_18.2;0,000;0,064;504_b;18,217;18,280;MEE
1417585;504_55AV_18.2;0,000;0,047;504_b;18,217;18,170;TEGEN
1417586;504_71BV_18.4;0,000;0,286;504_b;18,379;18,663;MEE
1417587;534_1083ApV_45.9;0,000;0,031;534_b;45,879;45,911;MEE
1417588;534_1083AL_45.9;0,000;0,053;534_b;45,895;45,947;MEE
1417589;506_570L_43.6;0,000;0,499;506_b;43,636;44,117;MEE
1417590;501_45R_80.3;0,000;0,330;501__;80,321;80,648;MEE
1417591;503_187AL_41.2;0,000;0,242;503_c;41,169;40,927;TEGEN
1417592;602_219R_77.2;0,248;0,447;602_a;4,100;4,300;MEE
1417593;209_1V_15.9;0,000;2,012;209__;15,926;17,938;MEE
1417594;209_103L_18.5;0,000;0,303;209__;18,529;18,228;TEGEN
1417595;504_69AL_18.3;0,000;0,353;504_b;18,309;18,663;MEE
1417596;504_63BqV_18.3;0,000;0,032;504_b;18,325;18,293;TEGEN
1417597;504_59BL_18.3;0,000;0,052;504_b;18,269;18,218;TEGEN
1417598;504_59BqV_18.3;0,000;0,032;504_b;18,284;18,253;TEGEN
1417599;504_59AR_18.2;0,000;0,041;504_b;18,229;18,269;MEE
1417600;504_59BpV_18.3;0,000;0,032;504_b;18,284;18,254;TEGEN
1417868;144_1503V_151.7;0,715;1,993;589_e;300,833;302,100;MEE
1417869;144_1503V_151.7;1,993;2,247;535_b;302,101;302,344;MEE
1417870;069_8001R_21.9;0,003;0,079;069__;21,900;21,824;TEGEN
1417871;542_1271BV_30.0;0,622;1,734;116_a;30,600;31,705;MEE
1417872;542_1281R_30.0;0,000;0,522;542_a;30,021;30,530;MEE
1417873;608_25R_87.7;0,000;0,297;608_b;87,696;87,404;TEGEN
1417874;519_85BV_47.1;0,000;0,014;519_a;47,096;47,109;MEE
1417875;519_85AL_47.0;0,000;0,066;519_a;47,031;47,096;MEE
1417876;519_93AR_47.1;0,000;0,107;519_a;47,109;47,217;MEE
1417877;519_93BV_47.2;0,000;0,010;519_a;47,217;47,227;MEE
1417878;506_528V_43.6;0,000;0,046;506_b;43,584;43,654;MEE
1417879;544_1119AV_1.0;0,000;0,042;544_a;0,954;0,911;TEGEN
1417880;544_1119AL_1.0;0,000;0,115;544_a;0,954;1,071;MEE
1417881;586_59BV_80.4;0,000;0,019;586__;80,407;80,425;MEE
1417882;586_89BV_80.6;0,000;0,222;586__;80,551;80,773;MEE
1417883;586_157AL_80.8;0,000;0,036;586__;80,785;80,823;MEE
1417884;586_147BpV_80.8;0,000;0,032;586__;80,806;80,774;TEGEN
1417885;504_71AL_18.3;0,000;0,352;504_b;18,314;18,663;MEE
1417886;504_81V_18.7;0,000;0,007;504_b;18,663;18,670;MEE
1417887;133_1077BV_14.6;0,000;0,479;133_a;14,645;15,127;MEE
1418173;105_143BR_31.5;0,000;1,561;105__;31,531;29,965;TEGEN
1418174;105_485AR_30.0;0,000;0,229;105__;29,965;30,195;MEE
1418175;664_907BV_43.3;0,028;1,111;163__;43,300;44,383;MEE
1418176;163_961V_44.4;0,000;0,287;163__;44,383;44,669;MEE
1418177;163_1039AqV_44.3;0,000;0,031;163__;44,315;44,345;MEE
1418178;163_1039AR_44.3;0,000;0,052;163__;44,330;44,381;MEE
1418179;132_477BV_47.8;0,000;0,641;132__;47,817;47,176;TEGEN
1418180;132_453AL_49.0;0,000;1,155;132__;49,047;47,892;TEGEN
1418181;093_1001AL_6.3;0,000;0,102;093__;6,299;6,400;MEE
1418182;093_1001AV_6.3;0,000;0,018;093__;6,299;6,281;TEGEN
1418183;817_76V_205.6;0,000;0,000;817_e;205,626;205,626;MEE
1418184;950_241V_18.5;0,000;0,376;950_a;18,524;18,901;MEE
1418185;950_441V_28.1;0,000;0,010;950_a;28,053;28,062;MEE
1418186;950_435AR_27.8;0,000;0,222;950_a;27,831;28,053;MEE
1418187;950_211AqV_7.8;0,000;0,031;950_a;7,785;7,816;MEE
1418188;653_5L_101.9;0,000;0,712;653_a;101,883;102,594;MEE
1418189;055_359R_9.5;0,000;0,157;055__;9,455;9,612;MEE
1418190;603_71BV_2.5;0,000;0,002;603_a;2,455;2,457;MEE
1418191;617_1101AR_59.6;0,024;0,134;617_a;38,625;38,735;MEE
1418192;617_1101AR_59.6;0,000;0,024;617_b;59,576;59,600;MEE
1418193;027_955AR_149.1;0,000;0,324;027__;149,079;149,402;MEE
1418485;940_75AV_43.7;0,000;0,570;940__;43,745;43,266;TEGEN
1418486;478_1339AL_2.0;0,000;0,041;478_a;2,015;2,055;MEE
1418487;478_1273L_1.8;0,000;0,152;478_a;1,791;1,936;MEE
1418488;506_149R_44.2;0,000;0,082;506_b;44,161;44,077;TEGEN
1418489;506_167AL_44.3;0,000;0,063;506_b;44,253;44,315;MEE
1418490;163_1017L_43.5;0,000;0,476;163__;43,501;43,977;MEE
1418491;163_1029AR_43.9;0,000;0,045;163__;43,933;43,977;MEE
1418492;133_1113BV_18.5;0,000;0,576;133_a;18,536;19,106;MEE
1418493;801_904V_8.3;0,000;0,040;801_a;8,314;8,274;TEGEN
1418494;475_985R_0.9;0,000;0,506;475_a;0,854;1,361;MEE
1418495;105_473R_29.4;0,000;0,549;105__;29,414;29,965;MEE
1418496;163_1039ApV_44.3;0,000;0,031;163__;44,314;44,345;MEE
1418497;163_1037V_44.3;0,000;0,031;163__;44,299;44,330;MEE
1418498;163_1043ApV_44.4;0,000;0,031;163__;44,399;44,431;MEE
1418499;163_1043AL_44.4;0,000;0,052;163__;44,415;44,467;MEE
1418500;163_1043AqV_44.4;0,000;0,031;163__;44,399;44,431;MEE
1418501;105_141AL_31.5;0,000;0,097;105__;31,502;31,600;MEE
1418502;135_909AR_45.1;0,000;0,580;135__;45,123;45,705;MEE
1418503;135_909AL_45.1;0,000;0,582;135__;45,123;45,705;MEE
1418504;135_918V_46.2;0,000;0,030;135__;46,236;46,267;MEE
1417601;078_205AV_64.8;0,000;6,405;078__;64,798;58,400;TEGEN
1417602;078_205AV_64.8;6,405;6,435;522_b;58,400;58,370;TEGEN
1417603;542_1243AL_29.8;0,000;0,169;542_a;29,780;29,948;MEE
1417604;542_1267BR_30.0;0,000;0,019;542_a;29,968;29,948;TEGEN
1417605;542_1249BV_29.9;0,000;0,094;542_a;29,885;29,979;MEE
1417606;542_1271AR_29.9;0,000;0,052;542_a;29,927;29,979;MEE
1417607;527_73L_17.1;0,000;0,205;527_c;17,101;17,308;MEE
1417608;527_99BpV_17.3;0,000;0,035;527_c;17,324;17,290;TEGEN
1417609;527_101AL_17.3;0,000;0,040;527_c;17,307;17,346;MEE
1417610;527_99BqV_17.3;0,000;0,035;527_c;17,324;17,290;TEGEN
1417611;543_187R_45.5;0,000;0,564;543_c;45,478;46,028;MEE
1417612;543_215V_15.8;0,000;0,009;543_b;15,843;15,852;MEE
1417613;548_373AR_86.4;0,000;0,145;548__;86,438;86,583;MEE
1417614;548_371V_86.4;0,000;0,017;548__;86,422;86,438;MEE
1417615;516_923V_2.1;0,000;0,058;516_a;2,062;2,122;MEE
1417616;517_113R_69.4;0,000;0,033;517_b;69,360;69,391;MEE
1417617;517_113L_69.4;0,000;0,049;517_b;69,360;69,409;MEE
1417618;517_111L_69.3;0,000;0,049;517_b;69,296;69,360;MEE
1417619;517_111R_69.3;0,000;0,036;517_b;69,296;69,338;MEE
1417620;517_45BV_69.2;0,000;0,040;517_b;69,248;69,296;MEE
1417621;050_465R_4.3;2,097;2,664;587_a;6,400;6,968;MEE
1417888;586_339BV_81.5;0,178;0,518;588__;0,869;1,215;MEE
1417889;586_339BV_81.5;0,000;0,178;586__;81,523;81,700;MEE
1417890;503_83AR_14.0;0,000;0,011;023__;13,990;14,000;MEE
1417891;534_1109AL_46.2;0,000;0,132;534_b;46,243;46,376;MEE
1417892;602_215R_77.1;0,561;8,821;204__;4,300;12,556;MEE
1417893;602_215R_77.1;0,363;0,561;602_a;4,100;4,300;MEE
1417894;129_58V_30.8;0,000;0,045;129__;30,802;30,847;MEE
1417895;133_1087AR_15.0;0,000;3,269;133_a;14,980;18,251;MEE
1417896;555_295AR_83.5;0,000;0,276;555__;83,539;83,832;MEE
1417897;555_361L_84.2;0,000;0,072;555__;84,239;84,310;MEE
1417898;543_185L_45.3;0,089;0,237;543_b;15,700;15,843;MEE
1417899;543_185L_45.3;0,000;0,089;543_c;45,365;45,453;MEE
1417900;543_183BpV_45.4;0,000;0,031;543_c;45,380;45,349;TEGEN
1417901;588_867AR_2.3;0,000;0,040;588__;2,284;2,326;MEE
