ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;021_37AL_67.0;Onbekend;0,048;1,368;13-06-2019
2;021_39L_67.2;Onbekend;0,048;1,142;13-06-2019
3;017_11AL_49.5;Onbekend;0,029;12;13-06-2019
4;017_11BV_49.5;Onbekend;0;11,882;13-06-2019
5;017_29AL_61.5;Onbekend;0,028;0,648;13-06-2019
6;017_29BV_61.5;Onbekend;0;0,557;13-06-2019
7;610_151AR_14.0;Onbekend;0,061;13,705;13-06-2019
8;610_151BV_13.9;Onbekend;0,002;13,649;13-06-2019
9;609_7L_29.7;Onbekend;0,231;10,931;13-06-2019
10;609_5L_29.7;Onbekend;0,231;10,931;13-06-2019
11;119_121AV_21.3;Onbekend;0;6,754;13-06-2019
12;119_121BR_21.3;Onbekend;0,03;6,814;13-06-2019
13;132_295AL_40.4;Onbekend;0,265;7,491;13-06-2019
14;132_295BV_40.4;Onbekend;0,205;6,696;13-06-2019
15;542_1267AR_29.9;Onbekend;0,017;0,673;13-06-2019
16;542_1271AL_29.9;Onbekend;0,017;0,673;13-06-2019
17;542_1271BV_30.0;Onbekend;0;0,621;13-06-2019
18;542_1277AR_30.0;Onbekend;0,026;0,5;13-06-2019
19;561_97BV_59.6;Onbekend;0,003;1,92;13-06-2019
20;563_187AL_57.4;Onbekend;0,436;2,388;13-06-2019
21;561_89BV_59.6;Onbekend;0,003;1,864;13-06-2019
22;563_189R_57.4;Onbekend;0,444;2,444;13-06-2019
23;664_873BV_41.9;Onbekend;0;0,764;13-06-2019
24;123_61AL_19.8;Glued Tuned, type Corus 54E1;1,652;1,813;13-06-2019
25;123_63AL_19.9;Onbekend;0,036;1,577;13-06-2019
26;551_143AL_22.7;Onbekend;0,032;1,316;13-06-2019
27;551_145BV_22.9;Glued Tuned, type Corus 54E1;0,002;0,718;13-06-2019
28;551_145AL_22.8;Glued Tuned, type Corus 54E1;0,03;0,828;13-06-2019
29;515_307BV_51.2;Onbekend;4,032;8,222;13-06-2019
30;515_307AR_51.1;Onbekend;0,32;4,13;13-06-2019
31;057_41V_11.2;Onbekend;5,565;9,162;13-06-2019
32;063_31AV_13.7;Onbekend;0;10,99;13-06-2019
33;518_197V_64.8;Onbekend;0,3;15,976;13-06-2019
34;518_195V_64.9;Onbekend;0,246;15,886;13-06-2019
35;046_255AR_41.4;Onbekend;0,211;5,256;13-06-2019
36;054_1273AR_43.1;Onbekend;0,099;9,99;13-06-2019
37;054_1275AR_43.6;Onbekend;0,053;9,355;13-06-2019
38;054_1001AV_57.2;Onbekend;0,001;2,893;13-06-2019
39;054_1001BR_57.4;Onbekend;0,054;2,825;13-06-2019
40;054_1005AV_57.3;Onbekend;0,001;2,655;13-06-2019
41;054_1003AV_57.3;Onbekend;0,001;2,553;13-06-2019
42;544_1075R_0.2;Onbekend;0,058;0,636;13-06-2019
43;509_1107R_35.1;Onbekend;0,036;1,337;13-06-2019
44;509_1103R_35.1;Onbekend;0,029;1,433;13-06-2019
45;608_67L_88.9;Onbekend;0,228;13,118;13-06-2019
46;608_65AL_88.8;Onbekend;0,313;13,213;13-06-2019
47;127_323V_13.1;Schrey & Veit, VICON-AMSA 5RQ;0;0,112;13-06-2019
48;127_325AL_13.2;Schrey & Veit, VICON-AMSA 5RQ;0,029;0,125;13-06-2019
49;127_351AL_27.9;Schrey & Veit, VICON-AMSA 5RQ;0,029;9,561;13-06-2019
50;127_329AR_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,033;14,515;13-06-2019
51;127_327V_13.3;Schrey & Veit, VICON-AMSA 5RQ;0;0,009;13-06-2019
52;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;0;9,532;13-06-2019
53;127_329BV_13.3;Schrey & Veit, VICON-AMSA 5RQ;0;14,487;13-06-2019
54;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;0,825;8,383;13-06-2019
55;127_295AR_8.2;Onbekend;0,048;4;13-06-2019
56;127_303V_11.2;Onbekend;0;1,046;13-06-2019
57;127_309BV_12.3;Schrey & Veit, VICON-AMSA 5RQ;0;0,013;13-06-2019
58;127_311R_12.3;Schrey & Veit, VICON-AMSA 5RQ;0,031;0,773;13-06-2019
59;127_349AR_27.8;Onbekend;0,028;0,114;13-06-2019
60;127_359AL_37.4;Onbekend;0,027;1,054;13-06-2019
61;127_361L_37.5;Schrey & Veit, VICON-AMSA 5RQ;0,03;0,871;13-06-2019
62;127_435AR_54.0;Schrey & Veit, VICON-AMSA 5RQ;0,027;7,643;13-06-2019
63;127_435BV_54.0;Schrey & Veit, VICON-AMSA 5RQ;0;7,628;13-06-2019
64;127_375BV_38.5;Clipped Tuned, type Corus 54E1;0,001;9,967;13-06-2019
65;127_375AR_38.5;Clipped Tuned, type Corus 54E1;0,027;10,048;13-06-2019
66;123_61AL_19.8;Onbekend;0,029;1,651;13-06-2019
67;544_1075L_0.2;Onbekend;0,058;0,636;13-06-2019
68;544_1071BV_0.2;Onbekend;0;0,776;13-06-2019
69;544_1079BV_0.3;Onbekend;0,002;0,691;13-06-2019
70;544_1077BV_0.3;Glued Tuned, type Corus 54E1;0,002;0,603;13-06-2019
71;117_1843L_6.3;Onbekend;0,048;3,493;13-06-2019
72;046_227AL_36.0;Onbekend;0,029;5,278;13-06-2019
73;046_227BV_36.1;Onbekend;0;5,283;13-06-2019
74;047_3AV_40.9;Onbekend;0;16,764;13-06-2019
75;047_3BL_41.0;Onbekend;0,03;16,769;13-06-2019
76;545_75BL_22.3;Onbekend;2,446;20,078;13-06-2019
77;122_65L_2.8;Onbekend;1,009;18,5;13-06-2019
78;124_195L_4.5;Onbekend;0,039;13,792;13-06-2019
79;124_197V_4.6;Onbekend;0;13,657;13-06-2019
80;544_1135BV_1.4;Onbekend;0,001;0,837;13-06-2019
81;544_1135AR_1.3;Onbekend;0,061;0,906;13-06-2019
82;123_1AV_10.6;Onbekend;7,968;9,145;13-06-2019
83;055_413AL_29.6;Schrey & Veit, VICON-AMSA 5RQ;0,03;7,775;13-06-2019
84;122_65V_2.8;Schrey & Veit, VICON-AMSA 5RQ;0;0,692;13-06-2019
85;545_75BL_22.3;Onbekend;0,746;2,446;13-06-2019
86;123_1BR_10.6;Onbekend;0,034;8,035;13-06-2019
87;123_1AV_10.6;Onbekend;0,905;7,968;13-06-2019
88;057_43R_11.2;Onbekend;9,226;9,431;13-06-2019
89;057_41V_11.2;Onbekend;9,162;9,335;13-06-2019
90;519_97BV_47.4;Onbekend;0,37;5,753;13-06-2019
91;519_95BV_47.3;Onbekend;0,438;5,845;13-06-2019
92;087_47BV_22.8;Onbekend;0;1,294;13-06-2019
93;087_7L_21.1;Onbekend;0,044;0,831;13-06-2019
94;087_7R_21.1;Onbekend;0,044;0,798;13-06-2019
95;087_3L_21.1;Onbekend;0,044;0,699;13-06-2019
96;087_21AR_21.8;Onbekend;0,049;0,675;13-06-2019
97;089_261BV_45.7;Onbekend;0;0,623;13-06-2019
98;089_261AL_45.6;Onbekend;0,039;0,673;13-06-2019
99;506_259AR_45.5;Onbekend;0,043;0,565;13-06-2019
100;089_259BV_45.6;Onbekend;0,003;0,599;13-06-2019
101;089_271R_46.0;Onbekend;0,1;0,48;13-06-2019
102;089_273AL_46.2;Onbekend;0,1;0,446;13-06-2019
103;089_293BV_46.6;Onbekend;0;0,039;13-06-2019
104;612_7BL_60.6;Onbekend;13,977;14,089;13-06-2019
105;101_1067BV_12.3;Onbekend;0;2,517;13-06-2019
106;532_1067AR_11.9;Onbekend;0,158;2,858;13-06-2019
107;532_1061BV_12.0;Onbekend;0,088;2,788;13-06-2019
108;128_33V_12.8;Onbekend;0;0,452;13-06-2019
109;128_35BV_12.8;Onbekend;0;0,348;13-06-2019
110;128_35AL_12.7;Onbekend;0,047;0,586;13-06-2019
111;128_25AR_12.6;Onbekend;0,047;0,674;13-06-2019
112;128_25BV_12.8;Onbekend;0;0,4;13-06-2019
113;128_27L_12.7;Onbekend;0,043;0,579;13-06-2019
114;528_9R_28.1;Onbekend;0,048;0,525;13-06-2019
115;528_9L_28.1;Onbekend;0,048;0,559;13-06-2019
116;528_5L_28.0;Onbekend;0,048;0,654;13-06-2019
117;528_7R_28.1;Onbekend;0,042;0,525;13-06-2019
118;528_7L_28.1;Onbekend;0,038;0,452;13-06-2019
119;620_97AR_42.6;Onbekend;0,115;14,561;13-06-2019
120;078_227V_65.7;Schrey & Veit, VICON-AMSA 5RQ;0;0,324;13-06-2019
121;078_231AL_66.0;Onbekend;0,031;3,613;13-06-2019
122;078_231BV_66.0;Onbekend;0,003;3,552;13-06-2019
123;017_27R_61.4;Onbekend;0,028;0,736;13-06-2019
124;050_463AR_4.2;Onbekend;2,175;3,568;13-06-2019
125;587_481R_7.0;Onbekend;0;0,825;13-06-2019
126;050_465R_4.3;Onbekend;0,027;2,096;13-06-2019
127;050_465R_4.3;Onbekend;2,097;2,665;13-06-2019
128;614_2123V_47.5;Onbekend;0,002;0,398;13-06-2019
129;046_255BV_41.6;Onbekend;0,081;5,126;13-06-2019
130;614_2131V_47.6;Onbekend;0,001;0,29;13-06-2019
131;614_2129R_47.5;Onbekend;0,033;0,354;13-06-2019
132;161_2221V_9.4;Onbekend;0,002;10,76;13-06-2019
133;161_2223V_9.4;Onbekend;0;10,707;13-06-2019
134;161_2519R_20.4;Onbekend;0,062;0,49;13-06-2019
135;161_2521L_20.4;Onbekend;0,062;0,49;13-06-2019
136;161_2539L_21.2;Onbekend;0,053;10,2;13-06-2019
137;161_2541V_21.3;Onbekend;0,002;10,094;13-06-2019
138;161_2677V_31.9;Onbekend;0;3,426;13-06-2019
139;161_2675L_31.7;Onbekend;0,048;3,59;13-06-2019
140;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,017;0,401;13-06-2019
141;038_285AL_95.9;Onbekend;0,043;9,084;13-06-2019
142;038_285BV_96.0;Onbekend;0,003;8,982;13-06-2019
143;085_215BV_19.9;Onbekend;0;11,87;13-06-2019
144;057_43R_11.2;Onbekend;0,035;9,226;13-06-2019
145;027_945V_148.6;Onbekend;0;0,579;13-06-2019
146;027_957AR_149.2;Clipped Tuned, type Corus 54E1;0,047;0,292;13-06-2019
147;027_931R_147.6;Onbekend;0,048;0,074;13-06-2019
148;027_931R_147.6;Onbekend;0,074;1,18;13-06-2019
149;589_969L_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,45;1,646;13-06-2019
150;027_955BV_149.2;Onbekend;0;0,318;13-06-2019
151;027_955AR_149.1;Clipped Tuned, type Corus 54E1;0,047;0,276;13-06-2019
152;027_943BV_148.6;Glued Tuned, type Corus 54E1;0;0,452;13-06-2019
153;027_943AL_148.5;Clipped Tuned, type Corus 54E1;0,029;0,085;13-06-2019
154;027_933R_147.6;Clipped Tuned, type Corus 54E1;0,046;0,997;13-06-2019
155;027_941R_148.6;Onbekend;0,047;1,074;13-06-2019
156;027_931L_147.6;Onbekend;0,074;1,268;13-06-2019
157;589_971BV_149.6;Schrey & Veit, VICON-AMSA 54VS;0;0,765;13-06-2019
158;589_971AL_149.5;Onbekend;0,047;0,862;13-06-2019
159;026_243BV_26.1;Onbekend;0;0,786;13-06-2019
160;546_1063BR_3.6;Onbekend;0,047;2,739;13-06-2019
161;093_1005L_6.2;Onbekend;1,572;2,535;13-06-2019
162;094_1091AV_2.5;Onbekend;0;1,644;13-06-2019
163;094_1065R_3.5;Clipped Tuned, type Corus 54E1;0,1;0,874;13-06-2019
164;093_1007R_5.8;Onbekend;1,184;2,181;13-06-2019
165;094_1091BL_2.7;Onbekend;0,923;1,808;13-06-2019
166;094_1069AV_3.3;Clipped Tuned, type Corus 54E1;0;0,408;13-06-2019
167;094_1067BR_3.5;Clipped Tuned, type Corus 54E1;0,048;0,176;13-06-2019
168;094_1065L_3.5;Clipped Tuned, type Corus 54E1;0,1;0,621;13-06-2019
169;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0;0,284;13-06-2019
170;094_1079BL_2.8;Onbekend;1,098;1,923;13-06-2019
171;094_1069BL_3.4;Clipped Tuned, type Corus 54E1;0,047;0,518;13-06-2019
172;094_1067AV_3.4;Clipped Tuned, type Corus 54E1;0;0,019;13-06-2019
173;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,284;0,462;13-06-2019
174;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,001;0,284;13-06-2019
175;531_2327R_33.9;Onbekend;0,991;4,322;13-06-2019
176;531_2321V_33.6;Onbekend;0,714;4,514;13-06-2019
177;532_1061BV_12.0;Onbekend;2,789;3,209;13-06-2019
178;101_1063V_12.3;Onbekend;2,516;2,81;13-06-2019
179;101_1067BV_12.3;Onbekend;2,517;2,866;13-06-2019
180;532_1067AR_11.9;Onbekend;2,859;3,407;13-06-2019
181;533_1131AL_15.9;Onbekend;0,034;0,219;13-06-2019
182;533_1159BV_16.1;Onbekend;0;1,474;13-06-2019
183;533_1139AR_15.9;Onbekend;0,032;0,117;13-06-2019
184;533_1151BV_16.1;Onbekend;0;1,496;13-06-2019
185;533_1117AR_15.3;Onbekend;0,048;2,082;13-06-2019
186;533_1117BV_15.5;Onbekend;0;0,477;13-06-2019
187;533_1159AR_16.0;Onbekend;0,034;1,415;13-06-2019
188;533_1113AL_15.3;Onbekend;0,048;2,082;13-06-2019
189;533_1113BV_15.5;Onbekend;0;0,495;13-06-2019
190;533_1151AL_16.0;Onbekend;0,033;1,402;13-06-2019
191;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0,339;10,669;13-06-2019
192;105_91BR_23.1;Onbekend;0,028;4,681;13-06-2019
193;105_91AV_23.1;Onbekend;0;4,673;13-06-2019
194;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,438;10,739;13-06-2019
195;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;0,027;11,481;13-06-2019
196;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;0;11,423;13-06-2019
197;017_353AL_32.0;Onbekend;0,049;7,503;13-06-2019
198;017_353BV_32.1;Onbekend;0;7,345;13-06-2019
199;017_61BV_71.0;Onbekend;0;11,833;13-06-2019
200;017_65AR_70.8;Onbekend;0,027;12,041;13-06-2019
201;609_135AL_26.6;Onbekend;1,153;11,609;13-06-2019
202;609_135BV_26.5;Onbekend;1,051;11,509;13-06-2019
203;047_71R_52.2;Onbekend;0,074;4,357;13-06-2019
204;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0;0,337;13-06-2019
205;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,048;0,437;13-06-2019
206;503_189L_40.9;Onbekend;0,369;23,315;13-06-2019
207;503_191L_40.9;Onbekend;0,36;23,338;13-06-2019
208;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,027;0,516;13-06-2019
209;605_1BL_33.4;Onbekend;0,215;6,745;13-06-2019
210;605_3BL_33.5;Onbekend;0,308;6,868;13-06-2019
211;605_3BV_33.5;Onbekend;0;0,459;13-06-2019
212;605_25BV_34.1;Onbekend;0;0,083;13-06-2019
213;620_3AV_41.6;Onbekend;0,295;5,01;13-06-2019
214;620_1AV_41.6;Onbekend;0,295;5,012;13-06-2019
215;620_97BV_42.7;Onbekend;0,034;14,421;13-06-2019
216;084_7BV_9.5;Onbekend;0;0,562;13-06-2019
217;084_7AR_9.4;Onbekend;0,027;0,556;13-06-2019
218;532_1061BR_12.0;Onbekend;1,204;3,972;13-06-2019
219;101_1063L_12.3;Onbekend;1,485;4,317;13-06-2019
220;101_1067BR_12.3;Onbekend;1,485;4,552;13-06-2019
221;532_1037R_11.2;Onbekend;0,448;3,46;13-06-2019
222;117_1BL_15.5;Onbekend;0,048;5,625;13-06-2019
223;035_145BV_53.0;Onbekend;0;7,558;13-06-2019
224;035_145AR_52.9;Onbekend;0,027;7,672;13-06-2019
225;604_13BV_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,04;0,623;13-06-2019
226;604_13AR_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,102;0,93;13-06-2019
227;605_25BV_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,084;3,084;13-06-2019
228;020_5V_60.3;Onbekend;0;11,331;13-06-2019
229;612_7BL_60.6;Onbekend;0,3;11,641;13-06-2019
230;507_231AV_93.6;Onbekend;0,05;1,098;13-06-2019
231;507_231BL_93.6;Onbekend;0,117;1,137;13-06-2019
232;047_41L_42.5;Onbekend;0,128;1,92;13-06-2019
233;618_273BV_49.5;Onbekend;0,062;10,768;13-06-2019
234;605_25AL_34.1;Onbekend;0,029;0,143;13-06-2019
235;605_25AL_34.1;Onbekend;0,143;3,143;13-06-2019
236;078_207R_64.9;Onbekend;0,026;1,003;13-06-2019
237;078_209L_64.9;Onbekend;0,046;0,731;13-06-2019
238;026_243AR_26.0;Onbekend;0,037;0,91;13-06-2019
239;047_71L_52.2;Onbekend;0,074;4,334;13-06-2019
240;552_229BV_82.6;Onbekend;3,322;3,922;13-06-2019
241;552_227AR_82.5;Onbekend;3,363;3,963;13-06-2019
242;549_283V_70.9;Onbekend;0;0,098;13-06-2019
243;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,098;0,663;13-06-2019
244;011_299BV_70.0;Onbekend;0;2,765;13-06-2019
245;011_301AR_70.0;Clipped Tuned, type Corus 54E1;0,029;2,565;13-06-2019
246;011_73V_68.9;Clipped Tuned, type Corus 54E1;0;1,458;13-06-2019
247;654_427L_50.4;Clipped Tuned, type Corus 54E1;0,166;16,734;13-06-2019
248;654_429V_50.5;Clipped Tuned, type Corus 54E1;0,056;16,652;13-06-2019
249;103_303V_28.8;Onbekend;0;1,707;13-06-2019
