SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
514_39BV_17.4;;;;;;;;;;;;;;
588_825R_1.8;;;;;;;;;;;;;;
560_57AV_24.9;;;;;;;;;;;;;;
663_3029AR_201.3;;;;;;;;;;;;;;
008_1255L_22.1;;;;;;;;;;;;;;
478_921L_101.6;;;;;;;;;;;;;;
950_641V_7.0;;;;;;;;;;;;;;
927_957R_905.6;;;;;;;;;;;;;;
543_147AL_44.9;;;;;;;;;;;;;;
542_1153AL_29.0;;;;;;;;;;;;;;
542_1153BL_29.1;;;;;;;;;;;;;;
950_213L_7.8;;;;;;;;;;;;;;
516_905L_2.0;;;;;;;;;;;;;;
506_558R_43.6;;;;;;;;;;;;;;
503_85BR_43.9;;;;;;;;;;;;;;
477_40R_201.0;;;;;;;;;;;;;;
508_833L_90.9;;;;;;;;;;;;;;
603_79AL_2.4;;;;;;;;;;;;;;
470_181R_305.5;;;;;;;;;;;;;;
486_941AL_76.1;;;;;;;;;;;;;;
618_25BpV_58.6;;;;;;;;;;;;;;
094_1067AL_3.4;;;;;;;;;;;;;;
620_79BL_42.3;;;;;;;;;;;;;;
626_901L_32.4;;;;;;;;;;;;;;
520_137R_0.7;;;;;;;;;;;;;;
478_1525L_0.8;;;;;;;;;;;;;;
544_1131AL_1.4;;;;;;;;;;;;;;
501_133pV_80.7;;;;;;;;;;;;;;
117_1847L_6.3;;;;;;;;;;;;;;
924_27-34R_35.4;;;;;;;;;;;;;;
545_77L_22.3;;;;;;;;;;;;;;
163_957BV_44.3;;;;;;;;;;;;;;
564_1305qV_23.5;;;;;;;;;;;;;;
625_303R_14.6;;;;;;;;;;;;;;
527_67AL_16.9;;;;;;;;;;;;;;
518_187V_64.6;;;;;;;;;;;;;;
506_629L_44.2;;;;;;;;;;;;;;
131_10R_17.0;;;;;;;;;;;;;;
133_1165AV_19.8;;;;;;;;;;;;;;
586_151AL_80.8;;;;;;;;;;;;;;
133_1163AL_19.7;;;;;;;;;;;;;;
486_93L_203.8;;;;;;;;;;;;;;
506_151BV_44.2;;;;;;;;;;;;;;
520_151AR_0.8;;;;;;;;;;;;;;
524_291BV_71.4;;;;;;;;;;;;;;
478_1143L_0.7;;;;;;;;;;;;;;
143_912AL_17.9;;;;;;;;;;;;;;
516_915R_2.0;;;;;;;;;;;;;;
626_902V_32.4;;;;;;;;;;;;;;
560_1271AV_24.7;;;;;;;;;;;;;;
924_3583BL_35.8;;;;;;;;;;;;;;
478_1223V_1.7;;;;;;;;;;;;;;
611_2301R_105.0;;;;;;;;;;;;;;
564_976V_24.0;;;;;;;;;;;;;;
801_903L_8.4;;;;;;;;;;;;;;
506_506R_43.0;;;;;;;;;;;;;;
664_131AL_42.9;;;;;;;;;;;;;;
501_915L_80.3;;;;;;;;;;;;;;
586_263BV_81.2;;;;;;;;;;;;;;
054_1005AR_57.3;;;;;;;;;;;;;;
924_3701V_36.5;;;;;;;;;;;;;;
133_1131AR_19.6;;;;;;;;;;;;;;
927_3057R_905.4;;;;;;;;;;;;;;
545_919R_21.8;;;;;;;;;;;;;;
508_811V_90.9;;;;;;;;;;;;;;
588_847R_2.2;;;;;;;;;;;;;;
586_2541BqV_80.4;;;;;;;;;;;;;;
503_119AL_43.2;;;;;;;;;;;;;;
517_179V_0.3;;;;;;;;;;;;;;
124_185L_3.4;;;;;;;;;;;;;;
618_41AR_58.7;;;;;;;;;;;;;;
927_991V_906.4;;;;;;;;;;;;;;
076_1631BV_11.8;;;;;;;;;;;;;;
527_75AV_17.1;;;;;;;;;;;;;;
506_523AL_43.3;;;;;;;;;;;;;;
011_10L_67.9;;;;;;;;;;;;;;
624_223AL_32.8;;;;;;;;;;;;;;
927_41R_904.6;;;;;;;;;;;;;;
922_913R_17.9;;;;;;;;;;;;;;
528_43AR_28.7;;;;;;;;;;;;;;
513_141BR_26.3;;;;;;;;;;;;;;
132_953V_49.1;;;;;;;;;;;;;;
609_81BpV_27.8;;;;;;;;;;;;;;
927_954ApV_905.7;;;;;;;;;;;;;;
478_1169L_0.8;;;;;;;;;;;;;;
545_912R_21.9;;;;;;;;;;;;;;
097_3611R_21.7;;;;;;;;;;;;;;
924_3591BqV_35.8;;;;;;;;;;;;;;
543_171AL_45.2;;;;;;;;;;;;;;
527_43AV_16.6;;;;;;;;;;;;;;
940_361BV_43.2;;;;;;;;;;;;;;
950_909L_16.9;;;;;;;;;;;;;;
551_105AL_21.7;;;;;;;;;;;;;;
478_1271R_1.8;;;;;;;;;;;;;;
478_1533L_0.9;;;;;;;;;;;;;;
478_1253BL_1.8;;;;;;;;;;;;;;
924_3357R_34.5;;;;;;;;;;;;;;
620_3AL_41.6;;;;;;;;;;;;;;
066_3L_25.8;;;;;;;;;;;;;;
625_265AR_15.6;;;;;;;;;;;;;;
927_3pV_904.3;;;;;;;;;;;;;;
588_351AR_1.2;;;;;;;;;;;;;;
054_1013AR_57.6;;;;;;;;;;;;;;
467_22V_101.1;;;;;;;;;;;;;;
501_37BV_80.3;;;;;;;;;;;;;;
603_73R_2.5;;;;;;;;;;;;;;
551_105BpV_21.8;;;;;;;;;;;;;;
470_65R_201.3;;;;;;;;;;;;;;
486_85V_205.2;;;;;;;;;;;;;;
478_1253AR_1.7;;;;;;;;;;;;;;
479_1633R_300.5;;;;;;;;;;;;;;
087_931pV_24.8;;;;;;;;;;;;;;
132_453AR_49.0;;;;;;;;;;;;;;
940_379L_43.2;;;;;;;;;;;;;;
543_165BV_45.2;;;;;;;;;;;;;;
514_101BV_17.0;;;;;;;;;;;;;;
525_483R_79.0;;;;;;;;;;;;;;
506_31AL_43.1;;;;;;;;;;;;;;
550_910ApV_25.8;;;;;;;;;;;;;;
063_103AR_19.3;;;;;;;;;;;;;;
011_821V_68.8;;;;;;;;;;;;;;
927_9AV_904.3;;;;;;;;;;;;;;
927_25L_904.5;;;;;;;;;;;;;;
588_830L_1.8;;;;;;;;;;;;;;
518_133R_63.6;;;;;;;;;;;;;;
940_397R_43.4;;;;;;;;;;;;;;
501_932ApV_80.4;;;;;;;;;;;;;;
520_93BV_0.3;;;;;;;;;;;;;;
017_63AR_70.7;;;;;;;;;;;;;;
586_339BR_81.5;;;;;;;;;;;;;;
478_1111R_0.7;;;;;;;;;;;;;;
011_8R_67.8;;;;;;;;;;;;;;
938_4583qV_2.4;;;;;;;;;;;;;;
503_89AL_44.0;;;;;;;;;;;;;;
501_121qV_80.8;;;;;;;;;;;;;;
490_105R_105.5;;;;;;;;;;;;;;
805_7111R_400.2;;;;;;;;;;;;;;
805_7117R_103.0;;;;;;;;;;;;;;
624_193R_32.4;;;;;;;;;;;;;;
603_155AR_3.4;;;;;;;;;;;;;;
124_213pV_4.4;;;;;;;;;;;;;;
508_803V_90.9;;;;;;;;;;;;;;
831_901V_101.9;;;;;;;;;;;;;;
624_213AR_32.7;;;;;;;;;;;;;;
133_1301AR_9.9;;;;;;;;;;;;;;
550_93AR_25.8;;;;;;;;;;;;;;
155_4311R_64.4;;;;;;;;;;;;;;
817_1233L_115.1;;;;;;;;;;;;;;
054_1375AL_54.3;;;;;;;;;;;;;;
544_1075L_0.2;;;;;;;;;;;;;;
124_901V_100.0;;;;;;;;;;;;;;
508_821L_90.9;;;;;;;;;;;;;;
618_25BqV_58.6;;;;;;;;;;;;;;
555_335pV_84.1;;;;;;;;;;;;;;
531_2719R_35.4;;;;;;;;;;;;;;
309_8302V_6.1;;;;;;;;;;;;;;
524_299AR_71.4;;;;;;;;;;;;;;
924_39-40V_35.3;;;;;;;;;;;;;;
626_13AL_32.3;;;;;;;;;;;;;;
501_145AL_80.7;;;;;;;;;;;;;;
506_133AL_44.0;;;;;;;;;;;;;;
531_2663L_34.7;;;;;;;;;;;;;;
851_JJJV_101.3;;;;;;;;;;;;;;
620_35BpV_41.9;;;;;;;;;;;;;;
501_77BV_80.5;;;;;;;;;;;;;;
506_614V_43.9;;;;;;;;;;;;;;
163_251L_43.3;;;;;;;;;;;;;;
586_2503BqV_80.2;;;;;;;;;;;;;;
