ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;017_333AR_24.5;0,138;0,181;01-05-2019;01-05-2019;-725;-725;BOOG;017_335_24.503
2;017_333BV_24.6;0,063;0,183;01-06-2019;01-06-2019;-3755;-3755;BOOG;017_w333Bv-sHF_24.753
3;017_333BV_24.6;0,627;0,632;01-06-2019;01-06-2019;30000;30000;BOOG;017_HF_24.638
4;017_333BV_24.6;1,333;1,339;01-05-2019;01-05-2019;30000;30000;BOOG;017_HF_24.639
5;017_333BV_24.6;1,861;1,862;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_HF_24.634
6;017_333BV_24.6;2,019;2,099;01-05-2019;01-05-2019;-3400;-3400;BOOG;017_sHF-w1023Av_24.713
7;017_335V_24.6;0,027;0,04;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_w335v-sVF_24.656
8;017_335V_24.6;0,163;0,171;01-05-2019;01-05-2019;30000;30000;BOOG;017_w335v-sVF_24.651
9;017_335V_24.6;1,874;1,884;01-05-2019;01-05-2019;30000;30000;BOOG;017_VF_24.653
10;017_335V_24.6;2,019;2,037;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_sVF-w1021Av_24.661
11;017_335V_24.6;2,075;2,088;01-05-2019;01-05-2019;10000;10000;BOOG;017_sVF-w1021Av_24.656
12;017_335V_24.6;2,117;2,126;01-05-2019;01-05-2019;-10000;-10000;BOOG;017_sVF-w1021Av_24.652
13;017_33V_62.2;0,004;0,036;01-05-2019;01-05-2019;-15000;-15000;BOOG;017_w33v-sVB_62.19
14;017_33V_62.2;0,477;0,486;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.167
15;017_33V_62.2;0,726;0,785;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.217
16;017_33V_62.2;1,092;1,103;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_VB_62.169
17;017_33V_62.2;1,186;1,218;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.19
18;017_33V_62.2;1,218;1,243;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_VB_62.183
19;017_33V_62.2;1,553;1,557;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.162
20;017_33V_62.2;1,794;1,92;01-05-2019;01-05-2019;-3950;-3950;BOOG;017_VB_62.284
21;017_33V_62.2;1,92;2,086;01-05-2019;01-05-2019;-5260;-5260;BOOG;017_VB_62.324
22;017_33V_62.2;2,086;2,277;01-05-2019;01-05-2019;-4735;-4735;BOOG;017_VB_62.349
23;017_33V_62.2;2,277;2,665;01-05-2019;01-05-2019;-4995;-4995;BOOG;017_VB_62.546
24;017_33V_62.2;2,665;3,015;01-05-2019;01-05-2019;-5210;-5210;BOOG;017_VB_62.508
25;017_33V_62.2;3,015;3,379;01-05-2019;01-05-2019;-4770;-4770;BOOG;017_VB_62.522
26;017_33V_62.2;3,837;3,842;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.163
27;017_33V_62.2;4,198;4,201;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.161
28;017_33V_62.2;5,032;5,042;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_VB_62.168
29;017_33V_62.2;5,477;5,483;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_VB_62.164
30;017_33V_62.2;6,204;6,208;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.162
31;017_33V_62.2;6,492;6,494;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.16
32;017_33V_62.2;6,952;6,957;01-05-2019;01-05-2019;30000;30000;BOOG;017_VB_62.163
33;017_33V_62.2;7,383;7,387;01-05-2019;01-05-2019;-30000;-30000;BOOG;017_sVB-w43Bl_62.162
34;017_351AL_31.8;0,003;0,045;01-06-2019;01-06-2019;-725;-725;BOOG;017_351A_31.829
35;017_351AL_31.8;0,058;0,101;01-06-2019;01-06-2019;725;725;BOOG;017_351B_31.83
36;017_351AR_31.8;0,092;0,116;01-06-2019;01-06-2019;30000;30000;BOOG;017_w351Ar-w353Bl_31.811
37;017_351AR_31.8;0,116;0,138;01-06-2019;01-06-2019;-30000;-30000;BOOG;017_w351Ar-w353Bl_31.809
38;017_351AV_31.8;0,03;0,182;01-06-2019;01-06-2019;-30000;-30000;BOOG;017_w351Av-sVG_31.939
39;017_351AV_31.8;0,426;0,592;01-06-2019;01-06-2019;-1800;-1800;BOOG;017_VG_31.953
40;017_351AV_31.8;0,592;0,659;01-06-2019;01-06-2019;-1975;-1975;BOOG;017_VG_31.854
41;017_351AV_31.8;0,659;0,781;01-06-2019;01-06-2019;-1600;-1600;BOOG;017_VG_31.909
42;017_351AV_31.8;0,781;0,916;01-06-2019;01-06-2019;-2110;-2110;BOOG;017_VG_31.922
43;017_351AV_31.8;0,916;1,071;01-06-2019;01-06-2019;-2005;-2005;BOOG;017_VG_31.942
44;017_351AV_31.8;1,564;1,868;01-05-2019;01-05-2019;30000;30000;BOOG;017_VG_32.091
45;017_351AV_31.8;2,241;2,362;01-05-2019;01-05-2019;4875;4875;BOOG;017_VG_31.908
