ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT;RICHTING_VOLGENS_GEOCODEKM
1343869;001_1103L_1.0;0;0,406;001_a;0,951;1,356;MEE
1343400;001_1103R_1.0;0;0,407;001_a;0,951;1,356;MEE
1331294;001_1103V_1.0;0;0,549;001_a;0,951;0,4;TEGEN
1331438;001_1103V_1.0;0,549;1,076;001_b;100;100,526;MEE
1344213;001_1107V_1.4;0;8,023;001_a;1,356;9,368;MEE
1340148;001_1125L_9.4;0;0,535;001_a;9,368;9,9;MEE
1340149;001_1125R_9.4;0;0,533;001_a;9,368;9,9;MEE
1339801;001_1129V_9.9;0;5,448;001_a;9,9;15,339;MEE
1340719;001_1145L_15.3;0;0,537;001_a;15,339;15,875;MEE
1339298;001_1145R_15.3;0;0,537;001_a;15,339;15,875;MEE
1338016;002_305L_35.8;0;0,652;002__;35,76;36,409;MEE
1337767;002_305R_35.8;0;0,652;002__;35,76;36,409;MEE
1337417;002_313V_36.4;0;3,571;002__;36,409;39,979;MEE
1336232;002_325L_40.0;0;10,49;002__;39,979;50,461;MEE
1338508;002_325R_40.0;0;10,593;002__;39,979;50,566;MEE
1343093;002_345AL_50.5;0;0,239;002__;50,461;50,7;MEE
1335982;002_345AR_50.5;0;0,105;002__;50,461;50,566;MEE
1335401;002_345BV_50.6;0;0,025;002__;50,566;50,592;MEE
1344208;002_347AL_50.6;0;0,108;002__;50,592;50,7;MEE
1337524;002_347AR_50.6;0;0,797;002__;50,592;51,388;MEE
1333529;002_347BV_50.7;0;0,79;002__;50,7;51,49;MEE
1337418;002_355AL_51.4;0;0,101;002__;51,388;51,49;MEE
1338010;002_355AR_51.4;0;0,248;002__;51,388;51,637;MEE
1338011;002_355BV_51.5;0;0,046;002__;51,49;51,536;MEE
1338982;002_357AL_51.5;0;12,167;002__;51,536;63,686;MEE
1336447;002_357AR_51.5;0;0,101;002__;51,536;51,637;MEE
1337323;002_357BV_51.6;0;12,065;002__;51,637;63,686;MEE
1335423;002_373V_63.7;0;4,616;002__;63,686;68,29;MEE
1339462;002_385L_68.3;0;0,743;002__;68,29;69,029;MEE
1339463;002_385R_68.3;0;0,743;002__;68,29;69,029;MEE
1340920;002_393V_69.0;0;6,416;002__;69,029;75,447;MEE
1332593;002_405L_75.4;0;1,37;002__;75,447;76,818;MEE
1332719;002_405R_75.4;0;1,37;002__;75,447;76,818;MEE
1340514;004_3AL_101.8;0;0,048;004__;101,752;101,8;MEE
1340866;004_3AL_101.8;0,048;0,773;653_a;101,8;102,525;MEE
1339115;004_3AR_101.8;0;0,048;004__;101,752;101,8;MEE
1339116;004_3AR_101.8;0,048;0,056;653_a;101,8;101,808;MEE
1334286;004_3AV_101.8;0;14,771;004__;101,752;87;TEGEN
1333933;004_3AV_101.8;14,771;15,247;548__;87;86,526;TEGEN
1341818;004_3BL_101.8;0;0,008;653_a;101,808;101,8;TEGEN
1341817;004_3BL_101.8;0,008;14,83;004__;101,8;87;TEGEN
1341819;004_3BL_101.8;14,83;15,247;548__;87;86,583;TEGEN
1339114;004_3BV_101.8;0;0,075;653_a;101,808;101,883;MEE
1340401;005_115L_126.6;0;0,345;005__;126,624;126,969;MEE
1340402;005_115R_126.6;0;0,345;005__;126,624;126,969;MEE
1333285;005_55L_109.5;0;0,582;005__;109,543;110,124;MEE
1333284;005_55R_109.5;0;0,582;005__;109,543;110,124;MEE
1334303;005_65V_110.1;0;4,085;005__;110,124;114,191;MEE
1334217;005_75L_114.2;0;0,103;005__;114,191;114,293;MEE
1333740;005_75R_114.2;0;0,807;005__;114,191;114,997;MEE
1334270;005_77L_114.3;0;0,663;005__;114,293;114,956;MEE
1334088;005_77R_114.3;0;0,663;005__;114,293;114,956;MEE
1340400;005_93V_115.0;0;0,041;005__;114,956;114,997;MEE
1342573;005_97V_115.0;0;11,627;005__;114,997;126,624;MEE
1331895;006_1003L_3.6;0;0,741;006__;3,594;4,336;MEE
1331838;006_1003R_3.6;0;0,846;006__;3,594;4,439;MEE
1338009;006_1009AL_4.3;0;5,832;006__;4,336;10,164;MEE
1331896;006_1009AR_4.3;0;0,103;006__;4,336;4,439;MEE
1332026;006_1009BV_4.4;0;5,629;006__;4,439;10,063;MEE
1337552;006_1017AL_10.1;0;0,102;006__;10,063;10,164;MEE
