ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;0,047;0,318;11-06-2020
2;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;0,318;1,357;11-06-2020
3;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;1,357;1,377;11-06-2020
4;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;1,377;2,673;11-06-2020
5;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;2,673;2,926;11-06-2020
6;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;2,926;4,466;11-06-2020
7;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;4,466;4,711;11-06-2020
8;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;4,711;6,227;11-06-2020
9;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;6,227;6,474;11-06-2020
10;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;6,474;7,771;11-06-2020
11;161_2223V_9.4;Schrey & Veit, VICON-AMSA 54VS;7,771;8,196;11-06-2020
12;161_2223V_9.4;Clipped Tuned, type Corus 54E1;8,196;8,217;11-06-2020
13;161_2223V_9.4;Clipped Tuned, type Corus 54E1;8,217;9,115;11-06-2020
14;161_2223V_9.4;Clipped Tuned, type Corus 54E1;9,115;9,561;11-06-2020
15;161_2223V_9.4;Clipped Tuned, type Corus 54E1;9,561;10,459;11-06-2020
16;161_2223V_9.4;Clipped Tuned, type Corus 54E1;10,459;10,479;11-06-2020
17;161_2223V_9.4;Clipped Tuned, type Corus 54E1;10,479;10,705;11-06-2020
18;161_2519R_20.4;Clipped Tuned, type Corus 54E1;0,091;0,116;11-06-2020
19;161_2519R_20.4;Clipped Tuned, type Corus 54E1;0,116;0,208;11-06-2020
20;161_2521L_20.4;Clipped Tuned, type Corus 54E1;0,091;0,116;11-06-2020
21;161_2521L_20.4;Clipped Tuned, type Corus 54E1;0,116;0,208;11-06-2020
22;161_2539L_21.2;Clipped Tuned, type Corus 54E1;0,1;0,272;11-06-2020
23;161_2539L_21.2;Clipped Tuned, type Corus 54E1;0,272;0,292;11-06-2020
24;161_2539L_21.2;Clipped Tuned, type Corus 54E1;0,292;0,55;11-06-2020
25;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;0,55;1,28;11-06-2020
26;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;1,28;1,62;11-06-2020
27;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;1,62;2,6;11-06-2020
28;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;2,6;3,113;11-06-2020
29;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;3,113;4,051;11-06-2020
30;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;4,051;4,692;11-06-2020
31;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;4,692;5,5;11-06-2020
32;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;5,5;6,271;11-06-2020
33;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;6,271;6,853;11-06-2020
34;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;6,853;7,752;11-06-2020
35;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;7,752;8,301;11-06-2020
36;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;8,301;9,682;11-06-2020
37;161_2539L_21.2;Schrey & Veit, VICON-AMSA 54VS;9,682;9,898;11-06-2020
38;161_2539L_21.2;Clipped Tuned, type Corus 54E1;9,898;10,1;11-06-2020
39;161_2541V_21.3;Clipped Tuned, type Corus 54E1;0,002;0,166;11-06-2020
40;161_2541V_21.3;Clipped Tuned, type Corus 54E1;0,166;0,186;11-06-2020
41;161_2541V_21.3;Clipped Tuned, type Corus 54E1;0,186;0,444;11-06-2020
42;161_2541V_21.3;Clipped Tuned, type Corus 54E1;9,792;9,994;11-06-2020
43;161_2675L_31.7;Clipped Tuned, type Corus 54E1;1,155;1,255;11-06-2020
44;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,344;0,401;11-06-2020
45;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;3,272;3,356;11-06-2020
46;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;3,494;3,584;11-06-2020
47;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;4,352;4,606;11-06-2020
