ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
171;518_191BV_64.9;Schrey & Veit, VICON-AMSA 5RQ;1,521;2,096;22-6-2015
172;518_193BV_64.8;Clipped Tuned, type Corus 54E1;0,476;0,851;22-6-2015
173;518_193BV_64.8;Schrey & Veit, VICON-AMSA 5RQ;1,576;2,151;22-6-2015
174;519_95BV_47.3;Schrey & Veit, VICON-AMSA 5RQ;1,439;1,739;22-6-2015
175;519_95BV_47.3;Schrey & Veit, VICON-AMSA 5RQ;0,739;1,289;22-6-2015
176;519_97BV_47.4;Schrey & Veit, VICON-AMSA 5RQ;1,378;1,678;22-6-2015
177;519_97BV_47.4;Schrey & Veit, VICON-AMSA 5RQ;0,678;1,228;22-6-2015
178;528_5L_28.0;Clipped Tuned, type Corus 54E1;0;0,192;22-6-2015
179;528_7L_28.1;Clipped Tuned, type Corus 54E1;0;0,192;22-6-2015
180;528_7R_28.1;Clipped Tuned, type Corus 54E1;0;0,192;22-6-2015
181;528_9L_28.1;Clipped Tuned, type Corus 54E1;0;0,192;22-6-2015
182;528_9R_28.1;Clipped Tuned, type Corus 54E1;0;0,192;22-6-2015
183;531_1191BR_33.9;Clipped Tuned, type Corus 54E1;0,617;0,947;22-6-2015
184;531_1229L_34.5;Clipped Tuned, type Corus 54E1;2,013;2,343;17-12-2015
185;532_1037R_11.2;Schrey & Veit, VICON-AMSA 5RQ;1,255;1,515;22-6-2015
186;532_1061BR_12.0;Schrey & Veit, VICON-AMSA 5RQ;2,022;2,282;22-6-2015
187;532_1061BV_12.0;Clipped Tuned, type Corus 54E1;2,538;2,813;22-6-2015
188;532_1061BV_12.0;Clipped Tuned, type Corus 54E1;2,813;3,163;22-6-2015
189;532_1067AR_11.9;Clipped Tuned, type Corus 54E1;2,608;2,883;22-6-2015
190;532_1067AR_11.9;Clipped Tuned, type Corus 54E1;2,883;3,233;22-6-2015
191;533_1151AL_16.0;Clipped Tuned, type Corus 54E1;0,034;0,297;22-6-2015
192;533_1151BV_16.1;Clipped Tuned, type Corus 54E1;0,23;0,605;22-6-2015
193;533_1159AR_16.0;Clipped Tuned, type Corus 54E1;0,035;0,31;22-6-2015
