ID;INVOERDATUM;VERSIE_NUMMER;ACTION;MODFWE;ELONG;TOSTARTAT;TOENDAT;SRCACTION;DASSIGNNAME;DASSIGNFROM;DASSIGNTO;DNAME;DLENGTH;FWENAME;FWELENGTH
9996;2016-01-07;6;RENAME;133_951L_20.9;;;;;;;;;;XXX1;
9997;2016-01-07;6;RENAME;133_951R_20.9;;;;;;;;;;XXX2;
9998;2016-01-07;6;RENAME;133_950L_20.9;;;;;;;;;;133_951L_20.9;
9999;2016-01-07;6;RENAME;133_950R_20.9;;;;;;;;;;133_951R_20.9;
10001;2016-01-07;6;RENAME;XXX1;;;;;;;;;;133_950L_20.9;
10002;2016-01-07;6;RENAME;XXX2;;;;;;;;;;133_950R_20.9;
10003;2016-01-07;6;NEWTOP;;;;;;;;;;;Dummy1;34
10004;2016-01-07;6;ASSIGN;133_950pV_20.9;-34;-1;;NEW;Dummy1;34;0;;;;
10005;2016-01-07;6;ASSIGN;Dummy1;-34;-1;;DEL;133_950pV_20.9;0;34;;;;
10006;2016-01-07;6;NEWTOP;;;;;;;;;;;Dummy2;34
10007;2016-01-07;6;ASSIGN;133_950qV_20.9;-34;-1;;NEW;Dummy2;34;0;;;;
10008;2016-01-07;6;ASSIGN;Dummy2;-34;-1;;DEL;133_950qV_20.9;0;34;;;;
76;2016-01-07;6;NEWTOP;;;;;;;;;;;477_41L_500.0;229
78;2016-01-07;6;NEWTOP;;;;;;;;;;;085_205BR_19.0;120
80;2016-01-07;6;NEWTOP;;;;;;;;;;;523_5005BR_177.5;87
82;2016-01-07;6;NEWTOP;;;;;;;;;;;525_964L_78.6;29
84;2016-01-07;6;NEWTOP;;;;;;;;;;;011_81R_69.1;733
86;2016-01-07;6;NEWTOP;;;;;;;;;;;525_961BL_78.6;16
88;2016-01-07;6;NEWTOP;;;;;;;;;;;525_982BR_78.2;336
90;2016-01-07;6;NEWTOP;;;;;;;;;;;603_3135L_3.0;89
92;2016-01-07;6;NEWTOP;;;;;;;;;;;525_439L_78.1;57
94;2016-01-07;6;NEWTOP;;;;;;;;;;;477_41R_500.0;268
96;2016-01-07;6;NEWTOP;;;;;;;;;;;525_979V_78.2;17
98;2016-01-07;6;NEWTOP;;;;;;;;;;;525_968R_78.5;266
100;2016-01-07;6;NEWTOP;;;;;;;;;;;525_973R_78.5;440
102;2016-01-07;6;NEWTOP;;;;;;;;;;;525_971L_78.6;470
104;2016-01-07;6;NEWTOP;;;;;;;;;;;525_965L_78.6;51
106;2016-01-07;6;NEWTOP;;;;;;;;;;;525_973L_78.5;442
108;2016-01-07;6;NEWTOP;;;;;;;;;;;085_205AR_18.9;326
110;2016-01-07;6;NEWTOP;;;;;;;;;;;011_37BL_68.7;310
112;2016-01-07;6;NEWTOP;;;;;;;;;;;011_802V_68.1;71
114;2016-01-07;6;NEWTOP;;;;;;;;;;;525_961BR_78.6;32
116;2016-01-07;6;NEWTOP;;;;;;;;;;;525_968L_78.5;266
118;2016-01-07;6;NEWTOP;;;;;;;;;;;525_980V_78.3;119
120;2016-01-07;6;NEWTOP;;;;;;;;;;;011_68AR_69.0;763
122;2016-01-07;6;NEWTOP;;;;;;;;;;;525_435BV_78.0;24
124;2016-01-07;6;NEWTOP;;;;;;;;;;;525_441AV_78.1;57
126;2016-01-07;6;NEWTOP;;;;;;;;;;;011_38L_68.7;218
128;2016-01-07;6;NEWTOP;;;;;;;;;;;011_61BR_69.0;52
130;2016-01-07;6;NEWTOP;;;;;;;;;;;011_14L_67.9;662
132;2016-01-07;6;NEWTOP;;;;;;;;;;;011_805R_68.2;537
134;2016-01-07;6;NEWTOP;;;;;;;;;;;011_806L_68.2;479
136;2016-01-07;6;NEWTOP;;;;;;;;;;;523_5005BV_177.5;398
138;2016-01-07;6;NEWTOP;;;;;;;;;;;564_966R_23.7;40
140;2016-01-07;6;NEWTOP;;;;;;;;;;;087_77BL_25.1;300
