ID;OBJECTTYPE;CG_TYPE;NUMMER;CG_NAAM;PCA;PGO_GEBIED;OBEGINTIJD
913;contractgebied;BASIS;14;Woerden;VolkerRail;;2016-01-05
914;contractgebied;BAAN;81;Rijn en Gouwe;Strukton Rail;Rijn en Gouwe;2016-01-05
915;contractgebied;BAAN;14;Woerden;VolkerRail;;2016-01-05
916;contractgebied;BAAN;9;Amsterdam;Strukton Rail;;2015-02-06
917;contractgebied;BAAN;7;Alkmaar;VolkerRail;;2015-02-06
918;contractgebied;BVL;5;Dordrecht;Strukton Rail;;2014-01-06
919;contractgebied;BASIS;7;Alkmaar;VolkerRail;;2015-02-06
920;contractgebied;BASIS;9;Amsterdam;Strukton Rail;;2015-02-06
921;contractgebied;BAAN;26;Maastricht;Strukton Rail;;2014-12-18
922;contractgebied;BAAN;25;Roermond;Strukton Rail;;2014-12-18
949;contractgebied;BAAN;8;Haarlem;VolkerRail;;2014-12-19
950;contractgebied;BAAN;82;Lisse;VolkerRail;;2014-12-19
951;contractgebied;BASIS;8;Haarlem;VolkerRail;;2013-12-16
952;contractgebied;BASIS;82;Lisse;VolkerRail;;2013-12-16
953;contractgebied;BASIS;3;Rotterdam;BAM Rail;;2013-12-16
954;contractgebied;BASIS;34;Overijssel;Strukton Rail;Drenthe;2013-12-16
955;contractgebied;BASIS;35;Drenthe;Strukton Rail;Drenthe;2013-12-16
923;contractgebied;BVL;19;Roosendaal;VolkerRail;Zeeland;2015-12-11
924;contractgebied;BVL;34;Overijssel;Strukton Rail;Drenthe;2013-08-19
925;contractgebied;BVL;3;Rotterdam;BAM Rail;;2013-08-22
926;contractgebied;BAAN;20;Breda;BAM Rail;;2013-12-09
927;contractgebied;BAAN;19;Roosendaal;VolkerRail;Zeeland;2016-01-05
928;contractgebied;BASIS;23;Boxtel;BAM Rail;;2013-12-16
929;contractgebied;BASIS;26;Maastricht;Strukton Rail;;2013-12-16
930;contractgebied;BASIS;25;Roermond;Strukton Rail;;2013-12-16
931;contractgebied;BASIS;13;Utrecht;VolkerRail;;2013-12-16
932;contractgebied;BVL;9;Amsterdam;Strukton Rail;;2015-02-06
933;contractgebied;BVL;7;Alkmaar;VolkerRail;;2015-02-06
934;contractgebied;BVL;29;Gelderse Vallei;VolkerRail;Veluwe;2013-08-19
935;contractgebied;BAAN;71;A15trace;VolkerRail;;2013-10-03
936;contractgebied;BVL;33;Gelderland;VolkerRail;Veluwe;2013-08-19
937;contractgebied;BVL;20;Breda;BAM Rail;;2013-12-09
938;contractgebied;BASIS;29;Gelderse Vallei;VolkerRail;Veluwe;2016-01-05
939;contractgebied;BASIS;12;Amersfoort;ASSET Rail;Eemland;2016-01-05
940;contractgebied;BAAN;29;Gelderse Vallei;VolkerRail;Veluwe;2016-01-05
941;contractgebied;BAAN;12;Amersfoort;ASSET Rail;Eemland;2016-01-05
942;contractgebied;BASIS;21;Den Bosch;BAM Rail;Betuwe;2016-01-05
943;contractgebied;BAAN;21;Den Bosch;BAM Rail;Betuwe;2016-01-05
944;contractgebied;BASIS;19;Roosendaal;VolkerRail;Zeeland;2016-01-05
945;contractgebied;BASIS;18;Goes;VolkerRail;Zeeland;2014-10-17
