ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
355333;spoortak;050_84V_6.3;050;;Amsterdam Muiderpoort - Diemen;6,273;84;V;587;a;Diemen;6,699;TI_84V;V;;0,424;2015-09-08;ProRail;0,423632
355334;spoortak;803_37V_102.6;803;h;Delfzijl Stamlijn Havenschap;102,566;37;V;803;h;Delfzijl Stamlijn Havenschap;102,109;60;V;;0,457;2015-01-09;ProRail;0,457263
355335;spoortak;055_413AR_29.6;055;;Blerick - Eindhoven;29,587;413A;R;055;;Blerick - Eindhoven;29,647;413B;R;;0,060;2015-01-09;ProRail;0,059796
355336;spoortak;805_7111L_400.2;805;c;Dordrecht Zeehaventerrein;400,215;7111;L;805;c;Dordrecht Zeehaventerrein;400,398;7113;R;;0,183;2015-01-09;ProRail;0,183089
355337;spoortak;517_115L_69.4;517;b;Venlo;69,391;115;L;517;a;Venlo;0,176;173;R;;0,711;2015-01-09;ProRail;0,710838
355338;spoortak;517_127R_69.4;517;b;Venlo;69,435;127;R;517;a;Venlo;0,145;163;L;;0,632;2015-01-09;ProRail;0,631864
355339;spoortak;525_429BR_77.9;525;b;Amsterdam Singelgracht Aansl.;77,886;429B;R;523;a;Amsterdam Sloterdijk;53,850;913;L;;3,741;2015-12-14;ProRail;3,740873
355340;spoortak;927_3323L_904.5;927;;Watergraafsmeer;904,477;3323;L;927;;Watergraafsmeer;904,811;3325B;RE;;0,314;2015-01-09;ProRail;0,314441
355494;spoortak;139_5009AR_177.4;139;;Zaandam - Amsterdam Sloterdijk;177,366;5009A;R;523;b;Amsterdam Sloterdijk;179,218;5107;L;;1,857;2015-09-07;ProRail;1,856954
355495;spoortak;525_1303AV_180.4;525;c;Amsterdam Singelgracht Aansl.;180,386;1303A;V;523;b;Amsterdam Sloterdijk;179,218;5107;V;;1,167;2015-09-07;ProRail;1,167257
355496;spoortak;525_443R_78.1;525;b;Amsterdam Singelgracht Aansl.;78,103;443;R;525;b;Amsterdam Singelgracht Aansl.;78,955;481;R;;0,878;2015-12-14;ProRail;0,878220
355497;spoortak;031_1L_3.3;031;a;Zutphen - Hengelo;3,319;1;L;609;;Zutphen;29,669;7;R;;1,105;2015-01-09;ProRail;1,104861
355498;spoortak;039_5107R_107.7;039;;Zevenaar - Zevenaar Grens;107,679;5107;R;039;;Zevenaar - Zevenaar Grens;108,983;5135;L;;1,303;2015-09-07;ProRail;1,303134
355499;spoortak;039_5105V_107.8;039;;Zevenaar - Zevenaar Grens;107,846;5105;V;039;;Zevenaar - Zevenaar Grens;108,840;5131;R;;0,997;2015-09-07;ProRail;0,996602
