ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
1057900;553_309BpV_22.3;0,000000;0,034000;553_c;22,293000;22,261000
1057901;527_187BV_18.1;0,072000;0,743000;085__;18,200000;18,874000
1057902;073_1111V_1.2;0,000000;0,142000;073__;1,155000;1,301000
1057903;550_907L_25.7;0,000000;0,027000;550__;25,662000;25,691000
1057904;810_7003L_1.6;0,000000;0,240000;810_a;1,568000;1,808000
1057905;927_3327BV_904.8;0,000000;0,232000;927__;904,848000;905,080000
1057906;516_941BL_75.1;0,000000;0,030000;516_b;75,112000;75,081000
1057907;028_1041V_53.3;0,000000;0,198000;028__;53,271000;53,469000
1057908;586_339AL_81.5;0,000000;0,048000;586__;81,474000;81,523000
1057909;133_1109R_18.2;0,000000;0,329000;133__;18,229000;18,561000
1057910;531_1349ApV_34.7;0,000000;0,034000;531_c;34,664000;34,697000
1057911;608_909L_88.2;0,000000;0,306000;608_b;88,245000;88,551000
1057912;503_131R_43.1;0,000000;0,087000;503_c;43,062000;42,979000
1057913;534_1097V_46.1;0,000000;0,134000;534_b;46,084000;46,220000
1057914;553_255R_21.5;0,000000;0,736000;553_c;21,470000;22,216000
1057915;478_1171L_0.8;0,000000;0,895000;478_a;0,820000;1,713000
1057916;531_1323L_34.8;0,000000;0,122000;531_c;34,849000;34,726000
1057917;217_123AR_49.4;0,000000;0,156000;217__;49,459000;49,616000
1057918;536_309AR_61.5;0,936000;1,144000;112__;62,400000;62,606000
1057919;514_49AR_65.2;0,000000;0,131000;514_b;65,236000;65,367000
1057920;514_113BV_16.8;0,000000;0,222000;514_a;16,826000;16,601000
1057921;560_1279AR_24.9;0,000000;0,061000;560__;24,920000;24,857000
1057922;831_902R_101.9;0,000000;0,429000;831_a;101,947000;102,376000
1057923;950_215L_11.8;0,000000;0,706000;950_a;11,838000;12,543000
1057924;503_183AR_42.2;0,000000;1,097000;503_c;42,163000;41,068000
1057925;517_53AR_69.1;0,000000;0,092000;517_b;69,088000;69,179000
1057926;609_19BL_28.8;0,000000;0,389000;609__;28,864000;29,252000
1057927;609_219L_28.8;0,000000;0,793000;609__;28,798000;28,005000
1057928;950_61R_40.8;0,000000;0,727000;950_a;40,827000;41,555000
1057929;950_667R_7.6;0,000000;0,269000;950_a;7,552000;7,826000
1057930;508_943V_91.1;0,000000;0,029000;508__;91,133000;91,160000
1057931;479_1707R_304.3;0,000000;0,083000;479_a;304,329000;304,412000
1057932;924_3583BpV_35.8;0,000000;0,031000;924_a;35,828000;35,799000
1057933;586_2511BpV_80.3;0,000000;0,034000;586__;80,275000;80,242000
1057934;560_69BV_24.7;0,383000;0,675000;536__;60,400000;60,689000
1057935;586_2537BL_80.4;0,000000;0,041000;586__;80,340000;80,298000
1057936;508_2013L_90.3;0,000000;0,052000;508__;90,279000;90,331000
1057937;586_211AL_80.9;0,000000;0,060000;586__;80,926000;80,985000
1057938;545_930R_22.2;0,000000;0,297000;545_b;22,194000;22,490000
1057939;545_929R_22.2;0,000000;0,078000;545_b;22,227000;22,150000
1057940;588_417BV_2.9;0,000000;0,260000;588__;2,940000;3,200000
1057941;135_915ApV_45.7;0,000000;0,032000;135__;45,717000;45,748000
1057942;127_359AR_37.4;0,000000;0,060000;127_a;37,447000;37,507000
1057943;603_918R_3.2;0,000000;0,061000;603_a;3,168000;3,105000
1057944;618_869AL_50.5;0,000000;0,105000;618_b;50,493000;50,388000
1057945;818_3V_100.5;0,000000;5,927000;818_a;100,465000;106,382000
1057946;831_901V_101.9;0,000000;0,025000;831_a;101,922000;101,947000
1057947;117_5BV_17.7;6,541000;7,060000;513_a;24,200000;24,720000
1057948;604_9AR_47.4;0,000000;0,027000;604_a;47,442000;47,468000
1057949;124_181L_3.2;0,000000;0,102000;124_a;3,230000;3,333000
1057950;618_29BV_58.6;0,000000;0,006000;618_c;58,618000;58,624000
1057951;617_1199AL_40.3;0,000000;0,133000;617_a;40,264000;40,397000
1057952;927_25R_904.5;0,000000;0,590000;927__;904,487000;905,176000
1057953;503_119AR_43.2;0,000000;0,036000;503_c;43,142000;43,107000
1057954;133_1107AL_18.3;0,000000;0,132000;133__;18,275000;18,409000
1057955;801_913R_102.7;0,000000;0,004000;801_b;102,680000;102,684000
1057956;950_349pV_17.5;0,000000;0,031000;950_a;17,480000;17,512000
1057957;823_7V_101.0;0,000000;0,192000;823_b;101,021000;101,211000
1057958;079_161BV_15.1;0,000000;0,089000;079__;15,072000;14,983000
1057959;545_917L_21.8;0,000000;0,172000;545_b;21,798000;21,626000
1057960;503_91BpV_43.8;0,000000;0,034000;503_c;43,827000;43,860000
1057961;116_1351AR_32.0;0,000000;0,106000;116__;32,021000;32,128000
1057962;508_935L_90.9;0,000000;0,092000;508__;90,871000;90,781000
1057963;161_2535R_21.1;0,000000;0,247000;161__;21,060000;21,306000
1057964;485_96R_101.1;0,000000;0,191000;485_d;101,113000;101,304000
1057965;531_873L_33.5;0,000000;0,029000;531_c;33,478000;33,466000
1057966;107_135BV_12.1;0,000000;6,527000;107_a;12,111000;18,635000
1057967;467_011L_102.0;0,000000;0,894000;467_c;101,959000;101,061000
1057968;504_909V_18.0;0,000000;0,062000;504_b;18,048000;18,114000
1057969;586_335BV_81.5;0,177000;0,442000;588__;0,869000;1,140000
1057970;210_5V_11.6;9,836000;10,024000;609__;29,258000;29,072000
1057971;586_231AR_81.0;0,000000;0,062000;586__;80,979000;81,040000
1057972;609_123BR_27.2;0,000000;0,030000;609__;27,230000;27,260000
1057973;042_901L_20.6;0,000000;0,448000;042__;20,598000;21,050000
1057974;080_3251R_6.1;0,000000;0,023000;080_b;302,986000;303,008000
1057975;506_143V_44.2;0,000000;0,922000;506_b;44,170000;45,049000
1057976;516_279L_1.7;0,000000;0,074000;516_a;1,735000;1,807000
1057977;564_953L_23.6;0,000000;0,052000;564_b;23,572000;23,623000
1057978;135_2005R_39.6;0,000000;0,163000;135__;39,573000;39,736000
1057979;163_973R_44.7;0,000000;0,103000;163__;44,732000;44,626000
1057980;623_363V_17.0;0,685000;5,142000;226__;16,500000;12,043000
1057981;518_171V_64.6;0,000000;0,013000;518__;64,625000;64,638000
1059212;927_3007BL_905.4;0,000000;0,052000;927__;905,337000;905,292000
1059213;542_1165L_29.1;0,000000;0,290000;542_a;29,071000;29,357000
1059214;486_806V_77.1;0,000000;0,026000;486_b;77,102000;77,076000
1059215;504_17AV_17.1;7,439000;7,737000;521_a;7,500000;7,800000
1059216;063_31AR_13.7;0,000000;0,060000;063__;13,691000;13,751000
1059217;503_129V_43.1;0,000000;0,034000;503_c;43,096000;43,062000
1059218;012_375AL_34.1;0,000000;0,063000;012__;34,100000;34,163000
1059219;950_803R_41.7;0,000000;0,582000;950_a;41,667000;42,249000
1059220;603_1012L_3.5;0,000000;0,162000;603_a;3,512000;3,348000
1059221;950_125qV_7.1;0,000000;0,031000;950_a;7,137000;7,106000
1059222;516_275L_1.5;0,000000;0,738000;516_a;1,544000;2,281000
1059223;817_70R_205.1;0,000000;0,040000;817_e;205,077000;205,118000
