ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
52864713;520_217AR_1.1;s81-w985r;S;0,122;0,144;2016-01-05;;
52864714;520_217AR_1.1;w217A/215r-s81;S;0,017;0,054;2016-01-05;;
52864715;588_842AL_2.1;w842A/842Bl-w845B/84;S;0,016;0,043;2016-01-05;;
52864716;614_2117V_47.4;w2117v-w2125v;S;0,000;0,008;2016-01-05;;
52865553;614_2225R_48.4;w2225r-w2237v;S;0,029;0,064;2016-01-05;;
52865554;139_311AL_175.0;w311Al-w317Br;S;0,048;0,233;2016-01-05;;
52865555;618_65R_51.5;s34-w73Av;S;0,169;0,178;2016-01-05;;
52865556;618_65R_51.5;w65r-s34;S;0,029;0,054;2016-01-05;;
52865557;011_62L_69.0;s310b-w327l;S;0,056;0,211;2016-01-05;;
52865558;210_5R_11.6;w5r-s901;S;0,039;0,130;2016-01-05;;
52865559;609_205V_28.6;w205v-w207r;S;0,000;0,057;2016-01-05;;
52865561;437_263AR_1.1;s971-w271l;S;0,288;0,505;2016-01-05;;
52865562;437_263AR_1.1;w263Ar-s971;S;0,029;0,071;2016-01-05;;
52865563;861_65V_100.5;w65v-w79r;S;0,000;0,503;2016-01-05;;
52865564;950_413R_26.9;w413/407Br-s681;S;0,016;0,037;2016-01-05;;
52865566;618_107AR_51.3;w109B/107Ar-w121B/18;S;0,018;0,335;2016-01-05;;
52865567;009_35AL_115.3;sTE-w45Br;S;11,126;11,498;2016-01-05;;
52865568;009_35AL_115.3;w35Al-sTE;S;0,029;0,461;2016-01-05;;
52865569;055_399BV_19.7;sGD-w407l;S;9,632;9,769;2016-01-05;;
52865570;055_399BV_19.7;w399Bv-sGD;S;0,000;0,639;2016-01-05;;
52865572;555_297R_83.7;w297r-s20;S;0,029;0,067;2016-01-05;;
52865575;027_931R_147.6;sDB-w1163Br;S;1,014;1,394;2016-01-05;;
52864919;531_1191BR_33.9;w1191Br-sUE4;S;0,029;0,204;2016-01-05;;
52861578;209_1R_19.0;w1r-sAV;S;0,029;0,675;2016-01-05;;
52862818;624_227BV_32.9;sRN-sRO;S;0,524;1,238;2016-01-05;;
52862819;624_227BV_32.9;w227Bv-sRN;S;0,000;0,166;2016-01-05;;
52862820;541_101V_15.8;s890-w117Br;S;0,356;0,755;2016-01-05;;
52862821;541_101V_15.8;w101v-s890;S;0,000;0,014;2016-01-05;;
