ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
53011715;523_5005BR_177.5;523_b;0,000000;0,087000;2016-01-07
53009138;127_542L_49.8;127_a;0,000000;0,221000;2016-01-07
53014618;127_329AL_13.3;127_a;0,000000;0,057000;2016-01-07
53017823;054_1347AL_53.2;054_a;0,000000;1,038000;2016-01-07
53018816;506_227BV_45.2;506_b;0,000000;0,018000;2016-01-07
53007654;545_105L_22.5;545_b;0,000000;0,132000;2016-01-07
53017043;486_942L_76.1;490_a;0,180000;2,402000;2016-01-07
53013583;926_2052V_0.9;926__;0,000000;0,036000;2016-01-07
53015983;005_75R_114.2;005__;0,000000;0,808000;2016-01-07
53007388;477_21V_100.2;477_a;0,000000;0,217000;2016-01-07
53017211;545_960AqV_22.7;545_b;0,000000;0,031000;2016-01-07
53009927;924_3311R_34.3;924_a;0,000000;0,032000;2016-01-07
53006492;028_1033V_53.1;028__;0,000000;0,392000;2016-01-07
53009643;531_1405BpV_34.9;531_c;0,000000;0,034000;2016-01-07
53018963;504_933V_17.9;504_b;0,000000;0,036000;2016-01-07
53009576;132_477BR_47.8;132__;0,000000;0,084000;2016-01-07
53010577;817_963V_200.3;817_e;0,000000;0,052000;2016-01-07
53004277;587_1139L_906.9;587_a;0,701000;0,957000;2016-01-07
53009195;525_437AR_77.9;525_b;0,000000;0,242000;2016-01-07
53014413;560_53BV_24.8;560__;0,000000;0,162000;2016-01-07
53011138;035_904L_51.4;035__;0,000000;0,027000;2016-01-07
53008143;133_1183AL_20.1;133__;0,000000;0,050000;2016-01-07
53018432;586_257BpV_81.1;586__;0,000000;0,031000;2016-01-07
53011137;035_904R_51.4;035__;0,000000;0,041000;2016-01-07
53015994;586_139AR_80.7;586__;0,000000;0,047000;2016-01-07
53005084;123_1BR_10.6;544_a;8,035000;8,320000;2016-01-07
53011672;938_4531V_1.2;938__;0,000000;0,009000;2016-01-07
53016717;586_2515BpV_80.3;586__;0,000000;0,034000;2016-01-07
53013363;545_93AL_22.4;545_b;0,000000;0,045000;2016-01-07
53012613;545_109AL_22.7;545_b;0,000000;0,053000;2016-01-07
53012227;544_1057BL_23.3;544_b;0,000000;0,133000;2016-01-07
53018301;129_55R_30.8;129__;0,000000;0,141000;2016-01-07
53006871;133_963R_20.6;133__;0,000000;0,474000;2016-01-07
53006430;017_9AV_49.3;017__;0,000000;8,360000;2016-01-07
53012618;517_125L_69.4;517_a;0,547000;0,699000;2016-01-07
53013944;513_123ApV_26.1;513_a;0,000000;0,034000;2016-01-07
53014355;550_981L_25.5;550__;0,000000;0,095000;2016-01-07
53012001;433_81V_5.5;433__;0,000000;0,057000;2016-01-07
53014957;135_901R_45.0;135__;0,000000;0,074000;2016-01-07
53008630;145_957BV_56.6;558_b;1,473000;1,941000;2016-01-07
53011774;603_1030L_3.9;603_a;0,000000;0,053000;2016-01-07
53011632;927_3051BpV_905.4;927__;0,000000;0,034000;2016-01-07
53006486;543_137AV_44.7;543_c;0,000000;0,332000;2016-01-07
53013004;087_21BqV_22.0;087__;0,000000;0,034000;2016-01-07
53013414;143_851R_17.7;143__;0,000000;0,062000;2016-01-07
53012903;531_1321BL_34.8;531_c;0,000000;0,057000;2016-01-07
53018915;857_16V_1.6;857_a;0,000000;0,060000;2016-01-07
53005001;625_291BV_14.5;625_b;0,000000;0,100000;2016-01-07
53010005;102_1231V_1.4;102__;0,000000;0,475000;2016-01-07
53004327;504_19L_17.2;504_a;0,125000;0,224000;2016-01-07
53006061;051_301R_50.9;515_b;0,000000;0,009000;2016-01-07
53011581;132_951V_49.1;132__;0,000000;0,032000;2016-01-07
53009319;940_377R_43.1;940__;0,000000;0,369000;2016-01-07
53016115;545_217AR_23.7;545_b;0,000000;0,047000;2016-01-07
53004824;588_411AR_2.8;096_b;1,533000;3,100000;2016-01-07
53004996;011_841R_68.8;011__;0,000000;0,174000;2016-01-07
53005986;507_231AV_93.6;037__;0,050000;1,135000;2016-01-07
53012734;517_91BqV_69.5;517_b;0,000000;0,034000;2016-01-07
53007657;550_935L_25.7;550__;0,000000;0,218000;2016-01-07
53017487;531_151BR_35.2;531_c;0,000000;0,270000;2016-01-07
53012937;553_219BqV_21.3;553_c;0,000000;0,034000;2016-01-07
53014452;139_5005AR_177.4;139__;0,000000;0,029000;2016-01-07
53018833;543_167BV_45.2;543_c;0,000000;0,179000;2016-01-07
53013028;553_229AR_21.3;553_c;0,000000;0,053000;2016-01-07
53018370;531_1203BpV_34.5;531_c;0,000000;0,030000;2016-01-07
53019141;586_367AqV_81.1;586__;0,000000;0,031000;2016-01-07
53015889;586_141BL_80.8;586__;0,000000;0,059000;2016-01-07
53007028;805_7125R_104.5;805_b;0,037000;0,239000;2016-01-07
53009050;603_77AL_2.4;603_a;0,000000;0,109000;2016-01-07
53013761;823_22V_6.3;823_c;0,000000;0,017000;2016-01-07
53007289;011_807L_68.3;011__;0,000000;0,438000;2016-01-07
53019016;524_914R_70.4;524_b;0,000000;0,099000;2016-01-07
53018522;105_445AR_28.9;105__;0,000000;0,086000;2016-01-07
53015560;506_117AL_44.1;506_b;0,000000;0,063000;2016-01-07
53012489;517_43R_69.1;517_b;0,000000;0,018000;2016-01-07
53015589;031_265L_29.9;031_a;0,000000;0,800000;2016-01-07
53014010;545_89R_22.4;545_b;0,000000;0,135000;2016-01-07
53012767;531_1363AL_34.6;531_c;0,000000;0,057000;2016-01-07
53011968;603_3135R_3.0;603_a;0,000000;0,092000;2016-01-07
53004721;478_1035L_0.4;478_a;0,000000;0,437000;2016-01-07
53014045;541_137V_2.2;541_a;0,000000;0,088000;2016-01-07
53010325;518_131AR_63.7;518__;0,000000;0,120000;2016-01-07
53013375;516_944R_75.1;516_b;0,000000;0,063000;2016-01-07
53018832;115_57AR_11.8;115_a;0,000000;0,630000;2016-01-07
53007979;155_4467L_88.4;155_d;0,000000;0,120000;2016-01-07
53008644;555_379V_84.4;555__;0,000000;0,039000;2016-01-07
