ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT;RICHTING_VOLGENS_GEOCODEKM
1222993;851_915L_120.1;0,000;0,153;851_c;120,142;120,294;MEE
1222994;083_251AL_7.4;0,000;0,223;083__;7,356;7,578;MEE
1222995;083_251AR_7.4;0,000;0,093;083__;7,356;7,448;MEE
1222996;085_28AL_36.2;0,000;0,064;085__;36,201;36,265;MEE
1222997;606_49R_0.1;0,000;0,037;606_a;0,037;0,000;TEGEN
1222998;606_49R_0.1;0,037;0,120;606_b;37,623;37,539;TEGEN
1222999;606_49qV_0.1;0,000;0,034;606_a;0,054;0,020;TEGEN
1223000;522_225BV_17.5;0,044;5,100;076__;17,500;12,457;TEGEN
1223001;522_225BV_17.5;0,000;0,044;522_a;17,543;17,500;TEGEN
1223002;076_1655R_12.2;0,000;0,052;076__;12,246;12,298;MEE
1223003;076_1661V_12.4;0,000;0,020;076__;12,351;12,371;MEE
1223004;076_1651R_12.2;0,000;0,165;076__;12,187;12,351;MEE
1223005;076_1659R_12.3;0,000;0,053;076__;12,298;12,351;MEE
1223006;564_971L_23.7;0,000;0,322;564_b;23,719;24,039;MEE
1223007;564_976V_24.0;0,000;0,040;564_b;23,999;24,039;MEE
1223008;470_1120R_303.3;0,136;1,255;470_j;350,120;351,239;MEE
1223009;127_435BV_54.0;0,000;7,679;127_a;54,037;61,695;MEE
1222734;047_43BV_42.7;0,000;7,801;047__;42,718;50,513;MEE
1222735;047_61V_50.5;0,000;1,734;047__;50,513;52,247;MEE
1222736;550_954R_25.0;0,000;0,274;550__;25,047;24,772;TEGEN
1222737;550_954L_25.0;0,000;0,323;550__;25,047;24,723;TEGEN
1222738;163_1045V_44.5;0,000;0,377;163__;44,467;44,812;MEE
1222739;625_267BR_15.5;0,000;0,818;625_b;15,494;16,298;MEE
1222740;625_267BR_15.5;0,818;8,044;801_a;0,400;7,640;MEE
1222741;550_939V_26.0;0,000;0,091;550__;26,027;26,119;MEE
1222742;550_101BV_26.0;0,000;0,294;550__;25,950;26,248;MEE
1222743;550_101AR_25.9;0,000;0,349;550__;25,896;26,248;MEE
1222744;085_311BR_31.9;0,000;0,087;085__;31,914;31,828;TEGEN
1223010;127_461AR_73.1;0,000;0,047;127_a;73,093;73,140;MEE
1223011;054_1003AR_57.3;0,000;0,106;054_a;57,314;57,422;MEE
1223012;021_11BL_86.6;0,000;18,276;021__;86,588;68,337;TEGEN
1223013;035_131BV_52.1;0,000;0,016;035__;52,067;52,083;MEE
1223014;035_131AL_52.0;0,000;0,998;035__;52,007;53,005;MEE
1223015;035_131AR_52.0;0,000;0,060;035__;52,007;52,067;MEE
1223016;527_47AL_16.5;0,000;0,337;527_c;16,537;16,854;MEE
1223017;527_55AR_16.9;0,000;0,064;527_c;16,855;16,905;MEE
1223018;527_55AL_16.9;0,000;0,064;527_c;16,855;16,905;MEE
1223019;058_1V_55.4;0,000;1,459;058__;55,441;53,982;TEGEN
1223020;058_1V_55.4;1,459;2,169;786__;32,900;32,190;TEGEN
1223021;804_43AL_0.4;0,000;0,286;804_a;0,387;0,100;TEGEN
1222745;008_1273V_37.6;0,000;12,723;008__;37,588;50,294;MEE
1222746;509_1103L_35.1;0,000;0,062;509_a;35,069;35,131;MEE
1222747;589_971BV_149.6;0,000;0,765;589_c;149,645;150,410;MEE
1222748;557_1BV_27.5;0,000;0,005;557_a;27,481;27,486;MEE
1222749;817_667L_700.5;0,000;0,881;817_l;700,480;701,360;MEE
1222750;210_5R_11.6;0,000;0,396;210__;11,619;12,013;MEE
1222751;210_5L_11.6;0,000;0,396;210__;11,619;12,013;MEE
1222752;158_4747V_101.9;0,000;2,373;158__;101,929;104,300;MEE
1223095;531_2775R_35.7;2,458;2,866;035__;38,200;38,606;MEE
1223096;618_43BV_58.8;0,073;0,398;618_b;51,595;51,269;TEGEN
1223097;618_43BV_58.8;0,000;0,073;618_c;58,828;58,900;MEE
1223098;587_1139V_906.9;0,000;0,277;587_d;906,879;906,600;TEGEN
1223099;587_1139V_906.9;0,277;1,218;927__;906,600;905,661;TEGEN
1223100;618_43AL_58.7;0,000;0,160;618_c;58,738;58,900;MEE
1223101;618_43AL_58.7;0,160;0,485;618_b;51,595;51,269;TEGEN
1223102;210_51V_34.2;0,000;8,691;210__;34,218;42,900;MEE
1223103;210_51V_34.2;8,691;9,341;607_b;42,900;43,549;MEE
1223104;135_2229R_15.4;0,000;0,159;135__;15,380;15,539;MEE
1223105;066_6V_26.5;0,751;1,430;781_b;27,250;27,929;MEE
1223106;066_6V_26.5;0,000;0,751;066_a;26,500;27,250;MEE
1222753;927_938V_906.1;0,000;0,140;927__;906,101;906,228;MEE
1222754;557_3AV_28.1;0,000;0,037;557_a;28,099;28,062;TEGEN
1222755;131_1L_24.5;0,027;0,058;818_a;100,000;100,031;MEE
1222756;131_1L_24.5;0,000;0,027;131__;24,493;24,521;MEE
1222757;603_71AL_2.4;0,000;0,069;603_a;2,385;2,455;MEE
1222758;926_2017L_1.4;0,000;0,451;926__;1,406;0,958;TEGEN
1222759;513_59R_25.2;0,000;0,090;513_a;25,218;25,310;MEE
1222760;513_59L_25.2;0,000;0,209;513_a;25,218;25,429;MEE
1222761;513_53BV_25.1;0,000;0,117;513_a;25,102;25,218;MEE
1222762;514_954L_17.3;0,174;0,306;514_b;65,400;65,268;TEGEN
1222763;514_954L_17.3;0,000;0,174;514_a;17,255;17,410;MEE
1222764;531_2709V_35.5;0,000;0,023;531_c;35,473;35,496;MEE
1222765;531_519L_35.8;0,000;0,224;531_c;35,817;36,049;MEE
1222766;531_509AL_35.7;0,000;0,279;531_c;35,712;35,991;MEE
1222767;007_151V_4.3;0,000;3,889;007__;4,287;0,400;TEGEN
1222768;007_151V_4.3;3,889;3,990;600_a;0,400;0,300;TEGEN
1222769;005_77R_114.3;0,000;0,663;005__;114,293;114,956;MEE
1222770;201_137BV_37.4;0,000;0,030;201__;37,402;37,432;MEE
