ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
149323252;560_55AL_24.9;T;0,000;0,041;40;2018-11-28
149323253;560_55AR_24.9;T;0,000;0,052;40;2018-11-28
149323254;560_55BR_24.8;T;0,000;0,052;40;2018-11-28
149323255;560_55BqV_24.8;T;0,000;0,034;40;2018-11-28
149323256;560_57AR_24.9;T;0,000;0,064;40;2018-11-28
149323257;560_57AV_24.9;T;0,000;0,433;40;2018-11-28
149323258;560_57BV_24.8;T;0,000;0,069;40;2018-11-28
149323423;560_1273AR_24.9;T;0,000;0,057;40;2018-11-28
149323424;560_1273AqV_24.9;T;0,000;0,034;40;2018-11-28
149323425;560_1275AL_24.9;T;0,000;0,239;40;2018-11-28
149323426;560_1275AR_24.9;T;0,000;0,050;40;2018-11-28
149323427;560_1275AqV_24.9;T;0,000;0,034;40;2018-11-28
149323428;560_1277AR_25.0;T;0,000;0,039;40;2018-11-28
149323048;042_323L_21.2;T;0,518;18,115;100;2018-11-28
149322919;803_84AR_103.8;T;0,000;0,244;40;2018-11-28
149322920;803_84AqV_103.8;T;0,000;0,034;40;2018-11-28
149322922;803_92R_104.0;T;0,000;0,056;40;2018-11-28
149322923;803_92R_104.0;T;0,056;0,060;40;2018-11-28
149322924;803_93V_104.1;T;0,000;0,072;40;2018-11-28
149322925;803_95V_105.8;T;0,000;1,579;40;2018-11-28
149323107;817_54R_401.5;T;0,000;0,040;>=15;2018-11-28
149323108;817_55L_402.2;T;0,000;0,677;>=15;2018-11-28
149323109;817_55V_402.2;T;0,000;0,162;>=15;2018-11-28
149323110;817_56R_401.5;T;0,000;0,112;>=15;2018-11-28
149323114;131_1L_16.4;T;0,000;0,294;40;2018-11-28
149323115;131_1R_16.4;T;0,000;0,235;40;2018-11-28
149322938;057_41V_11.2;T;4,730;9,273;140;2018-11-28
149322939;057_41V_11.2;T;9,273;9,336;140;2018-11-28
149324903;161_2705L_35.4;T;10,316;10,498;140;2018-11-28
149325131;012_375AR_34.1;T;0,000;0,222;140;2018-11-28
149324093;203_407V_55.8;T;0,222;3,409;130;2018-11-28
149324745;528_61BV_0.6;T;0,606;10,751;130;2018-11-28
149324746;528_61BV_0.6;T;10,751;11,745;130;2018-11-28
149324747;528_61BV_0.6;T;11,745;11,779;130;2018-11-28
149324748;528_61BV_0.6;T;11,779;12,116;70;2018-11-28
149324749;032_365L_16.5;T;0,000;0,155;40;2018-11-28
149324880;161_2541V_21.3;T;9,578;9,805;140;2018-11-28
149324881;161_2541V_21.3;T;9,805;9,905;140;2018-11-28
149324882;161_2541V_21.3;T;9,905;10,289;140;2018-11-28
149324883;161_2671L_31.6;T;0,000;0,107;80;2018-11-28
149324884;161_2671R_31.6;T;0,000;0,258;140;2018-11-28
149324885;161_2673V_31.7;T;0,000;0,045;140;2018-11-28
149324886;161_2675L_31.7;T;0,000;0,176;200;2018-11-28
149324887;161_2675L_31.7;T;0,176;1,308;160;2018-11-28
149324888;161_2675L_31.7;T;1,308;1,960;140;2018-11-28
149324486;501_918V_80.5;T;0,000;0,096;40;2018-11-28
149324094;203_407V_55.8;T;3,409;4,080;110;2018-11-28
149324095;203_407V_55.8;T;4,080;9,372;130;2018-11-28
149324096;203_407V_55.8;T;9,372;10,257;100;2018-11-28
149324097;203_431AL_66.0;T;0,000;0,066;40;2018-11-28
149324098;203_431AR_66.0;T;0,000;0,045;100;2018-11-28
149324099;203_431AR_66.0;T;0,045;0,148;130;2018-11-28
149324100;203_431AR_66.0;T;0,148;0,810;130;2018-11-28
149324101;203_431BR_66.1;T;0,000;0,084;40;2018-11-28
149324102;203_431BpV_66.1;T;0,000;0,031;40;2018-11-28
