ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
12144;603_93L_2.6;603_a;0,000;0,307;2018-12-13
14361;588_801R_1.6;588__;0,000;0,052;2018-12-13
12646;036_211R_83.7;036__;0,000;0,111;2018-12-13
3677;485_15R_77.0;485_f;0,188;0,234;2018-12-13
15331;617_1161V_39.6;617_a;0,000;0,379;2018-12-13
9144;618_101BV_51.1;618_b;0,000;0,018;2018-12-13
9964;201_61V_14.7;201__;0,000;3,403;2018-12-13
8656;062_351BV_28.2;062__;0,000;2,494;2018-12-13
6729;565_65R_16.6;143__;0,181;0,503;2018-12-13
11112;203_391L_55.1;203__;0,000;0,702;2018-12-13
10698;501_913BL_80.4;501__;0,000;0,213;2018-12-13
4053;537_251BV_2.8;537_a;0,000;0,982;2018-12-13
683;542_1225BV_29.8;542_a;0,000;0,357;2018-12-13
2602;519_45R_46.3;519_a;0,000;0,336;2018-12-13
14655;555_295AL_83.5;555__;0,000;0,063;2018-12-13
15280;011_801L_68.0;011__;0,000;0,141;2018-12-13
7253;924_915V_33.9;924_a;0,000;0,142;2018-12-13
11459;751_339V_34.1;205__;0,367;5,745;2018-12-13
13230;203_431AR_66.0;203__;0,000;0,810;2018-12-13
708;133_1155BV_19.3;133_a;0,000;0,361;2018-12-13
4703;203_441V_66.8;203__;0,000;0,054;2018-12-13
13456;024_215AL_26.6;024__;0,000;0,060;2018-12-13
13339;527_101BqV_17.4;527_c;0,000;0,035;2018-12-13
6375;523_933AL_54.0;145__;0,149;0,201;2018-12-13
2473;779_50R_61.3;779__;0,000;11,298;2018-12-13
7953;950_129L_7.1;950_a;0,000;0,126;2018-12-13
8541;608_911L_88.3;608_b;0,000;0,238;2018-12-13
7186;950_227AV_17.6;950_a;0,000;0,056;2018-12-13
3995;478_1611L_2.9;479_a;0,265;0,802;2018-12-13
8473;127_443AL_67.7;127_a;0,000;0,065;2018-12-13
4010;486_22V_0.8;486_a;0,000;0,029;2018-12-13
13831;618_25BqV_58.6;618_c;0,000;0,034;2018-12-13
15992;950_805L_41.7;950_a;0,000;0,041;2018-12-13
7436;139_5009AR_177.4;139__;0,000;0,034;2018-12-13
3858;139_5009AV_177.4;139__;0,000;0,064;2018-12-13
5986;037_2161V_92.4;037__;0,000;0,060;2018-12-13
2107;603_171V_3.9;603_a;0,000;0,063;2018-12-13
5535;508_833L_90.9;508__;0,000;0,067;2018-12-13
14384;011_301AR_70.0;011__;0,000;2,613;2018-12-13
4027;479_1703L_304.2;479_a;0,000;7,973;2018-12-13
2279;522_161L_57.5;522_b;0,000;0,260;2018-12-13
7265;924_2301AV_525.1;152_a;0,656;7,330;2018-12-13
1519;121_2361V_233.9;121_b;0,000;0,174;2018-12-13
13001;550_109AV_26.0;550__;0,000;0,015;2018-12-13
7729;924_3549BR_35.6;924_a;0,000;0,065;2018-12-13
10329;940_399L_43.3;940__;0,000;0,056;2018-12-13
9497;805_7117L_103.0;805_a;0,000;0,762;2018-12-13
848;503_125AL_43.2;503_c;0,000;0,064;2018-12-13
8355;805_515L_100.0;805_a;0,000;0,187;2018-12-13
6236;506_83L_43.9;506_b;0,000;0,146;2018-12-13
1088;008_1273V_37.6;008__;0,000;12,723;2018-12-13
13934;506_555L_43.5;506_b;0,000;0,033;2018-12-13
1989;620_55AR_42.1;620__;0,000;0,435;2018-12-13
13705;555_379V_84.4;163__;0,039;3,924;2018-12-13
16397;504_45V_18.1;504_b;0,000;0,035;2018-12-13
12716;609_129AR_26.8;609__;0,000;0,102;2018-12-13
5187;536_237BpV_60.8;536__;0,000;0,031;2018-12-13
