SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
586_155BqV_80.8;;;;;;;;;;;;;;
805_7131R_105.5;;;;;;;;;;;;;;
603_145BpV_3.4;;;;;;;;;;;;;;
217_125qV_49.6;;;;;;;;;;;;;;
531_2589pV_34.7;;;;;;;;;;;;;;
087_77BV_25.1;;;;;;;;;;;;;;
508_853R_91.0;;;;;;;;;;;;;;
924_3273AR_34.2;;;;;;;;;;;;;;
478_1151V_0.7;;;;;;;;;;;;;;
543_165AL_45.1;;;;;;;;;;;;;;
437_982R_0.6;;;;;;;;;;;;;;
555_205V_83.3;;;;;;;;;;;;;;
011_31V_68.6;;;;;;;;;;;;;;
501_915V_80.3;;;;;;;;;;;;;;
433_58V_4.8;;;;;;;;;;;;;;
950_65L_40.9;;;;;;;;;;;;;;
514_155BV_16.5;;;;;;;;;;;;;;
534_1093AR_45.9;;;;;;;;;;;;;;
503_171BR_42.2;;;;;;;;;;;;;;
479_2V_501.3;;;;;;;;;;;;;;
542_1185L_29.2;;;;;;;;;;;;;;
620_901L_42.0;;;;;;;;;;;;;;
950_347R_17.4;;;;;;;;;;;;;;
534_1043BV_45.6;;;;;;;;;;;;;;
076_1631BR_11.8;;;;;;;;;;;;;;
625_271BV_16.2;;;;;;;;;;;;;;
624_145BV_31.7;;;;;;;;;;;;;;
531_521ApV_36.0;;;;;;;;;;;;;;
011_301BV_69.9;;;;;;;;;;;;;;
127_375AL_38.5;;;;;;;;;;;;;;
057_41V_11.2;;;;;;;;;;;;;;
518_135R_63.7;;;;;;;;;;;;;;
203_381V_54.8;;;;;;;;;;;;;;
057_83V_19.8;;;;;;;;;;;;;;
518_159R_63.5;;;;;;;;;;;;;;
518_165R_63.7;;;;;;;;;;;;;;
855_YYYR_100.1;;;;;;;;;;;;;;
451_101L_74.4;;;;;;;;;;;;;;
586_371V_81.3;;;;;;;;;;;;;;
626_37qV_32.7;;;;;;;;;;;;;;
603_69AL_2.4;;;;;;;;;;;;;;
