ID;OBJECTTYPE;CG_TYPE;NUMMER;CG_NAAM;PCA;PGO_GEBIED;OBEGINTIJD
2850;contractgebied;BVL;8;Haarlem;Strukton Rail;Kennemerland;13-12-2018
2851;contractgebied;BVL;1;Leiden;BAM Rail;Rijn en Gouwe;13-12-2018
2852;contractgebied;BVL;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;13-12-2018
2853;contractgebied;BVL;20;Breda;BAM Rail;;13-12-2018
2854;contractgebied;BVL;21;Den Bosch;Strukton Rail;Betuwe;13-12-2018
2855;contractgebied;BVL;11;Weesp;Strukton Rail;Amstelsepoort;13-12-2018
2856;contractgebied;BVL;9;Amsterdam;VolkerRail;Amsterdam;13-12-2018
2857;contractgebied;BVL;23;Boxtel;BAM Rail;;13-12-2018
2858;contractgebied;BASIS;29;Gelderse Vallei;Strukton Rail;Veluwe;13-12-2018
2859;contractgebied;BASIS;3;Rotterdam;VolkerRail;Rotterdam;13-12-2018
2860;contractgebied;BASIS;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;13-12-2018
2861;contractgebied;BASIS;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;13-12-2018
2862;contractgebied;BASIS;30;Achterhoek;ASSET Rail;Gelre;13-12-2018
2863;contractgebied;BASIS;15;Driebergen;VolkerRail;;13-12-2018
2864;contractgebied;BAAN;2;Den Haag;BAM Rail;Den Haag;13-12-2018
2865;contractgebied;BAAN;37;Groningen;Strukton Rail;Wadden;13-12-2018
2866;contractgebied;BAAN;81;Rijn en Gouwe;BAM Rail;Rijn en Gouwe;13-12-2018
2867;contractgebied;BAAN;32;Twente;VolkerRail;Twente;13-12-2018
2868;contractgebied;BAAN;15;Driebergen;VolkerRail;;13-12-2018
2869;contractgebied;BAAN;8;Haarlem;Strukton Rail;Kennemerland;13-12-2018
2870;contractgebied;BAAN;26;Maastricht;Strukton Rail;;13-12-2018
2871;contractgebied;BAAN;27;Venlo;ASSET Rail;De Peel;13-12-2018
2872;contractgebied;BASIS;19;Roosendaal;Strukton Rail;Zeeland;13-12-2018
2873;contractgebied;BASIS;20;Breda;BAM Rail;;13-12-2018
2874;contractgebied;BASIS;26;Maastricht;Strukton Rail;;13-12-2018
2875;contractgebied;BASIS;9;Amsterdam;VolkerRail;Amsterdam;13-12-2018
2876;contractgebied;BASIS;11;Weesp;Strukton Rail;Amstelsepoort;13-12-2018
2877;contractgebied;BASIS;36;Friesland;Strukton Rail;Wadden;13-12-2018
2878;contractgebied;BASIS;35;Drenthe;ASSET Rail;Drenthe;13-12-2018
2879;contractgebied;BASIS;34;Overijssel;ASSET Rail;Drenthe;13-12-2018
2880;contractgebied;BAAN;24;Eindhoven;ASSET Rail;De Peel;13-12-2018
2881;contractgebied;BAAN;16;Maarn;ASSET Rail;Eemland;13-12-2018
2882;contractgebied;BAAN;19;Roosendaal;Strukton Rail;Zeeland;13-12-2018
2883;contractgebied;BAAN;18;Goes;Strukton Rail;Zeeland;13-12-2018
2884;contractgebied;BAAN;21;Den Bosch;Strukton Rail;Betuwe;13-12-2018
2885;contractgebied;BAAN;20;Breda;BAM Rail;;13-12-2018
2886;contractgebied;BASIS;14;Woerden;VolkerRail;;13-12-2018
2887;contractgebied;BASIS;2;Den Haag;BAM Rail;Den Haag;13-12-2018
2888;contractgebied;BASIS;81;Rijn en Gouwe;BAM Rail;Rijn en Gouwe;13-12-2018
2889;contractgebied;BASIS;18;Goes;Strukton Rail;Zeeland;13-12-2018
2890;contractgebied;BVL;18;Goes;Strukton Rail;Zeeland;13-12-2018
2891;contractgebied;BVL;30;Achterhoek;ASSET Rail;Gelre;13-12-2018
2892;contractgebied;BVL;15;Driebergen;VolkerRail;;13-12-2018
2893;contractgebied;BVL;35;Drenthe;ASSET Rail;Drenthe;13-12-2018
2894;contractgebied;BVL;34;Overijssel;ASSET Rail;Drenthe;13-12-2018
