ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;046_255BV_41.6;Onbekend;0,081;5,126;23-11-2018
2;614_2131V_47.6;Onbekend;0,001;0,29;23-11-2018
3;614_2129R_47.5;Onbekend;0,033;0,354;23-11-2018
4;161_2221V_9.4;Onbekend;0,002;10,76;23-11-2018
5;161_2223V_9.4;Onbekend;0;10,707;23-11-2018
6;161_2519R_20.4;Onbekend;0,062;0,49;23-11-2018
7;161_2521L_20.4;Onbekend;0,062;0,49;23-11-2018
8;161_2539L_21.2;Onbekend;0,053;10,2;23-11-2018
9;161_2541V_21.3;Onbekend;0,002;10,094;23-11-2018
10;161_2677V_31.9;Onbekend;0;3,426;23-11-2018
11;161_2675L_31.7;Onbekend;0,048;3,59;23-11-2018
12;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,017;0,401;23-11-2018
13;038_285AL_95.9;Onbekend;0,043;9,084;23-11-2018
14;038_285BV_96.0;Onbekend;0,003;8,982;23-11-2018
15;085_215BV_19.9;Onbekend;0;11,87;23-11-2018
16;057_43R_11.2;Onbekend;5,715;9,226;23-11-2018
17;027_945V_148.6;Onbekend;0;0,579;23-11-2018
18;027_957AR_149.2;Clipped Tuned, type Corus 54E1;0,047;0,292;23-11-2018
19;027_931R_147.6;Onbekend;0,048;0,074;23-11-2018
20;027_931R_147.6;Onbekend;0,074;1,18;23-11-2018
21;589_969L_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,45;1,646;23-11-2018
22;027_955BV_149.2;Onbekend;0;0,318;23-11-2018
23;027_955AR_149.1;Clipped Tuned, type Corus 54E1;0,047;0,276;23-11-2018
24;027_943BV_148.6;Glued Tuned, type Corus 54E1;0;0,452;23-11-2018
25;027_943AL_148.5;Clipped Tuned, type Corus 54E1;0,029;0,085;23-11-2018
26;027_933R_147.6;Clipped Tuned, type Corus 54E1;0,046;0,997;23-11-2018
27;027_941R_148.6;Onbekend;0,047;1,074;23-11-2018
28;027_931L_147.6;Onbekend;0,074;1,268;23-11-2018
29;589_971BV_149.6;Schrey & Veit, VICON-AMSA 54VS;0;0,765;23-11-2018
30;589_971AL_149.5;Onbekend;0,047;0,862;23-11-2018
31;026_243BV_26.1;Onbekend;0;0,786;23-11-2018
32;026_243AR_26.0;Onbekend;0,037;0,91;23-11-2018
33;047_71L_52.2;Onbekend;0,074;4,334;23-11-2018
34;552_229BV_82.6;Onbekend;3,322;3,922;23-11-2018
