ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;011_805L_68.2;0,027;0,033;01-07-2016;01-07-2016;-400;-400;BOOG;011_501_68.215
2;011_805L_68.2;0,033;0,054;01-07-2016;01-07-2016;250;250;BOOG;011_501_68.23
3;011_805L_68.2;0,123;0,343;01-07-2016;01-07-2016;-1237;-1237;BOOG;011_501_68.429
4;011_805L_68.2;0,434;0,506;01-07-2016;01-07-2016;395;395;BOOG;011_501_68.281
5;011_805L_68.2;0,514;0,526;01-07-2016;01-07-2016;-200;-200;BOOG;011_820_68.221
6;011_805L_68.2;0,526;0,533;01-07-2016;01-07-2016;-190;-190;BOOG;011_820_68.216
7;011_805L_68.2;0,533;0,534;01-07-2016;01-07-2016;-250;-250;BOOG;011_820_68.21
8;011_805R_68.2;0,121;0,344;01-07-2016;01-07-2016;-1250;-1250;BOOG;011_502_68.432
9;011_805R_68.2;0,418;0,463;01-07-2016;01-07-2016;400;400;BOOG;011_502_68.254
10;011_805R_68.2;0,486;0,507;01-07-2016;01-07-2016;-10000;-10000;BOOG;011_502_68.23
11;011_806L_68.2;0,002;0,003;01-07-2016;01-07-2016;-250;-250;BOOG;011_806_68.223
12;011_806L_68.2;0,003;0,01;01-07-2016;01-07-2016;-190;-190;BOOG;011_806_68.229
13;011_806L_68.2;0,01;0,022;01-07-2016;01-07-2016;-200;-200;BOOG;011_806_68.234
14;011_806L_68.2;0,033;0,047;01-07-2016;01-07-2016;15000;15000;BOOG;011_503_68.236
15;011_806L_68.2;0,104;0,23;01-07-2016;01-07-2016;-1280;-1280;BOOG;011_503_68.348
16;011_806L_68.2;0,23;0,255;01-07-2016;01-07-2016;-1500;-1500;BOOG;011_503_68.247
17;011_806L_68.2;0,255;0,315;01-07-2016;01-07-2016;-1100;-1100;BOOG;011_503_68.282
18;011_806L_68.2;0,315;0,351;01-07-2016;01-07-2016;-3000;-3000;BOOG;011_503_68.258
19;011_806L_68.2;0,401;0,452;01-07-2016;01-07-2016;445;445;BOOG;011_503_68.273
20;011_806R_68.2;0,032;0,041;01-07-2016;01-07-2016;-10000;-10000;BOOG;011_w806r-w807v_68.231
21;011_807L_68.3;0,003;0,004;01-07-2016;01-07-2016;-250;-250;BOOG;011_807_68.266
22;011_807L_68.3;0,004;0,011;01-07-2016;01-07-2016;-190;-190;BOOG;011_807_68.272
23;011_807L_68.3;0,011;0,023;01-07-2016;01-07-2016;-200;-200;BOOG;011_807_68.277
24;011_807L_68.3;0,065;0,292;01-07-2016;01-07-2016;-1280;-1280;BOOG;011_504_68.492
25;011_807L_68.3;0,34;0,356;01-07-2016;01-07-2016;-10000;-10000;BOOG;011_504_68.281
