GEOCODE;GEOSUBCODE;GEOCODE_NR;NAAM;VERKORTING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
478;478_c;478;Rotterdam Europoort 4;Re4;20230424;C;21
556;556__;556;Santpoort Noord;Sptn;20230424;C;21
786;786__;786;Neerpelt (B) - Budel Grens;Lnp-Bdlg;20230424;C;21
028;028__;28;Hengelo - Enschede Grens;Hgl-Esg;20230424;C;21
213;213__;213;Boxtel - Uden;Btl-Ud;20230424;C;21
822;822_c;822;Zwijndrecht Groote Lindt;Zwdi;20230424;C;21
565;565_a;565;Leidschenveen;Ldvn;20230424;C;21
666;666_d;666;Meteren Aansl.;Mtna;20230424;C;21
164;164__;164;Prinsenbeek - Hazeldonk Grens;Pb-Bdgr;20230424;C;21
509;509_a;509;Baarn;Brn;20230424;C;21
901;901__;901;Haarlem Hoofdwerkplaats;Hlmwph;20230424;C;21
116;116_b;116;Dordrecht - Rotterdam Barendrecht;Ddr-Brd;20230424;C;21
116;116_a;116;Dordrecht - Rotterdam Barendrecht;Ddr-Brd;20230424;C;21
116;116_c;116;Dordrecht - Rotterdam Barendrecht;Ddr-Brd;20230424;C;21
011;011__;11;Assen - Haren;Asn-Hrn;20230424;C;21
805;805_a;805;Dordrecht Zeehaventerrein;Ddrz;20230424;C;21
066;066_b;66;Landgraaf - Haanrade Grens;Lg-Hang;20230424;C;21
101;101__;101;Harmelen Aansl. - Woerden;Hmla-Wd;20230424;C;21
504;504_a;504;Heerlen;Hrl;20230424;C;21
851;851_b;851;Born Franciscushaven;Bonfh;20230424;C;21
801;801_q;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
662;662__;662;Simpelveld;Spv;20230424;C;21
109;109__;109;Rhenen - De Haar Aansl.;Rhn-Har;20230424;C;21
467;467_a;467;Rotterdam Waalhaven Oost;Who;20230424;C;21
546;546_a;546;Blauwkapel;Bkp;20230424;C;21
565;565_b;565;Leidschenveen;Ldvn;20230424;C;21
474;474_c;474;Rotterdam Europoort 1;Re1;20230424;C;21
653;653_a;653;Zuidbroek;Zb;20230424;C;21
540;540_d;540;Rotterdam Westelijke Splitsing;Wspl;20230424;C;21
512;512_c;512;Ressen = Bemmel;Rsb;20230424;C;21
775;775__;775;Nieuweschans Grens - Weener (D);Nscg-Wr;20230424;C;21
125;125__;125;Tilburg - Boxtel;Tb-Btl;20230424;C;21
128;128__;128;Diemen Aansl. - Weesp Aansl.;Dmna-Wpa;20230424;C;21
048;048__;48;Nijmegen Grens - Nijmegen;Nmg-Nm;20230424;C;21
478;478_b;478;Rotterdam Europoort 4;Re4;20230424;C;21
479;479_a;479;Maasvlakte 2;Mvt2;20230424;C;21
478;478_d;478;Rotterdam Europoort 4;Re4;20230424;C;21
475;475_c;475;Rotterdam Maasvlakte;Mvt;20230424;C;21
810;810_a;810;Dordrecht Industrieterrein Aansl. De Staart;Ddri;20230424;C;21
828;828_b;828;Tiel Gem. Stamlijn;Tlgs;20230424;C;21
543;543_c;543;Hengelo;Hgl;20230424;C;21
517;517_a;517;Venlo;Vl;20230424;C;21
158;158__;158;Ressen = Bemmel - Zevenaar;Rsb-Zv;20230424;C;21
485;485_b;485;Amsterdam Hemhaven (gebied);Asdh;20230424;C;21
485;485_e;485;Amsterdam Hemhaven (gebied);Asdh;20230424;C;21
485;485_j;485;Amsterdam Hemhaven (gebied);Asdh;20230424;C;21
485;485_d;485;Amsterdam Hemhaven (gebied);Asdh;20230424;C;21
134;134__;134;Gouda - Moordrecht Aansl.;Gd-Mda;20230424;C;21
537;537_c;537;Moordrecht Aansl.;Mda;20230424;C;21
513;513_a;513;Geldermalsen;Gdm;20230424;C;21
486;486_e;486;Amsterdam Westhaven (gebied);Awhv;20230424;C;21
081;081__;81;Zaandam - Amsterdam Singelgracht Aansl.;Zd-Sgra;20230424;C;21
523;523_f;523;Amsterdam Sloterdijk;Ass;20230424;C;21
777;777__;777;Oldenzaal Grens - Bad Bentheim (D);Odzg-Bh;20230424;C;21
001;001_a;1;Harlingen Haven - Leeuwarden;Hlgh-Lw;20230424;C;21
486;486_b;486;Amsterdam Westhaven (gebied);Awhv;20230424;C;21
478;478_a;478;Rotterdam Europoort 4;Re4;20230424;C;21
467;467_b;467;Rotterdam Waalhaven Oost;Who;20230424;C;21
534;534_a;534;Leiden Centraal;Ledn;20230424;C;21
047;047__;47;s Hertogenbosch - Nijmegen;Ht-Nm;20230424;C;21
801;801_b;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
805;805_e;805;Dordrecht Zeehaventerrein;Ddrz;20230424;C;21
208;208__;208;Apeldoorn - Zutphen;Apd-Zp;20230424;C;21
502;502_a;502;Meppel;Mp;20230424;C;21
546;546_g;546;Blauwkapel;Bkp;20230424;C;21
110;110__;110;Den Haag Ypenburg - Leidschenveen;Ypb-Ldvn;20230424;C;21
818;818_a;818;Terneuzen Dow Chemical;Trzdow;20230424;C;21
586;586__;586;Amsterdam Centraal;Asd;20230424;C;21
817;817_h;817;Vlissingen Sloehaven;Sloe;20230424;C;21
012;012__;12;Meppel - Assen;Mp-Asn;20230424;C;21
940;940__;940;Amersfoort Bokkeduinen;Bkd;20230424;C;21
054;054_c;54;Boxtel - Eindhoven;Btl-Ehv;20230424;C;21
022;022__;22;Haren - Waterhuizen Aansl.;Hrn-Wha;20230424;C;21
102;102__;102;Woerden - Alphen a/d Rijn;Wd-Apn;20230424;C;21
521;521_b;521;Schin op Geul;Sog;20230424;C;21
203;203__;203;Mariënberg - Emmen;Mrb-Emn;20230424;C;21
539;539__;539;Schiedam Centrum;Sdm;20230424;C;21
112;112__;112;Den Haag HS - Schiedam Centrum;Gv-Sdm;20230424;C;21
505;505_b;505;Amersfoort Aansl.;Ama;20230424;C;21
818;818_c;818;Terneuzen Dow Chemical;Trzdow;20230424;C;21
054;054_a;54;Boxtel - Eindhoven;Btl-Ehv;20230424;C;21
122;122__;122;Roosendaal - Breda;Rsd-Bd;20230424;C;21
526;526_b;526;Amsterdam Muiderpoort;Asdm;20230424;C;21
145;145__;145;Amsterdam Sloterdijk - Amsterdam Riekerpolder;Ass-Asra;20230424;C;21
817;817_c;817;Vlissingen Sloehaven;Sloe;20230424;C;21
515;515_b;515;Vught Aansl.;Vga;20230424;C;21
087;087__;87;Weesp Aansl. - Hilversum;Wpa-Hvs;20230424;C;21
054;054_b;54;Boxtel - Eindhoven;Btl-Ehv;20230424;C;21
528;528_b;528;Hilversum;Hvs;20230424;C;21
815;815_a;815;Roodeschool Eemshaven;Rde;20230424;C;21
126;126_b;126;Roosendaal - Roosendaal Grens;Rsd-Rsdg;20230424;C;21
036;036__;36;Ede=Wageningen - Arnhem;Ed-Ah;20230424;C;21
653;653_b;653;Zuidbroek;Zb;20230424;C;21
608;608_b;608;Apeldoorn;Apd;20230424;C;21
823;823_c;823;Oosterhout Weststad;Otw;20230424;C;21
558;558_b;558;Amsterdam Riekerpolder;Asra;20230424;C;21
608;608_a;608;Apeldoorn;Apd;20230424;C;21
541;541_c;541;Weesp Aansl.;Wpa;20230424;C;21
844;844_b;844;Emmen Emmtec;Emnak;20230424;C;21
507;507_b;507;Velperbroek Aansl.;Va;20230424;C;21
043;043__;43;Kesteren - Geldermalsen;Ktr-Gdm;20230424;C;21
031;031_a;31;Zutphen - Hengelo;Zp-Hgl;20230424;C;21
477;477_b;477;Rotterdam Europoort 3;Re3;20230424;C;21
900;900__;900;Amersfoort Hoofdwerkplaats;Amfwph;20230424;C;21
613;613__;613;Ede=Wageningen;Ed;20230424;C;21
600;600_a;600;Sauwerd;Swd;20230424;C;21
050;050__;50;Amsterdam Muiderpoort - Diemen;Asdm-Dmn;20230424;C;21
610;610__;610;Dieren;Dr;20230424;C;21
607;607_a;607;Winterswijk;Ww;20230424;C;21
607;607_b;607;Winterswijk;Ww;20230424;C;21
201;201__;201;Sauwerd - Delfzijl;Swd-Dz;20230424;C;21
803;803_j;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
074;074__;74;Heerhugowaard - Alkmaar;Hwd-Amr;20230424;C;21
468;468_c;468;Rotterdam Eemhaven;Reh;20230424;C;21
852;852_c;852;Axel Axelse Vlakte;Axavl;20230424;C;21
541;541_a;541;Weesp Aansl.;Wpa;20230424;C;21
787;787__;787;Hazeldonk Grens - Noorderkempen (B);Bdgr-Ndkp;20230424;C;21
082;082__;82;Haarlem - Santpoort Noord;Hlm-Sptn;20230424;C;21
781;781_b;781;Aachen (D) - Herzogenrath (D);A-Hz;20230424;C;21
805;805_d;805;Dordrecht Zeehaventerrein;Ddrz;20230424;C;21
527;527_a;527;Haarlem;Hlm;20230424;C;21
505;505_a;505;Amersfoort Aansl.;Ama;20230424;C;21
513;513_c;513;Geldermalsen;Gdm;20230424;C;21
924;924_a;924;Kijfhoek;Kfh;20230424;C;21
666;666_c;666;Meteren Aansl.;Mtna;20230424;C;21
514;514_b;514;Nijmegen;Nm;20230424;C;21
837;837__;837;Alphen a/d Rijn Industrieterrein Rijnhaven;Apnir;20230424;C;21
857;857_a;857;Almelo Gem. Stamlijn;Gsalm;20230424;C;21
064;064__;64;Sittard - Heerlen;Std-Hrl;20230424;C;21
850;850__;850;Roosendaal Borchwerf;Rsdbw;20230424;C;21
789;789__;789;Zelzate (B) - Sas van Gent Grens;Fsz-Svgg;20230424;C;21
103;103__;103;Alphen a/d Rijn - Leiden Centraal;Apn-Ledn;20230424;C;21
617;617_a;617;Boxtel;Btl;20230424;C;21
083;083__;83;Haarlem - Zandvoort aan Zee;Hlm-Zvt;20230424;C;21
814;814_a;814;Maastricht Racc. Beatrixhaven;Mttrix;20230424;C;21
512;512_b;512;Ressen = Bemmel;Rsb;20230424;C;21
545;545_b;545;Roosendaal;Rsd;20230424;C;21
004;004__;4;Waterhuizen Aansl. - Zuidbroek;Wha-Zb;20230424;C;21
155;155_a;155;Meteren Aansl. - Ressen = Bemmel;Mtna-Rsb;20230424;C;21
780;780__;780;Venlo Grens - Keulen (D);Vlgr-Koln;20230424;C;21
130;130_c;130;Axel Aansl. - Terneuzen Aansl.;Axa-Tnza;20230424;C;21
519;519_a;519;Roermond;Rm;20230424;C;21
104;104__;104;Leiden Centraal - Den Haag Mariahoeve;Ledn-Gvm;20230424;C;21
801;801_h;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
115;115_d;115;Schiedam Centrum - Vlaardingen Vulcaanhaven;Sdm-Vdgvch;20230424;C;21
468;468_g;468;Rotterdam Eemhaven;Reh;20230424;C;21
557;557_f;557;Terneuzen Aansl.;Tnza;20230424;C;21
782;782__;782;Herzogenrath (D);Hz;20230424;C;21
951;951__;951;Waalhaven Zuid aansl. Noord - Waalhaven Zuid;Whzan-Whz;20230424;C;21
922;922__;922;Leidschendam Lijnwerkplaats;Ldvwpl;20230424;C;21
490;490_b;490;Amsterdam Houtrakpolder (gebied);Hrp;20230424;C;21
161;161__;161;Lelystad Industrieterrein - Hattemerbroek;Llsi-Htba;20230424;C;21
818;818_e;818;Terneuzen Dow Chemical;Trzdow;20230424;C;21
437;437_a;437;Arnhem Goederenstation - Velperbroek Aansl.;Ahg-Va;20230424;C;21
542;542_b;542;Dordrecht;Ddr;20230424;C;21
546;546_c;546;Blauwkapel;Bkp;20230424;C;21
626;626_c;626;Hoorn;Hn;20230424;C;21
817;817_d;817;Vlissingen Sloehaven;Sloe;20230424;C;21
810;810_b;810;Dordrecht Industrieterrein Aansl. De Staart;Ddri;20230424;C;21
475;475_b;475;Rotterdam Maasvlakte;Mvt;20230424;C;21
475;475_a;475;Rotterdam Maasvlakte;Mvt;20230424;C;21
070;070__;70;Schin op Geul - Maastricht;Sog-Mt;20230424;C;21
831;831_b;831;Oss Racc. Elzenburg;Oelz;20230424;C;21
133;133_b;133;Amsterdam Riekerpolder - Warmond;Asra-Wmd;20230424;C;21
