ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
197086593;479_1647R_300.6;2001;W;0,067;0,096;2021-06-01;1:9;1,33;2001;2001;WISSEL;WISSEL
197086594;490_112R_105.3;114;W;1,406;1,435;2021-06-01;1:9;1,33;114;114;WISSEL;WISSEL
197086595;927_25R_904.5;3025;W;0,562;0,59;2021-06-01;1:9;1,33;3025;3025;WISSEL;WISSEL
197086596;588_867ApV_2.3;867A/874;W;0;0,032;2021-06-01;1:9;7,17;867A/874;867A/874;WISSEL;WISSEL
197086597;924_983L_34.3;983;W;0;0,029;2021-06-01;1:7;1,33;983;983;WISSEL;WISSEL
197086598;437_956L_0.9;956;W;0;0,029;2021-06-01;1:9;1,33;956;956;WISSEL;WISSEL
197086599;486_937L_;937;W;0;0,029;2021-06-01;1:9;1,33;937;937;WISSEL;WISSEL
197086601;516_907L_1.9;907;W;0;0,028;2021-06-01;1:9;1,33;907;907;WISSEL;WISSEL
197086602;542_1191AR_29.4;1191B;W;0,035;0,063;2021-06-01;1:9;1,33;1191B;1191B;WISSEL;WISSEL
197086603;543_181AR_45.2;181A;W;0;0,027;2021-06-01;1:9;1,33;181A;181A;WISSEL;WISSEL
197086604;542_1145AL_93.6;1145A;W;0;0,029;2021-06-01;1:9;1,33;1145A;1145A;WISSEL;WISSEL
197086605;124_181L_3.2;183;W;0,054;0,102;2021-06-01;1:15;1,33;183;183;WISSEL;WISSEL
197086606;950_653L_7.2;925;W;0,539;0,566;2021-06-01;1:9;1,33;925;925;WISSEL;WISSEL
197086607;478_1141V_0.7;1147/1145;W;0,012;0,029;2021-06-01;1:9;7,17;1147/1145;1147/1145;WISSEL;WISSEL
197086335;586_289AR_81.2;315;W;0,097;0,126;2021-06-01;1:9;1,33;315;315;WISSEL;WISSEL
197086336;210_45L_33.8;51;W;0,352;0,391;2021-06-01;1:12;1,33;51;51;WISSEL;WISSEL
197086337;927_3033L_905.0;3033/3031;W;0;0,016;2021-06-01;1:9;7,17;3033/3031;3033/3031;WISSEL;WISSEL
197086338;560_1219AL_24.9;1275B/1273A;W;0,075;0,092;2021-06-01;1:9;7,17;1275B/1273A;1275B/1273A;WISSEL;WISSEL
197086339;950_81BL_41.1;1017;W;0,867;0,895;2021-06-01;1:9;1,33;1017;1017;WISSEL;WISSEL
197086341;603_903BR_3.8;904A/904B;W;0,028;0,045;2021-06-01;1:9;7,17;904A/904B;904A/904B;WISSEL;WISSEL
197086342;124_201R_3.6;201;W;0;0,029;2021-06-01;1:9;1,33;201;201;WISSEL;WISSEL
197086343;831_912L_200.4;912;W;0;0,025;2021-06-01;1:7;1,33;912;912;WISSEL;WISSEL
197086344;163_1029AR_43.9;1029A/1029B;W;0;0,016;2021-06-01;1:9;7,17;1029A/1029B;1029A/1029B;WISSEL;WISSEL
197086345;801_954L_7.9;954;W;0;0,029;2021-06-01;1:9;1,33;954;954;WISSEL;WISSEL
197086346;823_21AL_5.7;21A/21B;W;0;0,015;2021-06-01;1:9;7,17;21A/21B;21A/21B;WISSEL;WISSEL
197086347;514_97AR_17.1;95B/97A;W;0;0,017;2021-06-01;1:9;7,17;95B/97A;95B/97A;WISSEL;WISSEL
197086810;536_255R_61.0;291;W;0,432;0,461;2021-06-01;1:9;1,33;291;291;WISSEL;WISSEL
