ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;094_1069BL_3.4;Clipped Tuned, type Corus 54E1;0,059;0,515;03-06-2021
2;094_1067AV_3.4;Clipped Tuned, type Corus 54E1;0,004;0,016;03-06-2021
3;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,284;0,449;03-06-2021
4;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,004;0,284;03-06-2021
5;531_2327R_33.9;Onbekend;0,991;4,313;03-06-2021
6;531_2321V_33.6;Onbekend;0,714;4,5;03-06-2021
7;532_1061BV_12.0;Onbekend;2,789;3,206;03-06-2021
8;101_1063V_12.3;Onbekend;2,516;2,807;03-06-2021
9;101_1067BV_12.3;Onbekend;2,517;2,851;03-06-2021
10;532_1067AR_11.9;Onbekend;2,859;3,404;03-06-2021
11;533_1131AL_15.9;Onbekend;0,037;0,214;03-06-2021
12;533_1159BV_16.1;Onbekend;0,003;1,474;03-06-2021
13;533_1139AR_15.9;Clipped Tuned, type Corus 54E1;0,036;0,111;03-06-2021
14;533_1151BV_16.1;Onbekend;0,002;1,495;03-06-2021
15;533_1117AR_15.3;Onbekend;0,062;2,053;03-06-2021
16;533_1117BV_15.5;Onbekend;0,002;0,472;03-06-2021
17;533_1159AR_16.0;Onbekend;0,038;1,386;03-06-2021
18;533_1113AL_15.3;Onbekend;0,062;2,053;03-06-2021
19;533_1113BV_15.5;Onbekend;0,002;0,489;03-06-2021
20;533_1151AL_16.0;Onbekend;0,037;1,373;03-06-2021
21;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0,339;10,66;03-06-2021
22;105_91BR_23.1;Onbekend;0,038;4,679;03-06-2021
23;105_91AV_23.1;Onbekend;0,004;4,659;03-06-2021
24;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,438;10,736;03-06-2021
25;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;0,036;11,481;03-06-2021
26;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;0,003;11,422;03-06-2021
27;017_353AL_32.0;Onbekend;0,059;7,491;03-06-2021
28;017_353BV_32.1;Onbekend;0,002;7,341;03-06-2021
29;017_61BV_71.0;Onbekend;0,002;11,833;03-06-2021
30;017_65AR_70.8;Onbekend;0,035;12,041;03-06-2021
31;609_135AL_26.6;Onbekend;1,153;11,609;03-06-2021
32;609_135BV_26.5;Onbekend;1,051;11,509;03-06-2021
33;047_71R_52.2;Onbekend;0,074;4,365;03-06-2021
34;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0,002;0,337;03-06-2021
35;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,062;0,437;03-06-2021
36;105_111V_24.5;Onbekend;0,028;4,085;03-06-2021
37;105_113V_24.5;Onbekend;0,029;4,605;03-06-2021
38;503_189L_40.9;Onbekend;0,369;23,312;03-06-2021
39;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,038;0,508;03-06-2021
40;605_1BL_33.4;Onbekend;0,215;6,743;03-06-2021
41;605_3BL_33.5;Onbekend;0,309;6,859;03-06-2021
42;605_3BV_33.5;Onbekend;0,002;0,456;03-06-2021
43;605_25BV_34.1;Onbekend;0,002;0,083;03-06-2021
44;620_3AV_41.6;Onbekend;0,296;5,01;03-06-2021
45;620_1AV_41.6;Onbekend;0,295;5,012;03-06-2021
46;620_97BV_42.7;Onbekend;0,034;14,418;03-06-2021
47;084_7BV_9.5;Onbekend;0,004;0,547;03-06-2021
48;084_7AR_9.4;Onbekend;0,037;0,547;03-06-2021
49;532_1061BR_12.0;Onbekend;1,204;3,97;03-06-2021
50;101_1063L_12.3;Onbekend;1,485;4,303;03-06-2021
51;101_1067BR_12.3;Onbekend;1,485;4,538;03-06-2021
52;532_1037R_11.2;Onbekend;0,448;3,458;03-06-2021
53;117_1AV_15.4;Onbekend;0,003;5,52;03-06-2021
54;117_1BL_15.5;Onbekend;0,063;5,623;03-06-2021
55;035_145BV_53.0;Onbekend;0;7,558;03-06-2021
56;035_145AR_52.9;Onbekend;0,034;7,657;03-06-2021
57;603_69BR_2.4;Schrey & Veit, VICON-AMSA 5RQ;0,46;1,293;03-06-2021
58;603_69AV_2.4;Onbekend;0,367;1,199;03-06-2021
59;605_25BV_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,084;3,083;03-06-2021
60;020_5V_60.3;Onbekend;0,003;11,331;03-06-2021
61;612_7BL_60.6;Onbekend;0,301;11,641;03-06-2021
62;507_231AV_93.6;Onbekend;0,051;1,098;03-06-2021
63;507_231BL_93.6;Onbekend;0,118;1,138;03-06-2021
64;047_41L_42.5;Onbekend;0,128;1,911;03-06-2021
65;618_273BV_49.5;Onbekend;0,062;10,768;03-06-2021
66;605_25AL_34.1;Onbekend;0,037;0,142;03-06-2021
67;605_25AL_34.1;Onbekend;0,143;3,143;03-06-2021
68;078_207R_64.9;Onbekend;0,034;0,987;03-06-2021
69;078_209L_64.9;Onbekend;0,061;0,726;03-06-2021
70;078_227V_65.7;Schrey & Veit, VICON-AMSA 5RQ;0,003;0,316;03-06-2021
71;078_231AL_66.0;Onbekend;0,039;3,612;03-06-2021
72;078_231BV_66.0;Onbekend;0,003;3,552;03-06-2021
73;017_27R_61.4;Onbekend;0,034;0,729;03-06-2021
74;050_463AR_4.2;Onbekend;2,175;3,567;03-06-2021
75;587_481R_7.0;Onbekend;0,037;0,824;03-06-2021
76;050_465R_4.3;Onbekend;0,034;2,095;03-06-2021
77;050_465R_4.3;Onbekend;2,097;2,662;03-06-2021
78;614_2123V_47.5;Onbekend;0,002;0,397;03-06-2021
79;046_255BV_41.6;Onbekend;0,079;5,126;03-06-2021
80;614_2131V_47.6;Onbekend;0,002;0,287;03-06-2021
81;614_2129R_47.5;Onbekend;0,037;0,351;03-06-2021
82;614_2127V_47.5;Onbekend;0,003;0,385;03-06-2021
83;161_2221V_9.4;Onbekend;0,002;10,751;03-06-2021
84;161_2223V_9.4;Onbekend;0,002;10,704;03-06-2021
85;161_2519R_20.4;Onbekend;0,062;0,489;03-06-2021
86;161_2521L_20.4;Onbekend;0,062;0,489;03-06-2021
87;161_2539L_21.2;Onbekend;0,062;10,199;03-06-2021
88;161_2541V_21.3;Onbekend;0,002;10,093;03-06-2021
89;161_2677V_31.9;Onbekend;0,002;3,423;03-06-2021
90;161_2675L_31.7;Onbekend;0,062;3,575;03-06-2021
91;603_179AL_3.9;Onbekend;0,023;0,401;03-06-2021
92;038_285AL_95.9;Onbekend;0,059;9,083;03-06-2021
93;038_285BV_96.0;Onbekend;0,003;8,982;03-06-2021
94;085_215BV_19.9;Onbekend;0,003;11,867;03-06-2021
95;057_43R_11.2;Onbekend;0,035;9,226;03-06-2021
96;027_945V_148.6;Onbekend;0,003;0,575;03-06-2021
97;027_957AR_149.2;Clipped Tuned, type Corus 54E1;0,058;0,292;03-06-2021
98;027_931R_147.6;Onbekend;0,06;0,074;03-06-2021
99;027_931R_147.6;Onbekend;1,18;1,38;03-06-2021
100;027_931R_147.6;Onbekend;0,074;1,18;03-06-2021
101;589_969L_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,449;1,646;03-06-2021
102;027_955BV_149.2;Onbekend;0,003;0,317;03-06-2021
103;027_955AR_149.1;Clipped Tuned, type Corus 54E1;0,058;0,264;03-06-2021
104;027_943BV_148.6;Glued Tuned, type Corus 54E1;0,003;0,449;03-06-2021
105;027_943AL_148.5;Clipped Tuned, type Corus 54E1;0,035;0,076;03-06-2021
106;027_943AV_148.5;Onbekend;0,003;0,337;03-06-2021
