ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
15320;667_2427V_243.8;164__;0,255;9,248;2021-06-02
4042;922_913L_17.9;922__;0;0,104;2021-06-02
7243;618_869AL_50.5;618_b;0;0,105;2021-06-02
11474;506_503L_42.8;506_b;0;0,054;2021-06-02
10981;485_5V_100.6;485_d;0;0,257;2021-06-02
13315;510_405R_9.8;510_b;0;0,084;2021-06-02
8381;011_804L_68.2;011__;0;0,027;2021-06-02
9785;104_165BV_56.7;104__;0;0,029;2021-06-02
12064;478_1121qV_0.7;478_a;0;0,034;2021-06-02
15893;817_683V_701.4;817_e;1,703;5,048;2021-06-02
11483;009_5AL_114.1;009__;0;0,507;2021-06-02
8160;011_38L_68.7;011__;0;0,218;2021-06-02
9887;613_197BV_76.2;613__;0;0,152;2021-06-02
5166;531_2713L_35.5;531_c;0;0,136;2021-06-02
4092;063_257AR_2.3;070__;1,476;8,684;2021-06-02
3996;586_297BV_81.3;586__;0;0,001;2021-06-02
13831;451_8V_1.2;203__;0,496;0,694;2021-06-02
9863;478_1263L_1.7;478_a;0;0,267;2021-06-02
6192;017_351AL_31.8;017__;0;0,103;2021-06-02
7176;516_942L_75.1;516_b;0;0,446;2021-06-02
991;522_207AL_58.0;522_b;0;0,041;2021-06-02
13838;504_17AV_17.1;521_b;7,737;8,611;2021-06-02
2280;093_73BV_9.2;093__;0;1,867;2021-06-02
12056;163_1021V_43.6;163__;0;0,808;2021-06-02
3390;531_507BL_35.7;531_c;0;0,208;2021-06-02
7915;517_155BqV_69.9;517_b;0;0,034;2021-06-02
11171;618_33AR_58.6;618_c;0;0,066;2021-06-02
12362;209_1V_15.9;209__;0;2,012;2021-06-02
10097;586_233V_81.0;586__;0;0,054;2021-06-02
1302;588_413AL_2.8;588__;0;0,055;2021-06-02
6343;545_928L_22.3;545_b;0;0,063;2021-06-02
789;486_914BL_75.9;486_b;0;0,319;2021-06-02
2078;817_1253V_200.1;817_e;0;0,025;2021-06-02
11738;542_1277BqV_30.0;542_a;0;0,031;2021-06-02
3974;565_63L_101.8;565_b;0;0,018;2021-06-02
7095;516_941AL_75.1;516_b;0;0,091;2021-06-02
1049;508_2111R_91.6;508__;0;0,169;2021-06-02
3103;021_15BV_86.7;608_b;0,289;1,006;2021-06-02
3196;666_411V_27.5;513_a;0,93;1,329;2021-06-02
732;927_23L_904.5;927__;0;0,585;2021-06-02
10655;543_177BL_45.5;543_c;0;0,096;2021-06-02
6548;805_512R_100.0;805_a;0;0,221;2021-06-02
3178;506_554R_43.5;506_b;0;0,032;2021-06-02
13466;609_219V_28.8;609__;0;0,044;2021-06-02
11938;506_37BqV_43.2;506_b;0;0,034;2021-06-02
10101;012_303BV_8.5;012__;0;10,859;2021-06-02
2000;133_1021L_8.8;144_a;1,234;2,91;2021-06-02
10811;486_903R_75.4;486_b;0;0,087;2021-06-02
12645;519_81V_47.2;519_a;0;0,01;2021-06-02
6763;152_4067V_15.3;152_a;0;5,451;2021-06-02
6790;011_64R_68.9;011__;0;0,064;2021-06-02
2700;076_1621R_11.6;076__;0;0,04;2021-06-02
5131;545_265AL_22.5;545_b;0;0,039;2021-06-02
12639;128_9AV_12.1;128__;0;1,783;2021-06-02
10670;524_243AL_69.6;524_b;0;0,663;2021-06-02
14146;542_1145BV_28.9;542_a;0;0,036;2021-06-02
1999;814_950L_100.5;814_a;0;0,323;2021-06-02
10712;513_537R_25.2;513_a;0;0,408;2021-06-02
1767;950_195L_7.6;950_a;0;0,03;2021-06-02
4964;950_403R_26.8;950_a;0;0,168;2021-06-02
5898;803_40R_102.7;803_h;0;0,243;2021-06-02
4323;927_3079AL_905.5;927__;0;0,179;2021-06-02
9827;586_91ApV_80.4;586__;0;0,034;2021-06-02
5597;504_87BV_18.7;504_b;0;0,084;2021-06-02
731;927_27R_904.5;927__;0;0,544;2021-06-02
7972;478_1201V_0.6;478_a;0;0,067;2021-06-02
10547;133_1071L_14.6;133_a;0;0,1;2021-06-02
4598;924_3599AL_35.8;924_a;0;0,057;2021-06-02
9812;524_251AL_70.4;524_b;0;0,328;2021-06-02
12453;534_1061L_45.3;534_b;0;0,215;2021-06-02
13117;588_816V_1.9;588__;0;0,008;2021-06-02
4732;002_385R_68.2;002__;0;0,729;2021-06-02
8118;531_847R_1.5;531_d;0;0,029;2021-06-02
6604;620_1AV_41.6;074__;0,295;5,544;2021-06-02
3760;924_13-14R_35.3;924_a;0;0,941;2021-06-02
5811;520_135AR_0.6;520_a;0;0,072;2021-06-02
7475;817_905L_115.3;817_a;0;0,641;2021-06-02
10396;514_35V_17.5;514_a;0;0,024;2021-06-02
11390;026_257V_26.9;026__;0;0,039;2021-06-02
11434;129_55R_30.8;129__;0;0,141;2021-06-02
15948;803_80L_103.5;803_h;0;0,056;2021-06-02
637;082_135R_1.5;527_c;0,95;1,019;2021-06-02
4485;950_914V_17.2;950_a;0;0,041;2021-06-02
9833;071_29V_27.9;071__;0;0,017;2021-06-02
8742;551_131AL_22.4;551_b;0;0,13;2021-06-02
5332;664_873BR_41.9;663_a;0,585;2,088;2021-06-02
7222;135_916AL_45.8;135__;0;0,481;2021-06-02
7869;544_1081L_0.1;544_a;0;0,87;2021-06-02
10592;206_101V_12.2;603_e;10,605;10,805;2021-06-02
2737;203_473AL_75.4;203__;0;0,33;2021-06-02
4296;564_431AL_23.5;564_b;0;0,077;2021-06-02
