ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;005_115L_126.6;0,305;0,307;01-02-2017;01-02-2017;-5000;-5000;BOOG;005_s531-w125r_126.932
2;005_115L_126.6;0,307;0,31;01-02-2017;01-02-2017;-5000;-5000;BOOG;005_s531-w125r_126.932
3;005_115R_126.6;0,003;0,005;01-02-2017;01-02-2017;250;250;BOOG;005_115_126.637
4;005_115R_126.6;0,005;0,023;01-02-2017;01-02-2017;195;195;BOOG;005_115_126.637
5;005_115R_126.6;0,035;0,038;01-02-2017;01-02-2017;-320;-320;BOOG;005_w115r-s532_126.677
6;005_115R_126.6;0,038;0,071;01-02-2017;01-02-2017;-320;-320;BOOG;005_w115r-s532_126.677
7;005_115R_126.6;0,272;0,307;01-02-2017;01-02-2017;-375;-375;BOOG;005_s532-w125l_126.917
8;005_115R_126.6;0,307;0,313;01-02-2017;01-02-2017;-375;-375;BOOG;005_s532-w125l_126.917
9;005_115R_126.6;0,322;0,34;01-02-2017;01-02-2017;195;195;BOOG;005_125_126.956
10;005_115R_126.6;0,34;0,342;01-02-2017;01-02-2017;250;250;BOOG;005_125_126.956
11;005_55L_109.5;0,002;0,004;01-05-2017;01-05-2017;-600;-600;BOOG;005_55_109.563
12;005_55L_109.5;0,004;0,037;01-05-2017;01-05-2017;-465;-465;BOOG;005_55_109.563
13;005_55L_109.5;0,07;0,12;01-06-2017;01-06-2017;1100;1100;BOOG;005_w55l-s511_109.638
14;005_55L_109.5;0,21;0,233;01-09-2009;01-09-2009;-25000;-25000;BOOG;005_511_109.765
15;005_55L_109.5;0,508;0,532;01-09-2009;01-09-2009;280;280;BOOG;005_s511-w65r_110.063
16;005_55L_109.5;0,545;0,578;01-09-2009;01-09-2009;-465;-465;BOOG;005_65_110.105
17;005_55L_109.5;0,578;0,579;01-09-2009;01-09-2009;-600;-600;BOOG;005_65_110.105
18;005_55R_109.5;0,065;0,155;01-09-2009;01-09-2009;-2900;-2900;BOOG;005_w55r-s512_109.653
19;005_55R_109.5;0,302;0,374;01-09-2009;01-09-2009;-3200;-3200;BOOG;005_512_109.881
20;005_55R_109.5;0,414;0,493;01-09-2009;01-09-2009;3400;3400;BOOG;005_512_109.997
21;005_65V_110.1;0,012;0,047;01-09-2009;01-09-2009;-25000;-25000;BOOG;005_w65v-sDG_110.165
22;005_65V_110.1;0,047;0,07;01-09-2009;01-09-2009;25000;25000;BOOG;005_w65v-sDG_110.165
23;005_65V_110.1;1,356;1,359;01-08-2005;01-08-2005;-10000;-10000;BOOG;005_DG_111.482
