ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT;RICHTING_VOLGENS_GEOCODEKM
1468335;926_4075L_1.1;0;0,038;926__;1,073;1,11;MEE
1468336;926_4071V_0.9;0;0,011;926__;0,864;0,874;MEE
1468337;546_1015L_4.5;0,313;0,925;546_c;13,298;13,908;MEE
1468338;485_39R_450.4;0,405;0,416;485_e;150,319;150,308;TEGEN
1468339;485_39R_450.4;0;0,405;485_l;450,406;450,0;TEGEN
1468340;562_159L_60.9;0;0,776;562_b;60,908;61,653;MEE
1468341;135_253V_21.5;0;5,992;135__;21,53;15,538;TEGEN
1468342;666_405R_27.2;0;0,042;666_a;27,2;27,242;MEE
1468343;666_405R_27.2;1,847;1,9;666_b;47,488;47,541;MEE
1468344;078_229V_66.0;0;0,008;078__;65,978;65,987;MEE
1468345;133_1185L_20.1;0;0,036;133_a;20,125;20,161;MEE
1468346;133_1183AL_20.1;0;0,05;133_a;20,075;20,125;MEE
1468347;133_1183BqV_20.1;0;0,034;133_a;20,142;20,108;TEGEN
1468536;531_2767V_35.8;0;1,442;531_c;35,756;37,2;MEE
1468537;531_2767V_35.8;1,442;1,49;547_c;37,2;37,249;MEE
1468538;531_2863L_37.1;0,058;0,106;547_c;37,2;37,249;MEE
1468539;531_2863L_37.1;0;0,058;531_c;37,143;37,2;MEE
1468540;515_307AR_51.1;0;0,32;515_b;51,08;51,4;MEE
1468541;515_307AR_51.1;8,322;8,502;617_b;59,4;59,579;MEE
1468542;531_2863R_37.1;0,058;1,052;547_c;37,2;38,2;MEE
1468543;475_1V_100.8;0;0,508;475_b;100,808;100,3;TEGEN
1468544;437_966L_0.9;0,01;0,307;437_b;100;100,3;MEE
1468545;437_966L_0.9;0,307;0,639;858__;100,3;100,629;MEE
1468546;437_966L_0.9;0;0,01;437_a;0,874;0,865;TEGEN
1468547;057_41V_11.2;9,162;9,336;618_a;2,0;1,826;TEGEN
1468745;490_107R_104.8;0,456;0,469;490_b;4,816;4,828;MEE
1468746;490_107R_104.8;0,056;0,456;490_g;200,4;200,0;TEGEN
1468747;490_107R_104.8;0;0,056;490_c;104,828;104,772;TEGEN
1468748;509_1103R_35.1;0;1,463;509_a;35,069;36,531;MEE
1468749;078_231AL_66.0;0;3,62;078__;65,987;69,6;MEE
1468750;078_231AL_66.0;3,62;3,669;524_b;69,6;69,649;MEE
1468751;078_231AR_66.0;0;0,062;078__;65,987;66,048;MEE
1468752;133_1177AL_20.0;0;0,038;133_a;19,976;20,014;MEE
1468753;478_1525L_0.8;0;1,0;478_a;0,835;1,832;MEE
1468754;478_1545V_1.9;0;0,038;478_a;1,867;1,921;MEE
1468755;485_123AR_201.7;0;0,267;485_f;201,705;201,971;MEE
1468756;485_123AL_201.7;0;0,266;485_f;201,705;201,971;MEE
1468757;485_123ApV_201.7;0,016;0,034;485_f;201,704;201,721;MEE
1468758;485_123ApV_201.7;0;0,016;485_b;50,017;50,0;TEGEN
1468759;485_123AqV_201.7;0;0,034;485_f;201,688;201,721;MEE
1468760;589_969L_149.5;0;0,021;027__;149,479;149,5;MEE
1468761;589_969L_149.5;0,021;0,449;589_c;149,5;149,929;MEE
1470597;586_261AR_81.1;0;0,102;586__;81,063;81,162;MEE
1470598;506_27V_43.1;0;0,467;506_b;43,067;42,6;TEGEN
1470599;506_27V_43.1;5,687;6,557;509_a;37,4;36,532;TEGEN
1470600;618_43BV_58.8;0,073;0,398;618_b;51,595;51,269;TEGEN
1470601;618_43BV_58.8;0;0,073;618_c;58,828;58,9;MEE
1470602;525_491R_79.2;0;0,312;525_b;79,152;78,841;TEGEN
1470603;127_1V_49.7;0;0,2;127_a;49,689;49,489;TEGEN
1470604;049_33R_31.0;0;0,848;049__;31,043;31,888;MEE
1470605;049_43V_31.9;0;0,101;049__;31,888;31,989;MEE
1470606;127_375AR_38.5;0;10,025;127_a;38,473;48,521;MEE
1470607;127_361L_37.5;0;0,901;127_a;37,523;38,423;MEE
1468778;478_1601R_1.9;0;0,282;478_a;1,926;2,203;MEE
1468779;478_1605V_2.2;0;0,04;478_a;2,203;2,243;MEE
1468780;478_1341R_2.1;0;0,896;478_a;2,118;3,004;MEE
1468781;603_4229R_2.2;0;0,291;603_a;2,196;2,493;MEE
1468782;203_353V_41.9;0;5,287;203__;41,928;47,215;MEE
1468783;514_107BV_17.0;0;0,417;514_a;16,995;16,577;TEGEN
1468784;516_912L_2.1;0;0,035;516_a;2,133;2,167;MEE
1468785;586_241BV_81.1;0;0,108;586__;81,093;81,194;MEE
1468786;822_29L_300.6;0;0,529;822_c;300,628;300,1;TEGEN
1468787;822_29L_300.6;0,529;0,641;822_a;102,927;103,026;MEE
1468788;531_2413V_34.1;0,094;0,896;531_d;1;1,788;MEE
1468789;531_2413V_34.1;0;0,094;531_c;34,073;33,993;TEGEN
