ID;SPOORTAK_IDENTIFICATIE;CG_TYPE;CG_NAAM;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
26765;545_213AL_23.6;BVL;Roosendaal;0;0,064;2021-05-29
26766;545_213AL_23.6;BAAN;Roosendaal;0;0,064;2021-05-29
26767;556_1427V_6.1;BAAN;Alkmaar;0;5,269;2021-05-29
26768;556_1427V_6.1;BVL;Alkmaar;0;5,269;2021-05-29
26769;506_605L_43.5;BVL;Amersfoort;0;0,387;2021-05-29
26770;506_605L_43.5;BAAN;Amersfoort;0;0,387;2021-05-29
26771;586_2511BpV_80.3;BASIS;Amsterdam;0;0,034;2021-05-29
26772;586_2511BpV_80.3;BVL;Amsterdam;0;0,034;2021-05-29
26773;586_2511BpV_80.3;BAAN;Amsterdam;0;0,034;2021-05-29
26774;586_2525AL_80.2;BASIS;Amsterdam;0;0,041;2021-05-29
26775;586_2525AL_80.2;BVL;Amsterdam;0;0,041;2021-05-29
26776;105_475BV_29.5;BASIS;Rijn en Gouwe;0;0,416;2021-05-29
26777;527_91AL_17.2;BAAN;Haarlem;0;0,041;2021-05-29
26778;105_143AV_31.4;BAAN;Rijn en Gouwe;0;1,226;2021-05-29
26779;527_91AL_17.2;BASIS;Haarlem;0;0,041;2021-05-29
26780;527_91AL_17.2;BVL;Haarlem;0;0,041;2021-05-29
26781;553_199V_20.9;BASIS;Roermond;0,027;0,11;2021-05-29
26782;553_199V_20.9;BAAN;Roermond;0,027;0,11;2021-05-29
26783;553_199V_20.9;BVL;Roermond;0,027;0,11;2021-05-29
26784;586_2557L_80.4;BAAN;Amsterdam;0;0,065;2021-05-29
26785;586_131BV_80.8;BASIS;Amsterdam;0;0,214;2021-05-29
26786;586_131BV_80.8;BVL;Amsterdam;0;0,214;2021-05-29
26787;586_131BV_80.8;BAAN;Amsterdam;0;0,214;2021-05-29
26788;586_2567AR_80.7;BASIS;Amsterdam;0;0,048;2021-05-29
26789;586_2567AR_80.7;BVL;Amsterdam;0;0,048;2021-05-29
26790;586_2567AR_80.7;BAAN;Amsterdam;0;0,048;2021-05-29
26791;203_473BV_75.5;BVL;Overijssel;0;0,251;2021-05-29
26792;203_473BV_75.5;BAAN;Overijssel;0;0,251;2021-05-29
26793;469_901L_100.7;BAAN;Europoort;0;0,362;2021-05-29
26794;510_415L_10.3;BVL;Maas en Waal;0,593;0,607;2021-05-29
26795;510_415L_10.3;BASIS;Maas en Waal;0,593;0,607;2021-05-29
26796;510_415L_10.3;BAAN;Maas en Waal;0,593;0,607;2021-05-29
26797;588_363AR_1.8;BASIS;Amsterdam;0;0,824;2021-05-29
26798;588_363AR_1.8;BVL;Amsterdam;0;0,824;2021-05-29
26799;105_463L_29.4;BASIS;Rijn en Gouwe;0;0,107;2021-05-29
26800;105_463L_29.4;BVL;Rijn en Gouwe;0;0,107;2021-05-29
26801;105_463L_29.4;BAAN;Rijn en Gouwe;0;0,107;2021-05-29
26802;105_461R_29.1;BASIS;Rijn en Gouwe;0;0,265;2021-05-29
26803;553_199V_20.9;BASIS;Roermond;0,006;0,027;2021-05-29
26804;586_275AR_81.2;BASIS;Amsterdam;0;0,061;2021-05-29
26805;586_275AR_81.2;BVL;Amsterdam;0;0,061;2021-05-29
26806;586_275AR_81.2;BAAN;Amsterdam;0;0,061;2021-05-29
26807;534_1031L_45.1;BAAN;Leiden;0;0,517;2021-05-29
26808;534_1031L_45.1;BASIS;Leiden;0;0,517;2021-05-29
26809;510_415R_10.3;BASIS;Maas en Waal;0;0,111;2021-05-29
