SPOORTAK_IDENTIFICATIE;RICHTING;SPOORTAK_ASL;PERCENT_ASL;RICHTING_ASL
927_3007BpV_905.4;100-0;927_3051AR_905.3;41,747044;0-100
531_2749qV_35.6;0-100;531_2717R_35.5;56,778627;100-0
531_2715pV_35.6;100-0;531_2717R_35.5;42,685966;0-100
520_149BpV_0.8;0-100;520_129AR_0.6;86,037965;100-0
520_127BpV_0.7;100-0;520_129AR_0.6;13,929034;0-100
132_962ApV_48.9;0-100;132_962AL_48.9;31,185659;0-100
132_963AqV_48.8;100-0;132_962AL_48.9;70,385087;100-0
924_3549AqV_35.5;0-100;924_3549AL_35.5;24,306134;0-100
924_3549BpV_35.6;0-100;924_3549AL_35.5;77,437438;100-0
924_3547BpV_35.6;0-100;924_3547BL_35.6;38,047765;0-100
924_3549ApV_35.5;0-100;924_3547BL_35.6;60,278019;100-0
506_133BqV_44.1;0-100;506_133AR_44.0;58,117892;100-0
506_131BpV_44.0;100-0;506_133AR_44.0;42,796256;0-100
603_145BqV_3.4;0-100;603_145AR_3.3;58,31722;100-0
603_143pV_3.3;100-0;603_145AR_3.3;41,491064;0-100
536_225BqV_60.7;0-100;536_225AR_60.6;60,481294;100-0
536_223BpV_60.6;100-0;536_225AR_60.6;38,678062;0-100
536_243BqV_60.7;0-100;536_223AL_60.6;86,259496;100-0
536_221BqV_60.6;100-0;536_223AL_60.6;13,544261;0-100
924_3263BqV_34.3;0-100;924_3263AR_34.2;85,427372;100-0
924_3253BpV_34.2;100-0;924_3263AR_34.2;14,79337;0-100
950_351pV_17.5;0-100;950_351R_17.5;38,66895;0-100
950_353AqV_17.6;100-0;950_351R_17.5;61,340849;100-0
603_903AqV_3.8;100-0;603_903BR_3.8;37,205062;0-100
603_904ApV_3.7;0-100;603_903BR_3.8;62,719846;100-0
536_227pV_60.6;100-0;536_229AR_60.6;12,887417;0-100
536_233BpV_60.7;0-100;536_229AR_60.6;87,334161;100-0
550_93BqV_25.9;100-0;550_99AL_25.8;41,264971;0-100
550_99BpV_25.9;0-100;550_99AL_25.8;59,445609;100-0
618_117BpV_51.0;100-0;618_119AL_51.1;37,440478;0-100
618_119BqV_51.0;0-100;618_119AL_51.1;62,505433;100-0
618_53BqV_58.9;100-0;618_57BL_58.9;57,652149;100-0
618_57BpV_58.9;0-100;618_57BL_58.9;42,335052;0-100
553_215BqV_21.2;100-0;553_217AL_21.2;41,943335;0-100
553_217BpV_21.3;0-100;553_217AL_21.2;58,631041;100-0
924_353AqV_36.2;0-100;924_353AL_36.2;9,173272;0-100
924_357AqV_36.4;0-100;924_353AL_36.2;90,255162;100-0
542_1183BpV_29.3;100-0;542_1185R_29.2;3,472437;0-100
542_1227pV_29.8;0-100;542_1185R_29.2;96,613823;100-0
542_1229BqV_29.8;0-100;542_1229AR_29.7;59,755905;100-0
542_1227pV_29.8;100-0;542_1229AR_29.7;39,410292;0-100
950_349qV_17.5;0-100;950_349L_17.5;1,953372;0-100
950_379pV_18.3;100-0;950_349L_17.5;98,046009;100-0
950_405pV_26.9;100-0;950_407AR_26.8;21,657627;0-100
950_407BqV_26.9;0-100;950_407AR_26.8;78,377498;100-0
501_147pV_80.7;100-0;501_149AR_80.7;34,072162;0-100
501_149BqV_80.8;0-100;501_149AR_80.7;62,016011;100-0
545_217BqV_23.7;100-0;545_223AL_23.7;46,97793;0-100
545_223BpV_23.8;0-100;545_223AL_23.7;53,693225;100-0
545_901AqV_22.2;0-100;545_77L_22.3;79,333297;100-0
545_77pV_22.3;0-100;545_77L_22.3;20,549584;0-100
542_1247BpV_29.9;100-0;542_1261AR_29.9;30,728214;0-100
542_1261BqV_29.9;0-100;542_1261AR_29.9;68,909917;100-0
926_4065qV_0.8;100-0;926_4067L_0.8;32,383288;0-100
926_4065qV_0.8;0-100;926_4059V_0.8;65,084663;100-0
217_119qV_49.5;100-0;217_123AL_49.4;22,721209;0-100
217_119qV_49.5;0-100;217_119R_49.5;4,717522;0-100
217_119pV_49.5;100-0;217_123AR_49.4;10,495446;0-100
217_119pV_49.5;0-100;217_119L_49.5;5,144347;0-100
542_1167pV_29.1;100-0;542_1171AR_29.1;87,500611;0-100
542_1167pV_29.1;0-100;542_1155BV_29.1;24,732693;100-0
542_1167qV_29.1;0-100;542_1159R_29.0;77,971348;100-0
506_93pV_44.0;0-100;506_87BV_43.9;73,162462;100-0
506_93qV_44.0;0-100;506_79L_43.9;84,095745;100-0
135_2233pV_15.4;0-100;135_2229L_15.4;67,791053;100-0
478_1583qV_1.9;100-0;478_1549V_1.9;35,848223;100-0
478_1583qV_1.9;0-100;478_1583L_1.9;20,346312;0-100
478_1583pV_1.9;100-0;478_1553V_1.9;68,103789;100-0
478_1583pV_1.9;0-100;478_1583R_1.9;12,966155;0-100
503_133BpV_42.9;100-0;503_907L_42.9;90,241445;0-100
503_133BpV_42.9;0-100;503_133AR_43.0;74,65325;100-0
503_133BqV_42.9;100-0;503_907R_42.9;22,325249;0-100
503_133BqV_42.9;0-100;503_133BL_42.9;18,86303;0-100
531_2559pV_34.5;100-0;531_2563L_34.5;72,293885;100-0
531_2553pV_34.5;0-100;531_2553L_34.5;5,682742;0-100
531_511BqV_35.8;100-0;531_513L_35.8;6,3445;0-100
133_1183BpV_20.1;100-0;133_962R_20.6;96,432573;100-0
133_1181BqV_20.1;0-100;133_1181AR_20.0;72,410342;100-0
555_349pV_84.3;100-0;555_377R_84.3;87,093619;0-100
555_349pV_84.3;0-100;555_349L_84.3;77,710042;0-100
047_7BqV_41.2;0-100;047_7AR_41.1;75,68851;100-0
531_505pV_35.7;0-100;531_501V_35.6;81,876017;100-0
506_149qV_44.2;100-0;506_151AL_44.1;4,446087;0-100
586_381BpV_81.1;0-100;586_381BL_81.1;30,950069;0-100
506_85qV_43.9;100-0;506_87AL_43.9;32,383542;0-100
506_85qV_43.9;0-100;940_75BV_43.8;88,967497;100-0
626_910ApV_32.6;100-0;626_904BR_32.4;93,597402;100-0
626_910ApV_32.6;0-100;626_910AR_32.6;20,511671;0-100
626_910AqV_32.6;100-0;626_906V_32.6;45,244469;100-0
626_910AqV_32.6;0-100;626_910AL_32.6;19,020839;0-100
506_103BqV_44.1;0-100;506_103BR_44.1;10,744578;0-100
506_103BpV_44.1;100-0;506_121AR_44.1;29,74136;0-100
950_1001qV_39.8;100-0;950_1003R_39.8;1,961354;0-100
950_1001qV_39.8;0-100;950_1001L_39.8;62,98369;0-100
520_135BqV_0.7;100-0;520_113BL_0.8;73,799939;100-0
520_135BqV_0.7;0-100;520_135BR_0.7;4,841375;0-100
520_47BpV_28.4;100-0;520_49AR_28.4;28,316045;0-100
520_47BpV_28.4;0-100;520_45AR_28.3;90,296016;100-0
520_47BqV_28.4;100-0;520_49AL_28.4;5,981608;0-100
520_47BqV_28.4;0-100;520_47AR_28.4;70,498594;100-0
664_913BpV_43.3;0-100;664_913AL_43.2;74,668444;100-0
560_21BpV_25.0;100-0;560_1233L_25.0;25,875179;0-100
560_21BpV_25.0;0-100;560_21BR_25.0;4,930818;0-100
560_21BqV_25.0;100-0;560_1219AV_24.9;77,6313;100-0
560_21BqV_25.0;0-100;560_21AL_25.1;65,875738;100-0
469_336ApV_601.9;100-0;469_336BR_601.9;31,672325;0-100
469_336ApV_601.9;0-100;469_332L_601.5;96,643977;100-0
469_336AqV_601.9;100-0;469_336BL_601.9;7,952322;0-100
469_336AqV_601.9;0-100;469_335V_601.9;46,946955;100-0
564_968qV_23.7;100-0;564_969R_23.7;32,383236;0-100
564_968qV_23.7;0-100;564_968L_23.7;5,964753;0-100
564_970pV_23.7;100-0;564_971R_23.7;6,017737;0-100
608_37BqV_88.1;0-100;608_37AR_88.0;67,95629;100-0
603_179BpV_4.0;100-0;603_181AR_3.9;71,025752;0-100
603_179BpV_4.0;0-100;603_179BL_4.0;8,074048;0-100
927_954ApV_905.7;100-0;927_954BR_905.7;59,249199;0-100
927_954ApV_905.7;0-100;927_954AL_905.7;17,165374;0-100
927_954AqV_905.7;100-0;927_954BL_905.7;1,938455;0-100
606_71BqV_0.3;100-0;606_73AL_0.3;5,210809;0-100
606_71BqV_0.3;0-100;606_71AR_0.2;76,506618;100-0
520_121pV_0.5;100-0;520_123AR_0.5;27,600871;0-100
520_121pV_0.5;0-100;520_115BV_0.5;53,179747;100-0
603_169BqV_3.9;100-0;603_173AL_3.8;32,229306;0-100
817_1241pV_200.2;100-0;817_1263AR_200.2;17,871436;0-100
817_1257pV_200.2;0-100;817_1253V_200.1;32,595293;100-0
522_203BqV_58.1;0-100;522_203AR_57.9;89,129353;100-0
522_213pV_58.0;100-0;522_215AR_58.0;14,666724;0-100
522_213pV_58.0;0-100;522_211V_58.0;32,103394;100-0
560_59BpV_24.8;100-0;560_1215AL_24.8;26,390587;0-100
560_55BqV_24.8;100-0;560_59AR_24.8;29,515491;0-100
560_55BpV_24.8;0-100;560_55BR_24.8;31,977373;0-100
625_303pV_14.6;100-0;823_11V_3.9;99,89036;100-0
625_303pV_14.6;0-100;625_303R_14.6;33,524496;0-100
625_303qV_14.6;100-0;625_305AR_14.6;27,138183;0-100
625_303qV_14.6;0-100;625_301V_14.6;35,424275;100-0
520_149BpV_0.8;100-0;520_151AR_0.8;31,822882;0-100
927_3083ApV_905.7;0-100;927_3083AR_905.7;20,43829;0-100
536_243BpV_60.7;100-0;536_245AR_60.7;21,122125;0-100
478_1163pV_0.7;100-0;478_1165L_0.8;26,623126;0-100
478_1163pV_0.7;0-100;478_1159V_0.8;42,123867;100-0
536_227qV_60.6;0-100;564_215BV_59.9;97,557527;100-0
536_227pV_60.6;0-100;560_79R_24.7;97,288245;100-0
603_173BpV_3.9;0-100;603_173BL_3.9;32,265112;0-100
603_173BqV_3.9;100-0;603_179AL_3.9;0,641567;0-100
536_231BpV_60.7;100-0;536_243AR_60.6;8,794207;0-100
542_1151qV_29.0;100-0;542_1153AL_29.0;20,919903;0-100
542_1151qV_29.0;0-100;119_1113AR_28.1;98,110884;100-0
542_1151pV_29.0;100-0;542_1153AR_29.0;15,181388;0-100
542_1151pV_29.0;0-100;542_1145AL_93.6;86,575279;100-0
542_1171BpV_29.2;100-0;542_1177AR_29.1;6,511738;0-100
542_1171BqV_29.2;0-100;542_1159L_29.0;84,733571;100-0
542_1183BqV_29.3;100-0;542_1185L_29.2;3,857372;0-100
542_1183BqV_29.3;0-100;542_1175L_29.1;87,855028;100-0
536_235BqV_60.8;100-0;536_239L_60.7;2,917636;0-100
536_235BpV_60.8;100-0;536_239R_60.7;2,921688;0-100
536_235BpV_60.8;0-100;536_235BL_60.8;30,60383;0-100
542_1177BqV_29.2;0-100;542_1175R_29.1;82,61894;100-0
105_473R_29.4;0-100;105_485AR_30.0;0;0-100
478_1143R_0.7;100-0;478_1143V_0.7;0;0-100
478_1143R_0.7;0-100;478_1255V_1.6;0;0-100
478_1251V_1.7;0-100;478_1253AL_1.7;0;0-100
478_1251V_1.7;0-100;478_1253AR_1.7;0;0-100
857_15L_1.3;100-0;857_15V_1.3;0;0-100
857_15L_1.3;0-100;857_17V_1.7;0;0-100
857_14V_1.3;0-100;857_15V_1.3;0;0-100
017_423R_39.9;0-100;017_433V_40.7;0;0-100
017_401AR_39.5;0-100;017_423L_39.9;0;0-100
017_401AR_39.5;0-100;017_423R_39.9;0;0-100
531_2563R_34.5;0-100;531_2571L_34.6;0;0-100
555_377L_84.3;0-100;555_381V_84.4;0;0-100
555_369R_84.3;0-100;555_381V_84.4;0;0-100
127_503L_73.8;100-0;127_503V_73.8;0;0-100
127_485AL_73.9;0-100;127_487L_73.9;0;0-100
127_485AL_73.9;0-100;127_487R_73.9;0;0-100
127_485AR_73.9;0-100;127_485BV_74.0;0;0-100
127_485BV_74.0;0-100;127_489L_74.0;0;0-100
127_485BV_74.0;0-100;127_489R_74.0;0;0-100
200_221V_24.0;0-100;200_229L_26.1;0;0-100
200_221V_24.0;0-100;200_229R_26.1;0;0-100
534_1081AL_45.9;100-0;534_1081AV_45.9;0;0-100
210_51V_34.2;0-100;607_69L_43.5;0;0-100
210_51V_34.2;0-100;607_69R_43.5;0;0-100
135_2229R_15.4;0-100;135_255V_21.5;100;100-0
517_115L_69.4;0-100;517_173V_0.2;0;0-100
517_125L_69.4;0-100;517_165V_0.2;0;0-100
555_251BV_83.6;0-100;555_319L_84.3;100;100-0
555_291AL_83.6;0-100;555_341V_84.2;0;0-100
555_341V_84.2;0-100;555_347V_84.3;0;0-100
103_303L_28.8;100-0;103_303V_28.8;0;0-100
103_303L_28.8;0-100;103_317V_24.5;0;0-100
548_373BR_86.5;100-0;548_373BV_86.5;0;0-100
548_373BR_86.5;0-100;552_2111L_82.2;100;100-0
087_119AR_16.6;0-100;087_119BV_16.7;0;0-100
087_117BV_16.6;100-0;541_101V_15.8;100;100-0
087_117BV_16.6;0-100;087_119AL_16.6;0;0-100
087_117BV_16.6;0-100;087_119AR_16.6;0;0-100
564_978L_24.1;0-100;564_979L_23.9;0;0-100
564_958L_24.1;100-0;564_958V_24.1;0;0-100
564_958L_24.1;0-100;564_978L_24.1;0;0-100
564_958L_24.1;0-100;564_977V_24.0;100;100-0
564_215AR_59.8;0-100;564_215BV_59.9;0;0-100
564_85L_59.8;100-0;564_85V_59.8;0;0-100
503_83BV_14.0;100-0;608_65AL_88.8;100;100-0
503_83BV_14.0;0-100;503_87AL_44.0;0;0-100
503_83BV_14.0;0-100;503_85BR_43.9;100;100-0
542_1193AL_29.4;0-100;542_1193BV_29.5;0;0-100
618_247L_50.5;100-0;618_V_50.6;100;100-0
085_28AV_36.2;0-100;085_325BV_32.8;100;100-0
155_4439R_84.3;0-100;155_4451V_88.0;0;0-100
078_205AL_64.8;100-0;078_205AV_64.8;0;0-100
078_205AL_64.8;0-100;078_205BV_64.9;0;0-100
083_253BV_7.6;0-100;083_257BV_7.8;0;0-100
155_4439L_84.3;0-100;938_4507L_0.1;0;0-100
518_149V_64.3;0-100;518_189V_64.7;0;0-100
606_923R_0.7;100-0;606_923V_0.7;0;0-100
801_905R_8.3;100-0;801_905V_8.3;0;0-100
801_905R_8.3;0-100;801_926L_300.6;0;0-100
801_905R_8.3;0-100;801_926R_300.6;0;0-100
133_1077BV_14.6;0-100;133_1083AL_15.1;0;0-100
133_1077BV_14.6;0-100;133_1083AR_15.1;0;0-100
550_957AL_25.2;0-100;550_962L_25.2;0;0-100
550_957AL_25.2;0-100;550_962R_25.2;0;0-100
550_962R_25.2;0-100;550_963L_25.3;0;0-100
550_962R_25.2;0-100;550_963R_25.3;0;0-100
526_453BV_4.0;0-100;526_455V_4.1;0;0-100
555_241R_83.6;100-0;555_241V_83.6;0;0-100
534_1109AL_46.2;0-100;534_1109BV_46.4;0;0-100
536_223BqV_60.6;0-100;536_223AR_60.6;57,596727;100-0
536_221BpV_60.6;100-0;536_223AR_60.6;41,697992;0-100
613_907AqV_76.0;100-0;613_905R_75.8;93,60248;100-0
613_185BpV_75.8;100-0;613_905R_75.8;6,466308;0-100
536_233BqV_60.7;0-100;536_233AR_60.6;62,165001;100-0
536_225BpV_60.7;100-0;536_233AR_60.6;37,738107;0-100
076_1613qV_11.5;100-0;076_1615L_11.5;15,278593;0-100
076_1617pV_11.6;0-100;076_1615L_11.5;84,639088;100-0
950_1001pV_39.8;0-100;950_1001R_39.8;41,314498;0-100
950_1007qV_39.8;100-0;950_1001R_39.8;58,685502;100-0
536_229BpV_60.6;0-100;536_229AL_60.6;61,792028;100-0
536_227qV_60.6;100-0;536_229AL_60.6;38,356606;0-100
536_231BqV_60.7;100-0;536_243AL_60.6;42,030468;0-100
536_243BpV_60.7;0-100;536_243AL_60.6;57,574554;100-0
542_1247BqV_29.9;100-0;542_1261AL_29.9;30,980735;0-100
542_1263BqV_29.9;0-100;542_1261AL_29.9;68,985222;100-0
520_133qV_0.6;100-0;520_135AL_0.6;24,000729;0-100
520_135BpV_0.7;0-100;520_135AL_0.6;76,519218;100-0
543_137BpV_44.9;100-0;543_139AR_44.8;46,896059;0-100
543_145qV_44.9;0-100;543_139AR_44.8;56,085837;100-0
603_173BqV_3.9;0-100;603_173AR_3.8;58,603906;100-0
603_169BpV_3.9;100-0;603_173AR_3.8;41,735118;0-100
817_1257pV_200.2;100-0;817_1259AR_200.2;16,701437;0-100
817_1259BqV_200.3;0-100;817_1259AR_200.2;83,45696;100-0
560_59BqV_24.8;0-100;560_59AL_24.8;58,891642;100-0
560_55BpV_24.8;100-0;560_59AL_24.8;41,752426;0-100
531_2715qV_35.6;0-100;531_2713R_35.5;64,873422;100-0
531_2711pV_35.5;100-0;531_2713R_35.5;35,075387;0-100
940_387qV_43.2;100-0;940_389AL_43.2;41,110206;0-100
940_389BpV_43.3;0-100;940_389AL_43.2;57,891089;100-0
927_3083AqV_905.7;100-0;927_3081R_905.5;92,808691;100-0
927_3075BpV_905.5;100-0;927_3081R_905.5;7,494311;0-100
536_233BpV_60.7;100-0;536_235AR_60.7;38,388948;0-100
536_235BqV_60.8;0-100;536_235AR_60.7;60,701709;100-0
536_225BpV_60.7;0-100;536_225BL_60.7;39,21411;0-100
536_229BpV_60.6;100-0;536_225BL_60.7;60,885469;100-0
536_229BqV_60.6;100-0;536_231AL_60.6;39,204891;0-100
536_231BpV_60.7;0-100;536_231AL_60.6;60,958319;100-0
542_1177BpV_29.2;0-100;542_1177AL_29.1;74,260179;100-0
542_1171BqV_29.2;100-0;542_1177AL_29.1;25,954586;0-100
542_1183BpV_29.3;0-100;542_1183AL_29.2;59,107886;100-0
542_1177BqV_29.2;100-0;542_1183AL_29.2;41,699222;0-100
520_217BqV_1.3;0-100;520_151AL_0.8;96,509854;100-0
520_149BqV_0.8;100-0;520_151AL_0.8;3,523929;0-100
817_1247pV_200.2;100-0;817_1241L_200.3;79,461328;100-0
817_1241pV_200.2;0-100;817_1241L_200.3;20,24384;0-100
522_213qV_58.0;100-0;522_215AL_58.0;41,627887;0-100
522_215BpV_58.1;0-100;522_215AL_58.0;58,403621;100-0
536_231BqV_60.7;0-100;536_225AL_60.6;60,650506;100-0
536_223BqV_60.6;100-0;536_225AL_60.6;38,947068;0-100
588_351BqV_1.3;100-0;588_353AL_1.2;0,752786;0-100
526_429BpV_3.5;0-100;588_353AL_1.2;99,038087;100-0
603_145BpV_3.4;100-0;603_149AR_3.3;40,137942;0-100
603_149BqV_3.4;0-100;603_149AR_3.3;59,525272;100-0
603_179BqV_4.0;0-100;603_179AR_3.9;58,133787;100-0
603_173BpV_3.9;100-0;603_179AR_3.9;41,448773;0-100
163_927BqV_43.6;0-100;664_915R_43.3;95,347988;100-0
664_913BpV_43.3;100-0;664_915R_43.3;4,691877;0-100
528_43BpV_28.8;0-100;528_43AL_28.7;53,74739;100-0
528_41BqV_28.8;100-0;528_43AL_28.7;46,414732;0-100
522_215BqV_58.1;100-0;522_217AL_58.0;41,088115;0-100
522_217BpV_58.1;0-100;522_217AL_58.0;57,862815;100-0
522_217BqV_58.1;0-100;522_207AL_58.0;58,211031;100-0
522_203BqV_58.1;100-0;522_207AL_58.0;41,298164;0-100
620_83BpV_42.3;0-100;620_83AL_42.3;58,726491;100-0
133_1181BpV_20.1;100-0;133_963R_20.6;96,468877;100-0
555_263AqV_83.4;100-0;555_293AR_83.3;77,806441;100-0
609_19BqV_28.8;100-0;609_23R_28.9;72,547628;0-100
609_19BqV_28.8;0-100;609_19BL_28.8;4,28505;0-100
531_2559qV_34.5;100-0;094_1079BL_2.8;99,324571;100-0
531_2559qV_34.5;0-100;531_2559L_34.5;27,540935;0-100
626_13BpV_32.4;100-0;626_25AR_32.4;35,079293;0-100
626_13BpV_32.4;0-100;626_13BL_32.4;15,508286;0-100
504_63BpV_18.3;100-0;504_69AR_18.3;30,416526;0-100
543_173BqV_45.3;0-100;543_165BV_45.2;88,777995;100-0
478_1657qV_2.1;0-100;478_1589R_1.9;91,31474;100-0
478_1657pV_2.1;0-100;478_1657L_2.1;63,754732;0-100
478_1649qV_2.2;100-0;478_1599V_2.1;87,345257;100-0
478_1649qV_2.2;0-100;478_1649L_2.2;2,033395;0-100
603_4239qV_2.5;100-0;603_71AR_2.4;84,242351;100-0
603_4239qV_2.5;0-100;603_4239L_2.5;13,915477;0-100
603_4239pV_2.5;100-0;603_4229R_2.2;94,200999;100-0
603_4239pV_2.5;0-100;603_3079V_2.5;42,914891;100-0
531_2553qV_34.5;100-0;531_2555L_34.5;27,055783;0-100
531_2553qV_34.5;0-100;531_2551R_34.5;66,199424;100-0
503_169qV_42.3;0-100;503_167BV_42.3;61,877442;100-0
503_119BpV_43.1;100-0;503_121L_43.1;93,672306;0-100
503_119BqV_43.1;100-0;503_121R_43.1;1,890188;0-100
503_119BqV_43.1;0-100;503_119BL_43.1;68,942227;0-100
555_523AqV_83.3;100-0;555_522R_83.3;70,321408;100-0
555_523AqV_83.3;0-100;555_523AR_83.3;31,55515;0-100
478_1653pV_2.2;100-0;478_1651R_2.2;77,247413;100-0
478_1653pV_2.2;0-100;478_1603R_2.0;91,064168;100-0
502_251BqV_100.5;0-100;502_251AR_100.4;87,084579;100-0
502_251BpV_100.5;100-0;502_253R_100.5;7,200094;0-100
502_251BpV_100.5;0-100;502_251BL_100.5;7,514271;0-100
555_349qV_84.3;100-0;555_377L_84.3;23,366788;0-100
586_331BpV_81.5;100-0;586_335BR_81.5;67,176868;100-0
586_331BpV_81.5;0-100;586_331AL_81.4;77,508883;100-0
163_1039ApV_44.3;0-100;163_1039AR_44.3;30,028436;0-100
135_2241pV_15.5;100-0;135_2245R_15.5;32,284458;0-100
938_4625qV_3.6;100-0;938_4627L_3.5;31,840199;0-100
938_4625qV_3.6;0-100;938_4601R_2.6;98,342224;100-0
938_4625pV_3.6;0-100;938_4589V_2.4;98,546682;100-0
938_4509qV_0.2;100-0;938_4511L_0.2;1,601354;0-100
938_4509qV_0.2;0-100;938_4503R_0.1;70,657928;100-0
478_1121pV_0.7;100-0;478_1123AR_0.6;32,055935;0-100
478_1121qV_0.7;100-0;478_1123AL_0.6;32,235223;0-100
478_1121qV_0.7;0-100;478_1121R_0.7;14,964828;0-100
478_1125AqV_0.6;100-0;478_1025R_0.1;96,732223;100-0
478_1125AqV_0.6;0-100;478_1125AL_0.6;32,06409;0-100
478_1643pV_2.2;100-0;478_1641R_2.3;77,213903;100-0
478_1643qV_2.2;100-0;478_1611V_2.9;97,597084;100-0
047_31pV_41.9;100-0;047_33AR_41.9;13,851626;0-100
588_411BpV_2.9;100-0;588_415AR_2.9;1,224525;0-100
588_411BpV_2.9;0-100;588_411AL_2.8;67,19654;100-0
545_960ApV_22.7;100-0;545_937V_22.5;88,28962;100-0
545_960ApV_22.7;0-100;545_960AR_22.7;53,908767;0-100
613_185BqV_75.8;100-0;613_905L_75.8;5,412962;0-100
613_185BqV_75.8;0-100;613_185AR_75.7;70,158967;100-0
613_185BpV_75.8;0-100;613_185BL_75.8;17,963857;0-100
588_411BqV_2.9;100-0;588_415AL_2.9;31,37706;0-100
588_411BqV_2.9;0-100;588_411BR_2.9;32,874027;0-100
938_4583qV_2.4;100-0;938_4585L_2.3;31,505527;0-100
938_4583qV_2.4;0-100;938_4581R_2.3;68,371558;100-0
603_167BqV_3.8;100-0;603_169AL_3.8;4,923341;0-100
603_167BqV_3.8;0-100;603_167BR_3.8;88,70911;0-100
163_1043ApV_44.4;100-0;163_1021V_43.6;98,049917;100-0
163_1043AqV_44.4;100-0;163_1041V_44.4;53,322645;100-0
163_1043AqV_44.4;0-100;163_1043AL_44.4;30,077098;0-100
555_525ApV_83.2;100-0;555_525BL_83.2;5,720362;0-100
542_1227qV_29.8;0-100;542_1201R_29.7;67,772788;100-0
542_1263BpV_29.9;100-0;542_1267AR_29.9;0,959004;0-100
606_41BqV_37.6;100-0;606_43AL_37.6;32,026565;0-100
606_41BqV_37.6;0-100;605_25AL_34.1;99,516168;100-0
606_49pV_0.1;100-0;606_51AR_0.0;60,423391;0-100
606_49pV_0.1;0-100;606_43BV_37.6;43,303361;100-0
132_473qV_47.9;100-0;132_475AR_48.0;4,421;0-100
132_473qV_47.9;0-100;132_459R_48.7;97,919875;100-0
132_473pV_47.9;100-0;132_475AL_48.0;27,82079;0-100
132_473pV_47.9;0-100;132_473R_47.9;22,688578;0-100
950_379qV_18.3;100-0;950_377V_18.3;45,656642;100-0
950_379qV_18.3;0-100;950_241L_18.5;92,784037;100-0
950_333qV_17.4;100-0;950_335AL_17.3;32,002219;0-100
950_333qV_17.4;0-100;950_323V_17.2;89,50379;100-0
817_1241pV_200.3;100-0;817_1263AL_200.2;44,319448;0-100
817_1241pV_200.3;0-100;817_1239L_200.1;84,664914;100-0
522_203BpV_58.1;100-0;522_207AR_58.0;32,23693;0-100
522_203BpV_58.1;0-100;522_185BV_57.8;93,955979;100-0
522_215BqV_58.1;0-100;522_183BV_57.8;93,826404;100-0
560_65pV_24.6;100-0;560_83AR_24.6;66,42611;100-0
560_65pV_24.6;0-100;560_65L_24.6;8,841625;0-100
508_867qV_91.2;100-0;508_869L_91.1;7,555233;0-100
508_867qV_91.2;0-100;508_863V_91.1;41,936967;100-0
508_867pV_91.2;100-0;508_869R_91.1;61,192787;0-100
508_867pV_91.2;0-100;508_865V_91.1;21,688818;100-0
560_1237BpV_24.9;100-0;560_1281AL_24.9;32,853084;0-100
560_1237BqV_24.9;100-0;560_1279BL_24.9;67,213791;100-0
560_1237BqV_24.9;0-100;560_1237AL_25.0;68,692411;100-0
588_351BqV_1.3;0-100;588_351AR_1.2;64,357079;100-0
528_41BqV_28.8;0-100;528_39AR_28.7;65,092582;100-0
564_1335pV_23.6;100-0;564_1333L_23.6;68,03762;100-0
564_1335pV_23.6;0-100;564_1335R_23.6;32,310987;0-100
564_1341qV_23.7;100-0;564_1339L_23.6;67,507038;100-0
564_1341qV_23.7;0-100;564_1341L_23.7;14,203574;0-100
528_43BqV_28.8;100-0;528_47L_28.8;6,549834;0-100
076_1613pV_11.5;100-0;076_1615R_11.5;2,402624;0-100
076_1613pV_11.5;0-100;076_1611L_11.4;67,21371;100-0
076_1613qV_11.5;0-100;556_1425L_6.1;99,68847;100-0
603_145BpV_3.4;0-100;603_145BL_3.4;32,520302;0-100
603_145BqV_3.4;100-0;603_149AL_3.3;3,352845;0-100
603_149BpV_3.4;0-100;603_149BL_3.4;5,161063;0-100
950_1001pV_39.8;100-0;950_1003L_39.8;0,280023;0-100
503_113BpV_43.2;100-0;503_115AL_43.2;32,41439;0-100
503_113BpV_43.2;0-100;503_109BV_43.6;95,579512;100-0
503_113BqV_43.2;0-100;503_113AL_43.2;64,996286;100-0
478_1163qV_0.7;100-0;478_1113BV_0.7;50,830067;100-0
478_1163qV_0.7;0-100;478_1161V_0.8;41,323567;100-0
528_43BpV_28.8;100-0;528_47R_28.8;32,057091;0-100
588_351BpV_1.3;100-0;588_353AR_1.2;20,535137;0-100
588_351BpV_1.3;0-100;588_349AL_1.1;86,084441;100-0
564_974qV_23.6;100-0;564_952L_23.6;66,874247;100-0
564_974qV_23.6;0-100;564_961R_24.3;97,352694;100-0
564_974pV_23.6;100-0;564_953L_23.6;66,749763;100-0
564_974pV_23.6;0-100;564_954V_23.7;44,315191;100-0
560_61pV_24.8;0-100;560_43BV_24.9;66,516648;100-0
560_61qV_24.8;100-0;560_63AR_24.8;71,011652;0-100
560_61qV_24.8;0-100;560_61L_24.8;3,490296;0-100
525_982AqV_78.2;100-0;525_982BR_78.2;4,958969;0-100
525_982AqV_78.2;0-100;525_976V_78.3;63,802148;100-0
526_429BpV_3.5;100-0;526_433AR_3.4;24,858481;0-100
526_429BqV_3.5;100-0;526_433AL_3.4;64,819328;0-100
526_429BqV_3.5;0-100;526_429AR_3.4;69,764496;100-0
124_213pV_4.4;100-0;124_193R_4.5;74,599079;100-0
